trade_id,symbol,entry_date,entry_price,exit_date,exit_price,quantity,side,initial_stop_loss,final_stop_loss,take_profit,pl,pl_pct,security_pl,fx_pl,entry_fx_rate,exit_fx_rate,security_currency,duration_days,entry_equity,entry_capital_available,entry_capital_required,concurrent_positions,competing_signals,entry_reason,exit_reason,commission_paid,partial_exits
T000497,AMZN,2010-06-18,6.2977915,2010-06-24,5.9105835,1519.256172736226,LONG,5.9627203587095625,5.9627203587095625,,-594.2681441328476,-6.211023357174974,-594.2681441328476,0.0,1.0,1.0,GBP,6,10000.0,0.0,0.0,0,,AlphaTrend signal + Volume aligned,Stop loss hit,6.0,0
T000498,AMZN,2011-09-16,11.976964999999998,2011-09-22,11.1503385,772.4231400495889,LONG,11.356762427020016,11.356762427020016,,-644.5054367782,-6.966658607965266,-644.5054367782,0.0,1.0,1.0,GBP,6,9405.731855867154,0.0,0.0,0,,AlphaTrend signal + Volume aligned,Stop loss hit,6.0,0
T000499,AMZN,2016-02-26,27.7892615,2016-10-28,38.777184000000005,273.7733011636478,LONG,26.163010682754265,26.163010682754265,,3002.1998157553235,39.46130974812319,3002.1998157553235,0.0,1.0,1.0,GBP,245,8761.226419088955,0.0,0.0,0,,AlphaTrend signal + Volume aligned,Price < EMA(50),6.0,0
T000500,AMZN,2019-01-07,81.5569755,2019-02-14,81.0513675,103.91169098163732,LONG,75.82085495993387,75.82085495993387,,-58.53858225384318,-0.6907432918666118,-58.53858225384318,0.0,1.0,1.0,GBP,38,11763.426234844277,0.0,0.0,0,,AlphaTrend signal + Volume aligned,Price < EMA(50),6.0,0
T000501,AMZN,2020-04-07,100.68057999999999,2020-09-11,155.655189,105.39437182319176,LONG,95.03264758646284,95.03264758646284,,5788.014381780586,54.546447749787994,5788.014381780586,0.0,1.0,1.0,GBP,157,11704.887652590434,0.0,0.0,0,,AlphaTrend signal + Volume aligned,Price < EMA(50),6.0,0
T000502,AMZN,2022-02-09,161.3506895,2022-02-22,150.0473025,87.84094429388226,LONG,151.24230126014064,151.24230126014064,,-998.9001877991917,-7.047811392610398,-998.9001877991917,0.0,1.0,1.0,GBP,13,17492.90203437102,0.0,0.0,0,,AlphaTrend signal + Volume aligned,Stop loss hit,6.0,0
T000503,AMZN,2022-03-18,161.41175049999998,2022-04-11,150.97087800000003,91.7791209101569,LONG,152.2737718733602,152.2737718733602,,-964.254099585028,-6.508972744171469,-964.254099585028,0.0,1.0,1.0,GBP,24,16494.00184657183,0.0,0.0,0,,AlphaTrend signal + Volume aligned,Stop loss hit,6.0,0
T000504,AMZN,2022-06-01,121.80568399999999,2022-06-10,109.54035,87.4404559603984,LONG,112.81268674855738,112.81268674855738,,-1078.4863974665755,-10.125924930918261,-1078.4863974665755,0.0,1.0,1.0,GBP,9,15529.747746986803,0.0,0.0,0,,AlphaTrend signal + Volume aligned,Stop loss hit,6.0,0
T000505,AMZN,2022-07-21,124.75462999999998,2022-07-26,114.69519,97.2060247506232,LONG,117.20411021485955,117.20411021485955,,-983.8381736174072,-8.112856868867969,-983.8381736174072,0.0,1.0,1.0,GBP,5,14451.261349520228,0.0,0.0,0,,AlphaTrend signal + Volume aligned,Stop loss hit,6.0,0
T000506,AMZN,2023-01-11,95.18508999999999,2023-02-17,97.1028,133.91604989822542,LONG,90.06671518204092,90.06671518204092,,250.81214805032772,1.9676462049602477,250.81214805032772,0.0,1.0,1.0,GBP,37,13467.42317590282,0.0,0.0,0,,AlphaTrend signal + Volume aligned,Price < EMA(50),6.0,0
T000507,AMZN,2023-03-22,98.7987,2023-09-21,129.20067,135.37791027508456,LONG,93.63841692292608,93.63841692292608,,4109.755166845814,30.726770314947593,4109.755166845814,0.0,1.0,1.0,GBP,183,13718.235323953148,0.0,0.0,0,,AlphaTrend signal + Volume aligned,Price < EMA(50),6.0,0
T000508,AMZN,2025-05-13,211.58137,2025-08-01,214.53525,75.30482230812429,LONG,199.54460836862833,199.54460836862833,,216.441408519522,1.358438990948677,216.441408519522,0.0,1.0,1.0,GBP,80,17827.990490798962,0.0,0.0,0,,AlphaTrend signal + Volume aligned,Price < EMA(50),6.0,0
