trade_id,symbol,entry_date,entry_price,exit_date,exit_price,quantity,side,initial_stop_loss,final_stop_loss,take_profit,pl,pl_pct,security_pl,fx_pl,entry_fx_rate,exit_fx_rate,security_currency,duration_days,entry_equity,entry_capital_available,entry_capital_required,concurrent_positions,competing_signals,entry_reason,exit_reason,commission_paid,partial_exits
T000154,SPGI,2010-06-16,23.98674946668,2010-06-30,21.8927040813,105.85222440337621,LONG,22.07524769887466,22.07524769887466,,-227.65936204409812,-8.966317774614566,-227.65936204409812,0.0,1.0,1.0,GBP,14,10000.0,0.0,0.0,0,,AlphaTrend signal + Volume aligned,Stop loss hit,6.0,0
T000155,SPGI,2010-09-10,23.77326415464,2010-11-23,26.96663680956,136.1341131842511,LONG,22.31525575638237,22.31525575638237,,428.72695444437187,13.247227852643256,428.72695444437187,0.0,1.0,1.0,GBP,74,9772.340637955902,0.0,0.0,0,,AlphaTrend signal + Volume aligned,Price < EMA(50),6.0,0
T000156,SPGI,2010-12-13,28.61938390311,2011-02-02,29.028233828879998,152.70782717425607,LONG,27.25610360465386,27.25610360465386,,56.43458380469248,1.2912898829684198,56.43458380469248,0.0,1.0,1.0,GBP,51,10201.067592400275,0.0,0.0,0,,AlphaTrend signal + Volume aligned,Price < EMA(50),6.0,0
T000157,SPGI,2011-07-07,34.48892541094,2011-07-29,33.268433135129996,138.93209360968686,LONG,32.979325110833685,32.979325110833685,,-175.56554711273503,-3.66401337976114,-175.56554711273503,0.0,1.0,1.0,GBP,22,10257.502176204967,0.0,0.0,0,,AlphaTrend signal + Volume aligned,Price < EMA(50),6.0,0
T000158,SPGI,2011-09-15,35.939169336069995,2011-10-03,32.148619180020006,61.970337315228804,LONG,32.65272227738043,32.65272227738043,,-240.90167178071098,-10.816528994104305,-240.90167178071098,0.0,1.0,1.0,GBP,18,10081.936629092233,0.0,0.0,0,,AlphaTrend signal + Volume aligned,Stop loss hit,6.0,0
T000159,SPGI,2011-10-25,34.86647869705,2011-11-23,32.94889843968,68.85836788549247,LONG,31.976161491612473,31.976161491612473,,-138.0414468119407,-5.749693434875464,-138.0414468119407,0.0,1.0,1.0,GBP,29,9841.034957311522,0.0,0.0,0,,AlphaTrend signal + Volume aligned,Price < EMA(50),6.0,0
T000160,SPGI,2012-07-02,37.06502730931,2012-07-25,36.8354258019,107.03328065680245,LONG,35.216730861381585,35.216730861381585,,-30.57500258183896,-0.7706964185826042,-30.57500258183896,0.0,1.0,1.0,GBP,23,9702.99351049958,0.0,0.0,0,,AlphaTrend signal + Volume aligned,Price < EMA(50),6.0,0
T000161,SPGI,2012-12-05,44.34381903951999,2013-02-04,43.58364947325,95.93955082563181,LONG,42.28517701599402,42.28517701599402,,-78.93032673925856,-1.8552956507074732,-78.93032673925856,0.0,1.0,1.0,GBP,61,9672.418507917742,0.0,0.0,0,,AlphaTrend signal + Volume aligned,Price < EMA(50),6.0,0
T000162,SPGI,2013-03-28,45.494142553859994,2013-06-24,46.62126488718,71.21775026636854,LONG,42.75725689630601,42.75725689630601,,74.27111685403055,2.2923251547838497,74.27111685403055,0.0,1.0,1.0,GBP,88,9593.488181178484,0.0,0.0,0,,AlphaTrend signal + Volume aligned,Price < EMA(50),6.0,0
T000163,SPGI,2013-09-10,54.652927789459994,2014-01-24,64.7562526263,74.39337801510715,LONG,52.00183459593444,52.00183459593444,,745.620463796459,18.3387659224491,745.620463796459,0.0,1.0,1.0,GBP,136,9667.759298032515,0.0,0.0,0,,AlphaTrend signal + Volume aligned,Price < EMA(50),6.0,0
T000164,SPGI,2014-02-13,72.53724090613,2014-03-20,68.68975393755,54.819469887011785,LONG,68.66941772668619,68.66941772668619,,-216.91719601474156,-5.455042242724033,-216.91719601474156,0.0,1.0,1.0,GBP,35,10413.379761828975,0.0,0.0,0,,AlphaTrend signal + Volume aligned,Price < EMA(50),6.0,0
T000165,SPGI,2014-04-23,68.19615431628999,2014-05-15,67.77601964649,61.72876438189599,LONG,64.8276925180471,64.8276925180471,,-31.934394040749403,-0.7585971576312005,-31.934394040749403,0.0,1.0,1.0,GBP,22,10196.462565814234,0.0,0.0,0,,AlphaTrend signal + Volume aligned,Price < EMA(50),6.0,0
T000166,SPGI,2014-08-29,72.66317822763999,2014-10-01,73.93027900671001,93.2540181361455,LONG,70.41279970100723,70.41279970100723,,112.16223903171976,1.655254308015807,112.16223903171976,0.0,1.0,1.0,GBP,33,10164.528171773485,0.0,0.0,0,,AlphaTrend signal + Volume aligned,Price < EMA(50),6.0,0
T000167,SPGI,2014-10-24,75.27844360035999,2014-12-12,79.38562898592,54.77342416290963,LONG,71.4545523260792,71.4545523260792,,218.96460723898147,5.3104753760009835,218.96460723898147,0.0,1.0,1.0,GBP,49,10276.690410805204,0.0,0.0,0,,AlphaTrend signal + Volume aligned,Price < EMA(50),6.0,0
T000168,SPGI,2015-02-04,85.22374595734999,2015-05-29,93.62754198675,41.82372826347379,LONG,80.12462591719068,80.12462591719068,,345.47808151528614,9.69252959146498,345.47808151528614,0.0,1.0,1.0,GBP,114,10495.655018044185,0.0,0.0,0,,AlphaTrend signal + Volume aligned,Price < EMA(50),6.0,0
T000169,SPGI,2015-06-01,93.81498451325,2015-06-24,93.80802880926,58.44606019584512,LONG,90.01517843933124,90.01517843933124,,-6.4065334941041305,-0.116841103177036,-6.4065334941041305,0.0,1.0,1.0,GBP,23,10841.13309955947,0.0,0.0,0,,AlphaTrend signal + Volume aligned,Price < EMA(50),6.0,0
T000170,SPGI,2015-07-16,95.19847294958,2015-07-27,89.87341596066,64.45227278089097,LONG,91.74463537362115,91.74463537362115,,-349.2120256236615,-5.691424411580136,-349.2120256236615,0.0,1.0,1.0,GBP,11,10834.726566065367,0.0,0.0,0,,AlphaTrend signal + Volume aligned,Stop loss hit,6.0,0
T000171,SPGI,2015-10-14,82.49574329997,2015-12-09,85.81973770665,46.2432318496068,LONG,77.88292018592267,77.88292018592267,,147.71224401489945,3.8720127390300076,147.71224401489945,0.0,1.0,1.0,GBP,56,10485.514540441705,0.0,0.0,0,,AlphaTrend signal + Volume aligned,Price < EMA(50),6.0,0
T000172,SPGI,2016-02-22,81.43932300503998,2016-06-24,95.32197576684,34.87911841594612,LONG,75.26686832499824,75.26686832499824,,478.2146896062842,16.83539297655163,478.2146896062842,0.0,1.0,1.0,GBP,123,10633.226784456605,0.0,0.0,0,,AlphaTrend signal + Volume aligned,Price < EMA(50),6.0,0
T000173,SPGI,2016-07-15,106.06012495078,2016-10-20,112.1123389365,42.96995821923168,LONG,100.78761181976257,100.78761181976257,,254.06338210023813,5.574745033621383,254.06338210023813,0.0,1.0,1.0,GBP,97,11111.441474062889,0.0,0.0,0,,AlphaTrend signal + Volume aligned,Price < EMA(50),6.0,0
T000174,SPGI,2017-01-06,105.73430286418998,2017-10-30,145.14948299223,47.81000987351036,LONG,100.87897815960928,100.87897815960928,,1878.440151087782,37.15888063916409,1878.440151087782,0.0,1.0,1.0,GBP,297,11365.504856163127,0.0,0.0,0,,AlphaTrend signal + Volume aligned,Price < EMA(50),6.0,0
T000175,SPGI,2018-08-21,191.67719478907998,2018-09-26,192.6396399276,44.14800905247066,LONG,185.49191023066433,185.49191023066433,,36.49003668788843,0.4312138806947804,36.49003668788843,0.0,1.0,1.0,GBP,36,13243.945007250908,0.0,0.0,0,,AlphaTrend signal + Volume aligned,Price < EMA(50),6.0,0
T000176,SPGI,2019-01-08,165.23492661675996,2019-05-13,196.93983838464,24.304443911210406,LONG,154.15237358323554,154.15237358323554,,764.5702497723154,19.038374015897666,764.5702497723154,0.0,1.0,1.0,GBP,125,13280.435043938796,0.0,0.0,0,,AlphaTrend signal + Volume aligned,Price < EMA(50),6.0,0
T000177,SPGI,2019-06-07,213.02125878033,2019-09-27,233.62858459296,29.106597055783368,LONG,203.1673546756361,203.1673546756361,,593.8091288254657,9.577066202082284,593.8091288254657,0.0,1.0,1.0,GBP,112,14045.00529371111,0.0,0.0,0,,AlphaTrend signal + Volume aligned,Price < EMA(50),6.0,0
T000178,SPGI,2019-10-31,245.15732448206995,2020-02-25,269.23250876922,23.677422571772443,LONG,232.55955551395,232.55955551395,,564.0383118601472,9.716935187376333,564.0383118601472,0.0,1.0,1.0,GBP,117,14638.814422536576,0.0,0.0,0,,AlphaTrend signal + Volume aligned,Price < EMA(50),6.0,0
T000179,SPGI,2020-04-09,270.64965662734994,2020-09-04,330.13983418551,8.343049948341987,LONG,233.97133262147625,233.97133262147625,,490.32952280346274,21.714794257761465,490.32952280346274,0.0,1.0,1.0,GBP,148,15202.852734396723,0.0,0.0,0,,AlphaTrend signal + Volume aligned,Price < EMA(50),6.0,0
T000180,SPGI,2021-01-04,320.00372675271,2021-01-12,302.69895372432,19.548168083993925,LONG,303.64417167442764,303.64417167442764,,-344.27661181433234,-5.5035943921502435,-344.27661181433234,0.0,1.0,1.0,GBP,8,15693.182257200186,0.0,0.0,0,,AlphaTrend signal + Volume aligned,Stop loss hit,6.0,0
T000181,SPGI,2021-02-03,311.36146556514996,2021-03-03,313.64898645060003,14.7888337664916,LONG,290.31372648959297,290.31372648959297,,27.829766112298884,0.6043809491149904,27.829766112298884,0.0,1.0,1.0,GBP,28,15348.905645385854,0.0,0.0,0,,AlphaTrend signal + Volume aligned,Price < EMA(50),6.0,0
T000182,SPGI,2021-06-09,370.93095699659995,2021-09-28,410.8568224095,21.61688744007031,LONG,356.3480137303127,356.3480137303127,,857.0729385780571,10.688863760620395,857.0729385780571,0.0,1.0,1.0,GBP,111,15376.735411498154,0.0,0.0,0,,AlphaTrend signal + Volume aligned,Price < EMA(50),6.0,0
