trade_id,symbol,entry_date,entry_price,exit_date,exit_price,quantity,side,initial_stop_loss,final_stop_loss,take_profit,pl,pl_pct,security_pl,fx_pl,entry_fx_rate,exit_fx_rate,security_currency,duration_days,entry_equity,entry_capital_available,entry_capital_required,concurrent_positions,competing_signals,entry_reason,exit_reason,commission_paid,partial_exits
T000333,CAH,1998-09-22,19.64695261529,1998-10-08,18.55152266724,491.8576086592583,LONG,18.611786461878435,18.611786461878435,,-544.7955547016088,-5.637661077226798,-544.7955547016088,0.0,1.0,1.0,GBP,16,10000.0,0.0,0.0,0,,AlphaTrend signal + Volume aligned,Stop loss hit,6.0,0
T000334,CAH,1999-11-17,15.065443463069998,1999-12-15,13.81372104141,456.032267761515,LONG,14.014747200796782,14.014747200796782,,-576.8258145575444,-8.395898789677359,-576.8258145575444,0.0,1.0,1.0,GBP,28,9455.20444529839,0.0,0.0,0,,AlphaTrend signal + Volume aligned,Stop loss hit,6.0,0
T000335,CAH,2000-01-03,14.866117706439999,2000-02-09,15.06206451834,539.6951303755378,LONG,14.029551677125678,14.029551677125678,,99.75154019504188,1.2432931573499555,99.75154019504188,0.0,1.0,1.0,GBP,37,8878.378630740846,0.0,0.0,0,,AlphaTrend signal + Volume aligned,Price < EMA(50),6.0,0
T000336,CAH,2000-03-17,14.526967004549999,2000-12-08,27.99753704739,386.3824526760293,LONG,13.351796121051319,13.351796121051319,,5198.791892096765,92.62113270528369,5198.791892096765,0.0,1.0,1.0,GBP,266,8978.130170935889,0.0,0.0,0,,AlphaTrend signal + Volume aligned,Price < EMA(50),6.0,0
T000337,CAH,2001-05-01,30.80840865102,2001-06-28,31.02871045977,460.0496294591565,LONG,29.23836673232098,29.23836673232098,,95.34976548462005,0.6727375631360415,95.34976548462005,0.0,1.0,1.0,GBP,58,14176.922063032653,0.0,0.0,0,,AlphaTrend signal + Volume aligned,Price < EMA(50),6.0,0
T000338,CAH,2002-08-09,27.497582001889995,2002-09-18,28.38487866804,343.4632459138319,LONG,25.394487498696186,25.394487498696186,,298.7537930444019,3.1632874047155557,298.7537930444019,0.0,1.0,1.0,GBP,40,14272.271828517274,0.0,0.0,0,,AlphaTrend signal + Volume aligned,Price < EMA(50),6.0,0
T000339,CAH,2002-10-15,30.818200463049997,2002-11-19,29.32007818239,432.71740745675214,LONG,29.105429739233365,29.105429739233365,,-654.2635893403915,-4.906153247993082,-654.2635893403915,0.0,1.0,1.0,GBP,35,14571.025621561676,0.0,0.0,0,,AlphaTrend signal + Volume aligned,Price < EMA(50),6.0,0
T000340,CAH,2004-10-27,21.58379196974,2005-01-26,24.5058847848,602.9817522085509,LONG,20.409387293099574,20.409387293099574,,1755.9686457408966,13.492264330874814,1755.9686457408966,0.0,1.0,1.0,GBP,91,13916.762032221284,0.0,0.0,0,,AlphaTrend signal + Volume aligned,Price < EMA(50),6.0,0
T000341,CAH,2008-12-31,16.15874932672,2009-02-17,17.14635191457,779.6665975193113,LONG,15.138518969275882,15.138518969275882,,764.000749370278,6.0642502148257424,764.000749370278,0.0,1.0,1.0,GBP,48,15672.730677962181,0.0,0.0,0,,AlphaTrend signal + Volume aligned,Price < EMA(50),6.0,0
T000342,CAH,2009-04-14,15.946323142749998,2009-05-21,16.03192943259,980.494480412343,LONG,15.093044277150323,15.093044277150323,,77.93649467670214,0.4984655572717959,77.93649467670214,0.0,1.0,1.0,GBP,37,16436.73142733246,0.0,0.0,0,,AlphaTrend signal + Volume aligned,Price < EMA(50),6.0,0
T000343,CAH,2020-04-30,42.75303783750999,2020-06-24,44.84928798783,282.0613171381991,LONG,39.78575601617594,39.78575601617594,,585.27107845041,4.853405242845755,585.27107845041,0.0,1.0,1.0,GBP,55,16514.66792200916,0.0,0.0,0,,AlphaTrend signal + Volume aligned,Price < EMA(50),6.0,0
