symbol,frequency,fiscaldateending,report_date,reporttime,reportedcurrency,reported_eps,estimated_eps,earnings_surprise,surprise_pct,accumulateddepreciationamortizationppe,capitalexpenditures,capitalleaseobligations,cashandcashequivalentsatcarryingvalue,cashandshortterminvestments,cashflowfromfinancing,cashflowfrominvestment,changeincashandcashequivalents,changeinexchangerate,changeininventory,changeinreceivables,commonstock,commonstocksharesoutstanding,costofgoodsandservicessold,costofrevenue,currentaccountspayable,currentlongtermdebt,currentnetreceivables,depreciationandamortization,depreciationdepletionandamortization,dividendpayout,dividendpayoutcommonstock,ebit,ebitda,goodwill,grossprofit,incomebeforetax,incometaxexpense,intangibleassets,intangibleassetsexcludinggoodwill,interestexpense,interestincome,inventory,longtermdebt,longterminvestments,netincome,netincomefromcontinuingoperations,netinterestincome,operatingcashflow,operatingexpenses,operatingincome,othercurrentassets,othercurrentliabilities,othernoncurrentliabilities,othernonoperatingincome,proceedsfromrepurchaseofequity,propertyplantequipment,researchanddevelopment,retainedearnings,sellinggeneralandadministrative,shortlongtermdebttotal,shorttermdebt,shortterminvestments,stockbasedcompensation,totalassets,totalcurrentassets,totalcurrentliabilities,totalliabilities,totalnoncurrentassets,totalnoncurrentliabilities,totalrevenue,totalshareholderequity,treasurystock
ALGT,quarterly,2006-03-31,2006-05-30,,USD,,,,,,10793000.0,,,,-2135000.0,-32260000.0,,,,,,16698000.0,43530000.0,43530000.0,,,,2226000.0,2226000.0,,,60071000.0,62297000.0,,60071000.0,6834000.0,56643000.0,,,1405000.0,,,,,3428000.0,0.0,,34895000.0,52000000.0,60071000.0,,,,,,,0.0,,6459000.0,,,,,,,,,,,60071000.0,,
ALGT,quarterly,2006-06-30,2006-08-29,,USD,,,,,,4971000.0,,,,-7488000.0,4925000.0,,,,,,16684000.0,46379000.0,46379000.0,,,,2519000.0,2519000.0,,,60071000.0,62590000.0,,60071000.0,4744000.0,56643000.0,,,1196000.0,,,,,3428000.0,0.0,,-4669000.0,55000000.0,60071000.0,,,,,,,0.0,,5898000.0,,,,,,,,,,,60071000.0,,
ALGT,quarterly,2006-09-30,2006-11-29,,USD,,,,,,4319000.0,,11855000.0,11855000.0,-3485000.0,6733000.0,,,,,,18487000.0,43304000.0,43304000.0,14821000.0,,5914000.0,-12344000.0,-12344000.0,4971000.0,4971000.0,18089000.0,5745000.0,,16768000.0,3443000.0,14000.0,,,1369000.0,,2641000.0,48221000.0,,3429000.0,0.0,,-5920000.0,16097000.0,671000.0,21781000.0,52296000.0,,,,110009000.0,0.0,19059000.0,3744000.0,62214000.0,13993000.0,33125000.0,,189752000.0,75316000.0,81110000.0,129331000.0,114436000.0,48221000.0,60072000.0,60421000.0,-1007000.0
ALGT,quarterly,2006-12-31,2007-01-30,post-market,USD,0.17,0.1,0.07,70.0,,7750000.0,,130273000.0,130273000.0,88983000.0,,,,-1006000.0,,20000.0,20290000.0,41163000.0,41163000.0,17409000.0,,7327000.0,18183000.0,18183000.0,3396000.0,3396000.0,5487000.0,23670000.0,,21973000.0,5487000.0,7033000.0,,,1547000.0,,3747000.0,57877000.0,,-1546000.0,0.0,,10440000.0,177608000.0,-155635000.0,21501000.0,55525000.0,,,,131214000.0,0.0,19088000.0,3163000.0,79321000.0,14888000.0,5808000.0,,305726000.0,168656000.0,87822000.0,152255000.0,137070000.0,64433000.0,63136000.0,153471000.0,
ALGT,quarterly,2007-03-31,2007-05-01,post-market,USD,0.38,0.4,-0.02,-5.0,,10366000.0,,175339000.0,175339000.0,-4299000.0,-4019000.0,,,689000.0,,20000.0,20290000.0,52683000.0,52683000.0,21211000.0,,8000000.0,3660000.0,3660000.0,,,14301000.0,17961000.0,,31666000.0,16305000.0,6558000.0,,,5517000.0,,3013000.0,54195000.0,,9747000.0,0.0,,53384000.0,70699000.0,14301000.0,27231000.0,78367000.0,,,,137643000.0,0.0,28835000.0,3683000.0,68467000.0,14272000.0,5808000.0,241000.0,354430000.0,213583000.0,128424000.0,190985000.0,140847000.0,62561000.0,84349000.0,163445000.0,
ALGT,quarterly,2007-06-30,2007-08-06,post-market,USD,0.49,0.4,0.09,22.5,,3654000.0,,185809000.0,185809000.0,19583000.0,-6699000.0,,,-2968000.0,,21000.0,20433000.0,56646000.0,56646000.0,18614000.0,,8587000.0,3715000.0,3715000.0,,,17142000.0,20857000.0,,32295000.0,15781000.0,5805000.0,,,1361000.0,,6030000.0,50445000.0,,9976000.0,0.0,,-2414000.0,75440000.0,14158000.0,27206000.0,72336000.0,,,,137444000.0,0.0,38723000.0,3690000.0,74541000.0,14567000.0,11241000.0,3000.0,373269000.0,227632000.0,115801000.0,175775000.0,145637000.0,59974000.0,88941000.0,197494000.0,
ALGT,quarterly,2007-09-30,2007-10-29,post-market,USD,0.35,0.3,0.05,16.6667,,18320000.0,,165808000.0,165808000.0,-1739000.0,-30209000.0,,,-4076000.0,,21000.0,20936000.0,57360000.0,57360000.0,19045000.0,,9986000.0,4238000.0,4238000.0,,,12468000.0,16706000.0,,28967000.0,11100000.0,4085000.0,,,1368000.0,,10063000.0,52861000.0,,7015000.0,0.0,,11947000.0,77601000.0,9543000.0,26308000.0,76438000.0,,,,159215000.0,0.0,45738000.0,817000.0,69072000.0,16211000.0,6904000.0,17000.0,389501000.0,219069000.0,120121000.0,183824000.0,170432000.0,63703000.0,86327000.0,205677000.0,
ALGT,quarterly,2007-12-31,2008-01-29,post-market,USD,0.24,0.16,0.08,50.0,,9792000.0,,144269000.0,144269000.0,-4569000.0,-28000000.0,,,3240000.0,,21000.0,20710000.0,73272000.0,73272000.0,21302000.0,,15312000.0,4379000.0,4379000.0,647000.0,647000.0,-68093000.0,-63714000.0,,27684000.0,7519000.0,2748000.0,,,5523000.0,,6544000.0,53950000.0,,4771000.0,0.0,,11030000.0,95777000.0,6058000.0,31653000.0,74851000.0,,,-647000.0,171170000.0,0.0,50434000.0,879000.0,72146000.0,18196000.0,27110000.0,1006000.0,405425000.0,224888000.0,127979000.0,195094000.0,180537000.0,67115000.0,100956000.0,210331000.0,
ALGT,quarterly,2008-03-31,2008-04-28,post-market,USD,0.47,0.34,0.13,38.2353,,8754000.0,,180763000.0,180763000.0,-19743000.0,12418000.0,,,-2768000.0,,20000.0,20710000.0,93309000.0,93309000.0,22815000.0,,14709000.0,5015000.0,5015000.0,,,16095000.0,21110000.0,,39831000.0,14680000.0,5008000.0,,,1415000.0,,9267000.0,51899000.0,,9672000.0,0.0,,43819000.0,119784000.0,14364000.0,26094000.0,96392000.0,,,-15809000.0,177407000.0,0.0,60106000.0,1008000.0,84884000.0,19087000.0,7428000.0,302000.0,424223000.0,238261000.0,153123000.0,218920000.0,185962000.0,65797000.0,133140000.0,205303000.0,-15808000.0
ALGT,quarterly,2008-06-30,2008-07-22,post-market,USD,0.13,0.14,-0.01,-7.1429,,32044000.0,,148746000.0,148746000.0,11363000.0,-29270000.0,,,-5816000.0,,20000.0,20413000.0,92987000.0,92987000.0,25413000.0,,12483000.0,5956000.0,5956000.0,,,5650000.0,11606000.0,,38571000.0,4161000.0,1515000.0,,,1489000.0,,15038000.0,53489000.0,,2646000.0,0.0,,-14110000.0,32024000.0,4675000.0,28866000.0,84115000.0,,,,207441000.0,0.0,62752000.0,22398000.0,75164000.0,21675000.0,5006000.0,125000.0,422187000.0,210139000.0,144334000.0,213521000.0,212048000.0,69187000.0,131558000.0,208666000.0,-15808000.0
