symbol,frequency,fiscaldateending,report_date,reporttime,reportedcurrency,reported_eps,estimated_eps,earnings_surprise,surprise_pct,accumulateddepreciationamortizationppe,capitalexpenditures,capitalleaseobligations,cashandcashequivalentsatcarryingvalue,cashandshortterminvestments,cashflowfromfinancing,cashflowfrominvestment,changeincashandcashequivalents,changeinexchangerate,changeininventory,changeinreceivables,commonstock,commonstocksharesoutstanding,costofgoodsandservicessold,costofrevenue,currentaccountspayable,currentlongtermdebt,currentnetreceivables,depreciationandamortization,depreciationdepletionandamortization,dividendpayout,dividendpayoutcommonstock,ebit,ebitda,goodwill,grossprofit,incomebeforetax,incometaxexpense,intangibleassets,intangibleassetsexcludinggoodwill,interestexpense,interestincome,inventory,longtermdebt,longterminvestments,netincome,netincomefromcontinuingoperations,netinterestincome,operatingcashflow,operatingexpenses,operatingincome,othercurrentassets,othercurrentliabilities,othernoncurrentliabilities,othernonoperatingincome,proceedsfromrepurchaseofequity,propertyplantequipment,researchanddevelopment,retainedearnings,sellinggeneralandadministrative,shortlongtermdebttotal,shorttermdebt,shortterminvestments,stockbasedcompensation,totalassets,totalcurrentassets,totalcurrentliabilities,totalliabilities,totalnoncurrentassets,totalnoncurrentliabilities,totalrevenue,totalshareholderequity,treasurystock
CHA,quarterly,2022-12-31,2023-03-01,,,,,,,,1777000.0,,200746000.0,200746000.0,-33000.0,-248000.0,,,698000.0,,78000.0,183549892.0,145934000.0,145934000.0,64303000.0,,26092000.0,1433000.0,1433000.0,,,-2723000.0,-1290000.0,,69699000.0,-2755000.0,390000.0,,,,,33185000.0,,,-3145000.0,,,69459000.0,72422000.0,-2723000.0,15662000.0,125190000.0,,,,,,-406164000.0,34712000.0,63453000.0,32397000.0,,1051000.0,393963000.0,275685000.0,297653000.0,701310000.0,118278000.0,403657000.0,215633000.0,-307420000.0,
CHA,quarterly,2023-03-31,2023-05-30,,,,,,,,2450000.0,,,,,-4450000.0,,,-26505000.0,,,183549892.0,256079000.0,256079000.0,,,,1635000.0,1635000.0,,,80140000.0,81775000.0,,160948000.0,83627000.0,19458000.0,,,,,,,,64169000.0,,,180175000.0,80808000.0,80140000.0,,,,,,,,,42906000.0,,,,432000.0,,,,,,,417027000.0,,
CHA,quarterly,2023-06-30,2023-08-29,,,,,,,,9687000.0,,,,,-109687000.0,,,21683000.0,,,183549892.0,441131000.0,441131000.0,,,,2565000.0,2565000.0,,,151355000.0,153920000.0,,291254000.0,167701000.0,38657000.0,,,,,,,,129044000.0,,,284471000.0,139899000.0,151355000.0,,,,,,,,,69565000.0,,,,646000.0,,,,,,,732385000.0,,
CHA,quarterly,2023-09-30,2023-11-29,,,,,,,,6054000.0,,1278312000.0,1278312000.0,208069000.0,-249817000.0,,,-28892000.0,,76000.0,183549892.0,816308000.0,816308000.0,400707000.0,,59136000.0,1908000.0,1908000.0,,,366316000.0,368224000.0,,627403000.0,374691000.0,75612000.0,,,,,65538000.0,,,298719000.0,,,765879000.0,261087000.0,366316000.0,264656000.0,286616000.0,,,,,,57924000.0,118725000.0,76690000.0,42252000.0,136480000.0,6839000.0,1992497000.0,1804122000.0,1098572000.0,1860332000.0,188375000.0,761760000.0,1443711000.0,131265000.0,
CHA,quarterly,2023-12-31,2024-02-29,,CNY,,,,,,13670000.0,108838000.0,2322680000.0,2322680000.0,136128000.0,217243000.0,,,24538000.0,,76000.0,183549892.0,1155115000.0,1155115000.0,448319000.0,,126136000.0,4262000.0,4262000.0,,,476292000.0,480554000.0,0.0,891933000.0,380308000.0,70034000.0,,,,12858000.0,41492000.0,,2000000.0,308971000.0,310274000.0,12858000.0,703082000.0,415641000.0,476292000.0,57919000.0,467288000.0,,,,,,334962000.0,225645000.0,108838000.0,52593000.0,100000000.0,2599000.0,2943156000.0,2648227000.0,1454904000.0,2533014000.0,294929000.0,1078110000.0,2047048000.0,408811000.0,
CHA,quarterly,2024-03-31,2024-05-30,,CNY,,,,,,33078000.0,138526000.0,2817007000.0,2817007000.0,13874000.0,-43837000.0,,,-15229000.0,,76000.0,183549892.0,1374406000.0,1374406000.0,416367000.0,1692000.0,178130000.0,8365000.0,8365000.0,,,705943000.0,714308000.0,11837000.0,1132165000.0,744500000.0,149398000.0,,,,9217000.0,79271000.0,,1890000.0,594262000.0,595102000.0,9217000.0,523473000.0,426222000.0,705943000.0,138401000.0,537888000.0,,,,,,914529000.0,254976000.0,140218000.0,67794000.0,100000000.0,360000.0,3697811000.0,3312809000.0,1541009000.0,2680827000.0,385002000.0,1139818000.0,2506571000.0,989113000.0,
CHA,quarterly,2024-06-30,2024-08-29,,CNY,,,,,,62513000.0,411090000.0,3654665000.0,3654665000.0,-88833000.0,-62493000.0,,,-4071000.0,,76000.0,183549892.0,1667360000.0,1667360000.0,651657000.0,,181678000.0,9186000.0,9186000.0,,,743923000.0,753109000.0,11837000.0,1355977000.0,787042000.0,158321000.0,703000.0,703000.0,,7979000.0,83342000.0,,2290000.0,621851000.0,628721000.0,7979000.0,987032000.0,612054000.0,743923000.0,212982000.0,829276000.0,,,,,,1521008000.0,283261000.0,411090000.0,138697000.0,100000000.0,243000.0,4990016000.0,4232667000.0,2140475000.0,2619626000.0,757349000.0,479151000.0,3023337000.0,2297588000.0,
CHA,quarterly,2024-09-30,2024-11-29,,CNY,,,,,,100564000.0,469045000.0,4226324000.0,4226324000.0,-98356000.0,-80474000.0,,,,,76000.0,183549892.0,1904709000.0,1904709000.0,603175000.0,,224920000.0,,,,,,794250000.0,11837000.0,1636539000.0,808292000.0,161659000.0,704000.0,704000.0,,21324000.0,95640000.0,,2330000.0,640979000.0,646633000.0,21324000.0,754497000.0,842289000.0,794250000.0,215517000.0,907652000.0,,,-115079000.0,,,2146102000.0,394708000.0,469045000.0,159189000.0,100000000.0,,5751851000.0,4862401000.0,2154133000.0,2722113000.0,889450000.0,567980000.0,3541248000.0,2934559000.0,
CHA,quarterly,2024-12-31,2025-03-11,pre-market,CNY,14.64,0.0,14.64,,,45104000.0,548056000.0,4754783000.0,4754783000.0,-617000.0,-42675000.0,,,,,76000.0,183549892.0,1777589000.0,1777589000.0,597091000.0,,196514000.0,,,,,,642483000.0,11837000.0,1556837000.0,702264000.0,58129000.0,8440000.0,8440000.0,,1214000.0,132069000.0,,2403000.0,659022000.0,644135000.0,-1214000.0,572654000.0,914354000.0,642483000.0,256302000.0,1022671000.0,,,0.0,,,2752024000.0,438892000.0,548056000.0,195438000.0,100000000.0,,6596106000.0,5439668000.0,2297928000.0,3841631000.0,1156438000.0,1543703000.0,3334426000.0,2653905000.0,
CHA,quarterly,2025-03-31,2025-05-30,pre-market,CNY,3.92,,0.0,,,0.0,638060000.0,5110533000.0,5110533000.0,202172000.0,-192479000.0,,,,,76000.0,183549892.0,1747328000.0,1747328000.0,508005000.0,150000000.0,132697000.0,,,,,,820776000.0,11837000.0,1645383000.0,836063000.0,158746000.0,9607000.0,9607000.0,,15694000.0,117438000.0,,2531000.0,678858000.0,677317000.0,15694000.0,360032000.0,824607000.0,820776000.0,361881000.0,799520000.0,,,,,,3433080000.0,352826000.0,788060000.0,353914000.0,259000000.0,,7253231000.0,5981549000.0,2138542000.0,2839614000.0,1271682000.0,701072000.0,3392711000.0,4261523000.0,
