symbol,frequency,fiscaldateending,report_date,reporttime,reportedcurrency,reported_eps,estimated_eps,earnings_surprise,surprise_pct,accumulateddepreciationamortizationppe,capitalexpenditures,capitalleaseobligations,cashandcashequivalentsatcarryingvalue,cashandshortterminvestments,cashflowfromfinancing,cashflowfrominvestment,changeincashandcashequivalents,changeinexchangerate,changeininventory,changeinreceivables,commonstock,commonstocksharesoutstanding,costofgoodsandservicessold,costofrevenue,currentaccountspayable,currentlongtermdebt,currentnetreceivables,depreciationandamortization,depreciationdepletionandamortization,dividendpayout,dividendpayoutcommonstock,ebit,ebitda,goodwill,grossprofit,incomebeforetax,incometaxexpense,intangibleassets,intangibleassetsexcludinggoodwill,interestexpense,interestincome,inventory,longtermdebt,longterminvestments,netincome,netincomefromcontinuingoperations,netinterestincome,operatingcashflow,operatingexpenses,operatingincome,othercurrentassets,othercurrentliabilities,othernoncurrentliabilities,othernonoperatingincome,proceedsfromrepurchaseofequity,propertyplantequipment,researchanddevelopment,retainedearnings,sellinggeneralandadministrative,shortlongtermdebttotal,shorttermdebt,shortterminvestments,stockbasedcompensation,totalassets,totalcurrentassets,totalcurrentliabilities,totalliabilities,totalnoncurrentassets,totalnoncurrentliabilities,totalrevenue,totalshareholderequity,treasurystock
CHWY,quarterly,2018-01-31,2018-04-01,,USD,,,,,,13461000.0,,-68767000.0,-68767000.0,325000.0,-3486000.0,,,-32543000.0,,,395711689.0,613474000.0,613474000.0,,,,4718000.0,4718000.0,,,-59815000.0,-55097000.0,,149988000.0,-59815000.0,,,,4000.0,,,,,-59815000.0,-63114000.0,,-45273000.0,209813000.0,-59825000.0,,,,,,,,,123152000.0,,,137534000.0,3273000.0,,68767000.0,,,-68767000.0,,763462000.0,-83703000.0,
CHWY,quarterly,2018-04-30,2018-06-29,,USD,,,,,,14736000.0,,-68767000.0,-68767000.0,325000.0,11685000.0,,,35000.0,,,395711689.0,639712000.0,639712000.0,,,,5357000.0,5357000.0,,,-63135000.0,-57778000.0,,165875000.0,-63114000.0,10000.0,,,121000.0,,,,,-63114000.0,-78618000.0,,-3930000.0,229010000.0,-63135000.0,,,,,,,,,139747000.0,,,137534000.0,4045000.0,,68767000.0,,,-68767000.0,,805587000.0,-83703000.0,
CHWY,quarterly,2018-07-31,2018-09-29,,USD,,,,,,8133000.0,,88331000.0,88331000.0,315000.0,15614000.0,,,-19946000.0,,3930000.0,395711689.0,703589000.0,703589000.0,502880000.0,,127450000.0,6310000.0,6310000.0,,,-78497000.0,-72187000.0,,172041000.0,-78618000.0,,,,121000.0,,220855000.0,,,-78618000.0,-66343000.0,,-43174000.0,250538000.0,-78497000.0,11949000.0,311150000.0,63534000.0,,,,,-1651759000.0,150375000.0,,,,3229000.0,541622000.0,448585000.0,814030000.0,877564000.0,93037000.0,63534000.0,875630000.0,-335942000.0,
CHWY,quarterly,2018-10-31,2018-12-30,,USD,,,,,,7830000.0,,88331000.0,88331000.0,176000.0,8025000.0,,,-2397000.0,,3930000.0,395711689.0,861258000.0,861258000.0,502880000.0,,127450000.0,6825000.0,6825000.0,,,-66252000.0,-59427000.0,,226900000.0,-66343000.0,,9608000.0,9608000.0,33000.0,,220855000.0,,,-66343000.0,,,78962000.0,293209000.0,-66309000.0,11949000.0,311150000.0,,,,,,-1592102000.0,176232000.0,,,,3804000.0,541622000.0,448585000.0,814030000.0,877564000.0,93037000.0,63534000.0,1088158000.0,-335942000.0,
CHWY,quarterly,2019-01-31,2019-04-03,pre-market,USD,-0.1677,0.0,-0.1677,,,7830000.0,,88331000.0,88331000.0,176000.0,8025000.0,,,-2397000.0,,3930000.0,395711689.0,861258000.0,861258000.0,502880000.0,,127450000.0,6825000.0,6825000.0,,,-66252000.0,-59427000.0,,226900000.0,-66343000.0,57000.0,9608000.0,9608000.0,33000.0,,220855000.0,,,-66343000.0,,,78962000.0,293209000.0,-66309000.0,11949000.0,311150000.0,,,,,,-1592102000.0,176232000.0,,,,3804000.0,541622000.0,448585000.0,814030000.0,877564000.0,93037000.0,63534000.0,1088158000.0,-335942000.0,
CHWY,quarterly,2019-04-30,2019-06-17,pre-market,USD,-0.08,-0.07,-0.01,-14.2857,,,,,,,,,,,,,,854982000.0,854982000.0,,,,6949000.0,,,,-30270000.0,-23321000.0,,253890000.0,-29554000.0,720000.0,,,4000.0,,,,,-29554000.0,-82876000.0,204000.0,,284160000.0,-30270000.0,,,,,,,,,181897000.0,,,,,,,,,,,1108872000.0,,
CHWY,quarterly,2019-05-05,2019-07-04,,USD,,,,,,12222000.0,177636000.0,29298000.0,29298000.0,273000.0,-8165000.0,,,-33285000.0,,,,,,519597000.0,13310000.0,58984000.0,,6949000.0,,,,,,,,,,,,,254140000.0,177636000.0,,-29554000.0,,,-51141000.0,,,74655000.0,211626000.0,33967000.0,,,250683000.0,,-1621656000.0,,,13310000.0,,,682313000.0,430125000.0,828651000.0,1040254000.0,252188000.0,211603000.0,,-357941000.0,
CHWY,quarterly,2019-07-31,2019-09-17,post-market,USD,-0.21,-0.1,-0.11,-110.0,,11941000.0,202621000.0,150844000.0,150844000.0,115500000.0,-14980000.0,,,-34015000.0,,3986000.0,397387000.0,881310000.0,881310000.0,556907000.0,,62083000.0,7630000.0,7630000.0,,,-83080000.0,-75450000.0,,272235000.0,-82876000.0,,,,4000.0,,288155000.0,,,-82876000.0,-79000000.0,-221000.0,21026000.0,355315000.0,-83080000.0,29939000.0,381983000.0,34092000.0,,,288738000.0,,-1704532000.0,244563000.0,202923000.0,,,43783000.0,813934000.0,531021000.0,938890000.0,1175667000.0,282913000.0,236777000.0,1153545000.0,-361733000.0,
CHWY,quarterly,2019-10-31,2019-12-09,post-market,USD,-0.2,-0.14,-0.06,-42.8571,,14376000.0,200439000.0,135871000.0,135871000.0,10160000.0,-26714000.0,,,-1781000.0,,3986000.0,401317000.0,938021000.0,938021000.0,637687000.0,,105851000.0,8137000.0,8137000.0,,,-78779000.0,-70642000.0,,291780000.0,-79000000.0,,,,221000.0,221000.0,289935000.0,,,-79000000.0,-60940000.0,-343000.0,1581000.0,370559000.0,-78779000.0,34557000.0,373744000.0,35318000.0,,,283461000.0,,-1783532000.0,258488000.0,202621000.0,,,39348000.0,858687000.0,566214000.0,1011431000.0,1248144000.0,292473000.0,236713000.0,1229801000.0,-389457000.0,
CHWY,quarterly,2020-01-31,2020-04-02,post-market,USD,-0.15,-0.17,0.02,11.7647,,10097000.0,229560000.0,212088000.0,212088000.0,2563000.0,-2000.0,,,-27872000.0,,4014000.0,401319000.0,1028370000.0,1028370000.0,683049000.0,,81104000.0,7929000.0,7929000.0,,,-60597000.0,-52668000.0,,326155000.0,-60940000.0,,14322000.0,14322000.0,343000.0,343000.0,317808000.0,,,-60940000.0,-47870000.0,-384000.0,73656000.0,386752000.0,-60597000.0,18789000.0,417489000.0,40541000.0,,,283461000.0,,-1844472000.0,284942000.0,200439000.0,,,44565000.0,932321000.0,629789000.0,1100538000.0,1336295000.0,302532000.0,235757000.0,1354525000.0,-403974000.0,
