symbol,frequency,fiscaldateending,report_date,reporttime,reportedcurrency,reported_eps,estimated_eps,earnings_surprise,surprise_pct,accumulateddepreciationamortizationppe,capitalexpenditures,capitalleaseobligations,cashandcashequivalentsatcarryingvalue,cashandshortterminvestments,cashflowfromfinancing,cashflowfrominvestment,changeincashandcashequivalents,changeinexchangerate,changeininventory,changeinreceivables,commonstock,commonstocksharesoutstanding,costofgoodsandservicessold,costofrevenue,currentaccountspayable,currentlongtermdebt,currentnetreceivables,depreciationandamortization,depreciationdepletionandamortization,dividendpayout,dividendpayoutcommonstock,ebit,ebitda,goodwill,grossprofit,incomebeforetax,incometaxexpense,intangibleassets,intangibleassetsexcludinggoodwill,interestexpense,interestincome,inventory,longtermdebt,longterminvestments,netincome,netincomefromcontinuingoperations,netinterestincome,operatingcashflow,operatingexpenses,operatingincome,othercurrentassets,othercurrentliabilities,othernoncurrentliabilities,othernonoperatingincome,proceedsfromrepurchaseofequity,propertyplantequipment,researchanddevelopment,retainedearnings,sellinggeneralandadministrative,shortlongtermdebttotal,shorttermdebt,shortterminvestments,stockbasedcompensation,totalassets,totalcurrentassets,totalcurrentliabilities,totalliabilities,totalnoncurrentassets,totalnoncurrentliabilities,totalrevenue,totalshareholderequity,treasurystock
CLW,quarterly,2006-12-31,2007-03-01,,USD,,,,,,27505000.0,,170000.0,170000.0,,,,,32086000.0,,,,977901000.0,977901000.0,33079000.0,,,,,,,0.0,,,128780000.0,33686000.0,12561000.0,,,13000000.0,,135302000.0,100000000.0,,21125000.0,0.0,,96171000.0,0.0,38210000.0,9973000.0,54967000.0,,,,441763000.0,0.0,,36280000.0,,,,,741418000.0,,92265000.0,407491000.0,,,1106681000.0,333927000.0,
CLW,quarterly,2007-03-31,2007-05-30,,USD,,,,,,4102000.0,,,,-35066000.0,-4099000.0,,,-4193000.0,,,22600000.0,251445000.0,251445000.0,,,,13398000.0,13398000.0,,,849000.0,14247000.0,,23653000.0,849000.0,305000.0,,,,,,,,544000.0,,,39032000.0,22804000.0,849000.0,,,,,,,,,,,,,,,,,,,,275098000.0,,
CLW,quarterly,2007-06-30,2007-08-29,,USD,,,,,,5341000.0,,,,-19783000.0,-5349000.0,,,-4138000.0,,,22600000.0,244415000.0,244415000.0,,,,13147000.0,13147000.0,,,23686000.0,36833000.0,,45625000.0,23686000.0,8530000.0,,,,,,,,15156000.0,,,25130000.0,21939000.0,23686000.0,,,,,,,,,,,,,,,,,,,,290040000.0,,
CLW,quarterly,2007-09-30,2007-11-29,,USD,,,,,,5180000.0,,,,-9964000.0,-5181000.0,,,3000.0,,,22600000.0,265843000.0,265843000.0,,,,12629000.0,12629000.0,,,15621000.0,28250000.0,,38006000.0,5871000.0,2026000.0,,,,,,,,3845000.0,,,15120000.0,38006000.0,15621000.0,,,,,,,,,,,,,-23348000.0,,,,,,,303849000.0,,
CLW,quarterly,2007-12-31,2008-02-29,,USD,,,,,,5908000.0,,9000.0,9000.0,-23517000.0,-5870000.0,,,1737000.0,,321648000.0,22600000.0,271396000.0,271396000.0,36711000.0,,95193000.0,12151000.0,12151000.0,,,12619000.0,24770000.0,,32943000.0,9369000.0,3348000.0,,,3250000.0,,140526000.0,100000000.0,,6021000.0,0.0,,29386000.0,32943000.0,12619000.0,10046000.0,109107000.0,,,,413170000.0,0.0,,36127000.0,102093000.0,7961000.0,,958000.0,696094000.0,245774000.0,117068000.0,423274000.0,450320000.0,306206000.0,304339000.0,272820000.0,
CLW,quarterly,2008-03-31,2008-05-30,,USD,,,,,,2291000.0,,10000.0,10000.0,-23606000.0,-2286000.0,,,7810000.0,,,22709084.0,288105000.0,288105000.0,113828000.0,,94525000.0,11843000.0,11843000.0,,,6598000.0,18441000.0,,19332000.0,7426000.0,2717000.0,,,3250000.0,,,,,4709000.0,0.0,,25893000.0,11906000.0,7426000.0,10591000.0,7971000.0,,,,,0.0,,10261000.0,,,132412000.0,797000.0,679647000.0,237538000.0,121799000.0,328388000.0,442109000.0,206589000.0,307437000.0,351259000.0,
CLW,quarterly,2008-06-30,2008-08-29,,USD,,,,,,4752000.0,,9000.0,9000.0,-17635000.0,-4750000.0,,,4309000.0,,390643000.0,22709084.0,293848000.0,293848000.0,,,102210000.0,11796000.0,11796000.0,,,10942000.0,22738000.0,,22140000.0,7692000.0,2716000.0,,,3250000.0,,127257000.0,,,4976000.0,0.0,,22384000.0,22140000.0,10942000.0,13026000.0,132631000.0,,,,,0.0,,11198000.0,2013000.0,,,886000.0,679544000.0,242502000.0,132631000.0,337190000.0,437042000.0,204559000.0,315988000.0,342354000.0,
CLW,quarterly,2008-09-30,2008-11-29,,USD,,,,,,8660000.0,,9000.0,9000.0,14015000.0,-8662000.0,,,-18326000.0,,,22709084.0,314216000.0,314216000.0,129440000.0,,95193000.0,11679000.0,11679000.0,,,4421000.0,16100000.0,,14481000.0,1171000.0,309000.0,,,3250000.0,,140526000.0,100000000.0,,862000.0,0.0,,-5353000.0,14481000.0,4421000.0,10046000.0,117068000.0,,,,395293000.0,0.0,,10060000.0,100000000.0,,,-87000.0,696094000.0,245774000.0,117068000.0,423274000.0,450320000.0,306206000.0,328697000.0,272820000.0,
CLW,quarterly,2008-12-31,2009-02-27,pre-market,USD,0.08,-0.05,0.13,260.0,,5603000.0,,3218000.0,3218000.0,19908000.0,-15833000.0,,,-7753000.0,,1000.0,22709084.0,321677000.0,321677000.0,57507000.0,,104030000.0,11636000.0,11636000.0,,,3677000.0,15313000.0,,-10337000.0,280000.0,361000.0,,,3397000.0,,154351000.0,,,-81000.0,0.0,,-866000.0,-10337000.0,3677000.0,17180000.0,53306000.0,,,,389867000.0,0.0,-385000.0,21304000.0,162320000.0,159086000.0,10800000.0,726000.0,683266000.0,289579000.0,275557000.0,502277000.0,393687000.0,226720000.0,311340000.0,180989000.0,
CLW,quarterly,2009-03-31,2009-04-30,pre-market,USD,0.6,0.18,0.42,233.3333,,3559000.0,,2852000.0,2852000.0,-29401000.0,-5736000.0,,,-7753000.0,,1000.0,23027394.0,245645000.0,245645000.0,99990000.0,,95052000.0,11721000.0,11721000.0,,,25225000.0,36946000.0,,41055000.0,21662000.0,8015000.0,,,3563000.0,,160261000.0,,,13647000.0,0.0,,34771000.0,41055000.0,25225000.0,20644000.0,209076000.0,,,,382115000.0,0.0,-385000.0,15830000.0,140000000.0,40000000.0,12977000.0,767000.0,678413000.0,291786000.0,249076000.0,481887000.0,386627000.0,232811000.0,286700000.0,196526000.0,
