symbol,frequency,fiscaldateending,report_date,reporttime,reportedcurrency,reported_eps,estimated_eps,earnings_surprise,surprise_pct,accumulateddepreciationamortizationppe,capitalexpenditures,capitalleaseobligations,cashandcashequivalentsatcarryingvalue,cashandshortterminvestments,cashflowfromfinancing,cashflowfrominvestment,changeincashandcashequivalents,changeinexchangerate,changeininventory,changeinreceivables,commonstock,commonstocksharesoutstanding,costofgoodsandservicessold,costofrevenue,currentaccountspayable,currentlongtermdebt,currentnetreceivables,depreciationandamortization,depreciationdepletionandamortization,dividendpayout,dividendpayoutcommonstock,ebit,ebitda,goodwill,grossprofit,incomebeforetax,incometaxexpense,intangibleassets,intangibleassetsexcludinggoodwill,interestexpense,interestincome,inventory,longtermdebt,longterminvestments,netincome,netincomefromcontinuingoperations,netinterestincome,operatingcashflow,operatingexpenses,operatingincome,othercurrentassets,othercurrentliabilities,othernoncurrentliabilities,othernonoperatingincome,proceedsfromrepurchaseofequity,propertyplantequipment,researchanddevelopment,retainedearnings,sellinggeneralandadministrative,shortlongtermdebttotal,shorttermdebt,shortterminvestments,stockbasedcompensation,totalassets,totalcurrentassets,totalcurrentliabilities,totalliabilities,totalnoncurrentassets,totalnoncurrentliabilities,totalrevenue,totalshareholderequity,treasurystock
CX,quarterly,1996-03-31,1996-05-02,pre-market,,0.19,0.13,0.06,46.1538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CX,quarterly,1996-06-30,1996-07-26,pre-market,,0.13,0.14,-0.01,-7.1429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CX,quarterly,1996-09-30,1996-12-11,pre-market,,0.09,0.09,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CX,quarterly,1996-12-31,1997-03-03,pre-market,,0.13,0.08,0.05,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CX,quarterly,1997-03-31,1997-05-13,pre-market,,0.09,0.11,-0.02,-18.1818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CX,quarterly,1997-06-30,1997-08-04,pre-market,,0.09,0.08,0.01,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CX,quarterly,1997-09-30,1997-11-14,pre-market,,0.14,0.07,0.07,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CX,quarterly,1997-12-31,1998-03-11,pre-market,,0.11,0.09,0.02,22.2222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CX,quarterly,1998-06-30,1998-07-21,pre-market,,0.11,0.08,0.03,37.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CX,quarterly,1998-09-30,1998-10-30,pre-market,,0.05,0.08,-0.03,-37.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CX,quarterly,1999-03-31,1999-05-06,pre-market,,0.17,0.1,0.07,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CX,quarterly,1999-06-30,1999-09-29,pre-market,,0.35,0.28,0.07,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CX,quarterly,1999-09-30,1999-10-20,pre-market,,0.35,0.32,0.03,9.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CX,quarterly,1999-12-31,2000-03-14,pre-market,,0.22,0.35,-0.13,-37.1429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CX,quarterly,2000-03-31,2000-05-15,pre-market,,0.33,0.27,0.06,22.2222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CX,quarterly,2000-06-30,2000-06-30,pre-market,,0.2998,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CX,quarterly,2000-09-30,2000-09-30,pre-market,,0.3471,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CX,quarterly,2000-12-31,2001-01-30,pre-market,,0.32,0.25,0.07,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CX,quarterly,2001-03-31,2001-04-24,pre-market,,0.35,0.29,0.06,20.6897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CX,quarterly,2001-06-30,2001-07-17,pre-market,,0.51,0.38,0.13,34.2105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CX,quarterly,2001-09-30,2001-10-25,pre-market,,0.13,0.3,-0.17,-56.6667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CX,quarterly,2001-12-31,2002-01-28,pre-market,,0.45,0.26,0.19,73.0769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CX,quarterly,2002-03-31,2002-04-22,pre-market,,0.34,0.2,0.14,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CX,quarterly,2002-06-30,2002-07-15,pre-market,,0.09,0.26,-0.17,-65.3846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CX,quarterly,2002-09-30,2002-10-28,pre-market,,0.02,0.14,-0.12,-85.7143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CX,quarterly,2002-12-31,2003-01-21,pre-market,,0.19,0.16,0.03,18.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CX,quarterly,2003-03-31,2003-04-11,pre-market,,0.09,0.18,-0.09,-50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CX,quarterly,2003-06-30,2003-07-18,pre-market,,0.35,0.3,0.05,16.6667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CX,quarterly,2003-09-30,2003-10-10,pre-market,,0.15,0.21,-0.06,-28.5714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CX,quarterly,2003-12-31,2004-01-20,pre-market,,0.1,0.2,-0.1,-50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
