symbol,frequency,fiscaldateending,report_date,reporttime,reportedcurrency,reported_eps,estimated_eps,earnings_surprise,surprise_pct,accumulateddepreciationamortizationppe,capitalexpenditures,capitalleaseobligations,cashandcashequivalentsatcarryingvalue,cashandshortterminvestments,cashflowfromfinancing,cashflowfrominvestment,changeincashandcashequivalents,changeinexchangerate,changeininventory,changeinreceivables,commonstock,commonstocksharesoutstanding,costofgoodsandservicessold,costofrevenue,currentaccountspayable,currentlongtermdebt,currentnetreceivables,depreciationandamortization,depreciationdepletionandamortization,dividendpayout,dividendpayoutcommonstock,ebit,ebitda,goodwill,grossprofit,incomebeforetax,incometaxexpense,intangibleassets,intangibleassetsexcludinggoodwill,interestexpense,interestincome,inventory,longtermdebt,longterminvestments,netincome,netincomefromcontinuingoperations,netinterestincome,operatingcashflow,operatingexpenses,operatingincome,othercurrentassets,othercurrentliabilities,othernoncurrentliabilities,othernonoperatingincome,proceedsfromrepurchaseofequity,propertyplantequipment,researchanddevelopment,retainedearnings,sellinggeneralandadministrative,shortlongtermdebttotal,shorttermdebt,shortterminvestments,stockbasedcompensation,totalassets,totalcurrentassets,totalcurrentliabilities,totalliabilities,totalnoncurrentassets,totalnoncurrentliabilities,totalrevenue,totalshareholderequity,treasurystock
FIVE,quarterly,2011-04-30,2011-06-29,,USD,,,,,,4576000.0,,,,-27000.0,-4576000.0,,,-11702000.0,,,50256845.0,32840000.0,32840000.0,,,,1434000.0,1434000.0,,,1661000.0,3095000.0,,14587000.0,1664000.0,665000.0,,,3000.0,,,,,999000.0,,,1581000.0,12926000.0,1661000.0,,,,,,,,,,,,,294000.0,,,,,,,47427000.0,,
FIVE,quarterly,2011-07-31,2011-09-29,,USD,,,,,,4660000.0,,,,-5000.0,-4660000.0,,,-4556000.0,,,33070686.0,41955000.0,41955000.0,,,,1657000.0,1657000.0,,,3688000.0,5345000.0,,20011000.0,3683000.0,1471000.0,,,5000.0,,,,,2212000.0,,,1229000.0,16323000.0,3688000.0,,,,,,,,,,,,,301000.0,,,,,,,61966000.0,,
FIVE,quarterly,2011-10-31,2011-12-30,,USD,,,,,,6161000.0,,,,-108000.0,-6161000.0,,,-14561000.0,,,15884527.0,43522000.0,43522000.0,,,,1910000.0,1910000.0,,,739000.0,2649000.0,,18373000.0,733000.0,293000.0,,,6000.0,,,,,440000.0,,,2341000.0,17634000.0,739000.0,,,,,-108000.0,,,,,,,,244000.0,,,,,,,61895000.0,,
FIVE,quarterly,2012-01-31,2012-03-31,,USD,,,,,,3161000.0,,41293000.0,41293000.0,1143000.0,-3161000.0,,,18783000.0,,162000.0,15884527.0,73935000.0,73935000.0,23588000.0,,,2070000.0,2070000.0,,,20133000.0,22203000.0,,51890000.0,20157000.0,7730000.0,,,24000.0,,38790000.0,,,12427000.0,,,41544000.0,31757000.0,20133000.0,12166000.0,15470000.0,,,,,,-133612000.0,,250000.0,,,358000.0,134527000.0,92249000.0,49942000.0,264286000.0,42278000.0,214344000.0,125825000.0,-129759000.0,
FIVE,quarterly,2012-04-30,2012-06-29,,USD,,,,,,4801000.0,,12027000.0,12027000.0,1709000.0,-4801000.0,,,-12741000.0,,492000.0,53964948.0,48809000.0,48809000.0,22496000.0,,7400000.0,2107000.0,2107000.0,,,-1965000.0,142000.0,,23020000.0,-1928000.0,-771000.0,,,37000.0,,51531000.0,,,-1157000.0,,,-23698000.0,24985000.0,-1965000.0,15617000.0,12671000.0,,,,,,-221950000.0,,100250000.0,,,6330000.0,134490000.0,86575000.0,36186000.0,164402000.0,47915000.0,128216000.0,71829000.0,-29912000.0,
FIVE,quarterly,2012-07-31,2012-09-10,pre-market,USD,0.06,0.01,0.05,500.0,,6802000.0,,17676000.0,17676000.0,6849000.0,-6802000.0,,,-12100000.0,,540000.0,18803979.0,58073000.0,58073000.0,28064000.0,,,2235000.0,2235000.0,,,4735000.0,6970000.0,,28747000.0,2090000.0,843000.0,,,1316000.0,,63631000.0,33750000.0,,1247000.0,-64156000.0,,3126000.0,24012000.0,4735000.0,22732000.0,4794000.0,,-1329000.0,,49039000.0,,-220368000.0,24012000.0,34750000.0,1000000.0,,1911000.0,154194000.0,104039000.0,44435000.0,107428000.0,50155000.0,62993000.0,86820000.0,46766000.0,
FIVE,quarterly,2012-10-31,2012-11-29,pre-market,USD,0.03,0.01,0.02,200.0,,5839000.0,,7245000.0,7245000.0,-1317000.0,-5839000.0,,,-20768000.0,,540000.0,52959169.0,59656000.0,59656000.0,40250000.0,,,2499000.0,2499000.0,,,1841000.0,4340000.0,,26931000.0,1284000.0,555000.0,,,550000.0,,84399000.0,34500000.0,,729000.0,710000.0,,-3275000.0,25090000.0,1841000.0,22201000.0,4924000.0,,-7000.0,-1000000.0,54086000.0,,-219639000.0,25100000.0,34500000.0,,,1916000.0,169014000.0,113845000.0,55125000.0,119614000.0,55169000.0,64489000.0,86587000.0,49400000.0,
FIVE,quarterly,2013-01-31,2013-03-27,pre-market,USD,0.39,0.38,0.01,2.6316,,5448000.0,,56081000.0,56081000.0,74000.0,-5448000.0,,,23568000.0,,540000.0,52976793.0,102451000.0,102451000.0,27952000.0,,1331000.0,2758000.0,2758000.0,99451000.0,99451000.0,33043000.0,35801000.0,,71138000.0,32648000.0,13442000.0,,,731400.0,,60831000.0,19500000.0,,19206000.0,,,54210000.0,38095000.0,33043000.0,12764000.0,16331000.0,29082000.0,,-23000.0,59040000.0,,-200433000.0,1000000.0,34500000.0,15000000.0,,2167000.0,189660000.0,129676000.0,68784000.0,118916000.0,59984000.0,50132000.0,173589000.0,70744000.0,
FIVE,quarterly,2013-04-30,2013-06-12,pre-market,USD,0.05,0.04,0.01,25.0,,8148000.0,,36722000.0,36722000.0,560000.0,-8148000.0,-19359000.0,,-14508000.0,,540000.0,53399778.0,65391000.0,65391000.0,27971000.0,,2062000.0,2933000.0,2933000.0,,,3189000.0,6122000.0,,30213000.0,2678000.0,1108000.0,,,511000.0,,75339000.0,19500000.0,,1570000.0,1539000.0,,-11771000.0,27024000.0,3189000.0,12543000.0,16294000.0,,,600000.0,61611000.0,,-198863000.0,27000000.0,34500000.0,15000000.0,,2359000.0,187092000.0,124604000.0,59823000.0,111941000.0,62488000.0,52118000.0,95604000.0,75151000.0,
FIVE,quarterly,2013-07-31,2013-09-09,pre-market,USD,0.11,0.09,0.02,22.2222,,6992000.0,,21088000.0,21088000.0,-14723000.0,-6992000.0,-15634000.0,,-8131000.0,,540000.0,53804539.0,77687000.0,77687000.0,32174000.0,,2644000.0,3254000.0,3254000.0,,,7186000.0,10440000.0,,39400000.0,6529000.0,2460000.0,,,391000.0,,83470000.0,19500000.0,,4069000.0,4017000.0,,6081000.0,32214000.0,7186000.0,16826000.0,16446000.0,,-266000.0,-3000.0,65555000.0,,-194794000.0,32200000.0,19500000.0,,,2466000.0,187540000.0,121384000.0,50530000.0,105569000.0,66156000.0,55039000.0,117087000.0,81971000.0,
FIVE,quarterly,2013-10-31,2013-12-05,pre-market,USD,0.05,0.04,0.01,25.0,,6618000.0,,5550000.0,5550000.0,2688000.0,-6618000.0,-15538000.0,,-32014000.0,,542000.0,53801797.0,76513000.0,76513000.0,52422000.0,,7735000.0,3672000.0,3672000.0,,,3021000.0,6693000.0,,34234000.0,2700000.0,1023000.0,,,321000.0,,115484000.0,19500000.0,,1677000.0,1656000.0,,-11608000.0,31213000.0,3021000.0,25021000.0,19712000.0,,,-1000.0,69564000.0,,-193117000.0,31200000.0,19500000.0,,,2686000.0,216215000.0,146055000.0,72171000.0,127130000.0,70160000.0,54959000.0,110747000.0,89085000.0,
FIVE,quarterly,2014-01-31,2014-03-25,pre-market,USD,0.47,0.45,0.02,4.4444,,4173000.0,,50184000.0,50184000.0,322000.0,-4173000.0,44634000.0,,26107000.0,,542000.0,53956802.0,127795000.0,127795000.0,34013000.0,,6083000.0,3610000.0,3610000.0,,,40341000.0,43951000.0,,84169000.0,40051000.0,15225000.0,,,290000.0,,89377000.0,,,24826000.0,24930000.0,,48485000.0,43828000.0,40341000.0,21338000.0,16949000.0,35439000.0,,300000.0,70381000.0,,-168291000.0,28228000.0,19500000.0,19500000.0,,2581000.0,232054000.0,160899000.0,79742000.0,115181000.0,71155000.0,35439000.0,211964000.0,116873000.0,
FIVE,quarterly,2014-04-30,2014-06-04,pre-market,USD,0.07,0.06,0.01,16.6667,,10170000.0,,17816000.0,17816000.0,-18085000.0,-10170000.0,-32368000.0,,-9199000.0,,543000.0,54293467.0,87069000.0,87069000.0,35524000.0,,10738000.0,3869000.0,3869000.0,,,5262000.0,9131000.0,,38935000.0,4946000.0,1866000.0,,,72000.0,,98576000.0,,,3080000.0,3080000.0,,-4113000.0,33673000.0,5262000.0,27343000.0,24293000.0,39558000.0,-244000.0,-1000.0,78046000.0,,-165211000.0,33700000.0,,,,1818000.0,222633000.0,143735000.0,59830000.0,99388000.0,78898000.0,39558000.0,126004000.0,123245000.0,
FIVE,quarterly,2014-07-31,2014-09-10,post-market,USD,0.15,0.14,0.01,7.1429,,9530000.0,,25550000.0,25550000.0,532000.0,-9530000.0,7734000.0,,-8173000.0,,543000.0,54669600.0,101574000.0,101574000.0,46529000.0,,7392000.0,4173000.0,4173000.0,,,13335000.0,17508000.0,,50905000.0,13325000.0,5005000.0,,,10000.0,,106749000.0,,,8320000.0,8320000.0,,16732000.0,37570000.0,13335000.0,27305000.0,22643000.0,40442000.0,,500000.0,82902000.0,,-156891000.0,37600000.0,,,,623000.0,244080000.0,159604000.0,70920000.0,111362000.0,84476000.0,40442000.0,152479000.0,132718000.0,
