symbol,frequency,fiscaldateending,report_date,reporttime,reportedcurrency,reported_eps,estimated_eps,earnings_surprise,surprise_pct,accumulateddepreciationamortizationppe,capitalexpenditures,capitalleaseobligations,cashandcashequivalentsatcarryingvalue,cashandshortterminvestments,cashflowfromfinancing,cashflowfrominvestment,changeincashandcashequivalents,changeinexchangerate,changeininventory,changeinreceivables,commonstock,commonstocksharesoutstanding,costofgoodsandservicessold,costofrevenue,currentaccountspayable,currentlongtermdebt,currentnetreceivables,depreciationandamortization,depreciationdepletionandamortization,dividendpayout,dividendpayoutcommonstock,ebit,ebitda,goodwill,grossprofit,incomebeforetax,incometaxexpense,intangibleassets,intangibleassetsexcludinggoodwill,interestexpense,interestincome,inventory,longtermdebt,longterminvestments,netincome,netincomefromcontinuingoperations,netinterestincome,operatingcashflow,operatingexpenses,operatingincome,othercurrentassets,othercurrentliabilities,othernoncurrentliabilities,othernonoperatingincome,proceedsfromrepurchaseofequity,propertyplantequipment,researchanddevelopment,retainedearnings,sellinggeneralandadministrative,shortlongtermdebttotal,shorttermdebt,shortterminvestments,stockbasedcompensation,totalassets,totalcurrentassets,totalcurrentliabilities,totalliabilities,totalnoncurrentassets,totalnoncurrentliabilities,totalrevenue,totalshareholderequity,treasurystock
GPOR,quarterly,2005-09-30,2005-11-11,pre-market,,0.18,0.13,0.05,38.4615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPOR,quarterly,2005-12-31,2006-02-15,pre-market,USD,-0.06,0.01,-0.07,-700.0,,7568000.0,,2119000.0,2119000.0,7252000.0,-8955000.0,,,,,322000.0,31422222.0,1420000.0,1420000.0,8684000.0,,9027000.0,341000.0,341000.0,272000000000.0,272000000000.0,-1783000.0,-1442000.0,,-100000.0,-90000.0,-1693000.0,,,271999607000.0,,482000.0,,,-90000.0,,,-2252000.0,1683000.0,-1783000.0,1103000.0,480000.0,,,14292000.0,,,-35187000.0,1203000.0,10200000.0,358000.0,,,111820000.0,12249000.0,9522000.0,27493000.0,99571000.0,17971000.0,1320000.0,84327000.0,
GPOR,quarterly,2006-03-31,2006-05-15,pre-market,USD,0.01,0.13,-0.12,-92.3077,,9511000.0,,1844000.0,1844000.0,7232000.0,-9935000.0,,,-472000.0,,322000.0,35350000.0,1352000.0,1352000.0,13271000.0,,13459000.0,993000.0,993000.0,,,395000.0,1388000.0,,3098000.0,2828000.0,-2433000.0,,,270000.0,,,,,2828000.0,,,2428000.0,2703000.0,395000.0,326000.0,2239000.0,,,,,,-33118000.0,1002000.0,17427000.0,115000.0,,166000.0,126203000.0,15629000.0,15625000.0,41135000.0,110574000.0,25510000.0,4450000.0,85068000.0,
GPOR,quarterly,2006-06-30,2006-08-04,pre-market,USD,0.21,0.21,0.0,0.0,,13893000.0,,6978000.0,6978000.0,10506000.0,-15298000.0,,,,,330000.0,33614286.0,2255000.0,2255000.0,16489000.0,,13173000.0,2743000.0,2743000.0,,,6779000.0,9522000.0,,12105000.0,7059000.0,-280000.0,,,397000.0,,,,,7059000.0,,,9926000.0,5326000.0,6779000.0,768000.0,2867000.0,,,,,,-26059000.0,513000.0,26535000.0,597000.0,,,147168000.0,20919000.0,19953000.0,45891000.0,126249000.0,25938000.0,14360000.0,101277000.0,
GPOR,quarterly,2006-09-30,2006-11-09,pre-market,USD,0.37,0.34,0.03,8.8235,,19455000.0,,6097000.0,6097000.0,11461000.0,-27922000.0,,,,,331000.0,33829730.0,2954000.0,2954000.0,20062000.0,,14187000.0,4488000.0,4488000.0,,,12744000.0,17232000.0,,21070000.0,12517000.0,227000.0,,,644000.0,,786000.0,,,12517000.0,,,15580000.0,8326000.0,12744000.0,882000.0,480000.0,,,,,,-13542000.0,717000.0,29261000.0,499000.0,96000.0,,175151000.0,21166000.0,21041000.0,57999000.0,153985000.0,36958000.0,24024000.0,117152000.0,
GPOR,quarterly,2006-12-31,2007-03-28,pre-market,,0.16,0.22,-0.06,-27.2727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPOR,quarterly,2007-03-31,2007-05-14,pre-market,USD,0.21,0.21,0.0,0.0,,28204000.0,,6542000.0,6542000.0,13754000.0,-27895000.0,,,1963000.0,,351000.0,34700000.0,3177000.0,3177000.0,24818000.0,,9417000.0,5670000.0,5670000.0,,,7870000.0,13540000.0,,17204000.0,7340000.0,53000.0,,,1311000.0,,,,,7287000.0,,,14056000.0,9334000.0,7870000.0,698000.0,480000.0,,,,,,-851000.0,1081000.0,35835000.0,1010000.0,,196000.0,215724000.0,16657000.0,26308000.0,68855000.0,199067000.0,42547000.0,20381000.0,146869000.0,
GPOR,quarterly,2007-06-30,2007-08-14,pre-market,USD,0.26,0.29,-0.03,-10.3448,,31645000.0,,2137000.0,2137000.0,23542000.0,-38775000.0,,,,,369000.0,36807692.0,3942000.0,3942000.0,34786000.0,,10639000.0,6613000.0,6613000.0,,,10136000.0,16749000.0,,21077000.0,9570000.0,566000.0,,,685000.0,,,,,9570000.0,,,10828000.0,10941000.0,10136000.0,2808000.0,480000.0,,,,,,8719000.0,1154000.0,32452000.0,827000.0,,,258514000.0,19046000.0,36093000.0,75658000.0,239468000.0,39565000.0,25019000.0,182856000.0,
GPOR,quarterly,2007-09-30,2007-11-08,pre-market,USD,0.33,0.34,-0.01,-2.9412,,43293000.0,,1772000.0,1772000.0,25939000.0,-48656000.0,,,,,379000.0,38487879.0,4008000.0,4008000.0,34582000.0,,12995000.0,7845000.0,7845000.0,,,13245000.0,21090000.0,,25967000.0,12705000.0,4000.0,,,654000.0,,,,,12701000.0,,,22352000.0,12722000.0,13245000.0,1765000.0,480000.0,,,,,,21420000.0,1192000.0,37232000.0,807000.0,,,300537000.0,16532000.0,35869000.0,80507000.0,284005000.0,44638000.0,29975000.0,220030000.0,
GPOR,quarterly,2007-12-31,2008-03-12,pre-market,USD,0.21,0.33,-0.12,-36.3636,,117359000.0,,2764000.0,2764000.0,104733000.0,-125407000.0,,,772003589000.0,,424000.0,42614815.0,5543000.0,5543000.0,39848000.0,,12718000.0,9553000.0,9553000.0,,,9213000.0,18766000.0,,25255000.0,8281000.0,64000.0,,,3090998661000.0,,,,,8217000.0,,,21666000.0,16042000.0,9213000.0,1346000.0,480000.0,,,,,,29637000.0,5802000000000.0,66533000.0,808000.0,,845000000000.0,419137000.0,16828000.0,41136000.0,115015000.0,402309000.0,73879000.0,30798000.0,304122000.0,
