symbol,frequency,fiscaldateending,report_date,reporttime,reportedcurrency,reported_eps,estimated_eps,earnings_surprise,surprise_pct,accumulateddepreciationamortizationppe,capitalexpenditures,capitalleaseobligations,cashandcashequivalentsatcarryingvalue,cashandshortterminvestments,cashflowfromfinancing,cashflowfrominvestment,changeincashandcashequivalents,changeinexchangerate,changeininventory,changeinreceivables,commonstock,commonstocksharesoutstanding,costofgoodsandservicessold,costofrevenue,currentaccountspayable,currentlongtermdebt,currentnetreceivables,depreciationandamortization,depreciationdepletionandamortization,dividendpayout,dividendpayoutcommonstock,ebit,ebitda,goodwill,grossprofit,incomebeforetax,incometaxexpense,intangibleassets,intangibleassetsexcludinggoodwill,interestexpense,interestincome,inventory,longtermdebt,longterminvestments,netincome,netincomefromcontinuingoperations,netinterestincome,operatingcashflow,operatingexpenses,operatingincome,othercurrentassets,othercurrentliabilities,othernoncurrentliabilities,othernonoperatingincome,proceedsfromrepurchaseofequity,propertyplantequipment,researchanddevelopment,retainedearnings,sellinggeneralandadministrative,shortlongtermdebttotal,shorttermdebt,shortterminvestments,stockbasedcompensation,totalassets,totalcurrentassets,totalcurrentliabilities,totalliabilities,totalnoncurrentassets,totalnoncurrentliabilities,totalrevenue,totalshareholderequity,treasurystock
IRWD,quarterly,2007-12-31,2008-02-29,,USD,,,,,,2651000.0,,62427000.0,62427000.0,50718000.0,,,,,,7000.0,,66348000.0,66348000.0,5585000.0,,,,,,,0.0,,,0.0,0.0,0.0,,,263000.0,,,1957000.0,,0.0,0.0,,,0.0,0.0,1730000.0,23340000.0,,,,4146000.0,57246000.0,,0.0,,,29509000.0,,135908000.0,,29931000.0,90480000.0,,,10464000.0,38933000.0,
IRWD,quarterly,2008-12-31,2009-03-01,,USD,,,,,,6252000.0,,67722000.0,67722000.0,-902000.0,-3047000.0,,,,,7000.0,69766042.0,75288000.0,75288000.0,3734000.0,,7121000.0,1200000.0,1200000.0,,,-16577000.0,-15377000.0,,4974000.0,-11658000.0,-350000.0,,,81000.0,,2498000.0,1061000.0,,-11227000.0,0.0,,-11729000.0,21774000.0,-16800000.0,11198000.0,18698000.0,,,,24596000.0,16500000.0,-243374000.0,0.0,2121000.0,1060000.0,22045000.0,951000.0,140723000.0,108086000.0,39152000.0,371134000.0,32637000.0,331982000.0,4974000.0,-235750000.0,
IRWD,quarterly,2009-03-31,2009-05-30,,USD,,,,,,1342000.0,,,,2123000.0,-8315000.0,,,,,,69766042.0,20327000.0,20327000.0,,,,1235000.0,1235000.0,,,-18570000.0,-17335000.0,,5231000.0,-18370000.0,-602000.0,,,134000.0,,,,,-17968000.0,0.0,,-19449000.0,23801000.0,-18570000.0,,,,,,,18607000.0,,0.0,,,,1018000.0,,,,,,,5231000.0,,
IRWD,quarterly,2009-06-30,2009-08-29,,USD,,,,,,937000.0,,,,-209000.0,20365000.0,,,,,,69766042.0,21495000.0,21495000.0,,,,1339000.0,1339000.0,,,-18577000.0,-17238000.0,,6610000.0,-18877000.0,-192000.0,,,122000.0,,,,,-18385000.0,0.0,,11604000.0,25187000.0,-18577000.0,,,,,,,19397000.0,,0.0,,,,909000.0,,,,,,,6610000.0,,
IRWD,quarterly,2009-09-30,2009-11-29,,USD,,,,,,958000.0,,96269000.0,96269000.0,24917000.0,-11085000.0,,,,,78000.0,69766042.0,23544000.0,23544000.0,6434000.0,,9919000.0,1304000.0,1304000.0,,,-8575000.0,-7271000.0,,15257000.0,-8331000.0,-153000.0,,,72000.0,,,2072000.0,,-10902000.0,0.0,,-6404000.0,23544000.0,-8287000.0,3149000.0,10241000.0,,,,23403000.0,18603000.0,-290036000.0,0.0,3626000.0,1554000.0,17659000.0,1324000.0,158847000.0,126996000.0,51139000.0,135640000.0,31851000.0,84501000.0,15257000.0,19351000.0,
IRWD,quarterly,2009-12-31,2010-03-30,pre-market,USD,-3.3,-0.2,-3.1,-1550.0,,808000.0,,123145000.0,123145000.0,14832000.0,16793000.0,,,5752000.0,,8000.0,69766042.0,29771000.0,29771000.0,4754000.0,,5219000.0,1372000.0,1372000.0,,,-24613000.0,-23241000.0,,8604000.0,-24717000.0,-143000.0,,,104000.0,,,1876000.0,,-23930000.0,0.0,,10251000.0,32739000.0,-24135000.0,3923000.0,18244000.0,,,,22551000.0,26068000.0,-314559000.0,23980000.0,3329000.0,1079000.0,,1993000.0,162451000.0,131448000.0,56437000.0,460791000.0,31003000.0,404354000.0,8604000.0,-301552000.0,
IRWD,quarterly,2010-03-31,2010-05-11,post-market,USD,-0.25,-0.1,-0.15,-150.0,,1063000.0,,76338000.0,76338000.0,203109000.0,-223489000.0,,,-3744000.0,,98000.0,63957966.0,22054000.0,22054000.0,5116000.0,,4723000.0,1303000.0,1303000.0,,,-14519000.0,-13216000.0,,9052000.0,-15924000.0,-1607000.0,,,93000.0,,-295461000.0,1603000.0,,-15924000.0,0.0,,-26427000.0,25280000.0,-16228000.0,3107000.0,12850000.0,,,,23540000.0,18637000.0,-330483000.0,6643000.0,3112000.0,1460000.0,222230000.0,1608000.0,338130000.0,306398000.0,54984000.0,149328000.0,31732000.0,94344000.0,9052000.0,188802000.0,
IRWD,quarterly,2010-06-30,2010-08-05,post-market,USD,-0.18,-0.16,-0.02,-12.5,,7541000.0,,35384000.0,35384000.0,-314000.0,-21778000.0,,,,,98000.0,97642330.0,25060000.0,25060000.0,5202000.0,,196000.0,1502000.0,1502000.0,,,-17374000.0,-15872000.0,,10959000.0,-17136000.0,0.0,,,79000.0,,,1715000.0,,-17136000.0,0.0,,-18862000.0,28278000.0,-17319000.0,4202000.0,14096000.0,,,,29117000.0,20953000.0,-347619000.0,7325000.0,2978000.0,1263000.0,236221000.0,1690000.0,322084000.0,282159000.0,57201000.0,148534000.0,39925000.0,91333000.0,10959000.0,170740000.0,
IRWD,quarterly,2010-09-30,2010-11-04,post-market,USD,-0.18,-0.17,-0.01,-5.8824,,6486000.0,,58700000.0,58700000.0,-581000.0,46696000.0,,,,,100000.0,97925657.0,23697000.0,23697000.0,5900000.0,,5000000.0,1440000.0,1440000.0,,,-15977000.0,-14537000.0,,9059000.0,-16058000.0,-2944000.0,,,81000.0,,,429000.0,,-8270000.0,0.0,,-21964000.0,25224000.0,-16165000.0,7500000.0,14183000.0,,,,33286000.0,18742000.0,-355900000.0,6482000.0,627000.0,227000.0,192100000.0,1838000.0,304500000.0,263300000.0,55800000.0,136500000.0,41200000.0,80700000.0,9059000.0,168100000.0,
IRWD,quarterly,2010-12-31,2011-03-03,pre-market,USD,-0.12,-0.14,0.02,14.2857,,2130000.0,,44321000.0,44321000.0,742000.0,-14471000.0,,,-3298000.0,,99000.0,99075187.0,27651000.0,27651000.0,4302000.0,,2895000.0,1916000.0,1916000.0,,,-12626000.0,-10710000.0,,16772000.0,-11651000.0,-2944000.0,,,18000.0,,,393000.0,,-11651000.0,0.0,,-646000.0,29567000.0,-12795000.0,8153000.0,19877000.0,,,,34369000.0,21266000.0,-367540000.0,8301000.0,590000.0,197000.0,203706000.0,2360000.0,301365000.0,259075000.0,64426000.0,141814000.0,42290000.0,77388000.0,16772000.0,159551000.0,
