symbol,frequency,fiscaldateending,report_date,reporttime,reportedcurrency,reported_eps,estimated_eps,earnings_surprise,surprise_pct,accumulateddepreciationamortizationppe,capitalexpenditures,capitalleaseobligations,cashandcashequivalentsatcarryingvalue,cashandshortterminvestments,cashflowfromfinancing,cashflowfrominvestment,changeincashandcashequivalents,changeinexchangerate,changeininventory,changeinreceivables,commonstock,commonstocksharesoutstanding,costofgoodsandservicessold,costofrevenue,currentaccountspayable,currentlongtermdebt,currentnetreceivables,depreciationandamortization,depreciationdepletionandamortization,dividendpayout,dividendpayoutcommonstock,ebit,ebitda,goodwill,grossprofit,incomebeforetax,incometaxexpense,intangibleassets,intangibleassetsexcludinggoodwill,interestexpense,interestincome,inventory,longtermdebt,longterminvestments,netincome,netincomefromcontinuingoperations,netinterestincome,operatingcashflow,operatingexpenses,operatingincome,othercurrentassets,othercurrentliabilities,othernoncurrentliabilities,othernonoperatingincome,proceedsfromrepurchaseofequity,propertyplantequipment,researchanddevelopment,retainedearnings,sellinggeneralandadministrative,shortlongtermdebttotal,shorttermdebt,shortterminvestments,stockbasedcompensation,totalassets,totalcurrentassets,totalcurrentliabilities,totalliabilities,totalnoncurrentassets,totalnoncurrentliabilities,totalrevenue,totalshareholderequity,treasurystock
MDB,quarterly,2015-04-30,2015-06-29,,USD,,,,,,,,,,,,,,,,,,4389000.0,4389000.0,,,,,,,,0.0,,,0.0,0.0,72000.0,,,0.0,,,,,0.0,0.0,,,0.0,0.0,,,,,,,11185000.0,,27866000.0,,,,,,,,,,,13026000.0,,
MDB,quarterly,2015-07-31,2015-09-29,,USD,,,,,,,,,,,,,,,,,,5061000.0,5061000.0,,,,,,,,0.0,,,0.0,0.0,142000.0,,,0.0,,,,,0.0,0.0,,,0.0,0.0,,,,,,,10784000.0,,29108000.0,,,,,,,,,,,15921000.0,,
MDB,quarterly,2015-10-31,2015-12-30,,USD,,,,,,,,,,,,,,,,,,5561000.0,5561000.0,,,,,,,,0.0,,,0.0,0.0,128000.0,,,0.0,,,,,0.0,0.0,,,0.0,0.0,,,,,,,10692000.0,,29881000.0,,,,,,,,,,,17145000.0,,
MDB,quarterly,2016-01-31,2016-03-31,,USD,,,,,,468000.0,,33205000.0,33205000.0,3087000.0,-80422000.0,,,,,12000.0,,5850000.0,5850000.0,1514000.0,,22432000.0,,3162000.0,,,-72738000.0,,1700000.0,44410000.0,-73044000.0,100000.0,5094000.0,5094000.0,24000.0,,,,,-73486000.0,-73486000.0,,-46961000.0,138009000.0,-72738000.0,8436000.0,64158000.0,,,3104000.0,6031000.0,10804000.0,-259269000.0,30293000.0,,,79954000.0,,156813000.0,144027000.0,65672000.0,75003000.0,,,19179000.0,81810000.0,-1319000.0
MDB,quarterly,2016-04-30,2016-06-29,,USD,,,,,,136000.0,,,,536000.0,-2172000.0,,,,,,11596586.0,6930000.0,6930000.0,,,,751000.0,751000.0,,,-22020000.0,-21269000.0,,14579000.0,-21465000.0,83000.0,,,0.0,,,,,-21548000.0,0.0,,-10245000.0,36092000.0,-22020000.0,,,,,,,12000000.0,,7303000.0,,,,7752000.0,,,,,,,21509000.0,,
MDB,quarterly,2016-07-31,2016-09-29,,USD,,,,,,501000.0,,,,3732000.0,14374000.0,,,,,,11763244.0,7373000.0,7373000.0,,,,729000.0,729000.0,,,-23389000.0,-22660000.0,,16237000.0,-23711000.0,67000.0,,,4000.0,,,,,-23778000.0,0.0,,-12073000.0,40034000.0,-23389000.0,,,,,,,13240000.0,,6228000.0,,,,4531000.0,,,,,,,23610000.0,,
MDB,quarterly,2016-10-31,2016-12-30,,USD,,,,,,785000.0,,,,2897000.0,19132000.0,,,1319000.0,,,40296208.0,7219000.0,7219000.0,,,,901000.0,901000.0,,,-19429000.0,-18528000.0,,19086000.0,-19432000.0,103000.0,,,3000.0,,,,,-19535000.0,0.0,,-5674000.0,38341000.0,-19255000.0,,,,,,,13300000.0,,6385000.0,,,,4234000.0,,,,,,,26305000.0,,
MDB,quarterly,2017-01-31,2017-04-01,,USD,,,,,,261000.0,,69305000.0,69305000.0,35949000.0,-278000.0,,,2295000.0,,13000.0,40296208.0,8345000.0,8345000.0,2841000.0,,31340000.0,970000.0,970000.0,,,-21352000.0,-20382000.0,1700000.0,21589000.0,-21354000.0,466000.0,2511000.0,2511000.0,2000.0,,7481000.0,,,-21820000.0,-70063000.0,,-10086000.0,42872000.0,-21283000.0,10612000.0,16671000.0,,,8220000.0,4877000.0,13232000.0,-347401000.0,7166000.0,,,47195000.0,4487000.0,174432000.0,158452000.0,97790000.0,460946000.0,15980000.0,363156000.0,29934000.0,-286514000.0,-1319000.0
MDB,quarterly,2017-04-30,2017-06-29,,USD,,,,,,712000.0,,44193000.0,44193000.0,4646000.0,-18102000.0,,,-6634000.0,,28000.0,40296208.0,9199000.0,9199000.0,4076000.0,,26326000.0,897000.0,897000.0,,,-19802000.0,-18905000.0,1700000.0,23191000.0,-19461000.0,229000.0,2289000.0,2289000.0,2000.0,,,,,-19690000.0,-19690000.0,,-11721000.0,42993000.0,-19802000.0,13423000.0,97447000.0,,,-4000.0,5073000.0,13077000.0,-367091000.0,7771000.0,,,64576000.0,4454000.0,164346000.0,148518000.0,101523000.0,101523000.0,15828000.0,,32390000.0,48007000.0,
MDB,quarterly,2017-07-31,2017-10-19,post-market,USD,-0.4,,0.0,,,914000.0,,40769000.0,40769000.0,88000.0,11952000.0,,,4303000.0,,41000.0,48968305.0,10188000.0,10188000.0,2507000.0,,32661000.0,963000.0,963000.0,,,-25821000.0,-24858000.0,1700000.0,25412000.0,-25827000.0,252000.0,2069000.0,2069000.0,8000.0,,8438000.0,,,-26079000.0,32991000.0,,-15148000.0,51574000.0,-26162000.0,14481000.0,20523000.0,,,-70000.0,5100000.0,15749000.0,-393170000.0,8933000.0,,,51682000.0,4917000.0,157916000.0,139593000.0,110246000.0,129684000.0,18323000.0,19438000.0,35600000.0,28232000.0,-1319000.0
