symbol,frequency,fiscaldateending,report_date,reporttime,reportedcurrency,reported_eps,estimated_eps,earnings_surprise,surprise_pct,accumulateddepreciationamortizationppe,capitalexpenditures,capitalleaseobligations,cashandcashequivalentsatcarryingvalue,cashandshortterminvestments,cashflowfromfinancing,cashflowfrominvestment,changeincashandcashequivalents,changeinexchangerate,changeininventory,changeinreceivables,commonstock,commonstocksharesoutstanding,costofgoodsandservicessold,costofrevenue,currentaccountspayable,currentlongtermdebt,currentnetreceivables,depreciationandamortization,depreciationdepletionandamortization,dividendpayout,dividendpayoutcommonstock,ebit,ebitda,goodwill,grossprofit,incomebeforetax,incometaxexpense,intangibleassets,intangibleassetsexcludinggoodwill,interestexpense,interestincome,inventory,longtermdebt,longterminvestments,netincome,netincomefromcontinuingoperations,netinterestincome,operatingcashflow,operatingexpenses,operatingincome,othercurrentassets,othercurrentliabilities,othernoncurrentliabilities,othernonoperatingincome,proceedsfromrepurchaseofequity,propertyplantequipment,researchanddevelopment,retainedearnings,sellinggeneralandadministrative,shortlongtermdebttotal,shorttermdebt,shortterminvestments,stockbasedcompensation,totalassets,totalcurrentassets,totalcurrentliabilities,totalliabilities,totalnoncurrentassets,totalnoncurrentliabilities,totalrevenue,totalshareholderequity,treasurystock
MGY,quarterly,2016-12-31,2017-03-01,,USD,,,,,,,,325000.0,325000.0,,,,,,,1150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87522.0,123245.0,,,,,,-35723.0,,300000.0,300000.0,,,412522.0,412522.0,423245.0,423245.0,,300000.0,,-10723.0,
MGY,quarterly,2017-03-31,2017-05-30,,USD,,,,,,0.0,,325000.0,325000.0,325000.0,,,,,,1150.0,52862637.0,,,,,,63223.0,,,,,,,,-63202.0,-22121.0,,,,,,,,-41081.0,,,21.0,63223.0,-63223.0,87522.0,123245.0,,,,,,-35723.0,63223.0,300000.0,300000.0,,,412522.0,412522.0,423245.0,423245.0,,300000.0,,-10723.0,
MGY,quarterly,2017-06-30,2017-08-10,pre-market,USD,0.01,,0.0,,,0.0,,1776071.0,1776071.0,651513029.0,-650000000.0,,,0.0,,623101134.0,52862637.0,33197000.0,33197000.0,1799645.0,,,206743.0,0.0,0.0,0.0,445977.0,-206743.0,0.0,0.0,445977.0,156092.0,0.0,0.0,652720.0,,0.0,0.0,,289885.0,289885.0,,-61979.0,206743.0,-206743.0,220118.0,1799645.0,22750000.0,,0.0,0.0,0.0,248804.0,108118.0,,,0.0,,652648888.0,1996189.0,1799645.0,24549645.0,650652699.0,22750000.0,191601000.0,628099243.0,0.0
MGY,quarterly,2017-09-30,2017-11-08,pre-market,USD,0.01,,0.0,,,188200000.0,,955993.0,955993.0,-391498.0,394400000.0,,,0.0,,623770337.0,81250000.0,37301000.0,37301000.0,1229470.0,,,327649.0,88800000.0,800000000.0,800000000.0,1029559.0,-327649.0,0.0,49314000.0,1029558.0,360346.0,0.0,0.0,90157208.0,,0.0,0.0,,669213.0,669213.0,,-428580.0,327649.0,-327649.0,182026.0,1229470.0,22750000.0,,-665000000.0,0.0,0.0,918017.0,250286.0,,,0.0,,652747926.0,1138019.0,1229470.0,23979470.0,651609907.0,22750000.0,86615000.0,628768456.0,0.0
MGY,quarterly,2017-12-31,2018-02-14,pre-market,USD,0.01,0.0,0.01,,,59221000.0,,851466.0,851466.0,58315391.0,-58771000.0,,,0.0,,624384511.0,81250000.0,53477000.0,53477000.0,74536000.0,,114204000.0,549696.0,40867000.0,0.0,0.0,54286000.0,95153000.0,0.0,71501000.0,1417974.0,664505.0,0.0,0.0,9529000.0,,-114204000.0,0.0,,753468.0,1002272.0,,64247000.0,549696.0,-549696.0,332000.0,6404177.0,22750000.0,,0.0,0.0,0.0,1532195.0,326671.0,,,0.0,9529000.0,1688974000.0,114536000.0,81300000.0,91136000.0,1574437999.0,9835999.0,124978000.0,1597838000.0,0.0
MGY,quarterly,2018-03-31,2018-05-30,pre-market,USD,0.315,,0.0,,,87591000.0,,571738.0,571738.0,-14710.0,-237730000.0,-279728.0,,0.0,,622842236.0,81250000.0,13764000.0,13764000.0,5962718.0,,,51457000.0,51361000.0,0.0,0.0,85320000.0,136777000.0,0.0,158548000.0,85812000.0,446000.0,0.0,0.0,2073575.0,,0.0,0.0,,85366000.0,-1542286.0,,-265018.0,66036000.0,92512000.0,153917.0,5202754.0,22750000.0,,0.0,0.0,0.0,-10091.0,5708000.0,,,0.0,,656553066.0,725655.0,5962718.0,28712718.0,655827411.0,22750000.0,172312000.0,627840348.0,0.0
MGY,quarterly,2018-06-30,2018-08-01,post-market,USD,0.24,0.25,-0.01,-4.0,,81938000.0,,242065.0,242065.0,173600.0,-82114000.0,-329673.0,,0.0,,619480850.0,81250000.0,16757000.0,16757000.0,10582073.0,1000000.0,,63340000.0,63353000.0,0.0,0.0,86532000.0,149872000.0,0.0,183230000.0,87022000.0,573000.0,0.0,0.0,2608750.0,,0.0,0.0,,86449000.0,-3361424.0,,-503273.0,81898000.0,101332000.0,113333.0,10556415.0,22750000.0,,0.0,0.0,0.0,-3371515.0,5301000.0,1000000.0,1000000.0,0.0,,658810997.0,355398.0,11582073.0,34332073.0,658455599.0,22750000.0,199987000.0,624478924.0,0.0
MGY,quarterly,2018-09-30,2018-11-13,pre-market,USD,0.35,0.34,0.01,2.9412,,33724000.0,,36715000.0,36715000.0,707905000.0,-758515000.0,,,0.0,,25000.0,157072000.0,16369000.0,16369000.0,178072000.0,,167174000.0,68711000.0,68711000.0,0.0,0.0,62214000.0,130925000.0,0.0,161794000.0,28179000.0,3538000.0,41983000.0,41983000.0,4959000.0,,5791000.0,388343000.0,18409000.0,6176000.0,25483000.0,,87302000.0,121946000.0,39848000.0,7824000.0,178072000.0,43437000.0,,355000000.0,3016671000.0,11261000.0,3120000.0,10297000.0,388343000.0,,0.0,-22750000.0,3300097000.0,211713000.0,178072000.0,657088000.0,3088384000.0,479015999.0,178163000.0,1651050000.0,0.0
MGY,quarterly,2018-12-31,2019-02-25,post-market,USD,0.21,0.29,-0.08,-27.5862,,136632600.0,,135758000.0,135758000.0,906887000.0,-1027977000.0,,,,,25000.0,158998000.0,61585200.0,61585200.0,196357000.0,,140284000.0,261936800.0,261936800.0,,,98490000.0,360426800.0,,427676000.0,24354200.0,22935000.0,38356000.0,38356000.0,7494000.0,,-140284000.0,388635000.0,18873000.0,-84163000.0,177295910.0,,410162000.0,387868800.0,39807200.0,16317000.0,1004000.0,84979000.0,,-355000000.0,3073204000.0,11261000.0,35507000.0,47816400.0,388635000.0,,,4442400.0,3433523000.0,292359000.0,197361000.0,725568000.0,3141164000.0,528207000.0,489261200.0,1676769000.0,
MGY,quarterly,2019-03-31,2019-05-06,post-market,USD,0.08,0.14,-0.06,-42.8571,,134435000.0,,76307000.0,76307000.0,7301000.0,-183314000.0,-59451000.0,,-1217000.0,5012000.0,25000.0,158140000.0,150405000.0,150405000.0,181992000.0,1340000.0,107388000.0,119572000.0,119572000.0,,,33904000.0,153476000.0,,68269000.0,26488000.0,3775000.0,34730000.0,34730000.0,7416000.0,7028000.0,12858000.0,388928000.0,19261000.0,13026000.0,22713000.0,-7416000.0,116562000.0,34754000.0,33515000.0,6692000.0,184460000.0,89912000.0,389000.0,7301000.0,3168544000.0,,48533000.0,16196000.0,390268000.0,1340000.0,,2432000.0,3437973000.0,203245000.0,184460000.0,721396000.0,3234728000.0,536936000.0,218674000.0,1685213000.0,
MGY,quarterly,2019-06-30,2019-08-06,post-market,USD,0.12,0.15,-0.03,-20.0,,132874000.0,,96709000.0,96709000.0,-531000.0,-171896000.0,20402000.0,,,-19553000.0,25000.0,159057000.0,162054000.0,162054000.0,197000000.0,,126940000.0,129729000.0,129728000.0,,,43747000.0,173476000.0,,80904000.0,36448000.0,5145000.0,31104000.0,31104000.0,7299000.0,7171000.0,-126940000.0,389225000.0,19390000.0,18506000.0,31303000.0,-7299000.0,192829000.0,37272000.0,43632000.0,6848000.0,1247000.0,2423000.0,115000.0,-226000.0,3235266000.0,,67039000.0,19106000.0,394532000.0,2884000.0,,3115000.0,3531132000.0,230497000.0,201131000.0,746984000.0,3300635000.0,545853000.0,242958000.0,1739580000.0,
MGY,quarterly,2019-09-30,2019-11-04,post-market,USD,0.06,0.08,-0.02,-25.0,,97550000.0,,164489000.0,164489000.0,-12573000.0,-98867000.0,67780000.0,,,7604000.0,26000.0,167108000.0,181134000.0,181134000.0,186627000.0,,120664000.0,147520000.0,147520000.0,,,27782000.0,175302000.0,,63665000.0,20886000.0,3529000.0,27477000.0,27477000.0,6896000.0,6804000.0,2055000.0,389528000.0,19482000.0,10547000.0,17357000.0,-6896000.0,179220000.0,35996000.0,27669000.0,7102000.0,960000.0,2039000.0,113000.0,-9722000.0,3180166000.0,,74823000.0,17345000.0,394291000.0,2724000.0,,2829000.0,3533133000.0,292255000.0,190311000.0,749180000.0,3240877999.0,558868999.0,244799000.0,1769779000.0,-9722000.0
MGY,quarterly,2019-12-31,2020-02-19,post-market,USD,0.05,0.07,-0.02,-28.5714,,70176000.0,,182633000.0,182633000.0,-70693000.0,-70170000.0,18144000.0,,7461000.0,14889000.0,26000.0,171647000.0,173197000.0,173197000.0,79428000.0,,105775000.0,141256000.0,141255000.0,,,22688000.0,163944000.0,,56513000.0,15943000.0,2311000.0,23851000.0,23851000.0,6745000.0,6496000.0,-105775000.0,389835000.0,19730000.0,8117000.0,13632000.0,-6745000.0,159007000.0,33828000.0,22685000.0,4810000.0,84489000.0,1476000.0,,-69648000.0,3120792000.0,,82940000.0,16784000.0,393861000.0,2550000.0,,2713000.0,3466406000.0,293218000.0,175208000.0,737877000.0,3173188000.0,562669000.0,229710000.0,1776051000.0,-10277000.0
MGY,quarterly,2020-03-31,2020-05-11,post-market,USD,-0.11,-0.08,-0.03,-37.5,,94210000.0,,146492000.0,146492000.0,-7219000.0,-163800000.0,-36141000.0,,-17110000.0,28031000.0,26000.0,167149000.0,178480000.0,178480000.0,86154000.0,,77744000.0,146297000.0,146297000.0,,,-1964368000.0,-1818071000.0,,2885000.0,-1971125000.0,-75826000.0,20225000.0,20225000.0,6757000.0,6317000.0,863000.0,390147000.0,20171000.0,-1227010000.0,-1895299000.0,-6757000.0,134878000.0,1967221000.0,-1964336000.0,5009000.0,84546000.0,903000.0,-32000.0,-6483000.0,1209606000.0,,-1144070000.0,18080000.0,390147000.0,,,2879000.0,1490829000.0,229245000.0,170700000.0,661939000.0,1261583999.0,491239000.0,181365000.0,543192000.0,-16760000.0
MGY,quarterly,2020-06-30,2020-08-05,post-market,USD,-0.08,-0.07,-0.01,-14.2857,,59822000.0,,116850000.0,116850000.0,-247000.0,-60359000.0,-29642000.0,,2818000.0,17218000.0,26000.0,166572000.0,79594000.0,79594000.0,64534000.0,,60525000.0,54498000.0,54496000.0,,,-25311000.0,29187000.0,,3245000.0,-32567000.0,-3176000.0,16599000.0,16599000.0,7256000.0,6645000.0,-60525000.0,390464000.0,20782000.0,-18272000.0,-29391000.0,-7256000.0,30964000.0,29180000.0,-25935000.0,5129000.0,55779000.0,1487000.0,624000.0,-206000.0,1181420000.0,,-1162342000.0,15729000.0,390464000.0,,,3065000.0,1413079000.0,182504000.0,120313000.0,610755000.0,1230575000.0,490442000.0,82839000.0,527045000.0,-16760000.0
MGY,quarterly,2020-09-30,2020-11-05,post-market,USD,0.06,0.07,-0.01,-14.2857,,22265000.0,,148533000.0,148533000.0,-6792000.0,-26681000.0,31683000.0,,-1342000.0,-717000.0,26000.0,170676000.0,72930000.0,72930000.0,63475000.0,,61243000.0,48357000.0,48357000.0,,,20689000.0,69046000.0,,48137000.0,13356000.0,-339000.0,12973000.0,12973000.0,7333000.0,8534000.0,-61243000.0,390787000.0,21789000.0,9147000.0,13695000.0,-7333000.0,65156000.0,26196000.0,21941000.0,5086000.0,60987000.0,106849000.0,-1252000.0,-6479000.0,1169949000.0,,-1153195000.0,16663000.0,390787000.0,,21789000.0,2927000.0,1434279000.0,214862000.0,124462000.0,622098000.0,1219417000.0,497635999.0,121067000.0,532634000.0,-23240000.0
MGY,quarterly,2020-12-31,2021-02-22,post-market,USD,0.15,0.1,0.05,50.0,,45914000.0,,192561000.0,192561000.0,-15947000.0,-19147000.0,44028000.0,,9678000.0,-20316000.0,26000.0,169326000.0,74689000.0,74689000.0,62626000.0,,81559000.0,48706000.0,48706000.0,14103000.0,14103000.0,49365000.0,98071000.0,,74546000.0,42012000.0,11494000.0,9346000.0,9346000.0,7353000.0,4526000.0,-81559000.0,391115000.0,0.0,27745000.0,42012000.0,-7353000.0,79122000.0,31881000.0,42665000.0,88965000.0,66323000.0,93934000.0,6701000.0,-15719000.0,1149527000.0,,-1125450000.0,18446000.0,392115000.0,1000000.0,,1158000.0,1453420000.0,281526000.0,128949000.0,613998000.0,1171894000.0,485049000.0,149235000.0,548162000.0,-38958000.0
MGY,quarterly,2021-03-31,2021-05-04,post-market,USD,0.38,0.27,0.11,40.7407,,41910000.0,,178194000.0,178194000.0,-89636000.0,-42884000.0,-14367000.0,,-10174000.0,-25670000.0,25000.0,169636000.0,74692000.0,74692000.0,74125000.0,,107229000.0,45057000.0,45057000.0,14103000.0,14103000.0,99185000.0,144242000.0,,134415000.0,91891000.0,399000.0,7233000.0,7233000.0,7294000.0,7776000.0,-107229000.0,391448000.0,,63244000.0,91492000.0,-7294000.0,118153000.0,34519000.0,99896000.0,3795000.0,45233000.0,94453000.0,-711000.0,-71062000.0,1147802000.0,,-1062206000.0,20364000.0,391448000.0,,,2705000.0,1455848000.0,289218000.0,125935000.0,611836000.0,1166630000.0,485901000.0,209107000.0,609814000.0,-59239000.0
MGY,quarterly,2021-06-30,2021-08-02,post-market,USD,0.56,0.42,0.14,33.3333,,54190000.0,,190282000.0,190282000.0,-126069000.0,-49722000.0,12088000.0,,6412000.0,-12012000.0,24000.0,176129000.0,82823000.0,82823000.0,92134000.0,,119241000.0,50564000.0,50565000.0,14103000.0,14103000.0,127322000.0,177886000.0,,169227000.0,118570000.0,2398000.0,0.0,0.0,8752000.0,9656000.0,-119241000.0,386996000.0,,84445000.0,116172000.0,-8752000.0,187879000.0,40036000.0,129191000.0,3338000.0,75815000.0,100744000.0,-1869000.0,-95797000.0,1171633000.0,,-977761000.0,24757000.0,386996000.0,0.0,,3528000.0,1498345000.0,312861000.0,167949000.0,655689000.0,1185484000.0,487739999.0,252050000.0,623556000.0,-83286000.0
MGY,quarterly,2021-09-30,2021-11-01,post-market,USD,0.67,0.61,0.06,9.8361,,68388000.0,,245023000.0,245023000.0,-96327000.0,-70836000.0,54741000.0,,6003000.0,-10859000.0,24000.0,175683000.0,83126000.0,83126000.0,107460000.0,,130100000.0,47993000.0,47993000.0,14103000.0,14103000.0,171012000.0,219005000.0,,201916000.0,163538000.0,3631000.0,0.0,0.0,7474000.0,8097000.0,-130100000.0,387537000.0,,119364000.0,159907000.0,-7474000.0,221904000.0,30423000.0,171493000.0,1630000.0,83225000.0,102040000.0,-481000.0,-75128000.0,1195875000.0,,-858397000.0,14695000.0,387537000.0,0.0,,2910000.0,1585779000.0,376753000.0,190685000.0,680262000.0,1209026000.0,489576999.0,285042000.0,694636000.0,-112796000.0
MGY,quarterly,2021-12-31,2022-02-16,post-market,USD,0.82,0.78,0.04,5.1282,,73682000.0,,366982000.0,366982000.0,-58583000.0,-80000000.0,121959000.0,,8715000.0,-19669000.0,24000.0,181411000.0,99180000.0,99180000.0,127909000.0,,149769000.0,53420000.0,53420000.0,28000.0,28000.0,202051000.0,255471000.0,,237203000.0,194568000.0,2423000.0,0.0,0.0,7483000.0,7483000.0,615000.0,388087000.0,,150229000.0,192145000.0,-7483000.0,260542000.0,35189000.0,202014000.0,2042000.0,86605000.0,94861000.0,36000.0,-55325000.0,1216087000.0,,-708168000.0,15463000.0,397263999.0,4030999.0,,2593000.0,1746742000.0,518793000.0,218545000.0,701493000.0,1227949000.0,482948000.0,336383000.0,816757000.0,-164599000.0
MGY,quarterly,2022-03-31,2022-05-09,post-market,USD,0.9,0.93,-0.03,-3.2258,,84230000.0,,346396000.0,346396000.0,-188247000.0,-71208000.0,-20586000.0,,,-29883000.0,24000.0,183163000.0,97690000.0,97690000.0,134652000.0,,179652000.0,53106000.0,53106000.0,37174000.0,37174000.0,236077000.0,289183000.0,,280149000.0,226720000.0,18100000.0,,,9357000.0,8957000.0,-179652000.0,388647000.0,,166039000.0,208620000.0,-9357000.0,238869000.0,44279000.0,235870000.0,4203999.0,91847000.0,94865000.0,207000.0,-128219000.0,1248491000.0,,-542129000.0,17070000.0,388647000.0,0.0,,2885000.0,1794614000.0,530251999.0,238734000.0,722246000.0,1264362000.0,483511999.0,377839000.0,897588000.0,
MGY,quarterly,2022-06-30,2022-08-02,post-market,USD,1.3,1.15,0.15,13.0435,,123231000.0,,501891000.0,501891000.0,-107516000.0,-116124000.0,155495000.0,,,-67750000.0,24000.0,188589000.0,106239000.0,106239000.0,186844000.0,,247402000.0,57254000.0,57254000.0,2000.0,2000.0,334797000.0,392051000.0,,378410000.0,327780000.0,27875000.0,,,7017000.0,7017000.0,-247402000.0,389216000.0,,250583000.0,299905000.0,-7017000.0,379135000.0,50151000.0,328259000.0,1187000.0,129043000.0,95990000.0,6538000.0,-102689000.0,1319577000.0,,-291546000.0,18530000.0,389216000.0,0.0,,3517000.0,2086790000.0,750480000.0,333027000.0,818233000.0,1336310000.0,485205999.0,484649000.0,1098278000.0,
