symbol,frequency,fiscaldateending,report_date,reporttime,reportedcurrency,reported_eps,estimated_eps,earnings_surprise,surprise_pct,accumulateddepreciationamortizationppe,capitalexpenditures,capitalleaseobligations,cashandcashequivalentsatcarryingvalue,cashandshortterminvestments,cashflowfromfinancing,cashflowfrominvestment,changeincashandcashequivalents,changeinexchangerate,changeininventory,changeinreceivables,commonstock,commonstocksharesoutstanding,costofgoodsandservicessold,costofrevenue,currentaccountspayable,currentlongtermdebt,currentnetreceivables,depreciationandamortization,depreciationdepletionandamortization,dividendpayout,dividendpayoutcommonstock,ebit,ebitda,goodwill,grossprofit,incomebeforetax,incometaxexpense,intangibleassets,intangibleassetsexcludinggoodwill,interestexpense,interestincome,inventory,longtermdebt,longterminvestments,netincome,netincomefromcontinuingoperations,netinterestincome,operatingcashflow,operatingexpenses,operatingincome,othercurrentassets,othercurrentliabilities,othernoncurrentliabilities,othernonoperatingincome,proceedsfromrepurchaseofequity,propertyplantequipment,researchanddevelopment,retainedearnings,sellinggeneralandadministrative,shortlongtermdebttotal,shorttermdebt,shortterminvestments,stockbasedcompensation,totalassets,totalcurrentassets,totalcurrentliabilities,totalliabilities,totalnoncurrentassets,totalnoncurrentliabilities,totalrevenue,totalshareholderequity,treasurystock
PH,quarterly,1996-03-31,1996-04-17,pre-market,,0.41,0.4,0.01,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PH,quarterly,1996-06-30,1996-08-01,pre-market,,0.39,0.41,-0.02,-4.878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PH,quarterly,1996-09-30,1996-10-16,pre-market,,0.31,0.3,0.01,3.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PH,quarterly,1996-12-31,1997-01-16,pre-market,,0.31,0.3,0.01,3.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PH,quarterly,1997-03-31,1997-04-16,pre-market,,0.47,0.43,0.04,9.3023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PH,quarterly,1997-06-30,1997-07-31,pre-market,,0.55,0.5,0.05,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PH,quarterly,1997-09-30,1997-10-16,pre-market,,0.47,0.4,0.07,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PH,quarterly,1997-12-31,1998-01-20,pre-market,,0.42,0.44,-0.02,-4.5455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PH,quarterly,1998-03-31,1998-04-16,pre-market,,0.53,0.53,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PH,quarterly,1998-06-30,1998-07-30,pre-market,,0.56,0.54,0.02,3.7037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PH,quarterly,1998-09-30,1998-10-15,pre-market,,0.47,0.45,0.02,4.4444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PH,quarterly,1998-12-31,1999-01-19,pre-market,,0.39,0.37,0.02,5.4054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PH,quarterly,1999-03-31,1999-04-16,pre-market,,0.47,0.44,0.03,6.8182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PH,quarterly,1999-06-30,1999-07-29,pre-market,,0.56,0.52,0.04,7.6923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PH,quarterly,1999-09-30,1999-10-18,pre-market,,0.45,0.4,0.05,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PH,quarterly,1999-12-31,2000-01-18,pre-market,,0.45,0.46,-0.01,-2.1739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PH,quarterly,2000-03-31,2000-04-18,pre-market,,0.65,0.59,0.06,10.1695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PH,quarterly,2000-06-30,2000-07-01,pre-market,,0.66,0.66,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PH,quarterly,2000-09-30,2000-10-17,pre-market,,0.56,0.51,0.05,9.8039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PH,quarterly,2000-12-31,2001-01-16,pre-market,,0.45,0.49,-0.04,-8.1633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PH,quarterly,2001-03-31,2001-04-17,pre-market,,0.53,0.48,0.05,10.4167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PH,quarterly,2001-06-30,2001-07-30,pre-market,,0.38,0.36,0.02,5.5556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PH,quarterly,2001-09-30,2001-10-16,pre-market,,0.35,0.34,0.01,2.9412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PH,quarterly,2001-12-31,2002-01-16,pre-market,,0.22,0.22,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PH,quarterly,2002-03-31,2002-04-16,pre-market,,0.31,0.24,0.07,29.1667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PH,quarterly,2002-06-30,2002-07-30,pre-market,,0.23,0.33,-0.1,-30.303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PH,quarterly,2002-09-30,2002-10-15,pre-market,,0.35,0.27,0.08,29.6296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PH,quarterly,2002-12-31,2003-01-16,pre-market,,0.25,0.26,-0.01,-3.8462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PH,quarterly,2003-03-31,2003-04-15,pre-market,,0.31,0.32,-0.01,-3.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PH,quarterly,2003-06-30,2003-07-29,pre-market,,0.29,0.31,-0.02,-6.4516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PH,quarterly,2003-09-30,2003-10-15,pre-market,,0.35,0.27,0.08,29.6296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PH,quarterly,2003-12-31,2004-01-20,pre-market,,0.31,0.3,0.01,3.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PH,quarterly,2004-03-31,2004-04-19,pre-market,,0.6,0.58,0.02,3.4483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PH,quarterly,2004-06-30,2004-07-29,pre-market,,0.68,0.61,0.07,11.4754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PH,quarterly,2004-09-30,2004-10-19,pre-market,,0.79,0.55,0.24,43.6364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PH,quarterly,2004-12-31,2005-01-18,pre-market,,0.63,0.68,-0.05,-7.3529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PH,quarterly,2005-03-31,2005-04-18,pre-market,,0.76,0.73,0.03,4.1096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PH,quarterly,2005-06-30,2005-07-28,pre-market,,0.89,0.79,0.1,12.6582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PH,quarterly,2005-09-30,2005-10-18,pre-market,,0.79,0.82,-0.03,-3.6585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PH,quarterly,2005-12-31,2006-01-18,pre-market,,0.77,0.75,0.02,2.6667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PH,quarterly,2006-03-31,2006-04-18,pre-market,USD,0.95,0.93,0.02,2.1505,,46795000.0,,250740000.0,250740000.0,-219144000.0,-34567000.0,,,34888000.0,,60222000.0,182386644.0,1952191000.0,1952191000.0,619558000.0,,1452783000.0,72591000.0,72591000.0,27432000.0,27432000.0,269177000.0,341768000.0,2000264000.0,545877000.0,255068000.0,77545000.0,442413000.0,442413000.0,21038000.0,,1137108000.0,1054498000.0,,177523000.0,0.0,,189947000.0,276700000.0,269177000.0,160047000.0,735962000.0,,,,1638492000.0,0.0,3750067000.0,276700000.0,1419804000.0,365306000.0,,,7972517000.0,3000678000.0,1720826000.0,4152396000.0,4971839000.0,2431570000.0,2498068000.0,3820121000.0,-9021000.0
PH,quarterly,2006-06-30,2006-08-01,pre-market,USD,1.03,1.01,0.02,1.9802,,45459000.0,,171553000.0,171553000.0,-356988000.0,-62280000.0,,,21737000.0,,60342000.0,178461017.0,2053991000.0,2053991000.0,770665000.0,,1592323000.0,71702000.0,71702000.0,27542000.0,27542000.0,285654000.0,357356000.0,2010458000.0,562741000.0,265326000.0,77445000.0,471095000.0,471095000.0,18667000.0,,1182878000.0,1059461000.0,,193888000.0,0.0,,344605000.0,277087000.0,285654000.0,192224000.0,838401000.0,,,,1693794000.0,166170000.0,3916412000.0,277087000.0,1131500000.0,72039000.0,,,8173432000.0,3138978000.0,1681105000.0,3932229000.0,5034454000.0,2251124000.0,2616732000.0,4241203000.0,-28139000.0
PH,quarterly,2006-09-30,2006-10-18,pre-market,USD,1.15,0.99,0.16,16.1616,,58489000.0,,175854000.0,175854000.0,-17820000.0,-88337000.0,,,-69581000.0,,60342000.0,179986325.0,1947358000.0,1947358000.0,724352000.0,,1569479000.0,74240000.0,74240000.0,31037000.0,31037000.0,312205000.0,386445000.0,2036332000.0,604215000.0,301659000.0,91075000.0,460549000.0,460549000.0,17172000.0,,1250827000.0,1046463000.0,,210584000.0,0.0,,114500000.0,292010000.0,312205000.0,192668000.0,814057000.0,,,-173713000.0,1680837000.0,0.0,4095960000.0,292010000.0,1315540000.0,269077000.0,,19382000.0,8324483000.0,3188828000.0,1807486000.0,4054416000.0,5135655000.0,2246930000.0,2551573000.0,4270067000.0,-206599000.0
PH,quarterly,2006-12-31,2007-01-17,pre-market,USD,1.03,0.93,0.1,10.7527,,56952000.0,,157098000.0,157098000.0,-49806000.0,-165610000.0,,,-38258000.0,,60342000.0,177033945.0,1938007000.0,1938007000.0,700973000.0,,1524240000.0,73958000.0,73958000.0,30155000.0,30155000.0,280290000.0,354248000.0,2170715000.0,573145000.0,264763000.0,71796000.0,469222000.0,469222000.0,22304000.0,,1314400000.0,1066330000.0,,192967000.0,0.0,,193147000.0,292855000.0,280290000.0,180509000.0,778630000.0,,,,1706795000.0,0.0,4258772000.0,292855000.0,1505510000.0,439180000.0,,-25348000.0,8456295000.0,3176247000.0,1918783000.0,4139230000.0,5280048000.0,2220447000.0,2511152000.0,4317065000.0,-386711000.0
PH,quarterly,2007-03-31,2007-04-24,pre-market,USD,1.15,1.09,0.06,5.5046,,59505000.0,,183727000.0,183727000.0,-131016000.0,-76789000.0,,,51889000.0,,60342000.0,176383989.0,2163828000.0,2163828000.0,734801000.0,,1717153000.0,73821000.0,73821000.0,29995000.0,29995000.0,308579000.0,382400000.0,2169631000.0,617141000.0,294926000.0,85617000.0,491383000.0,491383000.0,22403000.0,,1270971000.0,1115987000.0,,209309000.0,0.0,,229232000.0,308562000.0,308579000.0,196461000.0,868504000.0,,,,1709239000.0,0.0,4438085000.0,308562000.0,1409443000.0,293456000.0,,-6082000.0,8708537000.0,3368312000.0,1896761000.0,4188095000.0,5340225000.0,2291334000.0,2780969000.0,4520442000.0,-383620000.0
