symbol,frequency,fiscaldateending,report_date,reporttime,reportedcurrency,reported_eps,estimated_eps,earnings_surprise,surprise_pct,accumulateddepreciationamortizationppe,capitalexpenditures,capitalleaseobligations,cashandcashequivalentsatcarryingvalue,cashandshortterminvestments,cashflowfromfinancing,cashflowfrominvestment,changeincashandcashequivalents,changeinexchangerate,changeininventory,changeinreceivables,commonstock,commonstocksharesoutstanding,costofgoodsandservicessold,costofrevenue,currentaccountspayable,currentlongtermdebt,currentnetreceivables,depreciationandamortization,depreciationdepletionandamortization,dividendpayout,dividendpayoutcommonstock,ebit,ebitda,goodwill,grossprofit,incomebeforetax,incometaxexpense,intangibleassets,intangibleassetsexcludinggoodwill,interestexpense,interestincome,inventory,longtermdebt,longterminvestments,netincome,netincomefromcontinuingoperations,netinterestincome,operatingcashflow,operatingexpenses,operatingincome,othercurrentassets,othercurrentliabilities,othernoncurrentliabilities,othernonoperatingincome,proceedsfromrepurchaseofequity,propertyplantequipment,researchanddevelopment,retainedearnings,sellinggeneralandadministrative,shortlongtermdebttotal,shorttermdebt,shortterminvestments,stockbasedcompensation,totalassets,totalcurrentassets,totalcurrentliabilities,totalliabilities,totalnoncurrentassets,totalnoncurrentliabilities,totalrevenue,totalshareholderequity,treasurystock
PSX,quarterly,2010-12-31,2011-03-01,,USD,,,,,,418000000.0,,,,-2200000000.0,-403000000.0,,,2550000000.0,,,640000000.0,37021000000.0,37021000000.0,9814000000.0,,10213000000.0,220000000.0,220000000.0,1411000000.0,1411000000.0,446000000.0,666000000.0,3633000000.0,4092000000.0,445000000.0,157000000.0,777000000.0,777000000.0,1000000.0,,4113000000.0,388000000.0,,287000000.0,0.0,,2603000000.0,4198000000.0,-106000000.0,378000000.0,1478000000.0,,,,15409000000.0,56000000.0,,1384000000.0,417000000.0,29000000.0,,-205000000.0,44955000000.0,14704000000.0,12503000000.0,18929000000.0,30251000000.0,6426000000.0,41113000000.0,26001000000.0,
PSX,quarterly,2011-03-31,2011-05-30,,USD,,,,,,165000000.0,,,,1633000000.0,-133000000.0,,,-2903000000.0,,,640000000.0,40390000000.0,40390000000.0,,,,219000000.0,219000000.0,,,1099000000.0,1318000000.0,,4393000000.0,1095000000.0,418000000.0,,,4000000.0,,,,,676000000.0,0.0,,-1500000000.0,4027000000.0,366000000.0,,,,,,,0.0,,323000000.0,,,,-311000000.0,,,,,,,44783000000.0,,
PSX,quarterly,2011-06-30,2011-08-29,,USD,,,,,,228000000.0,,,,-3314000000.0,276000000.0,,,1072000000.0,,,640000000.0,47618000000.0,47618000000.0,,,,226000000.0,226000000.0,,,1631000000.0,1857000000.0,,5028000000.0,1628000000.0,588000000.0,,,3000000.0,,,,,1039000000.0,0.0,,3038000000.0,4210000000.0,818000000.0,,,,,,,0.0,,347000000.0,,,,-530000000.0,,,,,,,52646000000.0,,
PSX,quarterly,2011-09-30,2011-11-29,,USD,,,,,,260000000.0,,,,-751000000.0,14000000.0,,,-211000000.0,,,640000000.0,44932000000.0,44932000000.0,12448000000.0,,10889000000.0,222000000.0,222000000.0,,,1554000000.0,1776000000.0,3606000000.0,5475000000.0,1550000000.0,499000000.0,748000000.0,748000000.0,4000000.0,,6148000000.0,,,1049000000.0,0.0,,737000000.0,4273000000.0,1202000000.0,807000000.0,546000000.0,,,,,0.0,,372000000.0,397000000.0,32000000.0,,404000000.0,47923000000.0,17844000000.0,14333000000.0,21551000000.0,30079000000.0,7218000000.0,50407000000.0,26344000000.0,
PSX,quarterly,2011-12-31,2012-02-29,,USD,,,,,,369000000.0,,,,-5066000000.0,2335000000.0,,,2658000000.0,,,640000000.0,43969000000.0,43969000000.0,10792000000.0,,10025000000.0,241000000.0,241000000.0,7471000000.0,7471000000.0,2357000000.0,2598000000.0,3332000000.0,5966000000.0,2351000000.0,339000000.0,732000000.0,732000000.0,6000000.0,,3466000000.0,361000000.0,,2011000000.0,0.0,,2731000000.0,4116000000.0,1850000000.0,457000000.0,-612000000.0,,,,14771000000.0,74000000.0,,367000000.0,391000000.0,30000000.0,,-1659000000.0,43211000000.0,13948000000.0,12384000000.0,19918000000.0,29263000000.0,7534000000.0,49935000000.0,23264000000.0,
PSX,quarterly,2012-03-31,2012-05-16,pre-market,USD,1.04,1.02,0.02,1.9608,,218000000.0,,6050000000.0,6050000000.0,573000000.0,-212000000.0,,,-1518000000.0,-1291000000.0,0.0,640000000.0,41420000000.0,41420000000.0,12814000000.0,,11320000000.0,216000000.0,216000000.0,0.0,0.0,1087000000.0,1303000000.0,3329000000.0,4366000000.0,1069000000.0,431000000.0,730000000.0,730000000.0,13000000.0,,5040000000.0,5971000000.0,10795000000.0,636000000.0,643000000.0,,-361000000.0,3990000000.0,376000000.0,6768000000.0,496000000.0,,752000000.0,0.0,14854000000.0,0.0,0.0,349000000.0,6178000000.0,207000000.0,6050000000.0,-308000000.0,52998000000.0,23128000000.0,14712000000.0,28055000000.0,29870000000.0,13343000000.0,45786000000.0,24912000000.0,0.0
PSX,quarterly,2012-06-30,2012-08-01,pre-market,USD,2.23,1.75,0.48,27.4286,,270000000.0,,3104000000.0,3104000000.0,1703000000.0,-36000000.0,3104000000.0,3000000.0,-528000000.0,1955000000.0,6000000.0,635157000.0,41382000000.0,41382000000.0,10462000000.0,,9213000000.0,224000000.0,224000000.0,0.0,0.0,1983000000.0,2207000000.0,3344000000.0,5630000000.0,1894000000.0,712000000.0,728000000.0,728000000.0,83000000.0,,5496000000.0,7396000000.0,10640000000.0,1181000000.0,1182000000.0,,1434000000.0,4185000000.0,1445000000.0,713000000.0,2228000000.0,,1072000000.0,2000000.0,15169000000.0,0.0,692000000.0,480000000.0,7986000000.0,590000000.0,0.0,-114000000.0,48575000000.0,18526000000.0,14371000000.0,29596000000.0,30049000000.0,15225000000.0,47012000000.0,18948000000.0,0.0
PSX,quarterly,2012-09-30,2012-10-31,pre-market,USD,2.97,2.34,0.63,26.9231,,339000000.0,,4430000000.0,4430000000.0,-196000000.0,-420000000.0,1326000000.0,24000000.0,-207000000.0,-1341000000.0,6000000.0,637913000.0,37073000000.0,37073000000.0,12267000000.0,,10793000000.0,229000000.0,229000000.0,125000000.0,125000000.0,2530000000.0,2759000000.0,3344000000.0,5875000000.0,2449000000.0,848000000.0,726000000.0,726000000.0,74000000.0,,5743000000.0,7393000000.0,10800000000.0,1599000000.0,1601000000.0,,1918000000.0,4078000000.0,1797000000.0,907000000.0,2142000000.0,1847000000.0,977000000.0,-111000000.0,15311000000.0,0.0,2164000000.0,432000000.0,7978000000.0,585000000.0,0.0,-111000000.0,52230000000.0,21873000000.0,16386000000.0,31624000000.0,30357000000.0,15238000000.0,42948000000.0,20573000000.0,-111000000.0
PSX,quarterly,2012-12-31,2013-01-30,pre-market,USD,2.06,1.67,0.39,23.3533,,894000000.0,,3474000000.0,3474000000.0,-1381000000.0,-867000000.0,-956000000.0,-13000000.0,2308000000.0,534000000.0,6000000.0,635634000.0,37812000000.0,37812000000.0,10710000000.0,,10403000000.0,244000000.0,244000000.0,157000000.0,157000000.0,1320000000.0,1564000000.0,3344000000.0,6173000000.0,1219000000.0,509000000.0,724000000.0,724000000.0,83000000.0,,3430000000.0,6961000000.0,10471000000.0,708000000.0,705000000.0,,1305000000.0,4969000000.0,951000000.0,655000000.0,-43000000.0,,690000000.0,-245000000.0,15407000000.0,70000000.0,2713000000.0,461000000.0,6974000000.0,13000000.0,0.0,644000000.0,48073000000.0,17962000000.0,12482000000.0,27267000000.0,30111000000.0,14785000000.0,43985000000.0,20775000000.0,-356000000.0
PSX,quarterly,2013-03-31,2013-05-01,pre-market,USD,2.19,1.88,0.31,16.4894,,387000000.0,,4753000000.0,4753000000.0,-585000000.0,-323000000.0,1279000000.0,-26000000.0,-2442000000.0,285000000.0,6000000.0,631288000.0,35509000000.0,35509000000.0,13138000000.0,,9910000000.0,245000000.0,245000000.0,194000000.0,194000000.0,2148000000.0,2393000000.0,3344000000.0,5754000000.0,2081000000.0,671000000.0,727000000.0,727000000.0,76000000.0,,5811000000.0,6958000000.0,10498000000.0,1407000000.0,1410000000.0,,2213000000.0,4634000000.0,1120000000.0,696000000.0,-220000000.0,,1061000000.0,-382000000.0,15257000000.0,0.0,3923000000.0,332000000.0,6971000000.0,13000000.0,0.0,100000000.0,51151000000.0,21170000000.0,14951000000.0,29773000000.0,29981000000.0,14822000000.0,41263000000.0,21344000000.0,-738000000.0
