symbol,frequency,fiscaldateending,report_date,reporttime,reportedcurrency,reported_eps,estimated_eps,earnings_surprise,surprise_pct,accumulateddepreciationamortizationppe,capitalexpenditures,capitalleaseobligations,cashandcashequivalentsatcarryingvalue,cashandshortterminvestments,cashflowfromfinancing,cashflowfrominvestment,changeincashandcashequivalents,changeinexchangerate,changeininventory,changeinreceivables,commonstock,commonstocksharesoutstanding,costofgoodsandservicessold,costofrevenue,currentaccountspayable,currentlongtermdebt,currentnetreceivables,depreciationandamortization,depreciationdepletionandamortization,dividendpayout,dividendpayoutcommonstock,ebit,ebitda,goodwill,grossprofit,incomebeforetax,incometaxexpense,intangibleassets,intangibleassetsexcludinggoodwill,interestexpense,interestincome,inventory,longtermdebt,longterminvestments,netincome,netincomefromcontinuingoperations,netinterestincome,operatingcashflow,operatingexpenses,operatingincome,othercurrentassets,othercurrentliabilities,othernoncurrentliabilities,othernonoperatingincome,proceedsfromrepurchaseofequity,propertyplantequipment,researchanddevelopment,retainedearnings,sellinggeneralandadministrative,shortlongtermdebttotal,shorttermdebt,shortterminvestments,stockbasedcompensation,totalassets,totalcurrentassets,totalcurrentliabilities,totalliabilities,totalnoncurrentassets,totalnoncurrentliabilities,totalrevenue,totalshareholderequity,treasurystock
RDWR,quarterly,1999-12-31,2000-02-02,pre-market,,0.02,0.0,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDWR,quarterly,2000-03-31,2000-05-01,pre-market,,0.03,0.01,0.02,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDWR,quarterly,2000-06-30,2000-07-31,pre-market,,0.04,0.02,0.02,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDWR,quarterly,2000-09-30,2000-11-01,pre-market,,0.05,0.0,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDWR,quarterly,2000-12-31,2001-02-05,pre-market,,0.06,0.04,0.02,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDWR,quarterly,2001-03-31,2001-04-30,pre-market,,0.06,0.05,0.01,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDWR,quarterly,2001-09-30,2001-10-30,post-market,,-0.09,-0.05,-0.04,-80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDWR,quarterly,2001-12-31,2002-01-30,pre-market,,-0.06,-0.05,-0.01,-20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDWR,quarterly,2002-03-31,2002-04-29,pre-market,,-0.04,-0.05,0.01,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDWR,quarterly,2002-06-30,2002-07-29,pre-market,,-0.02,-0.03,0.01,33.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDWR,quarterly,2002-09-30,2002-10-29,pre-market,,-0.01,-0.02,0.01,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDWR,quarterly,2002-12-31,2003-02-03,pre-market,,0.02,0.02,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDWR,quarterly,2003-03-31,2003-04-29,pre-market,,0.03,0.02,0.01,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDWR,quarterly,2003-06-30,2003-07-28,pre-market,,0.04,0.03,0.01,33.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDWR,quarterly,2003-09-30,2003-11-03,pre-market,USD,0.05,0.04,0.01,25.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1850000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDWR,quarterly,2003-12-31,2004-02-02,pre-market,USD,0.07,0.07,0.0,0.0,,1311000.0,,,,6563000.0,151000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2503000.0,,,8960000.0,,,,,,,,,,,,,,,,,,,,,,,,
RDWR,quarterly,2004-03-31,2004-05-03,pre-market,USD,0.07,0.07,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2766000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDWR,quarterly,2004-06-30,2004-07-26,pre-market,USD,0.08,0.08,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3042000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDWR,quarterly,2004-09-30,2004-10-25,pre-market,USD,0.1,0.1,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3625000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDWR,quarterly,2004-12-31,2005-01-31,pre-market,USD,0.11,0.11,0.0,0.0,,2369000.0,,,,6905000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4347000.0,,,15151000.0,,,,,,,,,,,,,,,,,,,,,,,,
RDWR,quarterly,2005-03-31,2005-04-26,pre-market,USD,0.11,0.11,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4401000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDWR,quarterly,2005-06-30,2005-07-19,pre-market,USD,0.03,0.03,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDWR,quarterly,2005-09-30,2005-10-28,pre-market,USD,0.04,0.03,0.01,33.3333,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1589000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDWR,quarterly,2005-12-31,2006-01-30,pre-market,USD,0.06,0.06,0.0,0.0,,3626000.0,,,,7311000.0,26310000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2354000.0,,,13850000.0,,,,,,,,,,,,,,,,,,,,,,,,
RDWR,quarterly,2006-03-31,2006-04-26,pre-market,USD,0.04,0.02,0.02,100.0,,0.0,,20702000.0,20702000.0,,,,,,,479000.0,40434364.0,3865000.0,3865000.0,5360000.0,,17483000.0,1600000.0,,,,-2852000.0,-1252000.0,6454000.0,16181000.0,348000.0,38000.0,10297000.0,10297000.0,1342000.0,,5757000.0,,,310000.0,0.0,,,17433000.0,-1252000.0,-100000.0,6509000.0,,,,6267000.0,3832000.0,24727000.0,13600000.0,,,87565000.0,,212124000.0,131507000.0,26540000.0,29342000.0,80617000.0,2802000.0,20046000.0,182782000.0,
