symbol,frequency,fiscaldateending,report_date,reporttime,reportedcurrency,reported_eps,estimated_eps,earnings_surprise,surprise_pct,accumulateddepreciationamortizationppe,capitalexpenditures,capitalleaseobligations,cashandcashequivalentsatcarryingvalue,cashandshortterminvestments,cashflowfromfinancing,cashflowfrominvestment,changeincashandcashequivalents,changeinexchangerate,changeininventory,changeinreceivables,commonstock,commonstocksharesoutstanding,costofgoodsandservicessold,costofrevenue,currentaccountspayable,currentlongtermdebt,currentnetreceivables,depreciationandamortization,depreciationdepletionandamortization,dividendpayout,dividendpayoutcommonstock,ebit,ebitda,goodwill,grossprofit,incomebeforetax,incometaxexpense,intangibleassets,intangibleassetsexcludinggoodwill,interestexpense,interestincome,inventory,longtermdebt,longterminvestments,netincome,netincomefromcontinuingoperations,netinterestincome,operatingcashflow,operatingexpenses,operatingincome,othercurrentassets,othercurrentliabilities,othernoncurrentliabilities,othernonoperatingincome,proceedsfromrepurchaseofequity,propertyplantequipment,researchanddevelopment,retainedearnings,sellinggeneralandadministrative,shortlongtermdebttotal,shorttermdebt,shortterminvestments,stockbasedcompensation,totalassets,totalcurrentassets,totalcurrentliabilities,totalliabilities,totalnoncurrentassets,totalnoncurrentliabilities,totalrevenue,totalshareholderequity,treasurystock
ROST,quarterly,1998-04-30,1998-04-30,pre-market,,0.0713,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROST,quarterly,1998-07-31,1998-07-31,pre-market,,0.0838,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROST,quarterly,1998-10-31,1998-10-31,pre-market,,0.0738,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROST,quarterly,1999-01-31,1999-01-31,pre-market,,0.0616,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROST,quarterly,1999-04-30,1999-04-30,pre-market,,0.0457,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROST,quarterly,1999-07-31,1999-07-31,pre-market,,0.0521,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROST,quarterly,1999-10-31,1999-10-31,pre-market,,0.0475,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROST,quarterly,2000-01-31,2000-01-31,pre-market,,0.06,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROST,quarterly,2000-04-30,2000-04-30,pre-market,,0.0593,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROST,quarterly,2000-07-31,2000-07-31,pre-market,,0.0538,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROST,quarterly,2000-10-31,2000-10-31,pre-market,,0.0451,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROST,quarterly,2001-01-31,2001-01-31,pre-market,,0.0679,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROST,quarterly,2001-04-30,2001-04-30,pre-market,,0.0535,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROST,quarterly,2001-07-31,2001-07-31,pre-market,,0.0546,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROST,quarterly,2001-10-31,2001-11-20,pre-market,,0.05,0.05,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROST,quarterly,2002-01-31,2002-03-12,pre-market,,0.0769,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROST,quarterly,2002-04-30,2002-05-22,pre-market,,0.07,0.07,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROST,quarterly,2002-07-31,2002-08-20,pre-market,,0.08,0.08,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROST,quarterly,2002-10-31,2002-11-19,pre-market,,0.07,0.07,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROST,quarterly,2003-01-31,2003-03-19,pre-market,,0.0925,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROST,quarterly,2003-04-30,2003-05-20,pre-market,,0.08,0.08,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROST,quarterly,2003-07-31,2003-08-20,pre-market,,0.09,0.09,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROST,quarterly,2003-10-31,2003-11-18,pre-market,,0.08,0.08,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROST,quarterly,2004-01-31,2004-03-16,pre-market,,0.1197,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROST,quarterly,2004-04-30,2004-05-19,pre-market,,0.08,0.08,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROST,quarterly,2004-07-31,2004-08-18,pre-market,,0.06,0.06,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROST,quarterly,2004-10-31,2004-11-16,pre-market,,0.07,0.06,0.01,16.6667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROST,quarterly,2005-01-31,2005-03-16,pre-market,,0.0872,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROST,quarterly,2005-04-30,2005-05-18,pre-market,,0.09,0.08,0.01,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROST,quarterly,2005-07-31,2005-08-17,pre-market,,0.07,0.07,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROST,quarterly,2005-10-31,2005-11-15,pre-market,,0.06,0.07,-0.01,-14.2857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROST,quarterly,2006-01-31,2006-03-15,pre-market,,0.1227,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROST,quarterly,2006-04-30,2006-05-17,pre-market,USD,0.1,0.1,0.0,0.0,,18024000.0,,145230000.0,145230000.0,-100570000.0,-51432000.0,,,-41904000.0,,1437000.0,576772000.0,988836000.0,988836000.0,546329000.0,,36035000.0,24261000.0,24261000.0,8622000.0,8622000.0,95673000.0,119934000.0,,302840000.0,97557000.0,38340000.0,,,,,979995000.0,,,59217000.0,,,105465000.0,207167000.0,97557000.0,63078000.0,305935000.0,,,-51072000.0,,,374528000.0,,,,43072000.0,6905000.0,1973637000.0,1267410000.0,890487000.0,1112915000.0,706227000.0,222428000.0,1291676000.0,860722000.0,
ROST,quarterly,2006-07-31,2006-08-16,pre-market,USD,0.08,0.08,0.0,0.0,,128099000.0,,59351000.0,59351000.0,-58034000.0,-91476000.0,,,20203000.0,,1421000.0,570792000.0,1024130000.0,1024130000.0,537928000.0,,33904000.0,26654000.0,26654000.0,8556000.0,8556000.0,73287000.0,99941000.0,,283922000.0,74841000.0,29464000.0,,,,,959792000.0,,,45377000.0,,,63631000.0,210635000.0,74841000.0,70581000.0,322663000.0,,,-50147000.0,,,366254000.0,,,,7417000.0,,1936147000.0,1131045000.0,860591000.0,1079098000.0,805102000.0,218507000.0,1308052000.0,857049000.0,
ROST,quarterly,2006-10-31,2006-11-14,pre-market,USD,0.08,0.08,0.0,0.0,,34571000.0,,122069000.0,122069000.0,-48923000.0,-49512000.0,,,-105757000.0,,1406000.0,563548000.0,1073820000.0,1073820000.0,670578000.0,,36823000.0,27765000.0,27765000.0,8188000.0,8188000.0,70639000.0,98404000.0,,288225000.0,72414000.0,28481000.0,,,,,1065549000.0,,,43933000.0,,,161153000.0,217586000.0,72414000.0,71340000.0,376948000.0,,,-49442000.0,,,358091000.0,,,,4857000.0,,2132128000.0,1300638000.0,1047526000.0,1273392000.0,831490000.0,225866000.0,1362045000.0,858736000.0,
ROST,quarterly,2007-01-31,2007-03-21,pre-market,USD,0.165,,0.0,,,43261000.0,,367388000.0,367388000.0,112222000.0,-43521000.0,,,13820000.0,,1402000.0,560700000.0,1230741000.0,1230741000.0,698063000.0,,30105000.0,29455000.0,29455000.0,8268000.0,8268000.0,150051000.0,179506000.0,,377696000.0,153465000.0,60358000.0,,,,,1051729000.0,,,93107000.0,,,176618000.0,227645000.0,150051000.0,60487000.0,351617000.0,,,-53126000.0,,,384920000.0,,150000000.0,,5247000.0,26680000.0,2358591000.0,1514956000.0,1083257000.0,1448761000.0,843635000.0,365504000.0,1608437000.0,909830000.0,
ROST,quarterly,2007-04-30,2007-05-23,pre-market,USD,0.12,0.12,0.0,0.0,,47381000.0,,199123000.0,199123000.0,-51080000.0,-51140000.0,,,-49796000.0,,1387000.0,558304000.0,1071278000.0,1071278000.0,608789000.0,,36940000.0,28522000.0,28522000.0,10309000.0,10309000.0,109060000.0,137582000.0,,339263000.0,110451000.0,43407000.0,,,,,1101525000.0,,,67044000.0,,,-66045000.0,230203000.0,110451000.0,80545000.0,310619000.0,,,-53460000.0,,,384920000.0,,150000000.0,,6821000.0,6370000.0,2290146000.0,1424954000.0,952985000.0,1354137000.0,865192000.0,365504000.0,1410541000.0,909830000.0,
ROST,quarterly,2007-07-31,2007-08-22,pre-market,USD,0.09,0.09,0.0,0.0,,59904000.0,,132808000.0,132808000.0,-56563000.0,-83445000.0,,,31149000.0,,1373000.0,553120000.0,1131286000.0,1131286000.0,598953000.0,,42071000.0,29484000.0,29484000.0,10231000.0,10231000.0,84020000.0,113504000.0,,313346000.0,83955000.0,33092000.0,,,65000.0,,1070376000.0,,,50863000.0,,,73693000.0,229326000.0,83955000.0,101338000.0,331836000.0,,,-50037000.0,,,393671000.0,,150000000.0,,31263000.0,,2268879000.0,1377856000.0,930789000.0,1331831000.0,891023000.0,401042000.0,1444632000.0,937048000.0,
