symbol,frequency,fiscaldateending,report_date,reporttime,reportedcurrency,reported_eps,estimated_eps,earnings_surprise,surprise_pct,accumulateddepreciationamortizationppe,capitalexpenditures,capitalleaseobligations,cashandcashequivalentsatcarryingvalue,cashandshortterminvestments,cashflowfromfinancing,cashflowfrominvestment,changeincashandcashequivalents,changeinexchangerate,changeininventory,changeinreceivables,commonstock,commonstocksharesoutstanding,costofgoodsandservicessold,costofrevenue,currentaccountspayable,currentlongtermdebt,currentnetreceivables,depreciationandamortization,depreciationdepletionandamortization,dividendpayout,dividendpayoutcommonstock,ebit,ebitda,goodwill,grossprofit,incomebeforetax,incometaxexpense,intangibleassets,intangibleassetsexcludinggoodwill,interestexpense,interestincome,inventory,longtermdebt,longterminvestments,netincome,netincomefromcontinuingoperations,netinterestincome,operatingcashflow,operatingexpenses,operatingincome,othercurrentassets,othercurrentliabilities,othernoncurrentliabilities,othernonoperatingincome,proceedsfromrepurchaseofequity,propertyplantequipment,researchanddevelopment,retainedearnings,sellinggeneralandadministrative,shortlongtermdebttotal,shorttermdebt,shortterminvestments,stockbasedcompensation,totalassets,totalcurrentassets,totalcurrentliabilities,totalliabilities,totalnoncurrentassets,totalnoncurrentliabilities,totalrevenue,totalshareholderequity,treasurystock
SAN,quarterly,1996-12-31,1997-01-27,pre-market,,0.02,0.02,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAN,quarterly,2004-06-30,2004-07-28,pre-market,,0.2488,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAN,quarterly,2006-03-31,2006-05-30,,EUR,,,,,,0.0,,12083096460.0,12083096460.0,,,,,,,3125137880.0,6547526000.0,500781000.0,500781000.0,497104188000.0,,,,,,,1965173820.0,1846372000.0,17024948000.0,4810633000.0,1846372000.0,433130000.0,17024948000.0,17024948000.0,0.0,,,231826980000.0,,1492443000.0,0.0,,,2964261000.0,1846372000.0,549196781850.0,,,,,,0.0,1492443090.0,2462655000.0,159305305950.0,,,,814330245550.0,12083096460.0,,769630378740.0,253050367240.0,769630378740.0,5311414000.0,41757056140.0,
SAN,quarterly,2006-06-30,2006-08-29,,EUR,,,,,,0.0,,15625391600.0,15625391600.0,,,,,,,3128834800.0,6537906000.0,6472582000.0,6472582000.0,3486155000.0,,1217646000.0,,,,,0.0,2067389000.0,14018245000.0,5298639000.0,2067389000.0,458717000.0,2211026000.0,2211026000.0,5851253000.0,,,260460300000.0,,1724027000.0,0.0,,,3231250000.0,2067389000.0,2969219000.0,-6345296000.0,,,,,0.0,2548928200.0,1477244000.0,30261576800.0,,114118549000.0,,818677077400.0,15625391600.0,,773672881800.0,273638437800.0,773672881800.0,11771220000.0,42103880000.0,
SAN,quarterly,2006-09-30,2006-11-29,,EUR,,,,,,0.0,,12250414120.0,12250414120.0,,,,,,,3123473440.0,6525911000.0,709164000.0,709164000.0,499334946000.0,,,,,,,0.0,2386731000.0,17995241000.0,5314002000.0,2386731000.0,657159000.0,17995241000.0,17995241000.0,0.0,,,282911219000.0,,1729572000.0,0.0,,,2927271000.0,2386731000.0,548358699120.0,,,,,,0.0,4273895040.0,1488456000.0,31122056120.0,,,,797722036440.0,12250414120.0,,750353821040.0,237112923200.0,750353821040.0,6023166000.0,44913720000.0,
SAN,quarterly,2006-12-31,2007-03-01,,EUR,,,,,,0.0,,13998804000.0,13998804000.0,62375425000.0,3298125000.0,,,,,3127148000.0,6525911412.0,34095638000.0,34095638000.0,3899205000.0,,699746000.0,,,,,2565823240.0,3312482880.0,14512735000.0,7253497560.0,2565823240.0,658621000.0,2444106000.0,2444106000.0,32671988000.0,,350131000.0,309459371000.0,,2653861880.0,0.0,,,-3941014680.0,3312482880.0,1581843000.0,-2792666000.0,,,,13343481000.0,0.0,7595947000.0,5779534240.0,217011550000.0,,46532722000.0,,833872715000.0,61231272000.0,3899205000.0,786800413000.0,181535177000.0,220789072000.0,7253497560.0,44851559000.0,
SAN,quarterly,2007-03-31,2007-04-27,pre-market,EUR,0.38,0.37,0.01,2.7027,,0.0,,14996651040.0,14996651040.0,25010886720.0,-294184080.0,,,,,3125986560.0,6525911000.0,669961000.0,669961000.0,519157282000.0,,,,,668464080.0,668464080.0,2377426560.0,2377427000.0,19222450000.0,5604469000.0,2377427000.0,575643000.0,19222450000.0,19222450000.0,0.0,,,342996291000.0,,1801784000.0,0.0,,-23712135120.0,3227042000.0,2377427000.0,635739282480.0,-61054799280.0,,,,,0.0,-1453703520.0,2640920000.0,316773375120.0,61054799280.0,,,843988674480.0,14996651040.0,61054799280.0,796827897360.0,193252740960.0,255718575840.0,6274430000.0,45106728480.0,
SAN,quarterly,2007-06-30,2007-07-26,pre-market,EUR,0.44,0.37,0.07,18.9189,,0.0,,20384687791.0,20384687791.0,21095010210.0,-669172000.0,,,,,3126914208.0,6543885000.0,8169271000.0,8169271000.0,3899205000.0,,699746000.0,-4541687000.0,,1250121610.0,1250121610.0,7237459000.0,2695772000.0,14512735000.0,-1309052000.0,2695772000.0,655289000.0,2444106000.0,2444106000.0,7342587000.0,,,367258632000.0,,2073727000.0,0.0,,-14994241490.0,-4004824000.0,2695772000.0,1581843000.0,-2792666000.0,,,,,0.0,4458036643.0,2675086000.0,217353305000.0,,46532722000.0,,885537216784.0,20384687791.0,3899205000.0,839280712724.0,250341328705.0,220789072000.0,6860218000.0,43952749548.0,
SAN,quarterly,2007-09-30,2007-10-25,pre-market,EUR,0.46,0.47,-0.01,-2.1277,,0.0,,19344055080.0,19344055080.0,-48170883219.03,-641886546.68,,,,,3127536510.0,6655128000.0,9291964000.0,9291964000.0,582529681000.0,,,,,769992696.62,769992696.62,0.0,2658435000.0,20279138000.0,7632671000.0,2658435000.0,580633000.0,20279138000.0,20279138000.0,8405572000.0,,,384537214000.0,,2114023000.0,0.0,,48342272448.0,4974236000.0,2658435000.0,,,,,,,0.0,8551307000.0,2761929000.0,31927081200.0,,,,886915535100.0,19344055080.0,,838019308350.0,180745401480.0,838019308350.0,16924634000.0,46563363420.0,
SAN,quarterly,2007-12-31,2008-02-07,pre-market,EUR,0.44,0.47,-0.03,-6.383,,0.0,,31210167000.0,31210167000.0,-5683151420.0,,,,,,3127148000.0,6512763589.0,50259916000.0,50259916000.0,4783243000.0,,1845310000.0,,,767877510.0,767877510.0,3337128550.0,3557831550.0,13830708000.0,7711748640.0,3337128550.0,505274760.0,2202334000.0,2202334000.0,45154623000.0,,15363486000.0,393265617000.0,,3052556790.0,0.0,,37242489600.0,-4153917090.0,3557831550.0,1749193000.0,-4452680000.0,,,,13813026000.0,0.0,9060258000.0,6363546090.0,253208312000.0,,55959991000.0,,912914971000.0,89015468000.0,4783243000.0,855356820000.0,185106777000.0,256952544000.0,7711748640.0,55199882000.0,-280000.0
