symbol,frequency,fiscaldateending,report_date,reporttime,reportedcurrency,reported_eps,estimated_eps,earnings_surprise,surprise_pct,accumulateddepreciationamortizationppe,capitalexpenditures,capitalleaseobligations,cashandcashequivalentsatcarryingvalue,cashandshortterminvestments,cashflowfromfinancing,cashflowfrominvestment,changeincashandcashequivalents,changeinexchangerate,changeininventory,changeinreceivables,commonstock,commonstocksharesoutstanding,costofgoodsandservicessold,costofrevenue,currentaccountspayable,currentlongtermdebt,currentnetreceivables,depreciationandamortization,depreciationdepletionandamortization,dividendpayout,dividendpayoutcommonstock,ebit,ebitda,goodwill,grossprofit,incomebeforetax,incometaxexpense,intangibleassets,intangibleassetsexcludinggoodwill,interestexpense,interestincome,inventory,longtermdebt,longterminvestments,netincome,netincomefromcontinuingoperations,netinterestincome,operatingcashflow,operatingexpenses,operatingincome,othercurrentassets,othercurrentliabilities,othernoncurrentliabilities,othernonoperatingincome,proceedsfromrepurchaseofequity,propertyplantequipment,researchanddevelopment,retainedearnings,sellinggeneralandadministrative,shortlongtermdebttotal,shorttermdebt,shortterminvestments,stockbasedcompensation,totalassets,totalcurrentassets,totalcurrentliabilities,totalliabilities,totalnoncurrentassets,totalnoncurrentliabilities,totalrevenue,totalshareholderequity,treasurystock
SHPH,quarterly,2016-09-30,2016-12-09,pre-market,,-0.01,0.0,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHPH,quarterly,2017-03-31,2017-06-26,pre-market,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHPH,quarterly,2017-06-30,2017-08-14,pre-market,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHPH,quarterly,2017-09-30,2017-11-20,pre-market,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHPH,quarterly,2021-03-31,2021-05-30,,USD,,,,,,0.0,,,,73007.0,,,,,,,13283377.0,18915.0,18915.0,,,,18915.0,18915.0,,,-118547.0,-99632.0,,-18915.0,-129324.0,10777.0,,,10777.0,,,,,-129324.0,,,-106622.0,176086.0,-176086.0,,,,,,,105996.0,,70090.0,,,,122517.0,,,,,,,,,
SHPH,quarterly,2021-06-30,2021-08-29,,USD,,,,,,0.0,,,,0.0,,,,,,,13283377.0,,,,,,10367.0,10367.0,,,-336134.0,-325767.0,,,-346801.0,10667.0,,,10667.0,,,,,-346801.0,-346801.0,-10667.0,-41019.0,336251.0,-336251.0,,,,,,,286730.0,,49521.0,,,,122517.0,,,,,,,0.0,,
SHPH,quarterly,2021-09-30,2021-11-29,,USD,,,,,,0.0,,,,120000.0,,,,,,93.0,13283377.0,,,828313.0,,,15176.0,15176.0,,,-206301.0,-191125.0,,,-216961.0,10660.0,,,10660.0,,,,,-216961.0,-216961.0,-10660.0,-17544.0,242116.0,-242116.0,,331059.0,,,,135546.0,186958.0,-5795432.0,55158.0,,,,122517.0,,509615.0,2217331.0,,,,0.0,,
SHPH,quarterly,2021-12-31,2022-03-01,,USD,,,,,,0.0,129376.0,504749.0,504749.0,494925.0,,,,,,93.0,13586393.0,16376.0,16376.0,828313.0,849501.0,0.0,2168.0,16376.0,,,-988539.0,-986371.0,,-16376.0,-459048.0,18684.0,,,18684.0,,,,,-459048.0,-459048.0,-18684.0,-135151.0,988539.0,-988539.0,4866.0,472583.0,,,,135546.0,442124.0,-5795432.0,546415.0,978877.0,916435.0,,542516.0,651641.0,509615.0,2217331.0,2279773.0,142026.0,62442.0,0.0,-1628132.0,
SHPH,quarterly,2022-03-31,2022-05-30,,USD,,,,,,0.0,113449.0,405857.0,405857.0,525715.0,,,,,,93.0,13283377.0,16048.0,16048.0,691196.0,1112134.0,0.0,1450.0,16048.0,,,-525739.0,-524289.0,,-16048.0,-681839.0,43443.0,,,156100.0,,,,,-681839.0,-681839.0,-156100.0,-624607.0,638396.0,-638396.0,20613.0,485232.0,,,,119498.0,295915.0,-6503039.0,342481.0,1225583.0,1181331.0,,166533.0,552448.0,426470.0,2357759.0,2402011.0,125978.0,44252.0,0.0,-1849563.0,
SHPH,quarterly,2022-06-30,2022-07-13,pre-market,USD,-0.05,0.0,-0.05,,,0.0,97120.0,50437.0,50437.0,10120513.0,,,,,,93.0,13283377.0,,,515786.0,1261097.0,,1449.0,1449.0,,,-412048.0,-410599.0,,,-597275.0,243649.0,,,185227.0,,,,,-597275.0,-597275.0,-185227.0,-355420.0,353626.0,-353626.0,13515.0,605550.0,,,,103048.0,83868.0,-7126082.0,269758.0,1358217.0,1332615.0,,166533.0,173480.0,63952.0,2453951.0,2479553.0,109528.0,25602.0,0.0,-2306073.0,
