symbol,frequency,fiscaldateending,report_date,reporttime,reportedcurrency,reported_eps,estimated_eps,earnings_surprise,surprise_pct,accumulateddepreciationamortizationppe,capitalexpenditures,capitalleaseobligations,cashandcashequivalentsatcarryingvalue,cashandshortterminvestments,cashflowfromfinancing,cashflowfrominvestment,changeincashandcashequivalents,changeinexchangerate,changeininventory,changeinreceivables,commonstock,commonstocksharesoutstanding,costofgoodsandservicessold,costofrevenue,currentaccountspayable,currentlongtermdebt,currentnetreceivables,depreciationandamortization,depreciationdepletionandamortization,dividendpayout,dividendpayoutcommonstock,ebit,ebitda,goodwill,grossprofit,incomebeforetax,incometaxexpense,intangibleassets,intangibleassetsexcludinggoodwill,interestexpense,interestincome,inventory,longtermdebt,longterminvestments,netincome,netincomefromcontinuingoperations,netinterestincome,operatingcashflow,operatingexpenses,operatingincome,othercurrentassets,othercurrentliabilities,othernoncurrentliabilities,othernonoperatingincome,proceedsfromrepurchaseofequity,propertyplantequipment,researchanddevelopment,retainedearnings,sellinggeneralandadministrative,shortlongtermdebttotal,shorttermdebt,shortterminvestments,stockbasedcompensation,totalassets,totalcurrentassets,totalcurrentliabilities,totalliabilities,totalnoncurrentassets,totalnoncurrentliabilities,totalrevenue,totalshareholderequity,treasurystock
SPLK,quarterly,2010-01-31,2010-04-01,,USD,,,,,,359000.0,,11805000.0,11805000.0,1453000.0,4719000.0,,,,,17000.0,,2352000.0,2352000.0,837000.0,,,,,,,0.0,,,0.0,0.0,79000.0,,,0.0,,,175000.0,,0.0,0.0,,897000.0,0.0,0.0,920000.0,14367000.0,,,,1762000.0,8479000.0,,39013000.0,,,,,21915000.0,,15377000.0,,,,35000000.0,,
SPLK,quarterly,2010-04-30,2010-06-29,,USD,,,,,,,,,,,,,,,,,,1156000.0,1156000.0,,,,,,,,0.0,,,0.0,0.0,30000.0,,,0.0,,,,,0.0,0.0,,,0.0,0.0,,,,,,,2469000.0,,11762000.0,,,,,,,,,,,12188000.0,,
SPLK,quarterly,2010-07-31,2010-09-29,,USD,,,,,,0.0,,,,,,,,,,,,1519000.0,1519000.0,,,,,,,,0.0,,,0.0,199000.0,30000.0,,,0.0,,,,,169000.0,0.0,,,0.0,176000.0,,,,,,,2902000.0,,13598000.0,,,,,,,,,,,15293000.0,,
SPLK,quarterly,2010-10-31,2010-12-30,,USD,,,,,,800000.0,,,,500000.0,,,,,,,,1662000.0,1662000.0,,,,,700000.0,,,0.0,,,0.0,-199000.0,20000.0,,,0.0,,,,,-169000.0,0.0,,1900000.0,0.0,-176000.0,,,,,700000.0,,3810000.0,,15744000.0,,,,,,,,,,,15983000.0,,
SPLK,quarterly,2011-01-31,2011-04-01,,USD,,,,,,717000.0,,19737000.0,19737000.0,340000.0,,,,2321000.0,,19000.0,20646000.0,2319000.0,2319000.0,1442000.0,,14148000.0,273000.0,273000.0,,,-897000.0,-624000.0,,20462000.0,-1735000.0,45000.0,,,0.0,,,,,-1780000.0,0.0,,6491000.0,21778000.0,-1316000.0,1307000.0,10008000.0,,,,2418000.0,4844000.0,-43026000.0,2688000.0,173000.0,173000.0,,430000.0,38791000.0,35192000.0,31123000.0,75294000.0,3599000.0,44171000.0,22781000.0,-36503000.0,
SPLK,quarterly,2011-04-30,2011-06-29,,USD,,,,,,1085000.0,,,,2373000.0,,,,-1800000.0,,,19185000.0,2004000.0,2004000.0,,,,348000.0,348000.0,,,-1763000.0,-1415000.0,,18635000.0,-2246000.0,10000.0,,,10000.0,,,,,-2246000.0,0.0,,-2899000.0,20398000.0,-1763000.0,,,,,,,4338000.0,,3292000.0,,,,510000.0,,,,,,,20639000.0,,
SPLK,quarterly,2011-07-31,2011-09-29,,USD,,,,,,2825000.0,,,,1669000.0,,,,453000.0,,,19784000.0,2973000.0,2973000.0,,,,497000.0,497000.0,,,-2671000.0,-2174000.0,,22976000.0,-3910000.0,636000.0,,,0.0,,,,,-3910000.0,0.0,,813000.0,26250000.0,-3274000.0,,,,,,,5414000.0,,4446000.0,,,,716000.0,,,,,,,25949000.0,,
SPLK,quarterly,2011-10-31,2011-12-30,,USD,,,,,,2186000.0,,22997000.0,22997000.0,699000.0,,,,3872000.0,,22000.0,21220000.0,3193000.0,3193000.0,1174000.0,,21527000.0,584000.0,584000.0,,,-2605000.0,-2021000.0,,27980000.0,-3510000.0,50000.0,,,0.0,,,,,-3560000.0,0.0,,6701000.0,31024000.0,-3044000.0,3678000.0,15395000.0,,,,,6475000.0,-52742000.0,5370000.0,2556000.0,999000.0,,1041000.0,56451000.0,48202000.0,48772000.0,98711000.0,8249000.0,49939000.0,31173000.0,-42260000.0,
SPLK,quarterly,2012-01-31,2012-03-31,,USD,,,,,,2084000.0,,31599000.0,31599000.0,551000.0,,,,5109000.0,,80000.0,20646000.0,3435000.0,3435000.0,1455000.0,,34495000.0,691000.0,691000.0,,,-62000.0,629000.0,,39764000.0,-1148000.0,128000.0,,,0.0,,,1307000.0,,-1276000.0,0.0,,10007000.0,40369000.0,-605000.0,4261000.0,23853000.0,,,,8919000.0,7334000.0,-54018000.0,6590000.0,2289000.0,982000.0,,1493000.0,82223000.0,70355000.0,69213000.0,80823000.0,11868000.0,11610000.0,43199000.0,1400000.0,
SPLK,quarterly,2012-04-30,2012-05-31,pre-market,USD,-0.04,-0.06,0.02,33.3333,,1877000.0,,266077000.0,266077000.0,224769000.0,-1877000.0,234478000.0,,325000.0,11015000.0,95000.0,28679000.0,4265000.0,4265000.0,2558000.0,,23480000.0,931000.0,931000.0,0.0,0.0,-6189000.0,-5258000.0,0.0,32926000.0,-20293000.0,177000.0,0.0,0.0,17000.0,,0.0,0.0,,-20470000.0,-20470000.0,,11586000.0,39115000.0,-6189000.0,4353000.0,18384000.0,424000.0,-14104000.0,227058000.0,9700000.0,8103000.0,-74488000.0,6846000.0,,,0.0,2672000.0,304454000.0,293910000.0,67618000.0,80508000.0,10544000.0,12890000.0,37191000.0,223946000.0,0.0
