symbol,frequency,fiscaldateending,report_date,reporttime,reportedcurrency,reported_eps,estimated_eps,earnings_surprise,surprise_pct,accumulateddepreciationamortizationppe,capitalexpenditures,capitalleaseobligations,cashandcashequivalentsatcarryingvalue,cashandshortterminvestments,cashflowfromfinancing,cashflowfrominvestment,changeincashandcashequivalents,changeinexchangerate,changeininventory,changeinreceivables,commonstock,commonstocksharesoutstanding,costofgoodsandservicessold,costofrevenue,currentaccountspayable,currentlongtermdebt,currentnetreceivables,depreciationandamortization,depreciationdepletionandamortization,dividendpayout,dividendpayoutcommonstock,ebit,ebitda,goodwill,grossprofit,incomebeforetax,incometaxexpense,intangibleassets,intangibleassetsexcludinggoodwill,interestexpense,interestincome,inventory,longtermdebt,longterminvestments,netincome,netincomefromcontinuingoperations,netinterestincome,operatingcashflow,operatingexpenses,operatingincome,othercurrentassets,othercurrentliabilities,othernoncurrentliabilities,othernonoperatingincome,proceedsfromrepurchaseofequity,propertyplantequipment,researchanddevelopment,retainedearnings,sellinggeneralandadministrative,shortlongtermdebttotal,shorttermdebt,shortterminvestments,stockbasedcompensation,totalassets,totalcurrentassets,totalcurrentliabilities,totalliabilities,totalnoncurrentassets,totalnoncurrentliabilities,totalrevenue,totalshareholderequity,treasurystock
TGLS,quarterly,2011-12-31,2012-02-29,,USD,,,,,,,,3014.0,3014.0,,,,,,,105.0,,,,152063.0,,,,,,,,,,,,,,,,,,,,,,,,,,157000.0,,,,,,,-17327.0,,,,,,159736.0,3014.0,152063.0,152063.0,156722.0,,,7673.0,
TGLS,quarterly,2012-03-31,2012-05-31,pre-market,USD,-0.0367,,0.0,,,0.0,,482022.0,482022.0,43291045.0,0.0,479008.0,,0.0,,158.0,1452990.0,0.0,0.0,43606.0,,,,0.0,0.0,0.0,-53387.0,-53387.0,0.0,0.0,-53387.0,0.0,0.0,0.0,0.0,,0.0,0.0,,-53387.0,-53387.0,,-72037.0,59278.0,-59278.0,4302.0,71250.0,,5891.0,40950945.0,0.0,0.0,-70714.0,59278.0,,,0.0,,43232215.0,486324.0,114856.0,37512346.0,42745891.0,37397490.0,0.0,5719869.0,0.0
TGLS,quarterly,2012-06-30,2012-08-31,pre-market,USD,-0.1009,,0.0,,,0.0,,482022.0,482022.0,43291045.0,-42740000.0,-318211.0,,,,158.0,1452990.0,0.0,0.0,43606.0,,,,,,,200000.0,-59278.0,,0.0,-53387.0,-5891.0,,,300000.0,,,,,-53387.0,-158987.0,,-72037.0,59278.0,-59278.0,4302.0,71250.0,,6566.0,,,0.0,-70714.0,59278.0,,,,,43232215.0,486324.0,114856.0,37512346.0,42745891.0,37397490.0,0.0,5719869.0,
TGLS,quarterly,2012-09-30,2012-11-30,pre-market,USD,-0.0543,,0.0,,,0.0,,163811.0,163811.0,-71250.0,-12457.0,-14091.0,,0.0,,158.0,1575001.0,0.0,0.0,7000.0,,,,0.0,0.0,0.0,1000000.0,-165553.0,0.0,0.0,-158987.0,-6566.0,0.0,0.0,300000.0,,0.0,0.0,,-158987.0,-85464.0,,-234504.0,165553.0,-165553.0,49104.0,,,9570.0,0.0,0.0,0.0,-229701.0,165553.0,,,0.0,,42965372.0,212915.0,7000.0,37404490.0,42752457.0,37397490.0,0.0,5560882.0,0.0
TGLS,quarterly,2012-12-31,2013-02-28,pre-market,USD,-7.1956,,0.0,,,0.0,,149720.0,149720.0,100000.0,12457.0,-100761.0,,0.0,,158.0,1575001.0,0.0,0.0,38840.0,,,,0.0,0.0,0.0,-11100000.0,-95034.0,0.0,0.0,-85465.0,-9569.0,0.0,0.0,1000000.0,,0.0,0.0,,-85465.0,-11081442.0,,-26548.0,95034.0,-95034.0,,,10969000.0,-10963036.0,0.0,0.0,0.0,-315166.0,95034.0,,,0.0,,42911747.0,149720.0,38840.0,37436330.0,42762027.0,37397490.0,0.0,5475417.0,0.0
TGLS,quarterly,2013-03-31,2013-05-31,pre-market,USD,0.1209,,0.0,,,3685000.0,,48959.0,48959.0,10507000.0,-3151000.0,13024.0,,-1852000.0,,37397648.0,1575001.0,27718000.0,27718000.0,56484.0,,,1635000.0,1635000.0,0.0,0.0,-1753406.0,-118406.0,0.0,11913000.0,4132000.0,10963035.0,0.0,0.0,300000.0,,0.0,0.0,,-11081441.0,190456.0,,-100761.0,118406.0,-118406.0,,,10712000.0,266422.0,0.0,0.0,0.0,-11396607.0,118406.0,100000.0,100000.0,9620000.0,,42816950.0,48959.0,56484.0,11025484.0,42767991.0,10969000.0,39631000.0,31791466.0,0.0
TGLS,quarterly,2013-06-30,2013-08-31,pre-market,USD,-0.3407,,0.0,,,6953000.0,,61983.0,61983.0,5036000.0,-7167000.0,-44418.0,,-1917000.0,,37397648.0,1575001.0,30971000.0,30971000.0,45474.0,,46948.0,-257000.0,2360000.0,0.0,0.0,181034.0,-75966.0,0.0,13359000.0,190456.0,-266422.0,0.0,0.0,11000000.0,,0.0,0.0,,190456.0,-536638.0,,-86976.0,75966.0,-75966.0,46948.0,100000.0,11138000.0,-416465.0,0.0,0.0,0.0,-11206151.0,75966.0,100000.0,100000.0,0.0,,42839396.0,61983.0,145474.0,10857474.0,42777413.0,10712000.0,44330000.0,31981922.0,0.0
TGLS,quarterly,2013-09-30,2013-11-30,pre-market,USD,-2.1916,,0.0,,,10260000.0,,17565.0,17565.0,-1852000.0,-11498000.0,-7606.0,2254000.0,562000.0,-20891000.0,37397648.0,1575001.0,31184000.0,31184000.0,121229.0,,46948.0,426000.0,1982000.0,0.0,0.0,-120173.0,-120173.0,0.0,14317000.0,-536638.0,416465.0,0.0,0.0,400000.0,,-46948.0,48097000.0,5722000.0,-536638.0,-3451785.0,,-44418.0,120173.0,-120173.0,46948.0,100000.0,14270000.0,-3129420.0,0.0,87382000.0,0.0,-11742789.0,120173.0,48197000.0,100000.0,1353000.0,,42804513.0,64513.0,221229.0,11359229.0,42740000.0,11138000.0,45501000.0,31445284.0,0.0
TGLS,quarterly,2013-12-31,2014-03-01,,USD,,,,,,20001000.0,,9959.0,9959.0,150000.0,-20629000.0,,,-6143000.0,,37397648.0,1575001.0,127875000.0,127875000.0,240568.0,77897000.0,4108.0,3132000.0,7240000.0,741000.0,741000.0,-322365.0,2809635.0,,55419000.0,-3451785.0,3129420.0,,,3100000.0,,-4108.0,48097000.0,,-3451785.0,24432000.0,,-157606.0,322365.0,-322365.0,4108.0,150000.0,,,1821000.0,87382000.0,1700000.0,-15194574.0,322365.0,100000.0,100000.0,1400000.0,,42754067.0,14067.0,490568.0,14760568.0,42740000.0,14270000.0,183294000.0,27993499.0,
TGLS,quarterly,2014-03-31,2014-04-16,pre-market,USD,-0.1931,,0.0,,,1185000.0,,9959.0,9959.0,7699000.0,-1535000.0,17402000.0,100000.0,1480000.0,11472000.0,37397648.0,1575001.0,33245000.0,33245000.0,240568.0,,4108.0,1952000.0,1952000.0,0.0,0.0,263000.0,2215000.0,0.0,14596000.0,-1710000.0,2971000.0,0.0,0.0,1973000.0,,-4108.0,44595000.0,,-4681000.0,-4681000.0,,11138000.0,6739000.0,7857000.0,4108.0,150000.0,32300000.0,-7594000.0,1000000.0,84937000.0,1700000.0,-15194574.0,322365.0,44695000.0,100000.0,1353000.0,20000.0,42754067.0,14067.0,490568.0,14760568.0,42740000.0,14270000.0,47841000.0,27993499.0,0.0
