time,open,high,low,close,Volume,BUY,SELL,MFI Threshold,RSI Threshold,Adaptive Coeff,ParabolicSAR,Basis,Upper,Lower,candle_position,MA,EMA,CMF,Plot,ATR,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
2018-02-26,19200,19240,19200,19240,20,,,,,,,,,,-1,,,,,,,,,,,
2018-02-27,19200,19240,19200,19240,16,,,,,,19200,,,,-1,,,,,,,,,,,
2018-02-28,19240,19240,19160,19160,1,,,,,,19240,,,,-1,,,,,,,,,,,
2018-03-21,19240,19240,19240,19240,8,,,,,,19160,,,,-1,,,,,,,,,,,
2018-03-22,19200,19200,19200,19200,105,,,,,,19160,,,,-1,,,,,,,,,,,
2018-03-26,19200,19264.4,19180,19200,33,,,,,,19161.6,,,,-1,,,,,,,,,,,
2018-03-27,19200,19368,19180,19200,28,,,,,,19165.712,,,,-1,,,,,,,,,,,
2018-04-02,19200,19200,19200,19200,25,,,,,,19177.84928,,,,-1,,,,,,,,,,,
2018-04-05,19180,19180,19160,19160,9,,,,,,19368,,,,-1,,,,,,,,,,,
2018-04-10,19120,19160,18346.6,19160,10,,,,,,19363.84,,,,-1,,,,,,,,,,,
2018-04-16,19880,19900,19230,19500,6,,,,,,18346.6,,,,-1,,,,,,,,,,,
2018-04-17,19500,19500,19400,19400,3,,,,,,18346.6,,,,-1,,,,,,,,,,,
2018-05-09,19400,19400,19400,19400,29,,,,,,18377.667999999998,,,,-1,,,,,,,,,,,
2018-05-11,19400,19571.6,19220,19220,58,,,,,,18408.114639999996,,,,-1,,,,,185.52857142857152,,,,,,
2018-05-14,19240,19240,19220,19220,2,,,,,,18437.952347199996,,,,-1,,,,,173.70510204081643,48.83720930232558,,,,,
2018-05-15,19300,19400,19240,19400,177,,,,,,18467.193300255996,,,,-1,,,,,174.15473760932952,58.24817518248175,,,,,
2018-05-16,19400,19400,19240,19320,38,,,,,,18495.849434250875,,,,-1,,,,,173.14368492294884,53.53493652595727,,,,,
2018-05-18,19300,19880,19300,19400,17,,,,,,18523.932445565857,,,,-1,,,,,202.20485028559534,57.25938962850445,,,,,
2018-05-30,19880,19880,19300,19500,11,,,,,,18551.45379665454,,,,-1,,,,,229.19021812233854,61.42203995621154,,,,,
2018-05-31,19400,19480,19400,19480,2,,,,,,18578.42472072145,19292,19526.059821413244,19057.940178586756,-1,,,0.16200895316495317,,219.96234539931433,60.16006087282502,,,,,
2018-06-05,19826.4,19826.4,19500,19560,5,,,,,,18604.85622630702,19308,19567.96922894835,19048.03077105165,-1,,,0.12644869517454485,,228.99360644222057,63.39943003701512,,,,,
2018-06-06,19300,19500,19300,19500,31,,,,,,18630.75910178088,19321,19591.843128028017,19050.156871971983,-1,,,0.14836051720193918,,231.2083488392048,59.49237920269009,,,,,
2018-06-13,19570,19600,19420,19420,7,,,,,,18656.143919745264,19334,19597.545062560464,19070.454937439536,-1,,,0.1369529623952974,,227.55060963640446,54.65595265181632,,,,,
2018-06-27,19400,19460,19400,19460,1,,,,,,18681.02104135036,19345,19610.29229163321,19079.70770836679,-1,,,0.14023381790076989,,215.58270894808987,56.55760744575852,,,,,
2018-07-03,19500,23600,19500,19500.2,1,,,,,,18705.400620523353,19360.010000000002,19624.75744115787,19095.262558842132,-1,,,0.1677884114558524,,495.898229737512,58.44384963613948,,,,,
