time,open,high,low,close,Volume,BUY,SELL,MFI Threshold,RSI Threshold,Adaptive Coeff,ParabolicSAR,Basis,Upper,Lower,candle_position,MA,EMA,CMF,Plot,ATR,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
2025-09-10,52,57.2,45.21,45.82,48756255,,,,,,,,,,,,,,,,,,,,,
2025-09-11,45.5,47.22,42.74,42.74,14059850,,,,,,57.2,,,,,,,,,,,,,,,
2025-09-12,43.56,43.85,40.25,42.92,11005337,,,,,,57.2,,,,,,,,,,,,,,,
2025-09-15,43.6,46.1,42.7,45.48,6548624,,,,,,56.522000000000006,,,,,,,,,,,,,,,
2025-09-16,46.39,47.48,44.74,45.42,4587099,,,,,,55.871120000000005,,,,,,,,,,,,,,,
2025-09-17,45,45.59,43.56,45.36,3514967,,,,,,55.24627520000001,,,,,,,,,,,,,,,
2025-09-18,45.58,45.98,43.8,44.99,3252737,,,,,,54.646424192000005,,,,,,,,,,,,,,,
2025-09-19,44.99,45.2799,42.82,43.01,3338842,,,,,,54.07056722432,,,,,,,,,,,,,,,
2025-09-22,43,44.484,42.52,43.83,3107888,,,,,,53.5177445353472,,,,,,,,,,,,,,,
2025-09-23,43.85,44.16,42.1,43.05,2048632,,,,,,52.98703475393331,,,,,,,,,,,,,,,
2025-09-24,42.75,43.73,42.57,42.86,1339872,,,,,,52.477553363775975,,,,,,,,,,,,,,,
2025-09-25,42,42.35,40.41,41.5,3909830,,,,,,51.988451229224935,,,,,,,,,,,,,,,
2025-09-26,41.02,41.02,38.31,39.94,5680535,,,,,,51.51891318005594,,,,,,,,,,,,,,,
2025-09-29,40.16,40.16,38.2133,38.44,4511438,,,,,,50.72637838925258,,,,,,,,,3.2607571428571416,,,,,,
2025-09-30,38,38.185,35.6,36.65,5325707,,,,,,49.72533211811238,,,,,,,,,3.2307030612244882,21.853898096992012,,,,,
2025-10-01,36.79,38.2,36.1,37.23,2817699,,,,,,48.31279890630114,,,,,,,,,3.1499385568513105,24.739642548546968,,,,,
2025-10-02,37.56,41.5,37.5001,40.74,6739283,,,,,,47.04151901567103,,,,,,,,,3.229942945647646,39.3387339173784,,,,,
2025-10-03,42.91,43.74,40.54,40.69,4851240,,,,,,45.89736711410393,,,,,,,,,3.2278041638156716,39.222016132921325,,,,,
