time,open,high,low,close,Volume,BUY,SELL,MFI Threshold,RSI Threshold,Adaptive Coeff,ParabolicSAR,Basis,Upper,Lower,candle_position,MA,EMA,CMF,Plot,ATR,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
2021-03-09,10.35,10.5,10.25,10.25,6667035,,,,,,,,,,-1,,,,,,,,,,,
2021-03-10,10.33,10.33,10.1699,10.28,3536749,,,,,,10.5,,,,-1,,,,,,,,,,,
2021-03-11,10.3,10.4397,10.28,10.37,471911,,,,,,10.5,,,,-1,,,,,,,,,,,
2021-03-12,10.47,10.47,10.34,10.435,166557,,,,,,10.493398,,,,-1,,,,,,,,,,,
2021-03-15,10.4,10.4499,10.31,10.41,178830,,,,,,10.486928039999999,,,,-1,,,,,,,,,,,
2021-03-16,10.46,10.46,10.36,10.44,289437,,,,,,10.480587479199999,,,,-1,,,,,,,,,,,
2021-03-17,10.36,10.44,10.33,10.36,82891,,,,,,10.474373729616,,,,-1,,,,,,,,,,,
2021-03-18,10.34,10.35,10.29,10.32,74511,,,,,,10.46828425502368,,,,-1,,,,,,,,,,,
2021-03-19,10.3,10.32,10.2,10.28,229514,,,,,,10.462316569923205,,,,-1,,,,,,,,,,,
2021-03-22,10.3,10.35,10.25,10.265,206705,,,,,,10.45646823852474,,,,-1,,,,,,,,,,,
2021-03-23,10.25,10.3,10.15,10.1684,266379,,,,,,10.450736873754245,,,,-1,,,,,,,,,,,
2021-03-24,10.13,10.13,9.95,10.05,689344,,,,,,10.438707398804075,,,,-1,,,,,,,,,,,
2021-03-25,9.99,10.16,9.94,10.1,452185,,,,,,10.409384954875831,,,,-1,,,,,,,,,,,
2021-03-26,10.09,10.16,9.82,9.97,570981,,,,,,10.371834158485765,,,,-1,,,,,0.16200714285714315,,,,,,
2021-03-29,9.95,10.35,9.95,10,75514,,,,,,9.82,,,,-1,,,,,0.17900663265306152,35.11904761904755,,,,,
2021-03-30,10.0999,10.0999,10,10.09,65098,,,,,,9.82,,,,-1,,,,,0.17335615889212855,41.83087027914609,,,,,
