date,open,high,low,close,volume,ad_14_chaikin a/d,adx_14_adx,adxr_14_adxr,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,ema_14_ema,ema_200_ema,ema_20_ema,ema_50_ema,ema_7_ema,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,mfi_14_mfi,mom_10_mom,roc_10_roc,rsi_14_rsi,sar_14_sar,sma_14_sma,sma_200_sma,sma_20_sma,sma_50_sma,sma_7_sma,stoch_14_slowd,stoch_14_slowk,stochrsi_14_fastd,stochrsi_14_fastk
1999-11-01,37.88,38.13,37.81,11.47,146000,-82125.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-11-02,37.94,38.5,37.88,11.52,178600,-157021.7742,,,,,,,,,,,,,,,,,,,11.4484,,,,,,,,,
1999-11-03,38.19,38.19,37.44,11.43,192500,-190388.4409,,,,,,,,,,,,,,,,,,,11.6573,,,,,,,,,
1999-11-04,37.88,38.0,37.25,11.32,102200,-257159.1075,,,,,,,,,,,,,,,,,,,11.6573,,,,,,,,,
1999-11-05,37.81,38.0,37.5,11.35,148400,-405559.1075,,,,,,,,,,,,,,,,,,,11.6497,,,,,,,,,
1999-11-08,37.69,37.69,37.19,11.3,87800,-451215.1075,,,,,,,,,,,,,,,,,,,11.6423,,,,,,,,,
1999-11-09,37.31,37.31,36.94,11.22,206300,-523698.8913,,,,,,,,,,,11.3735,,,,,,,,11.6308,,,,,11.3735,,,,
1999-11-10,37.06,37.06,36.63,11.15,156100,-549110.5192,,,,,,,,,,,11.3165,,,,,,,,11.613,,,,,11.3272,,,,
1999-11-11,36.75,36.88,36.44,11.13,204500,-465451.4283,,,,,,,,,,,11.2693,,,,,,,,11.5869,,,,,11.2706,12.5855,14.2035,,
1999-11-12,36.88,37.25,36.75,11.15,243300,-650359.4283,,,,,,,,,,,11.2383,,,,,,,,11.5537,,,,,11.2299,15.2356,20.8702,,
1999-11-15,36.5,36.75,36.25,11.03,114200,-677767.4283,,,,,,,,,,,11.1871,,,,,-0.436,-3.8015,,11.5225,,,,,11.1893,19.1797,22.4654,,
1999-11-16,36.44,36.75,36.31,11.09,158100,-605903.7919,,,,,,,,,,,11.1631,,,,,-0.433,-3.7572,,11.4842,,,,,11.1516,23.9479,28.5082,,
1999-11-17,36.69,36.81,36.19,11.02,193000,-680613.4694,,,,,,,,,,,11.1262,,,,,-0.4148,-3.6291,,11.4487,,,,,11.1114,25.1967,24.6164,,
1999-11-18,36.13,36.69,36.13,11.05,375100,-560045.6122,,,,,,,11.2303,,,,11.1076,,,,,-0.2665,-2.3542,,11.4094,11.2303,,,,11.0872,27.5926,29.6534,,
1999-11-19,36.44,36.5,35.75,10.84,333600,-840269.6122,,,0.1711,,,,11.1787,,,,11.0414,,,,27.3449,-0.5117,-4.5067,19.6481,11.3671,11.1856,,,,11.0439,24.3811,18.8735,,
1999-11-22,35.81,35.81,35.06,10.66,294100,-1032414.9456,,,0.1751,,,,11.1089,,,,10.9448,,,,19.7747,-0.6419,-5.6821,16.4309,11.3129,11.1235,,,,10.9764,21.3006,15.3749,,
