date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,adx_14_adx,adxr_14_adxr,apo_14_apo,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,bop_14_bop,cci_20_cci,cmo_14_cmo,dema_14_dema,dx_14_dx,ema_12_ema,ema_14_ema,ema_26_ema,ht_dcperiod_14_dcperiod,ht_dcphase_14_ht_dcphase,ht_phasor_14_phase,ht_phasor_14_quadrature,ht_sine_14_lead sine,ht_sine_14_sine,ht_trendline_14_ht_trendline,ht_trendmode_14_trendmode,kama_14_kama,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,macdext_14_macd,macdext_14_macd_hist,macdext_14_macd_signal,mama_14_fama,mama_14_mama,mfi_14_mfi,midpoint_14_midpoint,midprice_14_midprice,minus_di_14_minus_di,mom_10_mom,natr_14_natr,obv_14_obv,plus_di_14_plus_di,ppo_14_ppo,roc_10_roc,rocr_14_rocr,rsi_14_rsi,sar_14_sar,sma_200_sma,sma_20_sma,sma_50_sma,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,stochrsi_14_fastd,stochrsi_14_fastk,t3_14_t3,tema_14_tema,trange_14_trange,trima_14_trima,trix_14_trix,ultosc_14_ultosc,willr_14_willr,wma_14_wma
2000-01-03,32.0,32.0,31.12,10.22,396900,-208898.355,-76054.2826,24.8134,33.8916,0.1059,100.0,85.7143,-14.2857,0.1679,10.1098,10.375,10.6401,-0.6364,-73.5474,-19.6765,10.4161,26.2815,10.4191,10.4184,10.4774,24.5032,,0.2278,-0.2957,,,,0,10.416,-0.0614,0.0379,-0.0993,0.1059,0.0699,0.036,0.2348,2.8526,56.1926,10.4018,10.3904,30.8371,-0.0618,1.6431,-2239700.0,18.0015,1.0251,-0.6007,0.9953,40.1618,10.0831,,10.375,,37.9585,34.7067,34.7067,18.9349,36.4474,0.0,,10.4466,0.3283,10.4546,-0.0482,39.2853,-81.0651,10.4421
2000-01-04,31.38,31.94,31.38,10.34,325500,-34523.355,-31296.374,24.9183,33.4145,0.1119,92.8571,78.5714,-14.2857,0.1689,10.1216,10.38,10.6383,0.7679,-42.7569,-8.9652,10.3969,26.2815,10.4069,10.4079,10.4673,23.918,,0.1091,-0.4879,,,,0,10.415,-0.0629,0.0291,-0.092,0.1119,0.055,0.0569,0.2482,2.9275,64.6731,10.4018,10.3904,28.4443,0.0813,1.6338,-1914200.0,16.6047,1.0833,0.7921,1.0098,45.5174,10.1064,,10.38,,29.4576,25.2709,25.2709,40.8284,19.543,36.2885,,10.4157,0.182,10.4695,-0.0439,41.168,-59.1716,10.4333
2000-01-05,31.94,33.13,31.88,10.73,392200,276099.045,88693.2044,23.8114,32.3695,0.1216,85.7143,100.0,14.2857,0.1875,10.1051,10.4013,10.6975,0.848,119.9632,16.8206,10.4777,9.4222,10.4562,10.4504,10.4865,23.0751,,-0.0666,-0.3638,,,,0,10.433,-0.0325,0.0476,-0.0801,0.1216,0.0465,0.0751,0.262,3.0055,63.9041,10.4733,10.4424,23.7635,0.2015,1.7481,-1522000.0,28.7074,1.1744,1.9148,1.0476,58.4103,10.1157,,10.4013,,37.0254,51.0986,51.0986,93.5323,45.4295,100.0,,10.5273,0.4291,10.4808,-0.0327,51.5225,-6.4677,10.4751
2000-01-06,32.75,33.69,32.75,10.79,433000,248460.7471,120922.8277,23.5944,31.8045,0.1431,78.5714,100.0,21.4286,0.1959,10.089,10.4257,10.7623,0.4681,178.9965,20.0728,10.5583,20.774,10.5073,10.4955,10.5089,22.4196,,-0.0916,-0.0815,,,,0,10.4554,-0.0034,0.0613,-0.0648,0.1431,0.0518,0.0914,0.2761,3.0833,71.0266,10.5042,10.5334,21.1006,0.286,1.8162,-1089000.0,32.1663,1.3792,2.7236,1.0516,60.0364,10.1484,,10.4257,,49.3349,71.6352,71.6352,80.5447,78.7628,100.0,,10.6319,0.3056,10.4899,-0.0161,51.9575,-19.4553,10.5205
2000-01-07,33.38,33.75,33.06,10.93,250500,411830.3123,175095.9145,23.4737,31.4498,0.1496,71.4286,100.0,28.5714,0.198,10.0517,10.4531,10.8546,0.3623,185.2441,27.174,10.6584,21.9033,10.5726,10.5537,10.5402,21.9305,,-0.0697,-0.1298,,,,0,10.4922,0.0308,0.0765,-0.0456,0.1496,0.045,0.1046,0.2906,3.1618,69.3814,10.5757,10.5432,19.3836,0.3478,1.811,-838500.0,30.2564,1.4379,3.2862,1.0632,63.587,10.1966,,10.4531,,70.8573,89.8381,89.8381,95.4373,100.0,100.0,,10.7587,0.2243,10.503,0.0067,58.4822,-4.5627,10.5799
2000-01-10,33.63,33.81,33.44,10.89,307700,203924.9069,115188.1015,23.4458,30.1595,0.153,64.2857,100.0,35.7143,0.1924,10.0429,10.4816,10.9203,-0.3514,171.3955,23.6777,10.728,23.0841,10.6213,10.5984,10.566,21.3545,,-0.2094,0.0,,,,0,10.521,0.0539,0.0797,-0.0257,0.153,0.0372,0.1157,0.3053,3.2391,77.8634,10.5757,10.5529,18.5136,0.3056,1.767,-1146200.0,29.6262,1.466,2.887,1.0615,61.8389,10.2507,,10.4816,,83.0716,87.7416,87.7416,87.2428,96.7752,90.3255,,10.8364,0.1203,10.5194,0.0312,55.4843,-11.5242,10.6275
2000-01-11,33.5,33.69,33.5,10.93,223000,286082.8017,106349.8626,23.42,28.9614,0.1515,57.1429,92.8571,35.7143,0.1831,10.0462,10.5147,10.9832,0.6842,150.373,25.8724,10.7937,23.0841,10.669,10.6428,10.5931,20.6816,,-0.1492,0.5719,,,,0,10.54,0.0748,0.0804,-0.0056,0.1515,0.0264,0.125,0.3204,3.316,75.8053,10.5757,10.5529,18.0652,0.3673,1.6748,-923200.0,28.9087,1.4472,3.4769,1.0386,62.9362,10.3099,,10.5147,10.5852,89.5659,91.1179,91.1179,90.6736,92.5847,87.4284,,10.906,0.0618,10.5388,0.0567,58.093,-6.6914,10.6747
2000-01-12,33.56,33.94,33.5,11.01,252500,469719.1653,151495.8021,23.7701,28.3161,0.1575,50.0,100.0,50.0,0.1802,10.0554,10.5534,11.0514,0.7273,148.7036,30.0388,10.8656,28.321,10.7219,10.6922,10.6242,19.936,,0.1799,0.7306,,,,0,10.5687,0.0968,0.0819,0.0149,0.1575,0.0247,0.1328,0.3357,3.393,75.8131,10.6163,10.574,17.0362,0.6111,1.6365,-670700.0,30.4985,1.5003,5.875,1.0486,65.0194,10.3643,,10.5534,10.5834,89.9392,90.9581,90.9581,94.958,92.5847,100.0,,10.9826,0.143,10.5737,0.0831,63.9081,-2.1277,10.7289
2000-01-13,33.88,34.0,33.63,10.99,222400,463708.3545,154279.7192,24.1837,27.8989,0.1664,42.8571,100.0,57.1429,0.1759,10.0803,10.5909,11.1016,-0.1892,134.0161,27.8716,10.9167,29.5606,10.7632,10.7319,10.6513,19.2722,,0.4104,0.3993,,,,0,10.5882,0.1111,0.077,0.0341,0.1664,0.0264,0.1401,0.3514,3.4689,75.7188,10.6163,10.5838,16.2005,0.4063,1.6009,-893100.0,29.7979,1.5819,3.8391,1.0384,63.9358,10.4244,,10.5909,10.5787,90.183,88.4729,88.4729,79.7872,84.453,65.9305,,11.0279,0.1203,10.6253,0.1082,62.0213,-6.5972,10.7751
2000-01-14,33.88,33.88,33.5,10.99,529900,798382.0387,247880.2467,24.2088,27.3321,0.189,35.7143,92.8571,57.1429,0.1722,10.1126,10.6275,11.1425,-0.1842,108.4983,27.8716,10.9563,24.5354,10.7981,10.7663,10.6764,18.8557,,0.4684,0.0389,,,,0,10.6067,0.121,0.0695,0.0515,0.189,0.0397,0.1493,0.3674,3.5441,64.906,10.6163,10.5838,17.1273,0.5461,1.5668,-893100.0,28.2644,1.7914,5.2288,1.0384,63.9358,10.4872,,10.6275,10.5749,86.5678,80.2722,80.2722,66.0714,77.287,65.9305,,11.0572,0.1235,10.686,0.1309,58.3946,-6.5972,10.8176
