date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,adx_14_adx,adxr_14_adxr,apo_14_apo,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,bop_14_bop,cci_20_cci,cmo_14_cmo,dema_14_dema,dx_14_dx,ema_12_ema,ema_26_ema,ht_dcperiod_14_dcperiod,ht_dcphase_14_ht_dcphase,ht_phasor_14_phase,ht_phasor_14_quadrature,ht_sine_14_lead sine,ht_sine_14_sine,ht_trendline_14_ht_trendline,ht_trendmode_14_trendmode,kama_14_kama,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,macdext_14_macd,macdext_14_macd_hist,macdext_14_macd_signal,mama_14_fama,mama_14_mama,mfi_14_mfi,midpoint_14_midpoint,midprice_14_midprice,minus_di_14_minus_di,mom_10_mom,natr_14_natr,obv_14_obv,plus_di_14_plus_di,ppo_14_ppo,roc_10_roc,rocr_14_rocr,rsi_14_rsi,sar_14_sar,sma_200_sma,sma_20_sma,sma_50_sma,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,stochrsi_14_fastd,stochrsi_14_fastk,t3_14_t3,tema_14_tema,trange_14_trange,trima_14_trima,trix_14_trix,ultosc_14_ultosc,willr_14_willr,wma_14_wma
2000-01-03,16.5,16.81,16.38,4.39,11067,-25565.1519,-27565.1443,36.9363,50.8828,-0.0314,78.5714,42.8571,-35.7143,0.0778,4.31,4.417,4.5239,0.3023,-45.875,1.2898,4.3617,0.7342,4.3864,4.4059,29.0206,,-0.1224,-0.1677,,,,0,4.4346,-0.0182,-0.011,-0.0071,-0.0314,-0.0066,-0.0248,0.1011,1.2204,34.2844,4.3845,4.3594,20.7621,-0.0476,1.7715,419893.0,21.0693,-0.7106,-1.0708,0.9782,50.6449,4.5498,,4.417,,54.1611,70.2522,70.2522,77.7778,66.6667,100.0,,4.3501,0.1136,4.3975,-0.0617,48.356,-37.0,4.3792
2000-01-04,16.44,16.56,16.38,4.33,12400,-53464.1519,-29976.5926,34.3504,48.6756,-0.0391,71.4286,35.7143,-35.7143,0.077,4.2982,4.4113,4.5244,-0.3333,-93.409,-11.794,4.3498,0.7342,4.3774,4.4001,31.174,,-0.1361,0.0505,,,,0,4.43,-0.0216,-0.0116,-0.01,-0.0391,-0.0117,-0.0274,0.1069,1.2515,37.5964,4.3845,4.3594,19.4805,-0.1321,1.7791,391994.0,19.7687,-0.8837,-2.9621,0.9779,44.103,4.5337,,4.4113,,67.6502,74.8971,74.8971,46.9136,77.43,32.29,,4.3368,0.0661,4.3853,-0.0687,48.828,-62.0,4.3698
2000-01-05,16.5,16.5,16.0,4.23,10400,-76863.1519,-35683.0857,33.3175,47.3103,-0.0505,100.0,28.5714,-71.4286,0.0809,4.2631,4.4014,4.5397,-1.0,-154.8308,-27.1893,4.3155,19.8895,4.3543,4.3873,33.5707,,-0.0982,0.16,,,,0,4.4085,-0.0321,-0.0176,-0.0144,-0.0505,-0.0192,-0.0313,0.1127,1.2813,39.9291,4.3435,4.3594,26.1131,-0.1982,1.9145,368595.0,17.4489,-1.1439,-4.4776,0.9518,36.4053,4.5184,,4.4014,,62.2377,41.5638,41.5638,0.0,44.0967,0.0,,4.2925,0.1321,4.3718,-0.081,44.6665,-100.0,4.348
2000-01-06,15.94,16.06,15.62,4.15,18978,-105976.7882,-44037.0731,33.3921,46.5593,-0.0622,100.0,21.4286,-78.5714,0.0835,4.2115,4.3849,4.5582,-0.5682,-215.2913,-36.8697,4.2678,34.3616,4.3221,4.3694,34.3393,,-0.0692,0.262,,,,0,4.3717,-0.0464,-0.0256,-0.0208,-0.0622,-0.0256,-0.0366,0.1187,1.3099,22.8099,4.3026,4.3092,32.143,-0.3144,2.0132,325895.0,15.7025,-1.4128,-7.0498,0.9334,31.5651,4.5009,,4.3849,,44.6865,17.5986,17.5986,5.8824,10.7633,0.0,,4.2315,0.1162,4.3571,-0.1005,39.8261,-94.9275,4.3173
2000-01-07,15.75,15.81,15.12,4.01,10844,-125424.4694,-49639.1416,34.4169,46.5415,-0.0801,100.0,14.2857,-85.7143,0.0905,4.129,4.3625,4.5961,-0.8116,-250.3257,-48.7136,4.1969,47.7394,4.2746,4.343,34.0724,,0.0164,0.2591,,,,0,4.3059,-0.0677,-0.0375,-0.0302,-0.0801,-0.037,-0.043,0.1248,1.3369,24.2374,4.2365,4.2431,37.9727,-0.3805,2.2554,301497.0,13.4322,-1.8261,-8.659,0.9036,25.6432,4.4747,,4.3625,,20.8346,3.3415,3.3415,4.142,0.0,0.0,,4.141,0.1823,4.3387,-0.1305,30.6007,-96.2766,4.2718
2000-01-10,15.06,15.56,15.06,4.11,9644,-103726.4694,-40514.3386,35.4643,46.5729,-0.0957,100.0,7.1429,-92.8571,0.0935,4.0927,4.3443,4.5959,1.0,-202.5424,-29.3712,4.1647,49.0806,4.2494,4.3258,33.7032,,0.0766,-0.1129,,,,0,4.2845,-0.0758,-0.0365,-0.0393,-0.0957,-0.0451,-0.0506,0.131,1.3647,23.0978,4.2365,4.2352,35.3393,-0.2166,2.274,323195.0,12.0704,-2.1897,-5.0061,0.9218,35.3144,4.4363,,4.3443,,11.7976,14.4526,14.4526,33.3333,17.4635,52.3905,,4.1091,0.1321,4.3189,-0.1605,40.1133,-74.2268,4.2434
2000-01-11,15.56,15.69,14.75,3.95,58444,-182065.7034,-58024.4629,36.8913,45.8802,-0.1126,100.0,0.0,-100.0,0.1045,4.0212,4.3171,4.613,-0.6596,-200.4748,-42.7973,4.0988,55.4429,4.2029,4.2978,34.5433,,-0.0144,-0.5407,,,,0,4.2362,-0.0943,-0.044,-0.0503,-0.1126,-0.0529,-0.0597,0.1373,1.3905,20.4727,4.2035,4.1863,34.9373,-0.3831,2.6486,191697.0,10.0146,-2.5881,-8.8469,0.8919,28.6013,4.3952,,4.3171,4.3879,11.3016,16.1108,16.1108,10.8571,26.6256,27.4865,,4.0304,0.2484,4.2937,-0.1974,33.2898,-91.3242,4.1965
2000-01-12,15.06,15.12,15.0,3.96,10444,-205563.7034,-67389.3807,38.2164,45.369,-0.1246,92.8571,7.1429,-85.7143,0.1005,3.9651,4.294,4.6228,-0.5,-172.0616,-40.0233,4.0506,55.4429,4.166,4.273,34.3166,,-0.1775,-0.6515,,,,0,4.193,-0.1065,-0.045,-0.0616,-0.1246,-0.0549,-0.0697,0.1437,1.4162,20.1771,4.1705,4.1863,33.7519,-0.3646,2.5353,215195.0,9.6748,-2.8758,-8.4249,0.8886,29.9884,4.3454,,4.294,4.3832,17.2183,21.0915,21.0915,19.084,41.6019,44.9288,,3.9796,0.0476,4.2615,-0.236,30.1735,-88.5845,4.1563
2000-01-13,15.12,15.37,15.0,4.04,5867,-196644.7845,-62256.3383,38.2851,43.5779,-0.1337,85.7143,0.0,-85.7143,0.1003,3.9356,4.2742,4.6127,0.5135,-122.7391,-26.3645,4.0332,39.178,4.1474,4.2561,33.4274,,-0.2979,-0.5167,,,,0,4.1802,-0.1083,-0.0374,-0.0709,-0.1337,-0.0526,-0.0811,0.1502,1.4425,23.4,4.1705,4.1691,31.3939,-0.2642,2.4792,228395.0,13.7194,-3.0974,-6.1312,0.9206,36.8178,4.3005,,4.2742,4.3782,21.5976,27.5904,27.5904,52.8302,57.4718,100.0,,3.9732,0.0978,4.2253,-0.2688,36.1239,-72.8155,4.1317
2000-01-14,15.37,15.75,15.31,4.16,5200,-184945.7845,-50774.3811,36.8952,41.6443,-0.1355,78.5714,35.7143,-42.8571,0.1014,3.9273,4.2602,4.593,0.8636,-65.917,-9.9679,4.0492,18.8255,4.1495,4.2491,32.1429,,-0.4118,-0.1655,,,,0,4.1797,-0.0992,-0.0226,-0.0766,-0.1355,-0.0428,-0.0927,0.1568,1.4697,26.4944,4.1705,4.1691,28.8157,-0.2325,2.4373,240094.0,19.6852,-3.1474,-5.2916,0.9615,45.0161,4.2602,,4.2602,4.3755,35.3289,57.3047,57.3047,100.0,81.6429,100.0,,4.0122,0.1162,4.1892,-0.2895,45.6405,-51.4563,4.1259
