date,open,high,low,close,volume,ad_14_chaikin a/d,adx_14_adx,adxr_14_adxr,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,ema_14_ema,ema_200_ema,ema_20_ema,ema_50_ema,ema_7_ema,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,mfi_14_mfi,mom_10_mom,roc_10_roc,rsi_14_rsi,sar_14_sar,sma_14_sma,sma_200_sma,sma_20_sma,sma_50_sma,sma_7_sma,stoch_14_slowd,stoch_14_slowk,stochrsi_14_fastd,stochrsi_14_fastk
2006-12-08,24.0,26.25,24.0,20.4,5542000,-123155.5556,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-12-11,25.1,27.83,24.8,21.37,707200,-130157.5358,,,,,,,,,,,,,,,,,,,19.5054,,,,,,,,,
2006-12-12,25.88,26.95,25.56,21.19,227000,-190581.9962,,,,,,,,,,,,,,,,,,,19.5365,,,,,,,,,
2006-12-13,26.05,27.4,26.05,21.82,330800,-129322.7369,,,,,,,,,,,,,,,,,,,19.5673,,,,,,,,,
2006-12-14,26.26,28.7,26.26,22.63,295000,-42273.5566,,,,,,,,,,,,,,,,,,,19.5979,,,,,,,,,
2006-12-15,28.64,28.79,26.61,22.47,234700,-53039.6116,,,,,,,,,,,,,,,,,,,19.6724,,,,,,,,,
2006-12-18,27.65,28.29,26.95,22.39,96700,-63142.5967,,,,,,,,,,,21.7532,,,,,,,,19.7842,,,,,21.7532,,,,
2006-12-19,26.88,26.99,26.14,21.53,155300,-90548.4791,,,,,,,,,,,21.6971,,,,,,,,19.8926,,,,,21.9146,,,,
2006-12-20,26.69,27.2,26.51,22.02,113400,-10018.0443,,,,,,,,,,,21.7791,,,,,,,,19.9978,,,,,22.0074,53.0814,37.9649,,
2006-12-21,27.24,27.59,26.74,22.41,142600,125871.3675,,,,,,,,,,,21.936,,,,,,,,20.0998,,,,,22.1816,41.0265,35.4157,,
2006-12-22,27.06,28.0,27.01,22.13,108000,65871.3675,,,,,,,,,,,21.9846,,,,,1.7311,8.4861,,20.1988,,,,,22.2257,40.1142,46.9621,,
2006-12-26,27.96,27.96,27.21,22.37,30700,60550.0341,,,,,,,,,,,22.08,,,,,0.9915,4.6388,,20.2947,,,,,22.1886,47.3319,59.6178,,
2006-12-27,27.29,28.0,27.29,22.69,42400,93395.1046,,,,,,,,,,,22.2328,,,,,1.5035,7.0963,,20.3878,,,,,22.2199,59.918,73.174,,
2006-12-28,27.9,28.4,27.75,22.68,58400,61948.9507,,,,,,,22.0069,,,,22.3434,,,,,0.8534,3.9106,,20.4782,22.0069,,,,22.2605,70.7866,79.568,,
2006-12-29,28.12,28.2,27.78,22.81,31800,72548.9507,,,1.0577,,,,22.1133,,,,22.4588,,,,80.3345,0.1788,0.7902,71.6374,20.5658,22.1787,,,,22.4428,77.5862,80.0167,,
2007-01-03,28.36,28.36,27.51,22.57,98400,34346.5978,,,1.0315,,,,22.1741,,,,22.4864,,,,69.3615,0.0975,0.434,68.5094,20.6507,22.264,,,,22.5206,74.5813,64.1593,,
2007-01-04,27.48,28.37,27.48,22.57,95200,1187.0472,,,1.0095,,,,22.2268,,,,22.5072,,,,73.9161,0.1788,0.7985,68.5094,20.7332,22.3627,,,,22.5438,66.4855,55.2805,,
2007-01-05,27.6,27.85,27.26,22.55,93700,63124.3354,,,0.9716,,,,22.2703,,,,22.5187,,,,64.2915,1.024,4.7565,68.2709,20.8131,22.415,,,,22.6042,54.6227,44.4282,,
2007-01-08,27.91,27.91,26.68,21.93,134100,-5396.2983,,,0.9737,,,,22.2246,,,,22.3708,,,,50.9546,-0.0975,-0.4428,59.6617,20.8907,22.365,,,,22.5415,44.7947,34.6753,,
2007-01-09,27.25,27.4,26.75,21.94,102800,-32282.4521,,,0.9419,20.9232,22.1228,23.3224,22.186,,22.1228,,22.262,,,,38.0453,-0.4714,-2.1037,59.7327,20.9659,22.3267,,22.1228,,22.4335,35.1649,26.3914,,
