date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,adx_14_adx,adxr_14_adxr,apo_14_apo,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,bop_14_bop,cci_20_cci,cmo_14_cmo,dema_14_dema,dx_14_dx,ema_12_ema,ema_14_ema,ema_26_ema,ht_dcperiod_14_dcperiod,ht_dcphase_14_ht_dcphase,ht_phasor_14_phase,ht_phasor_14_quadrature,ht_sine_14_lead sine,ht_sine_14_sine,ht_trendline_14_ht_trendline,ht_trendmode_14_trendmode,kama_14_kama,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,macdext_14_macd,macdext_14_macd_hist,macdext_14_macd_signal,mama_14_fama,mama_14_mama,mfi_14_mfi,midpoint_14_midpoint,midprice_14_midprice,minus_di_14_minus_di,mom_10_mom,natr_14_natr,obv_14_obv,plus_di_14_plus_di,ppo_14_ppo,roc_10_roc,rocr_14_rocr,rsi_14_rsi,sar_14_sar,sma_200_sma,sma_20_sma,sma_50_sma,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,stochrsi_14_fastd,stochrsi_14_fastk,t3_14_t3,tema_14_tema,trange_14_trange,trima_14_trima,trix_14_trix,ultosc_14_ultosc,willr_14_willr,wma_14_wma
2000-01-03,6.0,6.0,6.0,2.85,1600,39288.5312,17220.4088,18.64,21.2309,-0.1108,35.7143,92.8571,57.1429,0.1537,2.4269,2.7138,3.0007,0.0,81.122,8.7504,2.7251,18.4997,2.7273,2.7259,2.7453,29.4837,,0.1487,0.431,,,,0,2.7852,-0.0171,0.0307,-0.0479,-0.1108,0.0114,-0.1221,0.0641,0.7639,88.376,2.6714,2.6714,21.0526,0.2968,5.3941,23600.0,30.61,-4.0131,11.6279,1.0281,54.3752,2.4387,,2.7138,,74.2351,88.8036,88.8036,84.6059,92.4911,77.4733,,2.7883,0.0594,2.6117,-0.3509,55.017,-12.5,2.6924
2000-01-04,6.5,6.5,6.5,3.09,160,39288.5312,15237.3438,19.724,21.5971,-0.0842,28.5714,100.0,71.4286,0.1597,2.4006,2.7252,3.0497,0.0,199.1274,23.4065,2.8151,33.8152,2.7827,2.774,2.7706,29.3738,,0.2148,0.247,,,,0,2.7998,0.0128,0.0485,-0.0357,-0.0842,0.0365,-0.1208,0.0678,0.7871,88.8495,2.7604,2.7604,18.8045,0.653,5.173,23800.0,38.0197,-3.0481,26.8293,1.1633,61.7032,2.4434,,2.7252,,85.1283,94.8686,94.8686,100.0,92.4911,100.0,,2.9061,0.2375,2.6359,-0.275,59.0486,-0.0,2.7488
2000-01-05,6.5,6.5,6.5,3.09,1840,39288.5312,13040.8769,20.7305,21.4779,-0.0428,21.4286,100.0,78.5714,0.1483,2.3796,2.7365,3.0934,0.0,172.1603,23.4065,2.8875,33.8152,2.8295,2.8157,2.794,28.9679,,0.2192,0.025,,,,0,2.8072,0.036,0.0574,-0.0214,-0.0428,0.07,-0.1129,0.0715,0.8101,88.8292,2.7604,2.7604,18.8045,0.5936,4.8035,23800.0,38.0197,-1.5488,23.8095,1.0833,61.7032,2.4562,,2.7365,,92.847,94.8686,94.8686,100.0,92.4911,100.0,,2.9929,0.0,2.6698,-0.1861,64.3347,-0.0,2.8011
2000-01-06,5.75,6.0,5.75,2.82,7680,44126.9312,12496.2789,19.3102,20.2726,-0.0103,14.2857,92.8571,78.5714,0.1631,2.3796,2.736,3.0923,0.752,33.1462,2.0416,2.879,0.847,2.828,2.8163,2.796,28.0946,,0.1851,0.2326,,,,0,2.8073,0.0326,0.0432,-0.0106,-0.0103,0.0902,-0.1005,0.0753,0.8302,85.1492,2.7604,2.7604,31.5248,0.3267,5.7847,14200.0,32.0634,-0.371,13.1048,1.0327,51.0208,2.4689,,2.736,,90.3346,81.2667,81.2667,43.8,66.6667,0.0,,2.9625,0.3562,2.7101,-0.1153,54.5691,-40.8727,2.8156
2000-01-07,5.94,6.5,5.94,2.82,880,43026.9312,10787.4634,19.0559,19.9981,0.0242,7.1429,100.0,92.8571,0.1705,2.3796,2.7354,3.0912,0.0,83.1025,2.0416,2.8716,15.7494,2.8268,2.8168,2.7978,26.9361,,0.3434,0.1944,,,,0,2.8077,0.0295,0.0321,-0.0026,0.0242,0.1072,-0.083,0.0791,0.8501,86.8708,2.7604,2.7604,27.9867,0.208,6.0475,14200.0,38.45,0.8765,7.9636,1.1047,51.0208,2.4812,,2.7354,,77.4747,56.2889,56.2889,25.0667,33.3333,0.0,,2.9371,0.2669,2.7541,-0.0595,53.0439,-40.8727,2.8292
2000-01-10,6.5,6.5,6.5,3.09,1040,43026.9312,9107.7241,18.8197,19.7433,0.0615,0.0,92.8571,92.8571,0.1774,2.3625,2.7483,3.1341,0.0,148.0921,18.4214,2.9315,15.7494,2.8668,2.8528,2.8192,25.7337,,0.3011,-0.0774,,,,0,2.8346,0.048,0.0405,0.0075,0.0615,0.1229,-0.0614,0.0831,0.8725,91.3577,2.7901,2.7604,24.9688,0.5044,5.7476,15500.0,34.3038,2.2205,19.5292,1.2683,59.2107,2.4994,,2.7483,,64.6148,56.2889,56.2889,100.0,25.5556,76.6669,,3.009,0.2669,2.8023,0.0066,57.4041,-0.0,2.8758
2000-01-11,6.0,6.0,5.75,2.73,4880,36926.9312,5651.674,18.0642,19.2385,0.0764,0.0,85.7143,85.7143,0.1902,2.3605,2.7462,3.1319,-1.0,9.1652,-4.5229,2.8906,8.2419,2.8459,2.8365,2.8126,24.7931,,0.3163,-0.0456,,,,0,2.8325,0.0336,0.0208,0.0127,0.0764,0.1139,-0.0375,0.0871,0.8911,85.8312,2.7901,2.7901,35.0365,0.0,6.9649,9400.0,29.7009,2.7624,0.0,1.0952,47.7386,2.517,,2.7462,2.8222,51.4222,41.6889,41.6889,0.0,25.5556,0.0,,2.9365,0.3562,2.841,0.0457,42.4458,-60.0,2.8687
2000-01-12,6.25,6.25,5.5,2.61,880,35826.9312,3374.0467,17.8165,18.5511,0.0884,0.0,78.5714,78.5714,0.202,2.356,2.7441,3.1323,-1.0,-10.35,-10.7317,2.8275,14.5964,2.8099,2.8066,2.7978,23.9267,,0.3229,-0.4381,,,,0,2.8303,0.0124,-0.0003,0.0127,0.0884,0.1011,-0.0127,0.0913,0.9083,85.0048,2.8347,2.8051,34.8215,0.0,7.7354,8300.0,25.9509,3.2075,0.0,1.0476,44.6342,2.5341,,2.7441,2.8184,43.7704,33.3333,33.3333,0.0,25.5556,0.0,,2.8385,0.3562,2.8681,0.0551,37.2378,-84.246,2.8436
2000-01-13,6.44,6.44,5.5,2.85,10240,36672.9867,2404.7581,17.1518,18.0619,0.0987,28.5714,71.4286,42.8571,0.2194,2.356,2.7441,3.1323,-0.467,39.5028,2.8723,2.8354,8.5107,2.816,2.8123,2.8016,23.0373,,0.0444,-0.6893,,,,0,2.8307,0.0146,0.0016,0.0131,0.0987,0.0875,0.0112,0.0954,0.9277,83.7522,2.8347,2.8051,29.7606,0.0594,7.701,21100.0,25.0922,3.5822,2.1277,1.0909,51.4361,2.5507,,2.7441,2.8146,30.563,16.6667,16.6667,50.0,15.5546,46.6638,,2.8468,0.4455,2.8845,0.0648,35.1503,-42.123,2.8489
2000-01-14,6.5,6.5,5.62,2.85,2800,36172.9867,1630.5256,16.3911,17.536,0.1178,21.4286,64.2857,42.8571,0.2334,2.3593,2.7501,3.1408,-0.5714,47.9868,2.8723,2.8416,6.502,2.8211,2.8173,2.8051,22.3369,,-0.1531,-0.2291,,,,0,2.831,0.0162,0.0025,0.0137,0.1178,0.0811,0.0366,0.0997,0.9469,81.1516,2.8495,2.8051,25.969,-0.0594,8.1926,21100.0,22.7981,4.2728,-2.0408,1.1033,51.4361,2.5668,,2.7501,2.8138,27.7778,33.3333,33.3333,50.0,31.1092,46.6638,,2.8525,0.4155,2.8882,0.074,37.3101,-42.123,2.852
