date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,adx_14_adx,adxr_14_adxr,apo_14_apo,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,bop_14_bop,cci_20_cci,cmo_14_cmo,dema_14_dema,dx_14_dx,ema_12_ema,ema_14_ema,ema_26_ema,ht_dcperiod_14_dcperiod,ht_dcphase_14_ht_dcphase,ht_phasor_14_phase,ht_phasor_14_quadrature,ht_sine_14_lead sine,ht_sine_14_sine,ht_trendline_14_ht_trendline,ht_trendmode_14_trendmode,kama_14_kama,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,macdext_14_macd,macdext_14_macd_hist,macdext_14_macd_signal,mama_14_fama,mama_14_mama,mfi_14_mfi,midpoint_14_midpoint,midprice_14_midprice,minus_di_14_minus_di,mom_10_mom,natr_14_natr,obv_14_obv,plus_di_14_plus_di,ppo_14_ppo,roc_10_roc,rocr_14_rocr,rsi_14_rsi,sar_14_sar,sma_200_sma,sma_20_sma,sma_50_sma,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,stochrsi_14_fastd,stochrsi_14_fastk,t3_14_t3,tema_14_tema,trange_14_trange,trima_14_trima,trix_14_trix,ultosc_14_ultosc,willr_14_willr,wma_14_wma
2000-01-03,29.94,31.19,29.38,15.5,3921600,72402818.6702,3602787.9956,30.876,43.5665,-0.0579,14.2857,100.0,85.7143,0.768,13.5113,14.6243,15.7372,0.5856,113.0544,26.6785,14.775,28.4238,14.5718,14.5386,14.1369,19.1469,,-0.2333,-0.1192,,,,0,14.309,0.4318,-0.1055,0.5373,-0.0579,-0.1008,0.043,0.323,3.9654,59.9528,14.5325,14.4225,15.8996,1.095,4.9549,51626000.0,28.5275,-0.3956,7.6015,1.0664,63.3393,13.25,,14.6243,,53.5034,77.1122,77.1122,94.3787,65.2895,100.0,,14.6966,1.125,14.4613,0.3474,67.2728,-4.0512,14.5488
2000-01-04,30.25,31.0,29.19,14.62,3145100,66529648.5045,2242405.9128,30.5068,41.8572,-0.0983,7.1429,92.8571,85.7143,0.7778,13.5763,14.5695,15.5627,-0.5525,65.2145,8.9101,14.765,25.707,14.58,14.5501,14.1731,18.5814,,-0.237,-0.0178,,,,0,14.3161,0.4043,-0.1064,0.5107,-0.0983,-0.0784,-0.0199,0.3417,4.072,58.7188,14.5325,14.4225,15.4469,0.0,5.3182,45335800.0,26.1368,-0.6706,0.0,1.0586,54.4551,13.2734,,14.5695,,69.066,77.3134,77.3134,42.6036,69.7348,13.3362,,14.6783,0.905,14.4843,0.3315,61.4223,-41.3646,14.5734
2000-01-05,29.06,29.38,28.0,14.66,4102300,73901897.7799,3827746.5653,29.0427,39.968,-0.0546,0.0,85.7143,85.7143,0.7715,13.7134,14.5085,15.3036,0.1812,-18.6525,9.3795,14.7624,10.0099,14.5915,14.5641,14.2088,18.0193,,-0.2195,0.3295,,,,0,14.3277,0.3806,-0.1041,0.4847,-0.0546,0.0041,-0.0587,0.3609,4.1778,56.5502,14.86,14.705,20.004,-0.375,5.2646,53540400.0,24.4542,-0.3729,-2.495,1.0804,54.6897,13.2967,,14.5085,,71.6264,60.4536,60.4536,44.3787,42.9871,15.6252,,14.673,0.69,14.5016,0.3154,64.0481,-52.809,14.5943
2000-01-06,31.0,32.0,30.5,16.0,5744700,85391297.7799,7784036.2355,29.1516,39.0773,-0.0121,0.0,100.0,100.0,0.8125,13.5462,14.5648,15.5833,0.6667,260.9847,27.4317,15.0933,30.5671,14.8082,14.7556,14.3415,17.4757,,-0.0785,0.4618,,,,0,14.3936,0.4649,-0.0158,0.4807,-0.0121,0.0601,-0.0722,0.3806,4.296,61.0797,15.11,14.9525,17.6224,1.595,5.078,65029800.0,33.1385,-0.0822,11.0725,1.0847,63.7159,13.3196,,14.5648,,66.6982,62.3274,62.3274,100.0,42.9871,100.0,,15.1368,1.345,14.5318,0.3217,69.2499,-0.0,14.7842
2000-01-07,30.81,32.81,30.75,16.25,4271700,91363383.2167,10595087.7181,29.6033,38.2938,-0.0066,57.1429,100.0,42.8571,0.828,13.3865,14.6428,15.899,0.8204,241.0549,30.2145,15.4203,35.4747,15.03,14.9548,14.4828,16.9562,,0.074,0.8097,,,,0,14.5245,0.5456,0.0519,0.4937,-0.0066,0.07,-0.0766,0.4008,4.4156,63.5828,15.235,15.155,16.0468,1.935,5.0955,73573200.0,33.6912,-0.0444,13.5173,1.1281,65.1072,13.3733,,14.6428,,67.3641,79.3113,79.3113,93.5551,71.8751,100.0,,15.5685,1.03,14.6049,0.3455,72.3989,-6.2,14.9955
2000-01-10,33.5,35.5,33.38,17.5,6458200,98187141.7073,12953069.4155,30.9526,38.2343,0.1648,50.0,100.0,50.0,0.876,13.0178,14.7865,16.5552,0.7075,297.9531,42.1578,15.9917,48.4946,15.41,15.2942,14.7063,16.4715,,0.6374,0.7643,,,,0,14.8458,0.7024,0.1669,0.5354,0.1648,0.2179,-0.0531,0.4215,4.5464,68.5216,15.86,15.8275,14.0734,3.03,5.0058,86489600.0,40.5749,1.1072,20.9399,1.1966,71.0789,13.4642,,14.7865,,79.0894,95.6295,95.6295,93.3333,100.0,100.0,,16.3213,1.5,14.7399,0.3994,74.7488,-6.502,15.3559
2000-01-11,35.0,35.94,33.94,17.03,3339900,92308917.7073,10869802.5266,32.3319,37.9959,0.3322,42.8571,100.0,57.1429,0.8849,12.8963,14.9112,16.9262,-0.47,221.2831,32.9448,16.3307,50.2625,15.6593,15.5256,14.8785,16.088,,0.6648,-0.1862,,,,0,14.9785,0.7797,0.1954,0.5843,0.3322,0.3366,-0.0044,0.4427,4.6713,69.6803,15.86,15.9375,12.9317,2.655,5.196,79809800.0,39.068,2.223,18.4696,1.1331,66.4724,13.6356,,14.9112,13.8903,87.5592,87.7369,87.7369,76.3224,90.6309,71.8928,,16.7096,1.0,14.9279,0.4608,66.7658,-23.1242,15.6262
2000-01-12,34.0,36.75,33.63,18.12,4409300,98301043.3483,10935978.5463,33.839,37.7533,0.5443,35.7143,100.0,64.2857,0.9331,12.7394,15.1268,17.5141,0.7212,199.7636,42.3233,16.8703,53.4313,16.0386,15.8722,15.1189,15.8987,,0.2304,0.4129,,,,0,15.4339,0.9187,0.2675,0.6512,0.5443,0.4704,0.0739,0.4646,4.8058,75.2145,16.1725,16.14,11.3805,3.905,5.1481,88628400.0,37.4959,3.6198,27.4613,1.2582,71.1616,13.8524,,15.1268,14.0497,90.195,87.2186,87.2186,92.0,90.6309,100.0,,17.366,1.56,15.1727,0.5408,68.1433,-5.5928,16.0235
2000-01-13,36.75,37.75,35.13,18.88,3771100,105843243.3483,12368661.5957,35.4982,37.4929,0.8039,28.5714,100.0,71.4286,0.96,12.6102,15.3922,18.1743,0.3817,193.8191,47.7171,17.4846,57.068,16.475,16.2726,15.3972,15.7056,,0.8228,1.1593,,,,0,16.0375,1.077,0.3407,0.7363,0.8039,0.6244,0.1795,0.487,4.9465,79.5575,16.5475,16.39,10.2669,4.655,5.0862,96170600.0,37.5616,5.3057,32.7356,1.3185,73.8585,14.1237,,15.3922,14.2216,88.1321,89.4408,89.4408,100.0,90.6309,100.0,,18.0996,1.31,15.4738,0.6391,76.4027,-0.0,16.4853
2000-01-14,37.13,40.56,37.0,20.19,7503900,119333400.6517,16122658.2037,37.6251,37.5442,1.097,21.4286,100.0,78.5714,1.0186,12.2052,15.6642,19.1233,0.9129,205.0013,55.5637,18.298,65.2743,17.0465,16.7949,15.7522,15.7229,,1.2251,0.9659,,,,0,16.8824,1.2936,0.4458,0.8478,1.097,0.7891,0.3079,0.51,5.0989,84.8625,17.205,17.0925,8.9809,5.72,5.045,111178400.0,42.7437,7.1435,39.5301,1.3953,77.7818,14.4563,,15.6642,14.4123,91.0524,96.4977,96.4977,97.493,100.0,100.0,,19.0832,1.78,15.8683,0.7636,78.117,-1.4118,17.0791
