date,open,high,low,close,volume,ad_14_chaikin a/d,adx_14_adx,adxr_14_adxr,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,ema_14_ema,ema_200_ema,ema_20_ema,ema_50_ema,ema_7_ema,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,mfi_14_mfi,mom_10_mom,roc_10_roc,rsi_14_rsi,sar_14_sar,sma_14_sma,sma_200_sma,sma_20_sma,sma_50_sma,sma_7_sma,stoch_14_slowd,stoch_14_slowk,stochrsi_14_fastd,stochrsi_14_fastk
1999-11-01,68.06,71.88,66.31,3.46,12824100,3223292.6391,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-11-02,69.75,70.0,65.06,3.32,13243200,-113660011.0046,,,,,,,,,,,,,,,,,,,3.594,,,,,,,,,
1999-11-03,68.19,68.5,65.0,3.29,10772100,-229383142.4332,,,,,,,,,,,,,,,,,,,3.5906,,,,,,,,,
1999-11-04,67.19,67.19,61.0,3.15,16759200,-341472137.5866,,,,,,,,,,,,,,,,,,,3.5838,,,,,,,,,
1999-11-05,64.75,65.5,62.25,3.25,11091400,-196089479.1251,,,,,,,,,,,,,,,,,,,3.5678,,,,,,,,,
1999-11-08,64.81,80.0,63.5,3.9,32339400,293901429.9658,,,,,,,,,,,,,,,,,,,3.05,,,,,,,,,
1999-11-09,80.88,83.06,70.0,3.54,26477100,-169954655.7922,,,,,,,,,,,3.4156,,,,,,,,3.0595,,,,,3.4156,,,,
1999-11-10,71.56,75.0,70.13,3.6,11506700,-223353304.6629,,,,,,,,,,,3.4617,,,,,,,,3.0814,,,,,3.4361,,,,
1999-11-11,74.75,75.0,71.38,3.65,9293900,-242865359.9115,,,,,,,,,,,3.5088,,,,,,,,3.1028,,,,,3.483,55.5506,48.6638,,
1999-11-12,73.75,75.0,70.81,3.75,10319600,-42384347.9783,,,,,,,,,,,3.5683,,,,,,,,3.1238,,,,,3.5482,54.423,53.3362,,
1999-11-15,75.63,76.0,73.31,3.68,6437200,-152941463.2199,,,,,,,,,,,3.595,,,,,0.2185,6.3214,,3.1444,,,,,3.6228,49.216,45.648,,
1999-11-16,74.25,79.63,73.75,3.95,15238700,80303944.9433,,,,,,,,,,,3.683,,,,,0.625,18.814,,3.1646,,,,,3.7228,52.7751,59.341,,
1999-11-17,77.94,80.0,75.44,3.82,6657400,9058085.2942,,,,,,,,,,,3.7185,,,,,0.5345,16.2437,,3.1843,,,,,3.7121,55.1576,60.4838,,
1999-11-18,76.75,78.19,75.25,3.9,5810400,105502819.9881,,,,,,,3.5893,,,,3.7631,,,,,0.744,23.5966,,3.2037,3.5893,,,,3.763,65.7456,77.4121,,
1999-11-19,77.88,78.13,76.06,3.9,5760600,199564791.0026,,,0.2804,,,,3.6303,,,,3.7966,,,,65.8527,0.65,20.0185,60.2228,3.2227,3.6208,,,,3.8054,69.155,69.5691,,
1999-11-22,77.88,82.5,76.0,4.03,10708400,281937098.6949,,,0.2836,,,,3.683,,,,3.8537,,,,72.5727,0.125,3.2051,62.6147,3.2413,3.671,,,,3.859,73.8754,74.645,,
1999-11-23,80.38,85.63,76.25,4.09,18332500,345260446.2429,,,0.2968,,,,3.7369,,,,3.9121,,,,79.2831,0.547,15.4498,63.7606,3.2595,3.7279,,,,3.9076,71.2904,69.657,,
1999-11-24,84.25,87.75,83.25,4.36,14483100,570553112.9095,,,0.2971,,,,3.8203,,,,4.0247,,,,87.1767,0.7625,21.1806,68.3565,3.2902,3.8143,,,,4.0059,74.2966,78.5878,,
1999-11-26,91.06,95.13,90.5,4.66,11496000,601838123.7087,,,0.304,,,,3.9318,,,,4.1827,,,,87.4945,1.0065,27.5753,72.3882,3.3341,3.915,,,,4.1072,76.9889,82.7219,,
1999-11-29,95.5,96.88,90.13,4.52,18053700,273929439.2642,,,0.3064,2.986,3.79,4.5941,4.0105,,3.79,,4.2675,,,,74.596,0.775,20.6832,68.1127,3.4052,3.9594,,3.79,,4.2068,82.0701,84.9008,,
1999-11-30,88.27,88.88,83.81,4.25,13465500,137415297.2524,,,0.3082,3.017,3.8299,4.6427,4.0428,,3.8341,,4.2639,,,,63.9507,0.578,15.7279,60.4257,3.4915,4.0103,,3.8299,,4.2576,78.2528,67.1357,52.0846,0.0
1999-12-01,87.25,87.63,81.97,4.25,10663600,152487523.4008,,,0.3064,3.0789,3.8763,4.6737,4.0705,,3.8737,,4.2604,,,,63.5927,0.303,7.6767,60.3439,3.5727,4.0567,,3.8763,,4.3081,65.3659,44.0613,18.7513,0.0
1999-12-02,86.0,91.31,85.63,4.45,9538700,192120150.1614,,,0.307,3.1469,3.9344,4.7219,4.1215,,3.9289,,4.3086,,,,64.0559,0.628,16.4183,63.9044,3.649,4.1141,,3.9344,,4.3692,49.3522,36.8596,9.8538,29.5615
1999-12-03,92.5,93.38,86.06,4.33,11151200,-436090.2758,,,0.3112,3.2753,3.9932,4.711,4.149,,3.9669,,4.3134,,,,61.837,0.431,11.0598,60.3134,3.7207,4.1556,,3.9932,,4.4036,37.9357,32.8862,9.8538,0.0
1999-12-06,86.88,89.88,84.69,4.37,9199200,6299354.8109,,,0.3075,3.4015,4.0492,4.697,4.1783,,4.0052,,4.3273,,,,56.458,0.472,12.1119,61.0858,3.7881,4.2052,,4.0492,,4.4045,37.221,41.9171,17.0238,21.5098
1999-12-07,88.0,88.0,84.38,4.3,6727100,-3363882.7582,,,0.2985,3.4164,4.0694,4.7224,4.195,,4.0336,,4.3212,,,,49.4644,0.278,6.9068,59.092,3.8514,4.2306,,4.0694,,4.354,37.6061,38.015,7.1699,0.0
1999-12-08,86.81,93.0,86.75,4.4,12867200,-157770282.7582,,,0.302,3.4919,4.1124,4.7328,4.2223,,4.0685,,4.3409,,,,56.06,0.3125,7.6453,61.1015,3.911,4.2717,,4.1124,,4.3366,40.3643,41.1608,21.0888,41.7567
1999-12-09,95.25,113.0,93.44,5.18,41364600,-125626012.8195,57.4384,,0.3697,3.4596,4.1914,4.9231,4.35,,4.1743,,4.5507,,,,68.9777,0.8175,18.7393,72.7102,3.967,4.3633,,4.1914,,4.469,42.3057,47.7413,47.2522,100.0
1999-12-10,111.4,112.0,104.4,5.34,14929000,-243486539.1353,58.2462,,0.3733,3.433,4.2756,5.1182,4.4813,,4.2849,,4.7468,,,,71.0205,0.6785,14.571,74.3484,4.0848,4.466,,4.2756,,4.624,50.2302,61.7885,80.5856,100.0
1999-12-13,106.6,106.6,101.5,5.12,8653700,-348688382.2726,58.2911,,0.3652,3.4617,4.3445,5.2274,4.5671,,4.3649,,4.8413,,,,66.0263,0.603,13.3348,68.3607,4.1943,4.5446,,4.3445,,4.72,59.6717,69.4852,86.9175,60.7526
1999-12-14,103.8,104.0,95.0,4.78,10107900,-522544262.2726,56.9285,,0.3712,3.5539,4.3998,5.2458,4.5957,,4.4046,,4.8264,,,,59.2729,0.5285,12.4265,59.8675,4.2962,4.5942,,4.3998,,4.7848,63.2166,58.3761,53.5842,0.0
1999-12-15,92.88,99.44,91.0,4.82,10133500,-461070897.3436,54.9094,,0.3749,3.6052,4.4438,5.2823,4.6263,,4.4446,,4.826,,,,52.8755,0.575,13.5294,60.5361,4.391,4.6272,,4.4438,,4.8499,56.1917,40.7136,21.7901,4.6176
1999-12-16,98.25,98.75,93.5,4.74,7004400,-527512634.4865,53.0345,,0.3668,3.6921,4.4897,5.2873,4.642,,4.4731,,4.8055,,,,51.7407,0.291,6.5349,58.5789,4.4791,4.6335,,4.4897,,4.9129,41.6193,25.7683,1.5392,0.0
1999-12-17,97.19,97.63,93.81,4.7,5955900,-631039273.23,51.2936,,0.3543,3.776,4.53,5.284,4.6501,,4.495,,4.7799,0.3533,-0.048,0.4013,55.4421,0.375,8.6645,57.5644,4.55,4.6464,,4.53,,4.9562,29.1708,21.0305,1.5392,0.0
1999-12-20,97.75,101.6,95.06,4.85,10566600,-716993878.7345,50.1147,,0.3559,3.8707,4.5776,5.2846,4.6768,,4.5288,,4.7974,0.3384,-0.0503,0.3887,62.6494,0.481,11.0094,60.2242,4.627,4.689,,4.5776,,4.9091,24.9602,28.0818,29.8349,89.5048
1999-12-21,96.56,100.4,96.56,4.99,9509500,-578313670.4012,49.02,,0.3442,3.945,4.6261,5.3072,4.7191,,4.5731,,4.8466,0.3343,-0.0435,0.3778,68.6403,0.691,16.0586,62.6912,4.6905,4.7422,,4.6261,,4.8604,32.9866,49.8476,63.1683,100.0
1999-12-22,100.6,100.6,95.5,4.88,5921000,-595031788.0483,47.754,,0.3378,4.0234,4.6659,5.3085,4.7411,,4.6028,,4.856,0.3186,-0.0474,0.366,64.2375,0.4845,11.0114,59.661,4.753,4.773,,4.6659,,4.826,46.1605,60.5519,76.7999,40.8948
1999-12-23,98.0,99.0,89.06,4.5,12914600,-804471780.0,45.2192,,0.3492,4.0405,4.6728,5.3051,4.709,,4.593,,4.767,0.2719,-0.0752,0.3472,59.5089,-0.68,-13.1274,50.4412,5.65,4.7853,,4.6728,,4.7858,52.6885,47.666,46.9649,0.0
1999-12-27,87.75,88.25,80.13,4.06,16523800,-1053549750.4433,42.5399,,0.3595,3.9557,4.6428,5.33,4.622,,4.5419,,4.5894,0.1969,-0.1202,0.3171,57.49,-1.2785,-23.9644,42.3178,5.638,4.763,,4.6428,,4.676,43.1707,21.294,13.6316,0.0
1999-12-28,83.06,86.5,81.56,4.12,10304300,-1197059029.7956,40.052,,0.353,3.8992,4.6225,5.3458,4.5545,,4.5013,,4.4709,0.1406,-0.1412,0.2818,61.5732,-1.0095,-19.6976,43.6187,5.6054,4.7496,,4.6225,,4.5862,25.5204,7.6011,2.1284,6.3851
