date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,adx_14_adx,adxr_14_adxr,apo_14_apo,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,bop_14_bop,cci_20_cci,cmo_14_cmo,dema_14_dema,dx_14_dx,ema_12_ema,ema_14_ema,ema_26_ema,ht_dcperiod_14_dcperiod,ht_dcphase_14_ht_dcphase,ht_phasor_14_phase,ht_phasor_14_quadrature,ht_sine_14_lead sine,ht_sine_14_sine,ht_trendline_14_ht_trendline,ht_trendmode_14_trendmode,kama_14_kama,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,macdext_14_macd,macdext_14_macd_hist,macdext_14_macd_signal,mama_14_fama,mama_14_mama,mfi_14_mfi,midpoint_14_midpoint,midprice_14_midprice,minus_di_14_minus_di,mom_10_mom,natr_14_natr,obv_14_obv,plus_di_14_plus_di,ppo_14_ppo,roc_10_roc,rocr_14_rocr,rsi_14_rsi,sar_14_sar,sma_200_sma,sma_20_sma,sma_50_sma,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,stochrsi_14_fastd,stochrsi_14_fastk,t3_14_t3,tema_14_tema,trange_14_trange,trima_14_trima,trix_14_trix,ultosc_14_ultosc,willr_14_willr,wma_14_wma
2000-01-03,39.38,39.5,38.31,27.03,659800,3933902.1044,441189.3219,24.8967,17.9098,1.4861,21.4286,64.2857,42.8571,0.8058,22.5392,25.9613,29.3833,-0.3193,43.2062,17.4234,27.7056,20.6224,27.0202,26.8841,26.4313,26.5807,,1.0416,-2.4186,,,,0,27.0019,0.597,0.1941,0.4029,1.4861,0.9805,0.5056,0.576,7.1146,77.781,25.6868,25.8358,22.9498,0.7346,2.9814,5266800.0,34.8746,5.7796,2.7939,1.1102,58.7117,24.1515,,25.9613,,36.6658,27.9716,27.9716,28.2787,5.7962,0.0,,28.0052,1.1712,27.1438,0.3154,49.2151,-27.2487,27.335
2000-01-04,38.88,38.94,38.0,26.42,1160500,3094391.4661,113806.0372,24.2926,17.448,1.6469,14.2857,57.1429,42.8571,0.7978,22.7278,26.0676,29.4075,-0.7979,23.1245,5.1997,27.4818,16.4394,26.9286,26.8229,26.4309,25.916,,0.6,-1.8266,,,,0,26.9655,0.5046,0.0814,0.4232,1.6469,0.9009,0.746,0.6097,7.3077,68.5965,25.6868,25.8358,23.4554,-0.8663,3.0189,4106300.0,32.6844,6.399,-3.1742,1.0876,52.5998,24.2806,,26.0676,,27.7652,19.6267,19.6267,4.7273,5.7962,0.0,,27.6005,0.693,27.3557,0.3254,42.5603,-38.7566,27.2949
2000-01-05,38.75,39.5,38.19,27.03,2717300,3737416.6569,174129.4326,24.1089,17.3628,1.623,7.1429,50.0,42.8571,0.8086,22.9427,26.2042,29.4657,0.1908,34.7053,14.7561,27.445,21.7204,26.9439,26.8502,26.4751,25.2396,,0.2413,-1.5598,,,,0,26.9748,0.4746,0.0411,0.4335,1.623,0.6668,0.9562,0.6442,7.5049,76.3558,26.0541,25.8358,21.4664,-0.3465,2.9917,6823600.0,33.379,6.2857,-1.2658,1.1511,57.3781,24.4059,,26.2042,,23.5738,23.1232,23.1232,36.3636,11.0423,33.1269,,27.4922,0.9494,27.4893,0.3287,48.6899,-27.2487,27.3149
2000-01-06,39.13,40.75,38.94,28.16,3123600,6446837.6514,1045065.7351,24.6757,18.0667,1.5636,0.0,42.8571,42.8571,0.8404,23.2367,26.4187,29.6006,0.8287,67.2777,29.1638,27.691,32.0444,27.1306,27.0245,26.5997,24.6501,,-0.1568,-1.2443,,,,0,27.1653,0.5358,0.0818,0.454,1.5636,0.4353,1.1283,0.6795,7.7115,80.1693,27.2253,26.3556,19.1553,0.6514,2.9848,9947200.0,37.2206,6.0246,2.3684,1.1629,64.5819,24.5274,,26.4187,,29.4419,45.5758,45.5758,95.6364,38.7324,83.0703,,27.7942,1.2544,27.5496,0.3371,56.121,-7.0957,27.4517
2000-01-07,40.5,42.75,40.5,29.63,1656500,8103337.6514,1833420.0648,26.1009,19.6172,1.5615,0.0,100.0,100.0,0.8918,23.4296,26.7,29.9704,1.0,123.7181,42.7233,28.2498,44.6278,27.5146,27.3715,26.8239,24.1628,,-0.3296,-0.8914,,,,0,27.5138,0.6948,0.1927,0.5021,1.5615,0.2935,1.268,0.7157,7.9306,80.461,28.0258,27.9599,16.7422,1.8157,3.0101,11603700.0,43.7294,5.9729,6.5288,1.1268,71.3616,24.6452,,26.7,,48.6774,77.3333,77.3333,100.0,72.0657,100.0,,28.5228,1.5593,27.5782,0.361,62.449,-0.0,27.7469
2000-01-10,33.0,34.75,28.13,20.88,8579700,4707746.4127,908838.7087,26.7539,20.7218,1.1474,100.0,92.8571,-7.1429,1.5518,22.5114,26.5313,30.5512,-0.4335,-216.9225,-35.9164,26.5172,35.2425,26.494,26.506,26.3837,23.7563,,-0.6372,-1.0427,,,,0,26.7622,0.1138,-0.3106,0.4245,1.1474,-0.1851,1.3325,0.7525,8.0601,53.0962,25.2537,24.5607,48.5391,-7.0134,7.4317,3024000.0,23.2417,4.4125,-25.1429,0.7651,32.0418,29.6267,,26.5313,,64.2271,69.7721,69.7721,13.6799,61.0234,0.0,,26.0023,10.132,27.4599,0.3127,36.4977,-86.3201,26.8441
2000-01-11,29.63,29.63,27.38,19.4,6606700,1742072.1905,-495644.4357,27.5212,21.8698,0.6535,100.0,85.7143,-14.2857,1.5771,21.2724,26.2842,31.296,-0.7244,-236.7481,-41.7502,24.7482,37.4963,25.4033,25.5592,25.8667,23.4041,,-1.0862,0.3329,,,,0,25.741,-0.4604,-0.7079,0.2475,0.6535,-0.6653,1.3188,0.7896,8.1736,41.0963,24.5156,24.3008,46.6957,-8.4479,8.1273,-3582700.0,21.2271,2.5331,-30.3309,0.7089,29.1249,29.6267,,26.2842,25.7891,62.1144,39.2379,39.2379,4.0338,33.3333,0.0,,23.5895,1.9058,27.1869,0.2061,34.7891,-95.9662,25.8057
2000-01-12,28.5,28.63,27.5,19.32,3032500,749129.7126,-1341083.38,28.2337,23.0188,0.1305,92.8571,78.5714,-14.2857,1.5204,20.2236,26.0354,31.8472,-0.5487,-198.1698,-42.0701,23.3039,37.4963,24.4676,24.7275,25.3819,23.1391,,-0.5497,0.7116,,,,0,24.805,-0.9117,-0.9274,0.0157,0.1305,-1.0945,1.2249,0.827,8.285,36.2185,24.474,24.3008,44.9708,-8.441,7.8688,-6615200.0,20.443,0.5095,-30.4044,0.7024,28.9649,29.4136,,26.0354,25.6956,38.6663,6.9889,6.9889,3.2531,0.0,0.0,,21.7686,0.7831,26.77,0.066,34.073,-96.7469,24.832
2000-01-13,28.38,30.38,27.94,21.05,2635700,3384829.7126,-726396.2772,28.0499,23.8369,-0.3113,85.7143,71.4286,-14.2857,1.5355,19.8007,25.9141,32.0276,0.8197,-145.8649,-26.4829,22.5794,25.6612,23.9425,24.2377,25.0613,22.9412,,0.0204,0.084,,,,0,24.4573,-1.1167,-0.9059,-0.2108,-0.3113,-1.367,1.0557,0.865,8.4127,38.6883,24.474,24.3008,41.333,-6.5837,7.2933,-3979500.0,24.4518,-1.2218,-23.8215,0.757,36.7586,29.2048,,25.9141,25.6428,18.3873,8.9352,8.9352,19.5185,6.1275,18.3826,,21.0454,1.7326,26.2659,-0.0735,39.6229,-80.4815,24.1673
2000-01-14,30.25,30.38,29.5,20.75,1803200,3384829.7126,-408897.3463,27.8793,24.5329,-0.7758,78.5714,64.2857,-14.2857,1.4694,19.2592,25.7409,32.2226,-0.3523,-123.4263,-27.9805,21.9322,25.6612,23.4512,23.7725,24.7419,23.1201,,0.85,-6.1786,,,,0,24.0895,-1.2889,-0.8625,-0.4264,-0.7758,-1.5802,0.8044,0.9033,8.5361,40.5758,24.474,24.3008,40.1032,-6.9718,7.0818,-5782700.0,23.7243,-3.059,-25.15,0.7439,36.0097,29.0002,,25.7409,25.5822,11.6977,19.169,19.169,34.7354,36.2581,90.3917,,20.445,0.6099,25.6743,-0.2088,39.4479,-83.3442,23.5263
