date,open,high,low,close,volume,ad_14_chaikin a/d,adx_14_adx,adxr_14_adxr,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,ema_14_ema,ema_200_ema,ema_20_ema,ema_30_ema,ema_50_ema,ema_7_ema,ema_90_ema,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,mfi_14_mfi,mom_10_mom,roc_10_roc,rsi_14_rsi,sar_14_sar,sma_14_sma,sma_200_sma,sma_20_sma,sma_30_sma,sma_50_sma,sma_7_sma,sma_90_sma,stochrsi_14_fastd,stochrsi_14_fastk
2008-01-10,22.0,22.0,18.35,3.05,158600,-257322.4247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-01-11,19.0,19.75,19.0,3.12,41500,-250350.4913,,,,,,,,,,,,,,,,,,,,,2.9479,,,,,,,,,
2008-01-14,19.5,20.7,19.5,3.22,17500,-254025.408,,,,,,,,,,,,,,,,,,,,,2.9501,,,,,,,,,
2008-01-15,21.05,21.1,19.85,3.2,83400,-430565.688,,,,,,,,,,,,,,,,,,,,,2.9576,,,,,,,,,
2008-01-16,19.93,20.15,19.75,3.18,207400,-822550.938,,,,,,,,,,,,,,,,,,,,,2.9706,,,,,,,,,
2008-01-17,19.9,20.0,19.5,3.2,88700,-688437.138,,,,,,,,,,,,,,,,,,,,,2.9832,,,,,,,,,
2008-01-18,19.9,20.0,19.75,3.21,126300,-370162.138,,,,,,,,,,,,3.1693,,,,,,,,,2.9953,,,,,,3.1693,,,
2008-01-22,19.25,20.25,19.02,3.16,90800,-364581.2843,,,,,,,,,,,,3.1662,,,,,,,,,3.0072,,,,,,3.1842,,,
2008-01-23,19.0,20.75,19.0,3.31,143400,-65162.9129,,,,,,,,,,,,3.202,,,,,,,,,3.0187,,,,,,3.2118,,,
2008-01-24,20.4,20.5,19.9,3.29,121300,240512.0871,,,,,,,,,,,,3.2248,,,,,,,,,3.0298,,,,,,3.2221,,,
2008-01-25,20.75,21.25,20.25,3.37,73800,333499.5871,,,,,,,,,,,,3.262,,,,,,0.3213,10.5263,,3.0406,,,,,,3.2462,,,
2008-01-28,21.0,21.4,20.75,3.4,38200,355714.1256,,,,,,,,,,,,3.2959,,,,,,0.2811,9.0206,,3.0555,,,,,,3.2772,,,
2008-01-29,21.15,21.5,21.0,3.37,25900,290447.1256,,,,,,,,,,,,3.3153,,,,,,0.1526,4.7382,,3.0746,,,,,,3.3024,,,
