date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,adx_14_adx,adxr_14_adxr,apo_14_apo,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,bop_14_bop,cci_20_cci,cmo_14_cmo,dema_14_dema,dx_14_dx,ema_12_ema,ema_14_ema,ema_26_ema,ht_dcperiod_14_dcperiod,ht_dcphase_14_ht_dcphase,ht_phasor_14_phase,ht_phasor_14_quadrature,ht_sine_14_lead sine,ht_sine_14_sine,ht_trendline_14_ht_trendline,ht_trendmode_14_trendmode,kama_14_kama,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,macdext_14_macd,macdext_14_macd_hist,macdext_14_macd_signal,mama_14_fama,mama_14_mama,mfi_14_mfi,midpoint_14_midpoint,midprice_14_midprice,minus_di_14_minus_di,mom_10_mom,natr_14_natr,obv_14_obv,plus_di_14_plus_di,ppo_14_ppo,roc_10_roc,rocr_14_rocr,rsi_14_rsi,sar_14_sar,sma_200_sma,sma_20_sma,sma_50_sma,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,stochrsi_14_fastd,stochrsi_14_fastk,t3_14_t3,tema_14_tema,trange_14_trange,trima_14_trima,trix_14_trix,ultosc_14_ultosc,willr_14_willr,wma_14_wma
2014-03-20,9.6,9.62,9.6,9.62,10200,10200.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,10200.0,,,,,,,,,,,,,,,,,,,,,,,
2014-03-21,9.5,9.5,9.5,9.5,200,10200.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,10000.0,,,,,,9.62,,,,,,,,,,,,0.12,,,,,
2014-03-24,9.5,9.5,9.5,9.5,0,10200.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,10000.0,,,,,,9.6188,,,,,,,,,,,,0.0,,,,,
2014-03-25,9.5,9.5,9.5,9.5,0,10200.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,10000.0,,,,,,9.6176,,,,,,,,,,,,0.0,,,,,
2014-03-26,9.5,9.5,9.5,9.5,0,10200.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,10000.0,,,,,,9.6164,,,,,,,,,,,,0.0,,,,,
2014-03-27,9.56,9.56,9.56,9.56,400,10200.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,10400.0,,,,,,9.6153,,,,,,,,,,,,0.06,,,,,
2014-03-28,9.56,9.56,9.56,9.56,0,10200.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,10400.0,,,,,,9.6141,,,,,,66.6667,100.0,,,,,0.0,,,,,
2014-03-31,9.56,9.56,9.56,9.56,0,10200.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,10400.0,,,,,,9.613,,,,,,100.0,100.0,,,,,0.0,,,,,
2014-04-01,9.56,9.56,9.56,9.56,0,10200.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,10400.0,,,,,,9.6118,,,,88.8889,100.0,100.0,100.0,,,,,0.0,,,,,
2014-04-02,9.56,9.56,9.56,9.56,0,10200.0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,10400.0,,,,,,9.6107,,,,88.8889,66.6667,66.6667,0.0,,,,,0.0,,,,,
2014-04-03,9.56,9.56,9.56,9.56,0,10200.0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,-0.06,,10400.0,,,-0.6237,,,9.6096,,,,66.6667,33.3333,33.3333,0.0,,,,,0.0,,,,,
2014-04-04,9.7,9.7,9.51,9.68,5600,14621.0526,1406.6986,,,,,,,,,,,-0.1053,,,,,9.555,,,,,,,,,,0,,,,,,,,,,,,,,0.18,,16000.0,,,1.8947,,,9.5,,,,43.2749,29.8246,29.8246,89.4737,,,,,0.19,,,,,
2014-04-07,9.74,9.74,9.66,9.68,1000,14121.0526,1695.1936,,,,,,,,,,,-0.75,,,,,9.5742,,,,,,,,,,0,,,,,,,,,,,,,,0.18,,16000.0,,,1.8947,,,9.502,,,,39.2067,54.4622,54.4622,73.913,,,,,0.08,,,,,
2014-04-08,9.68,9.68,9.68,9.68,0,14121.0526,1659.1057,,,,,,,,,,,0.0,,,,,9.5905,9.5729,,,,,,,,,0,,,,,,,,,,,9.59,9.62,,0.18,,16000.0,,,1.8947,,,9.5068,,,,54.4622,79.0999,79.0999,73.913,,,,,0.0,9.5589,,,-25.0,9.5971
2014-04-09,9.75,9.75,9.55,9.59,500,13821.0526,1398.0602,,,,28.5714,100.0,71.4286,0.0464,,,,-0.8,,-7.6923,,0.0,9.5904,9.5751,,,,,,,,,0,9.6789,,,,,,,,,90.9453,9.59,9.625,36.0694,0.09,0.4841,15500.0,36.0694,,0.9474,0.9969,46.1538,9.5114,,,,64.6495,60.3865,60.3865,33.3333,,,,,0.2,9.5691,,,-64.0,9.5994
2014-04-10,9.7,9.9,9.66,9.66,5200,8621.0526,-490.373,,,,21.4286,100.0,78.5714,0.0653,,,,-0.1667,,9.7521,,26.6015,9.6011,9.5865,,,,,,,,,0,9.6766,,,,,,,,,96.0824,9.59,9.7,23.4167,0.1,0.6755,20700.0,40.3903,,1.046,1.0168,54.876,9.5186,,,,62.6852,48.5693,48.5693,38.4615,,,,,0.31,9.5821,,,-60.0,9.6113
