date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,adx_14_adx,adxr_14_adxr,apo_14_apo,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,bop_14_bop,cci_20_cci,cmo_14_cmo,dema_14_dema,dx_14_dx,ema_12_ema,ema_14_ema,ema_26_ema,ht_dcperiod_14_dcperiod,ht_dcphase_14_ht_dcphase,ht_phasor_14_phase,ht_phasor_14_quadrature,ht_sine_14_lead sine,ht_sine_14_sine,ht_trendline_14_ht_trendline,ht_trendmode_14_trendmode,kama_14_kama,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,macdext_14_macd,macdext_14_macd_hist,macdext_14_macd_signal,mama_14_fama,mama_14_mama,mfi_14_mfi,midpoint_14_midpoint,midprice_14_midprice,minus_di_14_minus_di,mom_10_mom,natr_14_natr,obv_14_obv,plus_di_14_plus_di,ppo_14_ppo,roc_10_roc,rocr_14_rocr,rsi_14_rsi,sar_14_sar,sma_200_sma,sma_20_sma,sma_50_sma,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,stochrsi_14_fastd,stochrsi_14_fastk,t3_14_t3,tema_14_tema,trange_14_trange,trima_14_trima,trix_14_trix,ultosc_14_ultosc,willr_14_willr,wma_14_wma
2000-01-03,13.5,13.5,13.25,0.51,2963,1157022.6625,134325.4878,24.6374,28.9803,0.0055,50.0,100.0,50.0,0.0122,0.4381,0.4705,0.503,0.0,201.1876,35.8406,0.4888,31.409,0.4807,0.4789,0.4756,24.0791,,0.0035,0.0194,,,,0,0.4793,0.0048,0.0069,-0.0021,0.0055,0.0055,-0.0001,0.0106,0.129,74.3532,0.4828,0.478,19.7624,0.0426,2.3888,-703313.0,37.8616,1.1696,9.135,1.1139,67.9203,0.4484,,0.4705,,86.0981,96.0,96.0,100.0,100.0,100.0,,0.4986,0.0094,0.4673,0.0019,66.7786,-0.0,0.4794
2000-01-04,13.0,13.31,13.0,0.5,14104,1279676.2432,182090.976,24.2353,28.2625,0.0063,42.8571,92.8571,50.0,0.0126,0.4369,0.4715,0.506,0.8065,133.1406,23.4312,0.4925,19.0072,0.4835,0.4816,0.4773,23.7349,,0.0037,0.034,,,,0,0.481,0.006,0.0064,-0.0005,0.0063,0.0054,0.0009,0.0112,0.1327,63.5109,0.4828,0.478,23.0046,0.0426,2.5296,-903432.0,33.802,1.3378,9.3234,1.087,61.7156,0.4502,,0.4715,,92.9556,91.6667,91.6667,75.0,72.989,18.9671,,0.502,0.0188,0.4704,0.0494,65.6136,-15.3374,0.4829
2000-01-05,13.25,13.69,13.12,0.51,6459,1329518.2607,200936.5016,24.636,27.5246,0.008,35.7143,100.0,64.2857,0.0133,0.4349,0.4735,0.5121,0.5439,150.3021,31.7563,0.4984,29.8451,0.4878,0.4855,0.4798,23.0686,,0.0207,0.0533,,,,0,0.4838,0.0077,0.0065,0.0012,0.008,0.006,0.0021,0.0118,0.1365,63.7353,0.4839,0.4816,20.3286,0.0543,2.5955,-811787.0,37.6249,1.7033,11.8812,1.0962,65.8782,0.452,,0.4735,,91.3496,86.3821,86.3821,84.1463,62.8719,69.6486,,0.5082,0.0215,0.4743,0.0991,69.4657,-7.1429,0.4877
2000-01-06,13.37,13.5,13.37,0.51,3081,1373233.2607,204288.3983,25.0081,26.8394,0.0104,28.5714,92.8571,64.2857,0.0128,0.434,0.4755,0.5169,1.0,124.7672,28.8366,0.5025,29.8451,0.491,0.4886,0.482,22.4895,,0.0373,0.0281,,,,0,0.4855,0.0088,0.0061,0.0027,0.0104,0.0069,0.0035,0.0124,0.1402,62.5907,0.4839,0.4816,19.5138,0.0471,2.5213,-855502.0,36.1168,2.1884,10.2041,1.0697,64.4183,0.4546,,0.4755,,85.0841,77.2034,77.2034,72.4638,44.058,43.5582,,0.5118,0.0072,0.4792,0.1462,70.3501,-10.4396,0.4917
2000-01-07,13.56,13.75,13.56,0.52,2044,1402234.2607,196315.5471,25.8178,26.727,0.013,21.4286,100.0,78.5714,0.0126,0.4332,0.4782,0.5232,1.0,132.413,35.2729,0.508,36.3444,0.4952,0.4926,0.4847,22.6606,,0.0405,0.0056,,,,0,0.4898,0.0104,0.0061,0.0042,0.013,0.0079,0.0052,0.0131,0.144,66.6985,0.4875,0.4828,18.465,0.0565,2.4285,-826501.0,39.5502,2.7374,12.2449,1.1116,67.6365,0.457,,0.4782,,83.0407,85.5367,85.5367,100.0,69.5439,95.4249,,0.5175,0.0094,0.4849,0.1937,72.1792,-0.0,0.4966
2000-01-10,13.81,13.88,13.63,0.52,13422,1592676.2607,235802.2401,26.7939,26.7347,0.0157,14.2857,100.0,85.7143,0.0124,0.4344,0.4817,0.5291,0.28,126.6016,38.3932,0.5135,39.4839,0.4995,0.4966,0.4875,22.6488,,0.0405,-0.0296,,,,0,0.4971,0.0118,0.0061,0.0058,0.0157,0.0086,0.0071,0.0138,0.1478,78.3282,0.4899,0.4852,17.4547,0.0614,2.3626,-636059.0,40.2314,3.2808,13.3061,1.1452,69.1966,0.4601,,0.4817,,84.5204,90.8213,90.8213,100.0,79.6611,100.0,,0.523,0.0094,0.4909,0.2411,76.706,-0.0,0.5017
2000-01-11,13.75,13.75,13.5,0.51,6459,1501031.2607,201359.5472,27.1979,26.8495,0.0186,7.1429,92.8571,85.7143,0.0125,0.437,0.4843,0.5317,-1.0,90.4804,20.1588,0.5143,32.449,0.5009,0.4983,0.4891,22.152,,0.0195,-0.0434,,,,0,0.4984,0.0117,0.0048,0.007,0.0186,0.0094,0.0092,0.0144,0.1514,77.3491,0.4899,0.4852,18.832,0.052,2.4566,-727704.0,36.9244,3.8647,11.3861,1.1139,60.0794,0.4639,,0.4843,0.4789,86.5638,83.3333,83.3333,50.0,65.1416,0.0,,0.5218,0.0143,0.4963,0.278,66.1184,-18.9055,0.5043
2000-01-12,13.63,13.63,13.56,0.51,4326,1562411.2607,188493.9413,27.573,26.7029,0.0216,0.0,85.7143,85.7143,0.012,0.4395,0.4871,0.5346,0.0,84.1023,23.855,0.516,32.449,0.5029,0.5003,0.4909,21.5149,,0.0115,-0.0157,,,,0,0.5002,0.0119,0.0039,0.0079,0.0216,0.0102,0.0114,0.0152,0.155,80.6601,0.4899,0.4899,18.2785,0.026,2.3275,-666324.0,35.839,4.4899,5.3323,1.1127,61.9275,0.4674,,0.4871,0.4794,80.3827,66.9935,66.9935,50.9804,40.0903,20.2708,,0.5222,0.0049,0.5009,0.3081,64.6235,-14.2045,0.507
2000-01-13,13.5,13.63,13.25,0.5,5067,1535923.9976,157667.1605,26.7632,25.7265,0.0243,0.0,78.5714,78.5714,0.0121,0.4419,0.4889,0.536,-0.3421,56.077,12.6249,0.5148,16.236,0.503,0.5008,0.4919,21.0015,,0.011,-0.0098,,,,0,0.5004,0.0111,0.0025,0.0086,0.0243,0.0106,0.0137,0.0159,0.1585,74.1226,0.4899,0.4899,23.6396,0.0139,2.4063,-738218.0,32.8037,5.0304,2.8462,1.0914,56.3124,0.4707,,0.4889,0.4795,63.4454,40.0093,40.0093,19.0476,6.7569,0.0,,0.5187,0.0143,0.5046,0.3267,62.0997,-28.9773,0.5079
2000-01-14,13.37,13.37,13.25,0.5,3496,1486319.9976,114939.7355,26.0112,25.0228,0.0241,7.1429,71.4286,64.2857,0.0116,0.4433,0.4901,0.537,-1.0,37.1185,7.768,0.5125,16.236,0.5024,0.5006,0.4924,20.7524,,0.0093,-0.0004,,,,0,0.5004,0.01,0.0011,0.0089,0.0241,0.0083,0.0158,0.0166,0.1619,70.2992,0.4899,0.4899,22.9778,-0.0094,2.3194,-787822.0,31.8853,4.9767,-1.8519,1.0816,53.884,0.4739,,0.4901,0.4794,43.4485,23.3427,23.3427,0.0,6.7569,0.0,,0.5142,0.0045,0.5075,0.3336,56.8346,-35.7955,0.5078
2000-01-18,13.06,13.19,13.06,0.49,8059,1477524.0745,84212.5648,24.6484,24.2172,0.0233,0.0,64.2857,64.2857,0.0113,0.446,0.4915,0.5371,0.4615,12.8122,2.6058,0.5094,6.9317,0.5012,0.4998,0.4926,20.7403,,0.0146,-0.0103,,,,0,0.5,0.0086,-0.0002,0.0088,0.0233,0.0056,0.0177,0.0173,0.1652,67.6172,0.5054,0.4971,26.4871,-0.0143,2.2785,-902169.0,30.4326,4.8003,-2.8148,1.0825,51.3029,0.4768,,0.4915,0.4793,24.1999,9.2478,9.2478,8.6957,-0.0,0.0,,0.5088,0.0072,0.5093,0.3296,54.7595,-55.0725,0.5067
2000-01-19,13.25,13.25,13.25,0.5,11170,1477524.0745,63986.6708,23.5591,23.5573,0.0207,0.0,57.1429,57.1429,0.0108,0.4509,0.4937,0.5364,0.0,24.6949,7.3835,0.508,9.3981,0.5009,0.4997,0.4931,20.8013,,0.004,-0.0281,,,,0,0.5,0.0078,-0.0008,0.0086,0.0207,0.0016,0.0191,0.0181,0.1686,66.8271,0.5065,0.504,25.6267,0.0,2.1651,-743680.0,30.9432,4.2488,0.0,1.024,53.6918,0.4796,,0.4937,0.4793,15.5334,14.0097,14.0097,33.3333,7.4947,22.4842,,0.5064,0.0049,0.5098,0.3203,51.8511,-62.3762,0.5059
2000-01-20,13.19,13.19,13.0,0.49,19289,1203836.0745,-37187.074,22.0355,23.076,0.0178,0.0,50.0,50.0,0.0107,0.456,0.4953,0.5346,-1.0,-9.6492,-2.5199,0.5045,2.2284,0.4992,0.4984,0.4928,20.9402,,-0.0041,-0.0206,,,,0,0.5,0.0064,-0.0018,0.0082,0.0178,-0.0021,0.0199,0.0189,0.1718,54.4654,0.5065,0.5065,30.3145,-0.0211,2.1864,-1017368.0,28.9929,3.6545,-4.1298,1.0,48.74,0.4822,,0.4953,0.4795,12.4224,14.0097,14.0097,0.0,7.4947,0.0,,0.5011,0.0094,0.5092,0.3026,41.7378,-100.0,0.5037
2000-01-21,13.0,13.0,13.0,0.49,8978,1203836.0745,-75195.6902,20.6207,22.6291,0.0159,100.0,42.8571,-57.1429,0.0099,0.4605,0.4967,0.533,0.0,-31.2109,-2.5199,0.5016,2.2284,0.4978,0.4973,0.4926,21.3349,,-0.0087,-0.02,,,,0,0.4996,0.0052,-0.0024,0.0076,0.0159,-0.0043,0.0202,0.0196,0.175,40.5405,0.5065,0.5065,30.3145,-0.0188,2.0303,-1017368.0,28.9929,3.2452,-3.7037,0.963,48.74,0.4847,,0.4967,0.4797,13.0435,11.1111,11.1111,0.0,7.4947,0.0,,0.4971,0.0,0.5076,0.2797,45.5598,-100.0,0.5015
2000-01-24,12.75,12.75,11.75,0.45,32059,921811.0945,-173643.9186,21.9698,23.1025,0.0114,100.0,35.7143,-64.2857,0.0126,0.4573,0.4962,0.535,-0.81,-187.3846,-32.9345,0.4892,39.5081,0.4904,0.491,0.4895,21.8774,,-0.016,-0.0135,,,,0,0.494,0.001,-0.0053,0.0062,0.0114,-0.0083,0.0197,0.0204,0.1777,30.4592,0.4865,0.4829,48.9669,-0.0682,2.8004,-1472247.0,21.2325,2.3355,-13.1636,0.8844,33.5327,0.5231,,0.4962,0.4792,9.781,4.2222,4.2222,12.6667,-0.0,0.0,,0.4801,0.0471,0.5049,0.2343,32.0673,-91.0798,0.4942
2000-01-25,12.12,13.0,11.81,0.45,10815,817360.5735,-231366.6398,22.4663,23.5511,0.0076,92.8571,28.5714,-64.2857,0.0149,0.455,0.4957,0.5363,-0.1008,-162.3104,-30.4534,0.4798,28.9205,0.4846,0.4858,0.4867,22.4051,,-0.0163,0.0022,,,,0,0.4904,-0.0022,-0.0067,0.0046,0.0076,-0.0109,0.0185,0.0212,0.1805,38.9835,0.4865,0.4829,38.4229,-0.0708,3.2957,-1318795.0,21.1842,1.5581,-13.5447,0.9057,34.7733,0.5223,,0.4957,0.4784,8.3704,9.7778,9.7778,16.6667,2.0513,6.1539,,0.4682,0.0448,0.5012,0.1772,27.7052,-88.2629,0.4878
2000-01-26,12.5,12.75,12.25,0.48,9689,883348.5735,-212950.9675,22.9273,23.9677,0.0037,85.7143,21.4286,-64.2857,0.0159,0.4588,0.4966,0.5344,0.24,-124.0907,-8.0179,0.4781,28.9205,0.4832,0.4844,0.4859,22.9045,,-0.0122,-0.0024,,,,0,0.4896,-0.0027,-0.0058,0.0031,0.0037,-0.0128,0.0165,0.022,0.1834,40.1678,0.4865,0.4829,33.5234,-0.0332,3.3344,-1181320.0,18.4829,0.7554,-6.5185,0.9307,45.991,0.5215,,0.4966,0.4781,14.6389,29.9167,29.9167,60.4167,29.359,81.9231,,0.4677,0.0283,0.497,0.1264,36.1549,-59.1549,0.4849
2000-01-27,12.62,13.75,12.5,0.52,13719,1078004.5735,-124122.1046,21.6217,23.7198,0.0009,78.5714,14.2857,-64.2857,0.0181,0.4595,0.4982,0.5368,0.904,26.9309,19.2426,0.4873,4.6494,0.4886,0.4889,0.4883,23.2323,,-0.0139,-0.0124,,,,0,0.4899,0.0003,-0.0023,0.0025,0.0009,-0.013,0.0139,0.0229,0.1868,44.5688,0.4865,0.4829,27.2798,0.0045,3.4912,-986664.0,29.9402,0.1867,0.8804,1.0185,59.6213,0.5207,,0.4982,0.4787,32.9074,59.0278,59.0278,100.0,62.6924,100.0,,0.4824,0.0471,0.4934,0.1026,50.0096,-6.1033,0.488
2000-01-28,13.37,13.37,12.75,0.49,711,1069869.0896,-79087.7596,20.4094,23.6017,-0.002,71.4286,7.1429,-64.2857,0.019,0.4594,0.4981,0.5368,-0.9032,-12.4535,0.6099,0.4876,4.6494,0.4887,0.489,0.4883,23.6392,,-0.017,-0.0264,,,,0,0.4899,0.0003,-0.0018,0.0021,-0.002,-0.013,0.011,0.0237,0.1898,43.5358,0.4865,0.4829,24.071,-0.0147,3.8913,-996752.0,26.4184,-0.3995,-2.917,0.944,50.3049,0.5199,,0.4981,0.4788,54.3056,73.9722,73.9722,61.5,82.0709,64.2895,,0.4836,0.0313,0.4899,0.083,43.4688,-42.2535,0.4871
2000-01-31,12.94,12.94,12.37,0.47,1541,1048005.0896,-60431.5495,19.3981,23.298,-0.0058,64.2857,0.0,-64.2857,0.0192,0.4564,0.4963,0.5362,-1.0,-88.3973,-8.3227,0.4836,6.2517,0.4862,0.4868,0.4872,24.6461,,-0.0339,-0.0254,,,,0,0.4891,-0.001,-0.0025,0.0015,-0.0058,-0.0136,0.0078,0.0246,0.1926,37.0322,0.4841,0.4805,27.5185,-0.027,4.071,-1018616.0,24.2802,-1.1824,-5.4026,0.903,45.8386,0.5191,,0.4963,0.4785,66.4253,66.276,66.276,37.3279,69.6072,44.5321,,0.4787,0.0218,0.4864,0.0588,40.4365,-60.792,0.4843
2000-02-01,12.25,12.5,12.25,0.47,3496,998401.0896,-63088.7772,18.6882,23.1306,-0.0091,57.1429,78.5714,21.4286,0.0185,0.4529,0.4942,0.5356,0.0,-114.9633,-10.6526,0.4793,9.4592,0.4833,0.4842,0.4857,25.632,290.9538,-0.0425,0.0421,-0.4075,-0.9339,0.4933,1,0.4883,-0.0024,-0.0031,0.0007,-0.0091,-0.0136,0.0045,0.0254,0.1954,37.9945,0.4841,0.4805,28.2727,-0.0267,3.963,-1068220.0,23.3862,-1.8405,-5.392,0.9194,44.6737,0.5184,,0.4942,0.4783,58.9345,36.5553,36.5553,10.8379,36.2739,0.0,,0.4735,0.0095,0.4832,0.0303,39.6106,-66.8716,0.4814
2000-02-02,12.0,12.62,12.0,0.46,6193,944544.6702,-75576.6149,18.49,22.6266,-0.0121,50.0,71.4286,21.4286,0.0189,0.449,0.4924,0.5359,0.1935,-111.5908,-13.2254,0.4747,15.9137,0.4802,0.4814,0.484,25.8792,295.1844,-0.0141,0.1139,-0.339,-0.9049,0.4916,1,0.4871,-0.0039,-0.0036,-0.0002,-0.0121,-0.0133,0.0012,0.0263,0.198,34.1592,0.4841,0.4805,29.3516,-0.0365,4.0848,-1156091.0,21.2923,-2.4677,-7.3144,0.901,43.3873,0.5176,,0.4924,0.4783,40.4781,18.6032,18.6032,7.6437,14.844,0.0,,0.468,0.0237,0.4804,-0.0019,40.2029,-73.4578,0.4782
2000-02-03,11.87,12.19,11.87,0.46,1867,959445.2952,-69073.5665,18.5366,22.2739,-0.015,42.8571,64.2857,21.4286,0.0184,0.4456,0.49,0.5344,0.7813,-121.9996,-13.2254,0.4709,19.1417,0.4775,0.4789,0.4824,25.8868,299.1457,0.0297,0.082,-0.2732,-0.8734,0.4902,1,0.4862,-0.005,-0.0038,-0.0012,-0.015,-0.0128,-0.0023,0.0271,0.2007,35.0843,0.4841,0.4805,29.886,-0.0271,3.9816,-1156091.0,20.2829,-3.0489,-5.532,0.9185,43.3873,0.5169,,0.49,0.4784,22.2915,11.7161,11.7161,16.6667,-0.0,0.0,,0.4641,0.0122,0.479,-0.0352,46.0371,-73.4578,0.4755
2000-02-04,12.06,12.31,12.06,0.46,5511,918784.4152,-73071.3661,18.267,21.4577,-0.0171,35.7143,57.1429,21.4286,0.0178,0.4427,0.4877,0.5327,0.24,-92.968,-13.2254,0.468,14.7622,0.4752,0.4768,0.481,26.7466,311.8897,0.0398,-0.0344,-0.0543,-0.7444,0.4896,1,0.4854,-0.0058,-0.0037,-0.0021,-0.0171,-0.0117,-0.0054,0.028,0.2033,38.6595,0.4841,0.4805,28.7397,-0.0271,3.8446,-1156091.0,21.346,-3.4797,-5.532,0.9269,43.3873,0.5161,,0.4877,0.4786,15.4036,15.8916,15.8916,23.3645,-0.0,0.0,,0.4614,0.0095,0.4783,-0.0673,41.828,-73.4578,0.4732
2000-02-07,12.0,12.37,12.0,0.47,7378,1023469.4152,-34755.1145,17.8575,20.7083,-0.0179,28.5714,50.0,21.4286,0.0175,0.4422,0.4854,0.5286,1.0,-71.8457,-5.9009,0.4681,12.5347,0.4748,0.4762,0.4804,28.263,-24.5664,0.0038,-0.0942,0.3491,-0.4157,0.4899,1,0.4851,-0.0056,-0.0028,-0.0028,-0.0179,-0.0096,-0.0083,0.0289,0.206,44.4533,0.4841,0.4805,27.084,0.0224,3.7115,-1051406.0,21.0504,-3.6449,4.9762,0.9553,47.0495,0.5154,,0.4854,0.4787,21.0579,35.5659,35.5659,66.6667,33.3333,100.0,,0.4629,0.0141,0.4772,-0.0924,34.0998,-60.792,0.4725
2000-02-08,12.12,12.12,12.12,0.46,178,1023469.4152,-15920.7284,17.4773,19.7564,-0.0184,21.4286,42.8571,21.4286,0.017,0.4418,0.4824,0.523,0.0,-81.7325,-12.0294,0.4658,12.5347,0.473,0.4744,0.4791,29.0215,-21.6243,-0.0189,-0.0706,0.3968,-0.3685,0.4899,1,0.4844,-0.0061,-0.0027,-0.0034,-0.0184,-0.0077,-0.0107,0.0298,0.2086,39.0137,0.4841,0.4805,25.9942,0.0106,3.6648,-1053931.0,20.2035,-3.7585,2.3404,0.9269,43.9853,0.5147,,0.4824,0.4786,30.8597,41.1215,41.1215,33.3333,38.7761,16.3284,,0.4609,0.0095,0.4753,-0.1162,34.9816,-73.4578,0.4707
