date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,adx_14_adx,adxr_14_adxr,apo_14_apo,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,bop_14_bop,cci_20_cci,cmo_14_cmo,dema_14_dema,dx_14_dx,ema_12_ema,ema_14_ema,ema_26_ema,ht_dcperiod_14_dcperiod,ht_dcphase_14_ht_dcphase,ht_phasor_14_phase,ht_phasor_14_quadrature,ht_sine_14_lead sine,ht_sine_14_sine,ht_trendline_14_ht_trendline,ht_trendmode_14_trendmode,kama_14_kama,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,macdext_14_macd,macdext_14_macd_hist,macdext_14_macd_signal,mama_14_fama,mama_14_mama,mfi_14_mfi,midpoint_14_midpoint,midprice_14_midprice,minus_di_14_minus_di,mom_10_mom,natr_14_natr,obv_14_obv,plus_di_14_plus_di,ppo_14_ppo,roc_10_roc,rocr_14_rocr,rsi_14_rsi,sar_14_sar,sma_200_sma,sma_20_sma,sma_50_sma,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,stochrsi_14_fastd,stochrsi_14_fastk,t3_14_t3,tema_14_tema,trange_14_trange,trima_14_trima,trix_14_trix,ultosc_14_ultosc,willr_14_willr,wma_14_wma
2000-01-03,48.75,49.56,48.75,14.86,815067,5737660.9346,546904.2325,20.354,25.5788,-0.3835,35.7143,100.0,64.2857,0.5318,13.227,14.1336,15.0401,0.6914,126.8759,20.8181,14.3341,5.5745,14.2968,14.2825,14.2478,31.5478,,0.8979,0.6389,,,,0,14.2768,0.0675,0.0458,0.0217,-0.3835,0.2797,-0.6631,0.3375,4.0102,48.2744,14.0384,13.9059,20.2694,1.6072,3.5789,4730900.0,22.6626,-2.6592,12.1269,1.0585,60.409,12.8764,,14.1336,,80.237,80.0091,80.0091,90.458,87.3055,100.0,,14.5634,0.5063,13.9329,-0.1894,53.7598,-3.659,14.2046
2000-01-04,49.75,50.5,48.5,14.69,1300800,4274260.9346,83445.4615,19.8904,25.3245,-0.2747,28.5714,100.0,71.4286,0.5369,13.2658,14.117,14.9681,-0.5,132.0111,14.4406,14.429,13.8629,14.3575,14.337,14.2807,32.415,,0.9039,-0.3893,,,,0,14.291,0.0925,0.0566,0.0358,-0.2747,0.3394,-0.6142,0.3564,4.117,49.2472,14.0384,14.0475,18.6317,1.4745,3.6545,2779700.0,24.6289,-1.911,11.1567,1.0433,57.2203,12.8969,,14.117,,74.8707,67.3067,67.3067,50.8427,71.1061,51.4017,,14.6626,0.6027,14.0344,-0.1513,52.2534,-22.5156,14.2933
2000-01-05,49.0,51.0,48.56,15.07,1777467,4755051.0985,39241.429,19.7544,25.3898,-0.0846,21.4286,100.0,78.5714,0.5511,13.2097,14.1512,15.0928,0.4098,153.1532,24.0747,14.5986,17.9866,14.4668,14.4345,14.339,32.2516,,0.6512,-0.5336,,,,0,14.3597,0.141,0.0842,0.0569,-0.0846,0.4501,-0.5347,0.3758,4.2265,60.1473,14.1423,14.1228,16.8438,1.5892,3.6572,5445900.0,24.2319,-0.5902,11.7904,1.0889,62.0373,12.9434,,14.1512,,73.1797,72.2234,72.2234,75.3695,83.8006,100.0,,14.8637,0.7353,14.1536,-0.1079,52.7294,-12.0884,14.4264
2000-01-06,52.19,54.5,51.56,16.27,1251067,5993351.7788,411595.3204,21.1816,26.5231,0.1502,14.2857,100.0,85.7143,0.6086,12.9244,14.2411,15.5579,0.6156,271.1954,45.3003,15.0344,39.7359,14.7447,14.6796,14.4823,31.447,,0.6264,-0.3426,,,,0,14.657,0.2737,0.1734,0.1002,0.1502,0.58,-0.4298,0.3956,4.347,68.6757,14.7451,14.6502,14.1473,2.3248,3.7396,7322500.0,32.8038,1.0461,16.6666,1.1697,72.6502,13.0162,,14.2411,,70.9099,73.1995,73.1995,93.3862,83.8006,100.0,,15.4294,1.3561,14.3005,-0.043,62.4687,-4.2472,14.7086
2000-01-07,55.5,59.25,55.5,17.74,2260200,8714632.5788,1392366.2287,23.7093,28.3069,0.4002,7.1429,100.0,92.8571,0.6781,12.4047,14.4196,16.4344,0.9013,320.591,59.9943,15.7498,56.5692,15.2062,15.0882,14.7239,30.2585,,0.4748,-0.0679,,,,0,15.74,0.4917,0.3132,0.1785,0.4002,0.6986,-0.2984,0.416,4.481,84.3126,15.4804,15.3659,11.7783,3.8315,3.8216,10712800.0,42.4611,2.767,27.5403,1.3389,79.9972,13.1525,,14.4196,,77.9536,88.4379,88.4379,96.5581,100.0,100.0,,16.358,1.5821,14.5005,0.0572,69.7245,-2.2394,15.1643
2000-01-10,60.0,60.88,55.06,16.88,1359067,7334549.4173,1227894.5736,26.3467,29.7474,0.5511,0.0,100.0,100.0,0.7549,12.2752,14.5527,16.8302,-0.6873,221.8241,36.6619,16.1066,60.6329,15.4631,15.3266,14.8833,29.0702,,0.5792,0.6941,,,,0,15.9545,0.5878,0.3274,0.2604,0.5511,0.7077,-0.1565,0.437,4.6049,85.0462,15.6114,15.7621,9.816,2.6263,4.4735,8674200.0,40.053,3.7863,18.4303,1.2769,68.3309,13.3876,,14.5527,,81.7154,83.5087,83.5087,60.5816,82.9268,48.7804,,16.7363,1.7539,14.723,0.1608,58.2812,-28.45,15.4615
2000-01-11,56.5,57.63,55.88,16.99,1122467,6612963.703,819388.4807,28.7957,30.472,0.7363,0.0,92.8571,92.8571,0.7387,12.2031,14.7003,17.1975,-0.0686,163.539,37.9477,16.4167,60.6329,15.6981,15.5485,15.0394,28.5007,,0.7417,1.0872,,,,0,16.1448,0.6655,0.3241,0.3414,0.7363,0.7366,-0.0003,0.4584,4.7288,75.6134,15.8283,15.8088,9.3135,2.6836,4.3476,10357900.0,38.0027,5.0336,18.757,1.2605,68.9739,13.6852,,14.7003,14.5878,81.8282,73.5379,73.5379,63.474,62.4676,38.6225,,17.039,0.5274,14.9681,0.2629,56.6934,-26.7172,15.7392
2000-01-12,56.13,57.81,56.0,17.29,665467,7136880.8301,744483.3939,31.1031,30.639,0.9026,0.0,85.7143,85.7143,0.7249,12.1406,14.8608,17.581,0.6906,142.6081,41.3236,16.7349,61.099,15.9433,15.7809,15.2063,29.0216,,0.9331,2.1273,,,,0,16.3486,0.7428,0.3211,0.4217,0.9026,0.737,0.1656,0.4804,4.8544,75.4101,15.8283,16.0076,8.8112,2.9202,4.1921,11356100.0,36.4893,6.1338,20.3187,1.2397,70.6618,13.9649,,14.8608,14.6668,73.0713,62.1673,62.1673,62.4464,35.7941,19.9796,,17.3485,0.5455,15.2398,0.3628,56.1813,-22.5461,16.0236
2000-01-13,58.0,60.75,57.88,17.69,1877400,5910356.4398,255902.3349,33.7247,31.0336,1.0571,0.0,78.5714,78.5714,0.7457,12.1141,15.0533,17.9925,0.2404,146.5602,45.5061,17.0821,67.8049,16.2115,16.0351,15.39,30.3631,,1.7963,3.5348,,,,0,16.6117,0.8264,0.3238,0.5026,1.0571,0.7177,0.3394,0.5029,4.9827,77.722,15.9969,16.2139,7.9512,3.1824,4.2159,14172200.0,41.4426,7.1226,21.9406,1.2713,72.7531,14.2278,,15.0533,14.7494,66.1564,62.7638,62.7638,62.3711,32.1691,37.9053,,17.6944,1.0156,15.5487,0.4615,56.7332,-15.4721,16.3288
2000-01-14,59.25,59.75,58.0,17.89,1233667,6978359.297,372583.5075,36.159,31.2429,1.2192,0.0,71.4286,71.4286,0.7301,12.1164,15.2524,18.3885,0.0743,121.8589,47.6238,17.4053,67.8049,16.4705,16.283,15.5755,30.5414,,2.955,1.6842,,,,0,16.8584,0.899,0.3171,0.5819,1.2192,0.7017,0.5175,0.526,5.1119,70.1388,16.1009,16.2463,7.5397,3.4656,4.0798,16022700.0,39.2977,8.1425,24.0184,1.2558,73.8119,14.4749,,15.2524,14.8366,63.7598,66.3481,66.3481,74.2268,52.6283,100.0,,18.0013,0.5274,15.8941,0.5564,57.7996,-10.7604,16.6257
