date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,adx_14_adx,adxr_14_adxr,apo_14_apo,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,bop_14_bop,cci_20_cci,cmo_14_cmo,dema_14_dema,dx_14_dx,ema_12_ema,ema_14_ema,ema_26_ema,ht_dcperiod_14_dcperiod,ht_dcphase_14_ht_dcphase,ht_phasor_14_phase,ht_phasor_14_quadrature,ht_sine_14_lead sine,ht_sine_14_sine,ht_trendline_14_ht_trendline,ht_trendmode_14_trendmode,kama_14_kama,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,macdext_14_macd,macdext_14_macd_hist,macdext_14_macd_signal,mama_14_fama,mama_14_mama,mfi_14_mfi,midpoint_14_midpoint,midprice_14_midprice,minus_di_14_minus_di,mom_10_mom,natr_14_natr,obv_14_obv,plus_di_14_plus_di,ppo_14_ppo,roc_10_roc,rocr_14_rocr,rsi_14_rsi,sar_14_sar,sma_200_sma,sma_20_sma,sma_50_sma,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,stochrsi_14_fastd,stochrsi_14_fastk,t3_14_t3,tema_14_tema,trange_14_trange,trima_14_trima,trix_14_trix,ultosc_14_ultosc,willr_14_willr,wma_14_wma
2000-01-03,99.0,99.0,96.75,27.47,247300,-79243.5885,-81874.6423,,,0.2607,28.5714,7.1429,-21.4286,0.6162,25.4012,28.0522,30.7031,-1.0,-24.6392,8.0078,28.2306,7.2317,27.9498,27.8315,27.3946,,,,,,,,0,29.8338,,,,,,,,,46.414,28.4238,28.4777,34.936,1.2775,2.2434,247700.0,40.3829,0.9489,4.878,0.9214,54.0039,29.8927,,28.0522,,53.6435,33.715,33.715,0.0,16.0896,0.0,,,0.8687,27.8912,,,-72.1017,28.0155
2000-01-04,95.56,95.56,95.56,27.13,120000,-79243.5885,-109334.6053,24.1577,,0.2107,21.4286,0.0,-21.4286,0.5963,25.6484,28.1213,30.5941,0.0,-70.6557,2.7181,28.0023,1.4215,27.8233,27.7377,27.3748,,,,,,,,0,29.5749,,,,,,,,,16.0405,28.4238,28.4238,37.6273,-0.3747,2.1981,127700.0,38.7125,0.7647,-1.3625,0.8864,51.3591,29.8187,,28.1213,,35.4524,14.8604,14.8604,0.0,0.0,0.0,,,0.3378,27.8924,,,-78.9841,27.8794
2000-01-05,92.0,92.0,90.0,25.55,81000,-160243.5885,-136401.4442,23.8826,,0.165,100.0,0.0,-100.0,0.6664,25.5069,28.0902,30.6735,-1.0,-166.3765,-17.5898,27.4224,20.3058,27.4735,27.446,27.2396,,,,,,,,0,29.0243,,,,,,,,,18.6114,27.1108,27.3947,48.3725,-1.9531,2.6084,46700.0,32.0434,0.599,-7.1016,0.8333,41.2051,29.746,,28.0902,,16.1918,0.0,0.0,0.0,0.0,0.0,,,1.5784,27.8983,,19.1939,-100.0,27.5659
2000-01-06,90.0,90.0,90.0,25.55,0,-160243.5885,-135074.1107,23.6271,,0.0009,100.0,0.0,-100.0,0.6188,25.188,27.9917,30.7953,0.0,-159.775,-17.5898,26.9535,20.3058,27.1775,27.1931,27.1144,,,,,,,,0,28.8985,,,,,,,,,20.6545,27.1108,27.2613,48.3725,-1.9531,2.4221,46700.0,32.0434,0.0032,-7.1016,0.9512,41.2051,29.6201,,27.9917,,4.9535,0.0,0.0,0.0,0.0,0.0,,,0.0,27.8889,,16.4936,-100.0,27.3011
2000-01-07,89.0,89.0,87.56,25.05,225600,-169643.5885,-125242.5551,23.9495,,-0.1855,100.0,35.7143,-64.2857,0.6241,24.756,27.8356,30.9151,-0.5208,-161.2784,-23.137,26.4527,28.1409,26.8506,26.9077,26.9617,,,,,,,,0,28.7786,,,,,,,,,18.7396,26.8624,26.9149,52.5343,-2.4499,2.4912,-178900.0,29.4603,-0.6739,-8.9079,0.9566,38.4315,29.498,,27.8356,,0.6702,2.0105,2.0105,6.0315,0.0,0.0,,,0.6927,27.7846,,20.933,-95.2414,26.9826
2000-01-10,88.25,88.25,88.25,25.05,0,-169643.5885,-109834.8682,24.2489,,-0.3718,92.8571,28.5714,-64.2857,0.5795,24.4096,27.6111,30.8127,0.0,-145.1123,-23.137,26.0517,28.1409,26.574,26.6604,26.8203,,,,,,,,0,28.2615,,,,,,,,,6.5684,26.8624,26.9149,52.5343,-3.3356,2.3132,-178900.0,29.4603,-1.3519,-11.75,0.9109,38.4315,29.3124,,27.6111,,2.2987,4.8855,4.8855,8.625,0.0,0.0,,,0.0,27.5792,,17.0684,-95.2414,26.6748
2000-01-11,93.88,93.88,93.25,26.47,153700,-323343.5885,-142451.281,22.6205,,-0.4857,85.7143,21.4286,-64.2857,0.6523,24.3731,27.4444,30.5157,-1.0,-57.5131,-0.6808,26.086,1.4503,26.5583,26.6352,26.7945,15.6467,,-1.0509,-1.444,,,,0,28.2131,,,,,,,0.2941,5.2306,21.3236,26.8624,26.9149,43.2125,-2.2001,2.4641,-25200.0,41.977,-1.7639,-7.6733,0.9625,49.6596,29.1342,,27.4444,,13.9307,34.896,34.896,90.0316,33.3333,100.0,,,1.5983,27.3256,,36.5663,-60.7586,26.5797
2000-01-12,93.5,93.5,93.5,26.54,400,-323343.5885,-142844.2426,21.1083,,-0.6701,78.5714,14.2857,-64.2857,0.6108,24.5151,27.2412,29.9674,0.0,-48.7943,0.2983,26.1363,1.4503,26.556,26.623,26.7759,17.1324,,-1.6637,-1.2927,,,,0,28.1722,-0.2296,-0.3351,0.1056,-0.6701,-0.6186,-0.0515,0.3198,5.4438,21.3559,26.8624,26.9149,42.8489,-2.0212,2.3011,-24800.0,41.6238,-2.4312,-7.0761,0.9651,50.1491,28.9631,,27.2412,,34.6654,64.2147,64.2147,93.9873,66.6667,100.0,,,0.071,27.0408,,41.1,-59.0345,26.5038
2000-01-13,92.0,92.0,92.0,26.12,4200,-323343.5885,-130019.1593,20.1298,,-0.8809,71.4286,7.1429,-64.2857,0.5976,24.7466,27.0141,29.2817,0.0,-68.3178,-5.6313,26.0753,7.4095,26.4885,26.5555,26.7271,18.5209,,-2.0169,0.175,,,,0,28.0988,-0.2468,-0.2819,0.0351,-0.8809,-0.6635,-0.2174,0.3465,5.6505,21.2656,26.8624,26.9149,45.7959,-2.2171,2.288,-29000.0,39.4775,-3.1963,-7.8249,0.9496,47.1844,28.7988,,27.0141,,61.2894,84.7574,84.7574,70.2532,91.566,74.6981,,,0.4258,26.7386,,39.7917,-69.3793,26.3803
2000-01-14,92.0,93.0,92.0,26.4,900,-322443.5885,-112666.2471,18.902,,-1.0182,64.2857,0.0,-64.2857,0.5752,24.7086,26.9911,29.2737,1.0,-49.4039,-1.3304,26.1009,2.9405,26.475,26.5349,26.7029,19.6879,,-1.6299,1.418,,,,0,27.9836,-0.2348,-0.2159,-0.0189,-1.0182,-0.6587,-0.3595,0.3741,5.858,16.7685,26.8624,26.7645,44.161,-1.9332,2.1785,-28100.0,41.6381,-3.7001,-6.823,0.93,49.3348,28.6411,,26.9911,,77.2807,82.87,82.87,84.3694,89.2495,93.0505,,,0.2839,26.4582,,53.7746,-59.5238,26.3079
