date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,adx_14_adx,adxr_14_adxr,apo_14_apo,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,bop_14_bop,cci_20_cci,cmo_14_cmo,dema_14_dema,dx_14_dx,ema_12_ema,ema_14_ema,ema_26_ema,ht_dcperiod_14_dcperiod,ht_dcphase_14_ht_dcphase,ht_phasor_14_phase,ht_phasor_14_quadrature,ht_sine_14_lead sine,ht_sine_14_sine,ht_trendline_14_ht_trendline,ht_trendmode_14_trendmode,kama_14_kama,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,macdext_14_macd,macdext_14_macd_hist,macdext_14_macd_signal,mama_14_fama,mama_14_mama,mfi_14_mfi,midpoint_14_midpoint,midprice_14_midprice,minus_di_14_minus_di,mom_10_mom,natr_14_natr,obv_14_obv,plus_di_14_plus_di,ppo_14_ppo,roc_10_roc,rocr_14_rocr,rsi_14_rsi,sar_14_sar,sma_200_sma,sma_20_sma,sma_50_sma,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,stochrsi_14_fastd,stochrsi_14_fastk,t3_14_t3,tema_14_tema,trange_14_trange,trima_14_trima,trix_14_trix,ultosc_14_ultosc,willr_14_willr,wma_14_wma
2000-01-03,80.31,80.31,77.81,21.81,696500,-22942650.5935,-979146.1906,15.9126,20.1818,-0.3825,42.8571,92.8571,50.0,0.6114,20.6323,21.6736,22.7149,-0.748,33.1005,3.5542,21.6798,8.6431,21.738,21.7398,21.8795,27.0694,,0.5806,-0.2812,,,,0,22.3028,-0.1392,0.1157,-0.2549,-0.3825,0.1668,-0.5493,0.5069,6.065,33.5492,21.4531,21.4795,24.5059,0.7641,2.8034,3069004.0,29.1428,-1.7508,3.6304,0.9946,51.7771,20.5258,,21.6736,,81.7689,80.6978,80.6978,54.8828,82.8658,48.5975,,21.916,0.7646,21.3653,-0.2059,47.1475,-33.0,21.6185
2000-01-04,75.88,78.38,74.88,21.72,691000,-21165791.7364,-354897.3749,15.413,19.4115,-0.3572,35.7143,85.7143,50.0,0.6385,20.6689,21.633,22.5971,0.6429,-36.2109,1.8912,21.6839,8.918,21.7358,21.7378,21.868,27.7189,,0.1462,0.3367,,,,0,22.2998,-0.1302,0.0998,-0.2299,-0.3572,0.1557,-0.513,0.5354,6.2216,33.5124,21.4531,21.4795,30.9588,0.8496,2.939,996002.0,25.8891,-1.6359,4.0698,0.9969,50.9456,20.5451,,21.633,,80.5132,68.8627,68.8627,55.3663,49.5325,0.0,,21.894,0.9899,21.4228,-0.1838,52.4023,-37.4286,21.646
2000-01-05,77.94,79.63,77.94,21.83,518900,-21690832.9021,-234318.0144,14.4112,18.1828,-0.2782,28.5714,78.5714,50.0,0.6264,20.6689,21.6287,22.5885,0.3314,41.1722,3.8754,21.7133,1.3885,21.7499,21.7497,21.865,27.5216,,0.5423,1.2261,,,,0,22.2975,-0.1134,0.0932,-0.2066,-0.2782,0.1866,-0.4648,0.5646,6.3777,32.9864,21.4531,21.4795,29.2872,1.3207,2.87,2552703.0,28.485,-1.2748,6.4407,0.9977,51.9377,20.5642,,21.6287,,68.9556,57.3062,57.3062,61.6695,21.0492,14.5502,,21.9106,0.4699,21.4929,-0.1629,57.0824,-32.1429,21.6878
2000-01-06,77.81,83.75,77.81,22.68,672300,-21161141.4677,4849.7272,14.7096,17.8074,-0.1241,21.4286,100.0,78.5714,0.6997,20.6157,21.6791,22.7426,0.6313,140.0449,18.5476,21.9492,18.5883,21.8927,21.8734,21.9252,26.7988,,0.9314,0.7528,,,,0,22.3094,-0.0311,0.1404,-0.1715,-0.1241,0.2833,-0.4074,0.5945,6.5407,41.6556,21.5921,21.8966,24.3171,1.3541,3.0852,4569605.0,35.4215,-0.5688,6.3502,1.0525,59.2738,20.583,,21.6791,,63.4281,64.1153,64.1153,75.31,38.1834,100.0,,22.2173,1.6516,21.6059,-0.1344,59.7903,-21.9,21.8436
2000-01-07,84.0,85.38,82.94,23.67,581100,-19775074.2792,543271.5699,15.437,17.9793,0.0906,14.2857,100.0,85.7143,0.7255,20.3926,21.7549,23.1173,0.4631,244.0963,31.6546,22.3864,24.8933,22.1662,22.1131,22.0545,25.782,,1.1609,-0.4761,,,,0,22.4366,0.1129,0.2275,-0.1146,0.0906,0.4236,-0.333,0.6251,6.712,53.3817,22.0885,22.1232,21.7597,1.8435,3.0652,6312906.0,36.1838,0.4144,8.4459,1.1247,65.8273,20.6371,,21.7549,,66.5403,78.1995,78.1995,97.619,71.5167,100.0,,22.79,1.0622,21.7594,-0.0911,63.0768,-2.1496,22.1209
2000-01-10,84.94,85.63,84.38,23.53,802800,-21220115.4792,254360.8901,16.1802,18.3081,0.2257,7.1429,100.0,92.8571,0.6986,20.2653,21.8307,23.3962,-0.248,218.8587,28.5349,22.703,25.842,22.3762,22.3022,22.1639,24.7118,,0.63,-1.6752,,,,0,22.5418,0.2134,0.2624,-0.049,0.2257,0.4706,-0.245,0.6564,6.8802,63.0228,22.0885,22.158,20.9821,2.4524,2.9686,3904504.0,35.6055,1.0296,11.6343,1.1273,64.2675,20.7302,,21.8307,,76.7301,87.8756,87.8756,90.6977,96.5062,89.5185,,23.1633,0.3476,21.9217,-0.0416,60.4246,-8.4175,22.3547
2000-01-11,84.0,84.0,82.31,22.92,559500,-22640385.5561,-338857.6752,15.9605,17.4838,0.3181,0.0,92.8571,92.8571,0.6947,20.2441,21.8804,23.5166,-0.9231,131.4357,15.6128,22.804,13.1037,22.4603,22.3849,22.2201,23.656,,-0.0894,-0.7886,,,,0,22.5716,0.2411,0.2321,0.009,0.3181,0.469,-0.151,0.6883,7.0406,62.2081,22.3749,22.158,25.5316,1.8435,3.0308,2226003.0,33.2318,1.4513,8.7455,1.1178,57.8064,20.8534,,21.8804,22.2721,82.861,82.508,82.508,59.2072,77.257,42.2524,,23.2187,0.6451,22.0692,0.003,55.7608,-26.8519,22.4821
2000-01-12,82.13,82.56,81.88,22.96,619300,-20782484.5561,40417.564,15.5775,16.92,0.4583,0.0,85.7143,85.7143,0.6586,20.2376,21.9386,23.6397,0.6324,97.8773,16.1105,22.8902,10.5992,22.5366,22.4611,22.2746,22.8209,,-0.0747,0.8614,,,,0,22.5918,0.2627,0.203,0.0597,0.4583,0.5081,-0.0497,0.7209,7.1998,54.0025,22.3749,22.3151,26.3087,1.0927,2.869,4083904.0,32.5469,2.0897,4.9981,1.0765,58.0552,20.9716,,21.9386,22.3248,80.1997,70.2155,70.2155,60.7417,44.9578,3.1023,,23.2584,0.1891,22.2033,0.0427,59.289,-28.5581,22.5908
2000-01-13,82.0,84.88,81.75,23.39,615100,-19821513.1088,497664.9347,15.9499,16.5029,0.5942,50.0,78.5714,28.5714,0.6737,20.1998,22.0144,23.8289,0.6805,113.0341,22.5464,23.0648,20.7904,22.6683,22.5853,22.3574,22.6216,,0.531,1.9402,,,,0,22.632,0.3114,0.2014,0.1101,0.5942,0.5337,0.0605,0.7541,7.3617,55.0495,22.3749,22.3151,23.87,1.165,2.8801,5929205.0,36.4005,2.7022,5.2414,1.0717,61.2732,21.0852,,22.0144,22.3571,71.0511,60.4297,60.4297,61.3402,29.5256,43.2221,,23.4276,0.8703,22.3585,0.0818,57.5453,-13.9535,22.7422
2000-01-14,82.63,83.44,80.13,22.42,618600,-21116649.1542,227389.6688,15.6144,15.7751,0.6117,42.8571,71.4286,28.5714,0.7051,20.2485,22.058,23.8675,-0.6042,52.0223,3.4858,22.9596,11.2534,22.63,22.5631,22.362,23.2212,,1.482,1.383,,,,0,22.6238,0.2685,0.1267,0.1418,0.6117,0.4407,0.171,0.7879,7.5123,53.2827,22.3749,22.3151,25.7515,0.0195,3.1448,4073404.0,32.2823,2.7782,0.0869,1.0636,51.7429,21.1941,,22.058,22.3697,58.1232,43.7243,43.7243,9.0909,15.4415,0.0,,23.202,1.1122,22.5262,0.1078,53.4521,-46.5116,22.749
