date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,adx_14_adx,adxr_14_adxr,apo_14_apo,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,bop_14_bop,cci_20_cci,cmo_14_cmo,dema_14_dema,dx_14_dx,ema_12_ema,ema_14_ema,ema_26_ema,ht_dcperiod_14_dcperiod,ht_dcphase_14_ht_dcphase,ht_phasor_14_phase,ht_phasor_14_quadrature,ht_sine_14_lead sine,ht_sine_14_sine,ht_trendline_14_ht_trendline,ht_trendmode_14_trendmode,kama_14_kama,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,macdext_14_macd,macdext_14_macd_hist,macdext_14_macd_signal,mama_14_fama,mama_14_mama,mfi_14_mfi,midpoint_14_midpoint,midprice_14_midprice,minus_di_14_minus_di,mom_10_mom,natr_14_natr,obv_14_obv,plus_di_14_plus_di,ppo_14_ppo,roc_10_roc,rocr_14_rocr,rsi_14_rsi,sar_14_sar,sma_200_sma,sma_20_sma,sma_50_sma,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,stochrsi_14_fastd,stochrsi_14_fastk,t3_14_t3,tema_14_tema,trange_14_trange,trima_14_trima,trix_14_trix,ultosc_14_ultosc,willr_14_willr,wma_14_wma
2000-01-03,48.12,48.19,45.12,33.49,886900,-9233706.8432,-319090.8318,18.9878,15.3264,-0.6665,21.4286,0.0,-21.4286,1.1914,32.3978,34.4602,36.5225,-0.6287,-60.2554,-13.4143,33.833,25.3189,34.1015,34.1467,34.4846,23.611,,0.069,1.2418,,,,0,34.731,-0.4048,0.1056,-0.5104,-0.6665,-0.2148,-0.4517,0.789,9.5039,38.01,34.1984,34.3325,32.5084,-0.2248,3.5571,620200.0,19.3727,-1.9347,-0.6667,0.9249,43.2928,36.8287,,34.4602,,73.798,69.1201,69.1201,32.2289,66.6667,0.0,,33.9545,2.2262,33.7111,-0.1915,43.0519,-71.7514,33.9014
2000-01-04,45.25,45.31,42.88,31.41,1221700,-10023035.6498,-543984.7335,20.3462,16.4582,-0.7441,100.0,0.0,-100.0,1.2778,32.0073,34.1926,36.3779,-0.7984,-192.6806,-32.3065,33.1929,38.0048,33.6869,33.7813,34.2566,23.1621,,0.4144,1.0808,,,,0,34.252,-0.5881,-0.0622,-0.5259,-0.7441,-0.2275,-0.5166,0.8337,9.723,39.9613,33.1759,33.1324,37.2769,-2.0885,4.0685,-601500.0,16.7457,-2.1669,-6.2351,0.8952,33.8468,36.7845,,34.1926,,64.2756,43.2389,43.2389,7.7338,33.3333,0.0,,33.06,2.4003,33.6923,-0.2009,37.1852,-92.3488,33.5694
2000-01-05,43.31,43.38,41.75,30.73,1361900,-10332178.5946,-684897.2909,21.9816,18.0894,-0.8955,100.0,0.0,-100.0,1.2709,31.3981,33.9457,36.4932,-0.5706,-234.5781,-37.0806,32.5124,43.2427,33.2323,33.3748,33.9955,22.764,,0.6762,0.5647,,,,0,33.7866,-0.7788,-0.2023,-0.5765,-0.8955,-0.316,-0.5794,0.8792,9.9331,38.5885,32.8387,32.7009,39.427,-2.7193,4.1356,-1963400.0,15.6222,-2.6151,-8.1292,0.9029,31.4597,36.6707,,33.9457,,42.9397,16.4599,16.4599,9.417,0.0,0.0,,32.1599,1.182,33.6526,-0.2252,39.2471,-90.583,33.1825
2000-01-06,42.31,44.44,42.06,32.09,2482300,-8246212.2081,-16563.3695,22.6957,18.9899,-0.9483,92.8571,71.4286,-21.4286,1.3034,31.1867,33.7916,36.3964,0.8151,-160.1286,-18.9194,32.3072,31.9783,33.0563,33.2032,33.8542,22.4272,,0.8634,-0.2357,,,,0,33.7256,-0.8111,-0.1877,-0.6234,-0.9483,-0.3031,-0.6452,0.9256,10.1546,55.2939,32.8387,32.7009,35.6646,-1.2255,4.0621,518900.0,18.3816,-2.7745,-3.6787,0.9528,40.5403,36.4788,,33.7916,,25.9574,18.1734,18.1734,37.3692,14.1879,42.5636,,31.9724,1.7259,33.5909,-0.2485,45.2698,-62.6308,33.008
2000-01-07,44.25,46.19,43.13,32.99,1206500,-7583820.0512,469112.8637,22.2024,19.2951,-0.9613,85.7143,64.2857,-21.4286,1.3688,31.1256,33.6919,36.2581,0.4085,-80.5844,-8.5654,32.3747,15.7893,33.0468,33.1754,33.7906,22.0551,,0.8823,-2.211,,,,0,33.7158,-0.7549,-0.1052,-0.6497,-0.9613,-0.2542,-0.707,0.9728,10.383,56.2669,32.8387,32.7009,31.5022,-0.4568,4.1487,1725400.0,22.9108,-2.8145,-1.3657,0.9785,45.7173,36.2927,,33.6919,,23.2129,35.0054,35.0054,58.2298,47.5212,100.0,,32.1673,2.219,33.5099,-0.2633,51.1375,-43.9462,32.9693
2000-01-10,45.5,46.06,44.88,32.59,855800,-8352589.5427,380543.4969,21.7443,19.7314,-0.938,78.5714,57.1429,-21.4286,1.3322,31.1225,33.5287,35.9349,-0.4746,-54.257,-12.2514,32.3354,15.7893,32.9763,33.0972,33.7015,21.5136,,-0.2856,-4.4843,,,,0,33.6976,-0.7347,-0.0679,-0.6667,-0.938,-0.1726,-0.7655,1.021,10.6051,61.5956,32.8387,32.7009,30.046,-0.95,4.0879,869600.0,21.8517,-2.7532,-2.8324,0.9729,43.8743,36.1122,,33.5287,,36.3313,55.8153,55.8153,71.8468,76.5457,87.0734,,32.1894,0.8557,33.3892,-0.274,47.8165,-52.3169,32.8835
2000-01-11,44.75,45.5,43.25,31.54,1511400,-9528122.8761,-64317.6226,22.0227,20.4885,-0.8947,71.4286,50.0,-21.4286,1.3536,31.0779,33.2952,35.5126,-0.5556,-108.2505,-21.0637,32.0505,25.6422,32.756,32.8901,33.5417,20.8878,,-2.2873,-3.7838,,,,0,33.6255,-0.7937,-0.1016,-0.6921,-0.8947,-0.0834,-0.8113,1.07,10.8145,58.5319,32.8387,32.7009,33.7217,-2.2697,4.291,-641800.0,19.9573,-2.6419,-6.7124,0.943,39.4682,35.9371,,33.2952,34.6699,49.1059,56.497,56.497,39.4144,81.081,56.1697,,31.8564,1.6316,33.1883,-0.2881,42.9269,-73.8416,32.6671
2000-01-12,43.5,44.5,43.38,31.95,1151400,-9281394.3046,-161954.6603,22.2812,21.0127,-0.8422,64.2857,42.8571,-21.4286,1.3149,31.0076,33.1386,35.2695,0.5,-98.0363,-16.1774,31.9286,25.6422,32.6321,32.7648,33.4239,20.605,,-3.2828,0.1471,,,,0,33.5893,-0.7985,-0.0852,-0.7134,-0.8422,-0.0048,-0.8373,1.1198,11.0258,55.4881,32.8387,32.7009,32.2241,-1.9942,4.1154,509600.0,19.071,-2.5003,-5.8748,0.9591,41.9113,35.7672,,33.1386,34.5813,55.1805,53.2291,53.2291,48.4262,60.7796,39.0956,,31.7633,0.8122,32.9332,-0.3003,44.5004,-65.4709,32.5229
2000-01-13,44.38,45.44,43.94,32.77,417700,-9002927.638,-98570.9036,21.87,20.9004,-0.8176,57.1429,35.7143,-21.4286,1.2987,30.9799,33.0751,35.1703,0.54,-43.2746,-6.8093,32.0413,16.5238,32.6533,32.7655,33.3754,20.683,,-2.1242,3.7771,,,,0,33.5806,-0.7279,-0.0116,-0.7163,-0.8176,0.0389,-0.8565,1.1704,11.2433,55.2621,32.8387,32.7009,30.2843,-1.8129,3.963,927300.0,21.6953,-2.4355,-5.2422,0.9796,46.5953,35.6025,,33.0751,34.4974,53.8155,51.7203,51.7203,67.3203,65.0884,100.0,,31.9952,1.0877,32.6993,-0.3044,52.1277,-48.58,32.501
2000-01-14,46.19,48.0,45.88,33.94,1260600,-9157529.5247,-112871.7031,20.5883,20.3461,-0.7705,50.0,28.5714,-21.4286,1.3515,30.9747,33.0885,35.2023,0.2925,65.4121,5.0157,32.4313,3.926,32.8519,32.9227,33.4176,20.3641,,-0.154,3.8086,,,,0,33.5833,-0.5705,0.1166,-0.6871,-0.7705,0.0975,-0.868,1.2219,11.4703,56.2492,32.8387,32.7009,27.0047,-1.0007,3.9814,2187900.0,29.2118,-2.2983,-2.8637,1.0121,52.5078,35.4427,,33.0885,34.4407,56.1713,63.5646,63.5646,74.9474,79.6985,100.0,,32.5931,2.0377,32.5591,-0.2941,54.211,-24.3647,32.6423
