date,open,high,low,close,volume,ad_14_chaikin a/d,adx_14_adx,adxr_14_adxr,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,ema_14_ema,ema_200_ema,ema_20_ema,ema_30_ema,ema_50_ema,ema_7_ema,ema_90_ema,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,mfi_14_mfi,mom_10_mom,roc_10_roc,rsi_14_rsi,sar_14_sar,sma_14_sma,sma_200_sma,sma_20_sma,sma_30_sma,sma_50_sma,sma_7_sma,sma_90_sma,stochrsi_14_fastd,stochrsi_14_fastk
1999-11-01,19.25,19.5,19.0,8.2,1700,-1700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-11-02,19.5,19.5,19.5,8.42,700,-1700.0,,,,,,,,,,,,,,,,,,,,,8.2046,,,,,,,,,
1999-11-03,19.5,19.5,18.88,8.42,2000,300.0,,,,,,,,,,,,,,,,,,,,,8.4205,,,,,,,,,
1999-11-04,19.19,19.5,19.0,8.2,1700,-1400.0,,,,,,,,,,,,,,,,,,,,,8.4205,,,,,,,,,
1999-11-05,19.5,19.5,18.62,8.04,17000,-18400.0,,,,,,,,,,,,,,,,,,,,,8.4205,,,,,,,,,
1999-11-08,18.38,18.38,17.88,7.88,10500,-13360.0,,,,,,,,,,,,,,,,,,,,,8.4205,,,,,,,,,
1999-11-09,18.38,18.38,18.0,7.77,2400,-15760.0,,,,,,,,,,,,8.1349,,,,,,,,,8.4205,,,,,,8.1349,,,
1999-11-10,18.25,18.25,18.25,7.88,600,-15760.0,,,,,,,,,,,,8.0714,,,,,,,,,8.3995,,,,,,8.0886,,,
1999-11-11,18.25,18.25,17.75,7.88,10900,-4860.0,,,,,,,,,,,,8.0237,,,,,,,,,8.3792,,,,,,8.0115,,,
1999-11-12,18.25,18.25,18.0,7.77,6900,-11760.0,,,,,,,,,,,,7.961,,,,,,,,,8.3506,,,,,,7.919,,,
