date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,adx_14_adx,adxr_14_adxr,apo_14_apo,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,bop_14_bop,cci_20_cci,cmo_14_cmo,dema_14_dema,dx_14_dx,ema_12_ema,ema_14_ema,ema_26_ema,ht_dcperiod_14_dcperiod,ht_dcphase_14_ht_dcphase,ht_phasor_14_phase,ht_phasor_14_quadrature,ht_sine_14_lead sine,ht_sine_14_sine,ht_trendline_14_ht_trendline,ht_trendmode_14_trendmode,kama_14_kama,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,macdext_14_macd,macdext_14_macd_hist,macdext_14_macd_signal,mama_14_fama,mama_14_mama,mfi_14_mfi,midpoint_14_midpoint,midprice_14_midprice,minus_di_14_minus_di,mom_10_mom,natr_14_natr,obv_14_obv,plus_di_14_plus_di,ppo_14_ppo,roc_10_roc,rocr_14_rocr,rsi_14_rsi,sar_14_sar,sma_200_sma,sma_20_sma,sma_50_sma,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,stochrsi_14_fastd,stochrsi_14_fastk,t3_14_t3,tema_14_tema,trange_14_trange,trima_14_trima,trix_14_trix,ultosc_14_ultosc,willr_14_willr,wma_14_wma
2000-01-03,2.94,3.0,2.69,12.06,64700,-69669.7232,838.4304,24.1094,26.1617,-0.7534,85.7143,14.2857,-71.4286,1.0749,12.0034,12.9744,13.9454,-0.8065,-81.9559,-21.8172,12.1299,11.9615,12.809,12.9198,13.7715,21.1573,,-0.1995,1.2145,,,,0,13.7637,-0.93,0.0689,-0.999,-0.7534,0.6197,-1.3731,0.3489,3.9223,42.2335,12.8906,13.0296,20.56,-1.1207,8.9133,-177660.0,16.1669,-5.5787,-8.5034,0.8967,39.0914,13.9698,,12.9744,,42.3194,33.6,33.6,17.3333,47.4592,34.263,,12.3622,1.3897,12.8052,-1.0562,43.3074,-88.4547,12.6722
2000-01-04,2.69,2.81,2.62,11.77,72900,-84249.7232,-3973.4793,23.5824,25.7704,-0.6312,78.5714,7.1429,-71.4286,1.0583,11.813,12.8904,13.9678,-0.3351,-146.7605,-24.8656,11.9485,16.7309,12.6488,12.7662,13.6231,21.1773,,0.2427,0.5776,,,,0,13.6715,-0.9468,0.0417,-0.9885,-0.6312,0.5936,-1.2248,0.3672,4.0008,40.4335,12.7494,13.0296,21.3638,-1.9635,8.9931,-192240.0,15.2397,-4.7501,-14.2997,0.875,37.5672,13.8157,,12.8904,,36.467,28.0,28.0,0.0,49.0618,12.9225,,12.1257,0.8428,12.7401,-1.039,40.4293,-100.0,12.5305
2000-01-05,2.69,2.94,2.69,12.89,61100,-78188.6032,-3652.2243,22.2519,25.3085,-0.5693,71.4286,0.0,-71.4286,1.0829,11.8065,12.8763,13.946,0.748,-34.2747,-7.5037,12.0879,4.9555,12.6857,12.7825,13.5687,21.6088,,0.2125,-0.5813,,,,0,13.6655,-0.8598,0.103,-0.9628,-0.5693,0.5079,-1.0772,0.3858,4.0896,37.3584,12.7494,12.8884,19.3717,0.2779,8.4023,-180020.0,17.5425,-4.3121,2.2041,0.9786,46.2481,13.6723,,12.8763,,29.8667,28.0,28.0,66.6667,49.0618,100.0,,12.3482,1.4032,12.69,-1.0077,43.8911,-50.0,12.5542
2000-01-06,2.88,3.06,2.81,13.73,143800,-49428.6032,5962.1277,21.0431,24.8864,-0.494,64.2857,14.2857,-50.0,1.0856,11.7855,12.9184,14.0513,0.752,69.0099,3.3765,12.4166,5.3292,12.8465,12.909,13.5807,22.561,,-0.3033,-0.9253,,,,0,13.6666,-0.7145,0.1986,-0.9131,-0.494,0.441,-0.935,0.4048,4.186,45.7496,12.7494,12.8884,17.9334,1.4032,7.9062,-151260.0,19.9524,-3.7628,11.3818,1.0654,51.6883,11.7676,,12.9184,,37.1852,55.5556,55.5556,100.0,70.9742,100.0,,12.8175,1.1207,12.6549,-0.9522,49.3412,-12.4,12.6929
2000-01-07,3.06,3.06,2.81,12.61,189500,-87328.6032,-2705.8308,19.9207,23.9226,-0.3971,57.1429,7.1429,-50.0,1.0881,11.7864,12.8624,13.9383,-1.0,11.694,-9.7099,12.408,5.3292,12.8102,12.8692,13.5088,23.124,,-0.4288,-0.0648,,,,0,13.6554,-0.682,0.1849,-0.8669,-0.3971,0.4079,-0.805,0.4241,4.2703,37.5548,12.7494,12.8884,16.6056,0.2824,8.6288,-189160.0,18.4751,-3.0472,2.2909,0.9568,45.145,11.7873,,12.8624,,51.1395,69.863,69.863,42.9224,84.5544,53.6633,,12.7824,1.1207,12.6149,-0.8993,42.7289,-62.4,12.6742
2000-01-10,2.88,2.88,2.62,12.33,102800,-87328.6032,-6005.8292,19.2154,23.3184,-0.3215,50.0,0.0,-50.0,1.0905,11.73,12.8202,13.9105,-0.5,-96.4679,-12.7088,12.3348,10.0461,12.736,12.797,13.4214,23.1226,,-0.3223,-0.1251,,,,0,13.6207,-0.6713,0.1565,-0.8278,-0.3215,0.3684,-0.6899,0.4438,4.3509,30.5849,12.7494,12.7494,20.9327,-0.8428,8.8453,-209720.0,17.1108,-2.482,-6.3989,0.8978,43.6456,13.7312,,12.8202,,60.8574,57.1537,57.1537,28.5388,65.5694,43.0449,,12.6584,1.1207,12.5851,-0.8534,44.3064,-71.4612,12.6233
2000-01-11,2.69,2.75,2.62,12.05,104100,-87162.0432,-6756.8477,18.5604,22.8802,-0.2693,100.0,85.7143,-14.2857,1.0526,11.6509,12.7503,13.8497,0.0,-135.5189,-15.677,12.2105,10.0461,12.6305,12.6974,13.3198,22.7754,,-0.6737,0.7391,,,,0,13.6026,-0.6774,0.1203,-0.7977,-0.2693,0.3234,-0.5928,0.4637,4.4279,29.9064,12.7494,12.7494,20.1321,-0.8383,8.7351,-230540.0,16.4564,-2.0913,-6.5043,0.9556,42.1615,13.7312,,12.7503,14.8229,51.8772,28.6149,28.6149,14.3836,32.2361,0.0,,12.4695,0.5604,12.5702,-0.8171,42.2515,-85.6164,12.5487
2000-01-12,2.56,2.62,2.44,11.49,198100,-73814.1287,-2202.76,18.8783,23.0552,-0.3341,100.0,78.5714,-21.4286,1.0575,11.4731,12.6523,13.8316,0.0,-215.8772,-21.4745,11.9748,23.0107,12.455,12.5364,13.1842,22.2,,0.0733,2.3216,,,,0,13.5687,-0.7192,0.0628,-0.782,-0.3341,0.1821,-0.5162,0.4839,4.4985,28.363,12.6104,12.3302,24.2924,-1.3987,9.2035,-270160.0,15.204,-2.6093,-10.8522,0.932,39.2627,13.6919,,12.6523,14.7221,35.5809,20.9741,20.9741,20.0,14.3483,0.0,,12.1347,1.1207,12.5403,-0.7967,48.3727,-80.0,12.4046
2000-01-13,2.5,2.69,2.5,11.77,62700,-69678.5968,1176.3778,18.7369,22.6018,-0.3735,92.8571,71.4286,-21.4286,1.0421,11.3682,12.5822,13.7961,0.6649,-149.4537,-17.1714,11.8584,16.898,12.3492,12.4339,13.0793,21.9388,,1.1297,0.6847,,,,0,13.549,-0.7215,0.0484,-0.7699,-0.3735,0.0869,-0.4604,0.5043,4.5712,33.7464,12.6104,12.3302,22.8822,-0.2824,8.8558,-257620.0,16.2668,-2.9295,-2.3437,0.9545,41.4143,13.609,,12.5822,14.638,23.6745,21.4345,21.4345,29.92,12.1923,36.5768,,11.9848,0.8428,12.5152,-0.7814,53.7773,-70.08,12.3057
2000-01-14,2.56,2.69,2.56,11.77,63900,-69780.8368,2419.2781,18.6055,22.1807,-0.4238,85.7143,64.2857,-21.4286,1.0077,11.2711,12.5262,13.7812,0.496,-116.8301,-17.1714,11.7693,16.898,12.2598,12.3451,12.9821,21.2976,,0.7029,-1.8263,,,,0,13.4936,-0.7152,0.0438,-0.759,-0.4238,-0.0,-0.4238,0.525,4.6431,30.7442,12.6104,12.3302,21.969,-1.1207,8.5634,-257620.0,15.6176,-3.3352,-8.6957,0.8935,41.4143,13.5286,,12.5262,14.5427,24.4375,30.9039,30.9039,42.7918,28.5557,49.0902,,11.8786,0.5604,12.48,-0.7687,50.1676,-70.08,12.212
