date,open,high,low,close,volume,ad_14_chaikin a/d,adx_14_adx,adxr_14_adxr,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,ema_14_ema,ema_200_ema,ema_20_ema,ema_30_ema,ema_50_ema,ema_7_ema,ema_90_ema,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,mfi_14_mfi,mom_10_mom,roc_10_roc,rsi_14_rsi,sar_14_sar,sma_14_sma,sma_200_sma,sma_20_sma,sma_30_sma,sma_50_sma,sma_7_sma,sma_90_sma,stochrsi_14_fastd,stochrsi_14_fastk
1999-11-01,43.75,44.25,40.63,9.18,451467,-1268346.9613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-11-02,41.44,43.13,41.38,9.44,372444,-799067.8013,,,,,,,,,,,,,,,,,,,,,9.0289,,,,,,,,,
1999-11-03,42.63,44.88,42.63,9.81,509378,-35001.468,,,,,,,,,,,,,,,,,,,,,9.0344,,,,,,,,,
1999-11-04,44.88,45.0,42.31,9.53,331378,-894243.1037,,,,,,,,,,,,,,,,,,,,,9.0532,,,,,,,,,
1999-11-05,43.0,43.5,42.38,9.49,432844,-1763795.3358,,,,,,,,,,,,,,,,,,,,,9.0816,,,,,,,,,
1999-11-08,42.88,43.5,41.88,9.43,169778,-1999597.805,,,,,,,,,,,,,,,,,,,,,9.1092,,,,,,,,,
1999-11-09,42.38,42.63,40.0,8.93,263867,-3015434.3069,,,,,,,,,,,,9.4013,,,,,,,,,10.0,,,,,,9.4013,,,
1999-11-10,40.06,41.5,39.38,8.83,339067,-4008643.7408,,,,,,,,,,,,9.2593,,,,,,,,,9.9889,,,,,,9.3518,,,
1999-11-11,39.88,40.38,39.31,8.83,285867,-4237069.909,,,,,,,,,,,,9.1528,,,,,,,,,9.9641,,,,,,9.2644,,,
1999-11-12,39.66,40.13,38.63,8.78,320400,-4006382.069,,,,,,,,,,,,9.059,,,,,,,,,9.9273,,,,,,9.1175,,,
1999-11-15,39.75,40.13,38.75,8.76,165867,-4006382.069,,,,,,,,,,,,8.9854,,,,,,-0.4156,-4.5267,,9.8736,,,,,,9.0083,,,
1999-11-16,39.63,40.06,39.0,8.81,524178,-3561325.654,,,,,,,,,,,,8.9407,,,,,,-0.6378,-6.7529,,9.822,,,,,,8.9111,,,
1999-11-17,38.88,40.38,38.5,8.62,392444,-4744919.388,,,,,,,,,,,,8.8616,,,,,,-1.1822,-12.0553,,9.7725,,,,,,8.7959,,,
1999-11-18,38.88,39.75,38.0,8.56,236178,-5200405.1023,,,,,,,9.0718,,,,,8.7851,,,,,,-0.9733,-10.2146,,9.7117,9.0718,,,,,8.7422,,,
1999-11-19,38.13,40.75,38.0,8.88,345200,-4562099.3314,,,0.409,,,,9.0456,,,,,8.8077,,,,,41.1289,-0.6111,-6.4418,43.3301,9.6356,9.05,,,,,8.7483,,,
1999-11-22,40.0,40.63,39.88,8.94,348844,-4583029.958,,,0.3917,,,,9.0321,,,,,8.8419,,,,,40.5956,-0.4867,-5.1602,45.1143,9.5522,9.0143,,,,,8.7641,,,
1999-11-23,40.25,40.69,38.63,8.67,629600,-6398477.2202,,,0.3965,,,,8.9834,,,,,8.7981,,,,,28.491,-0.2644,-2.9609,39.6883,9.4747,8.9329,,,,,8.7483,,,
1999-11-24,39.0,42.0,38.5,9.2,472667,-5025042.9345,,,0.4237,,,,9.0117,,,,,8.8975,,,,,37.505,0.3622,4.1006,51.6195,9.4026,8.9091,,,,,8.8098,,,
1999-11-26,41.5,42.0,41.0,9.25,55244,-4960407.7145,,,0.4093,,,,9.0436,,,,,8.9859,,,,,42.1275,0.4178,4.7296,52.6785,9.3355,8.8922,,,,,8.8733,,,
