date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,adx_14_adx,adxr_14_adxr,apo_14_apo,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,bop_14_bop,cci_20_cci,cmo_14_cmo,dema_14_dema,dx_14_dx,ema_12_ema,ema_14_ema,ema_26_ema,ht_dcperiod_14_dcperiod,ht_dcphase_14_ht_dcphase,ht_phasor_14_phase,ht_phasor_14_quadrature,ht_sine_14_lead sine,ht_sine_14_sine,ht_trendline_14_ht_trendline,ht_trendmode_14_trendmode,kama_14_kama,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,macdext_14_macd,macdext_14_macd_hist,macdext_14_macd_signal,mama_14_fama,mama_14_mama,mfi_14_mfi,midpoint_14_midpoint,midprice_14_midprice,minus_di_14_minus_di,mom_10_mom,natr_14_natr,obv_14_obv,plus_di_14_plus_di,ppo_14_ppo,roc_10_roc,rocr_14_rocr,rsi_14_rsi,sar_14_sar,sma_200_sma,sma_20_sma,sma_50_sma,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,stochrsi_14_fastd,stochrsi_14_fastk,t3_14_t3,tema_14_tema,trange_14_trange,trima_14_trima,trix_14_trix,ultosc_14_ultosc,willr_14_willr,wma_14_wma
2000-01-03,44.75,44.94,43.63,18.4,589900,-6117953.9421,-768956.8871,16.9361,19.2543,-0.055,100.0,28.5714,-71.4286,0.4467,18.3138,19.1049,19.896,-0.6641,-133.2128,-13.1738,18.7882,8.3774,18.846,18.8626,18.8196,25.7755,,-0.4861,0.3223,,,,0,18.9021,0.0109,-0.0816,0.0925,-0.055,-0.2429,0.188,0.4247,5.1873,47.6552,19.0133,19.1055,25.9259,-1.0986,2.428,1059478.0,21.9178,-0.2894,-5.6344,0.9672,43.4131,19.9596,,19.1049,,56.5382,56.379,56.379,13.369,63.1176,0.0,,18.6163,0.7338,18.9473,0.0798,37.4473,-93.5401,18.839
2000-01-04,43.88,44.0,42.94,18.06,326500,-6430642.376,-795826.4353,16.9467,19.5248,-0.1849,100.0,21.4286,-78.5714,0.4466,18.1712,19.017,19.8628,-0.7736,-185.6094,-22.6952,18.5972,17.0852,18.7243,18.755,18.763,25.5684,,-0.3924,0.6739,,,,0,18.8466,-0.0518,-0.1154,0.0636,-0.1849,-0.2983,0.1134,0.4491,5.316,41.1565,18.8413,18.9609,28.7326,-1.1824,2.4733,655271.0,20.3472,-0.9731,-6.1465,0.9464,38.6524,19.9096,,19.017,,53.4015,36.6855,36.6855,4.6875,33.3333,0.0,,18.3759,0.4445,18.8771,0.0519,34.8581,-97.3684,18.7187
2000-01-05,42.94,43.69,42.94,18.16,751900,-6443053.736,-738419.7345,16.9566,20.0675,-0.2983,100.0,14.2857,-85.7143,0.4371,18.111,18.9292,19.7474,0.4933,-170.5185,-18.4311,18.4702,17.0852,18.6375,18.6756,18.7183,24.8819,,-0.148,0.6164,,,,0,18.8144,-0.0919,-0.1245,0.0325,-0.2983,-0.3346,0.0363,0.4741,5.4444,40.9261,18.8413,18.9609,27.245,-0.868,2.4071,1586123.0,19.2938,-1.5698,-4.5615,0.9571,40.7844,19.8334,,18.9292,,34.6337,10.8365,10.8365,14.4531,4.3745,13.1234,,18.237,0.3145,18.8023,0.0226,38.2245,-91.886,18.6221
2000-01-06,43.0,44.25,43.0,18.21,802500,-6737128.256,-741375.2738,16.2791,20.3974,-0.3826,92.8571,7.1429,-85.7143,0.4433,18.0367,18.8638,19.6909,0.352,-132.5466,-16.1702,18.3828,7.4712,18.5724,18.6141,18.681,23.962,,-0.0213,0.3554,,,,0,18.7236,-0.118,-0.1204,0.0024,-0.3826,-0.3431,-0.0395,0.4996,5.5721,41.8108,18.7764,18.9609,24.9284,-0.6038,2.434,2579618.0,21.4625,-2.0135,-3.2086,0.928,41.9149,19.7603,,18.8638,,20.1376,12.8906,12.8906,19.5312,11.0684,20.0817,,18.1583,0.5241,18.7251,-0.0056,34.6768,-89.0351,18.5405
2000-01-07,43.5,44.75,43.31,18.71,1407300,-5285264.0894,-213229.8256,15.1444,20.1392,-0.4059,85.7143,0.0,-85.7143,0.4548,18.0309,18.8338,19.6367,0.7847,-67.5387,2.2295,18.4383,0.3931,18.5941,18.6274,18.6834,23.2011,,0.1549,-0.2271,,,,0,18.7231,-0.0972,-0.0797,-0.0175,-0.4059,-0.2962,-0.1097,0.5256,5.7035,40.6159,18.6464,18.7785,22.5497,-0.1551,2.4304,4321855.0,22.7277,-2.1365,-0.8222,0.9598,51.1147,19.6901,,18.8338,,21.074,39.4948,39.4948,84.5,44.4017,100.0,,18.2805,0.6038,18.6647,-0.0254,43.5195,-54.2005,18.5389
2000-01-10,44.75,45.81,44.75,19.1,709500,-4821224.3158,169863.2244,15.1092,20.1466,-0.3841,78.5714,0.0,-78.5714,0.4577,18.0309,18.8338,19.6367,0.7642,38.7417,13.7295,18.582,14.6518,18.6725,18.6909,18.7145,23.0526,,-0.1605,-1.1035,,,,0,18.7262,-0.0488,-0.025,-0.0238,-0.3841,-0.2137,-0.1704,0.5522,5.8375,47.8343,18.5793,18.6338,20.7984,0.4696,2.3957,5200216.0,27.9393,-2.0214,2.5203,0.993,56.8647,19.6226,,18.8338,,39.1641,65.1068,65.1068,91.2892,73.3606,100.0,,18.5147,0.4948,18.6235,-0.0339,47.3787,-12.6667,18.5967
2000-01-11,45.44,46.56,45.13,19.18,535900,-4909374.2179,283093.3011,15.6761,20.0405,-0.3396,71.4286,100.0,28.5714,0.4678,18.0284,18.8418,19.6551,0.2168,75.2969,15.9057,18.719,23.0457,18.751,18.7565,18.7492,23.5378,,-0.6974,-0.5598,,,,0,18.7304,-0.0039,0.0159,-0.0198,-0.3396,-0.1194,-0.2202,0.5793,5.971,54.4656,18.6191,18.7638,18.8843,0.499,2.4386,5863660.0,30.1949,-1.7893,2.6706,1.0082,57.9529,19.5579,,18.8418,18.6894,63.0243,84.4712,84.4712,77.6243,100.0,100.0,,18.7226,0.5996,18.5925,-0.0335,45.4105,-22.3757,18.6665
2000-01-12,45.75,46.5,45.5,19.37,337700,-4750506.8579,354227.6469,16.2025,19.9419,-0.2614,64.2857,92.8571,28.5714,0.4643,18.0167,18.8562,19.6958,0.44,95.329,20.8831,18.8761,23.0457,18.8459,18.838,18.795,24.385,,-0.6324,0.6654,,,,0,18.7501,0.046,0.0527,-0.0066,-0.2614,-0.0054,-0.256,0.6069,6.1049,59.4975,18.7114,18.7638,17.6602,0.6541,2.3975,6281732.0,28.2378,-1.3783,3.4954,1.0292,60.4416,19.5227,,18.8562,18.7254,78.5838,86.1734,86.1734,89.6067,100.0,100.0,,18.9447,0.4193,18.5788,-0.0248,51.4766,-10.221,18.7594
2000-01-13,46.19,46.44,45.69,19.16,380900,-5222060.8579,201085.6386,16.6913,19.6103,-0.1927,57.1429,85.7143,28.5714,0.4536,18.017,18.8655,19.7139,-0.6667,78.9549,12.7186,18.9507,23.0457,18.8939,18.8806,18.8219,25.4523,,-0.3372,1.5208,,,,0,18.756,0.0679,0.0596,0.0083,-0.1927,0.0856,-0.2783,0.635,6.2355,53.1191,18.7114,18.7638,16.7817,0.3396,2.3678,5810178.0,26.833,-1.0178,1.8048,1.0153,56.3593,19.5227,,18.8655,18.7485,83.5995,80.1539,80.1539,73.2308,85.4103,56.2308,,19.0378,0.3145,18.5922,-0.0139,50.7943,-24.0331,18.8191
2000-01-14,45.44,45.94,45.13,19.0,784300,-5761484.7468,-51478.7511,16.4068,18.7044,-0.1488,50.0,78.5714,28.5714,0.4455,18.0572,18.834,19.6108,-0.1605,42.9277,6.8139,18.9707,12.7084,18.91,18.8964,18.835,27.0788,,0.2182,2.2837,,,,0,18.7605,0.0716,0.0506,0.0209,-0.1488,0.1399,-0.2887,0.6637,6.3631,52.3481,18.7114,18.7638,19.6452,-0.0294,2.3448,4839215.0,25.3654,-0.7867,-0.1543,1.0196,53.407,19.4976,,18.834,18.7646,76.9732,64.5922,64.5922,30.9392,52.0769,0.0,,19.0499,0.3396,18.6352,-0.004,49.0994,-34.5304,18.8548
