date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,adx_14_adx,adxr_14_adxr,apo_14_apo,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,bop_14_bop,cci_20_cci,cmo_14_cmo,dema_14_dema,dx_14_dx,ema_12_ema,ema_14_ema,ema_26_ema,ht_dcperiod_14_dcperiod,ht_dcphase_14_ht_dcphase,ht_phasor_14_phase,ht_phasor_14_quadrature,ht_sine_14_lead sine,ht_sine_14_sine,ht_trendline_14_ht_trendline,ht_trendmode_14_trendmode,kama_14_kama,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,macdext_14_macd,macdext_14_macd_hist,macdext_14_macd_signal,mama_14_fama,mama_14_mama,mfi_14_mfi,midpoint_14_midpoint,midprice_14_midprice,minus_di_14_minus_di,mom_10_mom,natr_14_natr,obv_14_obv,plus_di_14_plus_di,ppo_14_ppo,roc_10_roc,rocr_14_rocr,rsi_14_rsi,sar_14_sar,sma_200_sma,sma_20_sma,sma_50_sma,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,stochrsi_14_fastd,stochrsi_14_fastk,t3_14_t3,tema_14_tema,trange_14_trange,trima_14_trima,trix_14_trix,ultosc_14_ultosc,willr_14_willr,wma_14_wma
2000-01-03,85.0,115.1,83.38,24.57,2260200,-10508963.8061,-3637478.6425,34.3721,37.3344,-3.0739,28.5714,0.0,-28.5714,2.0466,16.7573,23.5168,30.2763,0.5076,14.8174,12.3412,21.0328,26.8667,21.9862,22.1691,22.623,24.8756,,-0.405,2.9268,,,,0,23.2043,-0.5953,-0.3393,-0.256,-3.0739,-1.4153,-1.6586,0.5717,6.6523,19.7194,23.8799,24.1655,21.0496,4.7638,8.3289,43025600.0,36.5154,-12.6886,24.0491,0.8355,56.1706,29.1632,,23.5168,,55.2998,52.0693,52.0693,58.1715,78.5942,100.0,,20.821,7.7096,21.0751,-0.5835,49.9081,-46.0449,21.2437
2000-01-04,95.0,98.0,89.25,21.72,1582800,-16652036.7204,-4690725.4689,33.836,36.4315,-3.2231,21.4286,0.0,-21.4286,2.1062,16.5952,23.3136,30.032,-0.6423,-21.8627,-6.0227,21.0736,26.8667,21.9459,22.1098,22.5564,24.1351,,-0.3891,1.7616,,,,0,23.1019,-0.5754,-0.2555,-0.3199,-3.2231,-1.1984,-2.0247,0.6028,6.803,19.4314,23.4303,23.5093,18.9881,1.5361,9.6951,36694400.0,32.9393,-13.4466,7.609,0.7772,46.9886,29.0618,,23.3136,,52.0196,47.8541,47.8541,23.1551,82.8953,48.686,,20.9767,2.8802,20.8126,-0.5964,42.2739,-69.8782,21.1991
2000-01-05,88.0,97.5,86.06,20.95,1268000,-21608763.9931,-6272310.0784,32.8684,35.1039,-2.8485,14.2857,0.0,-14.2857,2.1543,16.4036,23.0413,29.679,-0.1582,-30.5026,-10.3198,20.9228,20.2898,21.7925,21.955,22.4373,23.4547,,0.226,1.7868,,,,0,22.9559,-0.6152,-0.2362,-0.379,-2.8485,-0.5454,-2.3031,0.6346,6.9445,19.5346,23.1994,23.4971,19.8102,0.4253,10.2839,31622400.0,29.8954,-12.024,2.0725,0.7744,44.8401,28.9614,,23.0413,,43.8579,31.6502,31.6502,13.6241,61.7883,36.6788,,20.8422,2.7805,20.6991,-0.6079,37.356,-78.4532,21.1103
2000-01-06,88.25,90.5,79.38,19.44,1602100,-27302558.2377,-8160773.7621,31.0706,33.989,-2.6777,7.1429,78.5714,71.4286,2.1935,16.0598,22.6998,29.3398,-0.7419,-62.2596,-18.1414,20.4355,7.699,21.4312,21.6202,22.2156,22.8313,,0.3043,0.7013,,,,0,22.677,-0.7593,-0.3043,-0.455,-2.6777,-0.1626,-2.5151,0.6667,7.0695,20.4303,22.0084,23.4971,23.3614,-0.7608,11.2811,25214000.0,27.2586,-11.4152,-3.7652,0.7313,40.9293,28.8619,,22.6998,,30.7809,12.8383,12.8383,1.7357,29.5963,3.4241,,20.2335,2.7027,20.6954,-0.6316,32.7722,-95.251,20.8791
2000-01-07,84.06,86.63,81.25,20.02,1364100,-30466864.5574,-9198263.3015,29.4012,32.9538,-2.5398,0.0,71.4286,71.4286,2.1519,15.8378,22.4067,28.9756,-0.3123,-57.7362,-14.0236,20.1959,7.699,21.2145,21.4072,22.0532,22.2978,,0.3101,2.918,,,,0,22.6625,-0.8174,-0.2899,-0.5275,-2.5398,0.1195,-2.6593,0.6994,7.199,35.0183,22.0084,23.5275,22.1093,-0.5906,10.7475,30670400.0,25.7976,-10.9107,-2.8652,1.0108,42.9882,28.7635,,22.4067,,17.4693,7.9195,7.9195,8.3987,17.8705,13.5087,,19.9977,1.6114,20.7925,-0.6553,33.9181,-89.3989,20.7931
2000-01-10,85.13,100.0,85.0,23.36,2446500,-25730440.5574,-7279441.0856,29.1398,32.8004,-2.1711,7.1429,64.2857,57.1429,2.3041,16.0702,22.1871,28.304,0.7333,11.4286,6.2967,20.8446,25.7415,21.5453,21.6682,22.1503,21.835,,2.6177,2.2568,,,,0,22.6853,-0.587,-0.0476,-0.5394,-2.1711,0.5467,-2.7178,0.7327,7.3607,55.8237,22.0084,23.5275,19.1688,3.4198,9.8616,40456400.0,32.4584,-9.3694,17.146,1.1574,53.1483,28.6661,,22.1871,,17.0711,30.4554,30.4554,81.2318,38.9776,100.0,,21.0089,4.2826,20.9362,-0.6432,41.6089,-51.8306,21.1506
2000-01-11,94.0,107.1,93.25,23.09,1689900,-30781838.3913,-7439963.9367,29.4304,32.7561,-1.8282,0.0,57.1429,57.1429,2.38,16.6993,21.8711,27.043,0.0722,58.5698,4.6462,21.3083,33.2081,21.7829,21.8578,22.2199,21.4699,,2.4109,-3.8883,,,,0,22.6954,-0.4218,0.0941,-0.5159,-1.8282,0.851,-2.6792,0.7666,7.5179,69.7187,22.0084,23.6345,17.2291,2.6882,10.3075,33696800.0,34.3613,-7.9364,13.1761,1.1251,52.3231,28.5696,,21.8711,23.0809,29.0116,48.6599,48.6599,56.3492,68.9183,93.2461,,21.6882,3.3663,21.1311,-0.609,37.1045,-56.271,21.4412
2000-01-12,97.06,97.94,88.63,21.87,1153100,-34036775.8779,-7864933.9455,29.0739,32.4019,-1.5169,71.4286,50.0,-21.4286,2.3716,17.21,21.5673,25.9246,-0.7583,22.7993,-2.5632,21.3858,24.44,21.7971,21.86,22.1944,21.2307,,-0.2023,-4.5009,,,,0,22.6831,-0.3844,0.1052,-0.4896,-1.5169,1.0291,-2.546,0.8011,7.6615,61.8211,22.0084,23.6345,19.4402,1.3052,10.8418,29084400.0,32.016,-6.6283,6.3453,1.0826,48.7184,28.4741,,21.5673,23.1183,45.9154,58.6309,58.6309,38.3117,85.6639,63.7455,,21.7803,2.2628,21.2798,-0.5727,30.3985,-70.2688,21.5454
2000-01-13,93.0,95.19,88.88,22.56,1290000,-32769263.992,-6920492.0812,28.7429,32.1426,-1.1896,64.2857,42.8571,-21.4286,2.3118,17.742,21.3426,24.9432,-0.0301,38.73,1.5421,21.6226,24.44,21.9141,21.9531,22.2213,20.9986,,-1.3642,-2.1475,,,,0,22.681,-0.2963,0.1546,-0.4509,-1.1896,1.1514,-2.341,0.8361,7.8105,62.1039,22.0084,23.6345,18.5176,2.5666,10.2482,34244400.0,30.4967,-5.232,12.8389,1.0943,50.771,28.3795,,21.3426,23.1842,51.2503,46.4601,46.4601,44.7195,77.8645,76.6018,,22.0892,1.5337,21.3654,-0.5284,34.229,-62.402,21.7247
2000-01-14,94.0,94.13,84.13,20.61,1167100,-36802761.592,-7188379.4566,27.7887,31.5785,-0.9683,57.1429,35.7143,-21.4286,2.3203,18.3593,21.0438,23.7282,-0.919,-1.1701,-9.5572,21.3333,15.3838,21.714,21.7744,22.1022,20.7672,,-1.9662,2.166,,,,0,22.6658,-0.379,0.0576,-0.4365,-0.9683,1.1388,-2.107,0.8717,7.9385,60.5172,22.0084,23.6345,20.689,0.1969,11.2561,29576000.0,28.2119,-4.2996,0.9643,1.0335,45.2214,28.2859,,21.0438,23.2201,44.585,28.6639,28.6639,2.9604,46.7824,0.0,,21.6416,2.4305,21.4252,-0.4996,34.2673,-84.7984,21.6263
