date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,adx_14_adx,adxr_14_adxr,apo_14_apo,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,bop_14_bop,cci_20_cci,cmo_14_cmo,dema_14_dema,dx_14_dx,ema_12_ema,ema_14_ema,ema_26_ema,ht_dcperiod_14_dcperiod,ht_dcphase_14_ht_dcphase,ht_phasor_14_phase,ht_phasor_14_quadrature,ht_sine_14_lead sine,ht_sine_14_sine,ht_trendline_14_ht_trendline,ht_trendmode_14_trendmode,kama_14_kama,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,macdext_14_macd,macdext_14_macd_hist,macdext_14_macd_signal,mama_14_fama,mama_14_mama,mfi_14_mfi,midpoint_14_midpoint,midprice_14_midprice,minus_di_14_minus_di,mom_10_mom,natr_14_natr,obv_14_obv,plus_di_14_plus_di,ppo_14_ppo,roc_10_roc,rocr_14_rocr,rsi_14_rsi,sar_14_sar,sma_200_sma,sma_20_sma,sma_50_sma,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,stochrsi_14_fastd,stochrsi_14_fastk,t3_14_t3,tema_14_tema,trange_14_trange,trima_14_trima,trix_14_trix,ultosc_14_ultosc,willr_14_willr,wma_14_wma
2000-01-03,130.1,141.8,123.0,6.71,6112800,-78385587.6946,-4912099.254,27.3276,31.1717,-0.5802,100.0,0.0,-100.0,0.5131,5.9448,7.0953,8.2458,0.5957,-100.8134,-6.6463,6.4574,21.1872,6.7311,6.7865,6.9063,29.9029,,-0.6158,-0.408,,,,0,6.9108,-0.1698,-0.1445,-0.0253,-0.5802,-0.1547,-0.4255,0.1712,2.0078,38.4901,6.5472,6.7798,28.1159,-0.432,7.6487,20369600.0,18.2849,-7.9301,-6.0505,0.8717,46.6768,7.4196,,7.0953,,34.1042,33.2549,33.2549,77.5424,45.0953,100.0,,6.3128,0.8926,6.7934,-0.3872,41.7677,-53.7879,6.6423
2000-01-04,135.5,140.1,127.0,6.04,4225400,-110640549.5267,-8709209.604,26.889,30.0101,-0.5749,92.8571,0.0,-92.8571,0.525,5.9014,6.9785,8.0556,-0.626,-117.8446,-20.065,6.3165,21.1872,6.6254,6.6875,6.8424,32.0616,,-0.523,0.6311,,,,0,6.8699,-0.2125,-0.1497,-0.0627,-0.5749,-0.0963,-0.4787,0.1806,2.0481,37.7778,6.5424,6.7157,25.5059,-1.035,8.6858,-13433600.0,16.5875,-7.9572,-14.6211,0.8453,39.9675,7.2617,,6.9785,,31.1388,32.2295,32.2295,18.2203,47.464,42.392,,6.1548,0.6789,6.7156,-0.4411,39.8597,-88.3469,6.5443
2000-01-05,121.3,137.0,120.3,6.41,5518300,-77068137.5506,1211304.482,27.0454,29.3056,-0.5727,100.0,0.0,-100.0,0.5441,5.8715,6.9101,7.9488,0.8204,-112.0086,-10.6449,6.2968,29.0787,6.5922,6.6504,6.8103,34.3713,,-0.1731,0.5668,,,,0,6.8617,-0.2143,-0.1213,-0.0931,-0.5727,-0.055,-0.5177,0.1902,2.0917,37.6282,6.5424,6.5424,27.0337,-0.4463,8.489,30712800.0,14.8534,-7.9959,-6.5097,0.9253,44.6776,7.1195,,6.9101,,38.6788,50.5521,50.5521,55.8935,75.0753,82.8338,,6.1716,0.7929,6.6458,-0.4838,48.0343,-58.0,6.5055
2000-01-06,133.9,147.4,130.4,6.4,5518400,-97843290.4918,-1450697.9171,25.8687,27.9904,-0.5737,92.8571,0.0,-92.8571,0.5629,5.8525,6.8448,7.8372,0.0588,-56.8183,-10.7428,6.2828,10.5711,6.5633,6.6177,6.7803,35.9904,,-0.2078,-0.9658,,,,0,6.8504,-0.2137,-0.0965,-0.1172,-0.5737,-0.0255,-0.5482,0.1999,2.1349,47.3512,6.5424,6.5258,24.254,-0.6457,8.7886,-13434400.0,19.6164,-8.0725,-9.1582,0.9054,44.6286,5.7116,,6.8448,,41.8148,42.6628,42.6628,53.8745,69.213,82.4133,,6.1906,0.8071,6.5818,-0.5163,43.3312,-57.4344,6.471
2000-01-07,134.0,138.8,129.2,6.4,2696800,-94247557.1585,-1263720.3,24.8878,26.747,-0.5657,85.7143,7.1429,-78.5714,0.5552,5.8414,6.7836,7.7258,0.0833,-73.7983,-10.8481,6.2732,12.1366,6.5382,6.5887,6.7521,36.2198,,-0.7189,-0.2444,,,,0,6.8377,-0.2112,-0.0752,-0.136,-0.5657,0.0011,-0.5668,0.2098,2.1775,41.1364,6.5116,6.5258,23.5623,-0.3561,8.6756,-35008800.0,18.462,-8.0114,-5.2706,0.8963,44.576,5.7116,,6.7836,,49.2131,54.4245,54.4245,53.5055,77.9782,68.6875,,6.2102,0.4558,6.518,-0.5397,44.0068,-57.7259,6.4422
2000-01-10,141.0,145.8,140.0,6.76,3132000,-99431557.1585,-2721800.3384,23.1835,25.4278,-0.5449,78.5714,0.0,-78.5714,0.5529,5.9138,6.7311,7.5485,0.2241,0.6951,-1.2098,6.357,1.027,6.5717,6.611,6.7524,35.5745,,-0.3661,1.0563,,,,0,6.8368,-0.1784,-0.0339,-0.1445,-0.5449,0.0315,-0.5764,0.2199,2.2233,41.5039,6.4973,6.5116,21.9671,0.3941,8.1835,-9952800.0,21.5205,-7.7672,6.194,0.9544,49.3951,5.7244,,6.7311,,53.3137,62.8536,62.8536,81.1808,83.7003,100.0,,6.3556,0.5223,6.4663,-0.5431,48.9768,-34.7181,6.468
2000-01-11,142.0,145.0,134.5,6.61,2833000,-101805880.968,-3826317.8992,22.1477,24.7458,-0.4849,71.4286,0.0,-71.4286,0.549,5.9891,6.6768,7.3645,-0.2667,-18.4426,-4.8909,6.3903,8.6822,6.5774,6.6107,6.7418,34.3958,,-0.2362,0.2203,,,,0,6.8346,-0.1624,-0.0143,-0.148,-0.4849,0.0859,-0.5708,0.2301,2.2672,41.466,6.4973,6.4617,23.946,-0.0332,8.307,-32616800.0,20.1202,-6.9833,-0.5004,0.964,47.5546,5.7372,,6.6768,7.0091,61.8069,68.1427,68.1427,69.7417,76.8316,61.8074,,6.4183,0.4985,6.4385,-0.5368,52.0982,-40.1899,6.4772
2000-01-12,137.6,139.1,129.6,6.19,2675100,-119602335.7048,-9592827.2358,21.6364,24.155,-0.4149,64.2857,7.1429,-57.1429,0.5423,5.9461,6.6288,7.3116,-0.7579,-77.7876,-14.6171,6.3153,14.9906,6.518,6.5547,6.701,32.9091,,-0.3024,1.1603,,,,0,6.8152,-0.1813,-0.0266,-0.1547,-0.4149,0.1344,-0.5493,0.2405,2.3064,42.6875,6.381,6.4617,25.5775,-0.6267,8.76,-54017600.0,18.9087,-6.0494,-9.1922,0.8781,42.6915,5.7498,,6.6288,7.0029,61.1672,52.5053,52.5053,6.5934,53.9358,0.0,,6.3229,0.4558,6.4177,-0.5371,42.4941,-68.038,6.4331
2000-01-13,133.5,138.4,132.0,6.54,2410800,-103932135.7048,-6093805.8521,21.1617,24.1425,-0.3758,57.1429,0.0,-57.1429,0.5307,5.94,6.6096,7.2792,0.6719,-40.5664,-4.9022,6.3441,14.9906,6.5218,6.5531,6.6892,31.262,,0.2681,0.9251,,,,0,6.8129,-0.1661,-0.0091,-0.157,-0.3758,0.1451,-0.5209,0.251,2.3488,47.1755,6.381,6.3549,24.2663,0.1377,8.1122,-34731200.0,17.9394,-5.5165,2.1497,0.9684,47.5489,5.7623,,6.6096,7.009,54.454,42.7141,42.7141,51.8072,44.7557,72.4598,,6.3772,0.3798,6.4119,-0.5289,50.5692,-35.4244,6.444
2000-01-14,140.1,143.9,132.6,6.35,2917800,-122316857.8287,-9958089.9752,20.0432,23.5895,-0.3623,50.0,57.1429,7.1429,0.5311,5.9307,6.5735,7.2163,-0.5575,-27.5659,-9.3737,6.3221,5.5028,6.4957,6.5264,6.6643,30.1364,,0.1462,0.1646,,,,0,6.8109,-0.1674,-0.0083,-0.1591,-0.3623,0.1343,-0.4967,0.2617,2.3888,53.9856,6.381,6.3549,22.5108,0.4083,8.3612,-58073600.0,20.1626,-5.3601,6.869,0.9985,45.3132,5.7746,,6.5735,7.0154,41.1094,28.1089,28.1089,25.9259,37.1894,39.1083,,6.3548,0.5365,6.4179,-0.5206,42.2846,-50.1845,6.4316
