date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,adx_14_adx,adxr_14_adxr,apo_14_apo,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,bop_14_bop,cci_20_cci,cmo_14_cmo,dema_14_dema,dx_14_dx,ema_12_ema,ema_14_ema,ema_26_ema,ht_dcperiod_14_dcperiod,ht_dcphase_14_ht_dcphase,ht_phasor_14_phase,ht_phasor_14_quadrature,ht_sine_14_lead sine,ht_sine_14_sine,ht_trendline_14_ht_trendline,ht_trendmode_14_trendmode,kama_14_kama,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,macdext_14_macd,macdext_14_macd_hist,macdext_14_macd_signal,mama_14_fama,mama_14_mama,mfi_14_mfi,midpoint_14_midpoint,midprice_14_midprice,minus_di_14_minus_di,mom_10_mom,natr_14_natr,obv_14_obv,plus_di_14_plus_di,ppo_14_ppo,roc_10_roc,rocr_14_rocr,rsi_14_rsi,sar_14_sar,sma_200_sma,sma_20_sma,sma_50_sma,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,stochrsi_14_fastd,stochrsi_14_fastk,t3_14_t3,tema_14_tema,trange_14_trange,trima_14_trima,trix_14_trix,ultosc_14_ultosc,willr_14_willr,wma_14_wma
2005-07-21,24.11,24.6,23.92,20.11,218400,-154164.7059,,,,,,,,,,,,-0.1324,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,218400.0,,,,,,,,,,,,,,,,,,,,,,,
2005-07-22,24.62,24.9,23.95,20.81,113600,-50131.0217,,,,,,,,,,,,0.2526,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,332000.0,,,,,,20.0228,,,,,,,,,,,,0.7952,,,,,
2005-07-25,24.9,24.9,24.15,20.29,79200,-110323.0217,,,,,,,,,,,,-0.88,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,252800.0,,,,,,20.031,,,,,,,,,,,,0.6278,,,,,
2005-07-26,24.35,24.35,23.75,20.09,204800,-144456.355,,,,,,,,,,,,-0.5833,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,48000.0,,,,,,20.8432,,,,,,,,,,,,0.5022,,,,,
2005-07-27,24.0,24.12,23.65,20.15,196200,9998.9641,,,,,,,,,,,,0.1489,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,244200.0,,,,,,20.8432,,,,,,,,,,,,0.3934,,,,,
2005-07-28,24.1,24.12,23.91,20.13,187200,72398.9641,,,,,,,,,,,,-0.2381,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,57000.0,,,,,,20.8222,,,,,,,,,,,,0.1758,,,,,
2005-07-29,24.1,24.35,23.85,20.37,121400,188942.9641,,,,,,,,,,,,0.48,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,178400.0,,,,,,20.8017,,,,,,40.2667,55.2,,,,,0.4185,,,,,
2005-08-01,24.23,24.5,24.1,20.38,329800,271392.9641,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,508200.0,,,,,,20.7816,,,,,,56.5176,82.3529,,,,,0.3348,,,,,
2005-08-02,26.0,26.0,23.64,20.13,599400,-119740.9342,,,,,,,,,,,,-0.8263,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-91200.0,,,,,,19.7885,,,,49.4754,51.6419,51.6419,17.3729,,,,,1.9755,,,,,
2005-08-03,24.27,24.27,23.76,19.96,295400,-310882.1106,-83296.8362,,,,,,,,,,,-0.8235,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-386600.0,,,,,,19.7885,,,,48.1225,36.208,36.208,8.8983,,,,,0.4269,,,,,
2005-08-04,23.77,23.89,23.35,19.75,282400,-331800.6292,-129439.3649,,,,,,,,,,,-0.3148,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,-0.3516,,-669000.0,,,-1.7485,,,21.7639,,,,33.2506,11.9017,11.9017,9.434,,,,,0.452,,,,,
2005-08-05,23.69,23.69,23.15,19.56,414000,-408467.2958,-160942.5783,,,,,,,,,,,-0.5926,,,,,20.1456,,,,,,,,,,0,,,,,,,,,,,,,,-1.2472,,-1083000.0,,,-5.9936,,,21.7418,,,,18.9312,8.6839,8.6839,7.7193,,,,,0.452,,,,,
2005-08-08,23.5,23.65,21.26,18.83,12768400,72351.1142,-6211.4371,,,,,,,,,,,-0.4184,,,,,19.9438,,,,,,,,,,0,,,,,,,,,,,,,,-1.4565,,-13851400.0,,,-7.1782,,,21.6945,,,,11.6745,14.4379,14.4379,26.1603,,,,,2.0006,,,,,
2005-08-09,23.27,23.85,22.52,19.96,9740600,9812951.1142,3156934.1604,,,,,,,,,,,0.4361,,,,,19.947,20.039,,,,,,,,,0,,,,,,,,,,,19.8219,19.7801,,-0.1256,,-4110800.0,,,-0.625,,,21.5775,,,,21.0324,39.9754,39.9754,86.0465,,,,,1.1301,20.1025,,,-45.3586,19.88
2005-08-10,24.19,24.52,23.67,19.84,5118000,5056221.7025,2650449.4411,,,,85.7143,57.1429,-28.5714,0.7426,,,,-0.5765,,-5.8824,,1.6641,19.9303,20.0123,,,,,,,,,0,19.963,,,,,,,,,54.3735,19.8219,19.7801,24.0281,-0.3097,3.7432,-9228800.0,24.8414,,-1.5372,0.9867,47.0588,21.4641,,,,38.9215,62.3512,62.3512,74.8466,,,,,0.7115,20.0328,,,-48.5232,19.8533
2005-08-11,23.58,23.78,22.78,19.14,3410200,2259857.7025,1312549.0158,,,,78.5714,50.0,-28.5714,0.7494,,,,-0.71,,-19.1644,,13.0458,19.8093,19.8965,,,,,,,,,0,19.8964,,,,,,,,,48.7204,19.6085,19.7801,29.5504,-0.9877,3.9143,-12639000.0,22.73,,-4.9064,0.92,40.4178,21.3541,,,,57.4733,70.0932,70.0932,49.3865,,,,,0.8371,19.9406,,,-66.0338,19.7365
2005-08-12,22.73,22.75,21.5,18.67,3377800,3205641.7025,946834.7495,,,,71.4286,42.8571,-28.5714,0.7777,,,,-0.344,,-26.8039,,28.9649,19.6336,19.7325,,,,,,,,,0,19.7988,,,,,,,,,44.559,19.5248,19.7801,36.6683,-1.7076,4.1664,-16016800.0,20.1972,,-8.3813,0.92,36.598,21.2473,,,,61.4965,52.045,52.045,31.9018,,,,,1.1468,19.8373,,,-78.0591,19.5719
2005-08-15,22.5,22.58,21.3,17.95,2979600,877829.2025,-29519.1322,,,,64.2857,35.7143,-28.5714,0.7987,,,,-0.8281,,-36.5475,,31.0879,19.3741,19.4944,,,,,,,,,0,19.6075,,,,,,,,,41.6381,19.1648,19.7801,34.5469,-2.4359,4.4505,-18996400.0,18.1611,,-11.9507,0.8933,31.7262,21.1438,,,,50.2279,28.5454,28.5454,4.3478,,,,,1.0715,19.7076,,,-96.2025,19.3269
2005-08-16,21.29,21.6,20.69,17.96,4691200,4022479.7519,574317.5576,,,,100.0,28.5714,-71.4286,0.7961,,,,0.1758,,-36.3203,,37.2477,19.1558,19.2892,,,,,,,,,0,19.4274,,,,,,,,,37.721,19.1648,19.5415,36.8747,-2.1764,4.4337,-14305200.0,16.8598,,-10.8108,0.8912,31.8399,21.0434,,,,33.096,18.6977,18.6977,19.8433,,,,,0.7617,19.5551,,,-85.6874,19.1033
2005-08-17,21.18,21.99,21.15,18.16,2241200,4662822.6091,972876.4255,,,,92.8571,21.4286,-71.4286,0.7894,17.9365,19.6127,21.2888,0.6071,-146.6115,-30.6987,,29.2905,19.002,19.1381,,,,,,,,,0,19.3166,,,,,,,,,40.3182,19.1648,19.5415,34.4227,-1.8081,4.3481,-12064000.0,18.8259,,-9.0566,0.9019,34.6507,20.8944,,19.6127,,22.0314,18.8512,18.8512,32.3625,,,,,0.7031,19.401,,,-81.1676,18.9275
2005-08-18,21.29,22.0,21.29,18.21,2679800,5455439.5105,1299676.2105,,,,85.7143,14.2857,-71.4286,0.7755,17.7512,19.5177,21.2841,0.6479,-119.596,-29.2635,,29.0838,18.8796,19.0139,,,,,,,,,0,19.1976,,,,,,,,,43.2878,19.1648,19.5415,32.4582,-1.5486,4.2595,-9384200.0,17.8319,,-7.839,0.8936,35.3682,20.7514,,19.5177,,24.0343,34.554,34.554,51.4563,36.3816,74.757,,,0.5943,19.2387,,,-80.0377,18.7771
2005-08-19,21.61,21.9,21.54,18.12,1473400,4882450.6216,1132900.0024,,,,78.5714,7.1429,-71.4286,0.7416,17.6217,19.3833,21.1449,0.1111,-102.58,-30.6307,,29.0838,18.7631,18.8951,,,,,,,,,0,19.0772,,,,,,,,,44.4869,19.0393,19.5415,31.4772,-1.4398,4.0923,-10857600.0,17.293,,-7.3599,0.8891,34.6846,20.6141,,19.3833,,32.7587,44.8708,44.8708,50.7937,63.2113,81.2302,,,0.3013,19.053,,,-81.9209,18.6362
2005-08-22,21.7,21.8,21.2,18.08,3261200,5969517.2882,1307567.311,,,,71.4286,0.0,-71.4286,0.7245,17.4758,19.2728,21.0698,-0.1667,-99.2194,-31.3452,,33.2885,18.6582,18.7865,,,,,,,,,0,18.9751,,,,,,,,,41.1695,18.9556,18.9221,32.7733,-0.7534,4.0072,-14118800.0,16.4032,,-4.0,0.8981,34.3274,20.4823,,19.2728,,45.5545,57.2385,57.2385,69.4656,75.4959,70.5005,,,0.5022,18.8581,,,-76.2402,18.5113
2005-08-23,21.38,21.64,21.21,17.96,2154400,6220028.9161,1339860.6087,,,,64.2857,35.7143,-28.5714,0.6985,17.3229,19.1661,21.0093,0.1628,-93.2353,-33.5563,,33.2885,18.55,18.6757,,,,,,,,,0,18.8725,,,,,,,,,39.8579,18.9556,18.9221,31.5215,-2.009,3.8902,-16273200.0,15.7767,,-10.0629,0.8994,33.2218,20.3558,,19.1661,,51.3202,51.8511,51.8511,35.2941,50.5769,0.0,,,0.3599,18.6681,,,-80.1567,18.3892
2005-08-24,21.3,21.78,21.22,18.08,2319200,7048314.6304,1494811.4479,,,,57.1429,28.5714,-28.5714,0.6821,17.2196,19.0627,20.9058,0.5357,-78.0389,-29.0794,,29.6185,18.4778,18.5964,,,,,,,,,0,18.8109,,,,,,,,,42.4312,18.9556,18.9221,29.9188,-1.7579,3.7724,-13954000.0,16.2456,,-8.8608,0.9153,35.4603,20.2343,,19.0627,,53.5588,51.5866,51.5866,50.0,56.8335,100.0,,,0.4688,18.5037,,,-76.2402,18.3029
2005-08-25,21.43,22.31,21.43,18.55,1579200,8089150.9941,1753483.6844,,,-0.8869,50.0,21.4286,-28.5714,0.686,17.1958,18.9836,20.7714,0.8295,-45.9921,-13.7494,,16.5365,18.4889,18.5901,19.2788,,,,,,,,0,18.8018,,,,,,,,,44.2901,18.9556,18.9221,27.5484,-0.5943,3.6981,-12374800.0,19.7302,-4.6002,-3.1045,0.9482,43.1253,20.1177,,18.9836,,53.566,57.2602,57.2602,86.4865,66.6667,100.0,,,0.7366,18.3822,,,-61.6188,18.2951
2005-08-26,22.14,22.53,21.9,18.51,1079800,7729217.6607,1585372.2947,,,-0.9363,42.8571,14.2857,-28.5714,0.6747,17.211,18.8903,20.5695,-0.0476,-27.7568,-14.7232,17.9626,11.5057,18.4918,18.5791,19.2217,,,,,,,,0,18.7982,,,,,,,,,57.8892,18.9556,18.9221,25.9625,-0.159,3.6452,-13454600.0,20.6047,-4.8721,-0.852,0.9827,42.6384,20.0057,,18.8903,,59.0498,68.3025,68.3025,68.4211,98.3611,95.0834,,,0.5274,18.2956,,,-62.9243,18.2914
2005-08-29,22.05,22.5,21.9,18.7,930000,8163217.6607,1510565.6085,23.9437,,-0.8921,35.7143,7.1429,-28.5714,0.6623,17.2721,18.8061,20.3402,0.4833,-17.924,-8.6464,18.075,11.5057,18.5239,18.5953,19.1831,,,,,,,,0,18.7899,,,,,,,,,47.3103,18.8928,18.9221,24.5151,0.7534,3.5419,-12524600.0,19.4559,-4.662,4.1978,0.9367,45.6768,19.8983,,18.8061,,68.578,80.1712,80.1712,85.6061,98.3611,100.0,,,0.5022,18.23,,,-56.9191,18.3164
2005-08-30,22.04,22.5,22.0,18.75,1212200,8890537.6607,1574058.727,23.0553,,-0.8259,28.5714,0.0,-28.5714,0.6449,17.3288,18.7371,20.1454,0.72,-6.0594,-7.0533,18.183,11.5057,18.5587,18.616,19.151,,,,,,,,0,18.7872,,,,,,,,,40.4055,18.5454,18.6124,23.347,0.7952,3.4395,-11312400.0,18.5289,-4.3294,4.4289,0.9451,46.4733,19.7951,,18.7371,,76.6138,81.3678,81.3678,90.0763,98.3611,100.0,,,0.4185,18.207,,60.6837,-44.6602,18.3602
2005-08-31,22.27,22.43,22.0,18.63,1653800,9236681.8468,1567073.7231,22.2303,,-0.7127,21.4286,0.0,-21.4286,0.6246,17.3796,18.6705,19.9615,-0.0256,-5.3316,-10.3563,18.245,11.5057,18.5702,18.6183,19.1127,,,,,,,,0,18.7823,,,,,,,,,42.8835,18.3487,18.1813,22.3602,0.4771,3.3519,-12966200.0,17.7457,-3.7469,2.6279,0.9733,44.8219,19.6961,,18.6705,,81.7504,83.7123,83.7123,75.4545,85.6455,56.9364,,,0.3599,18.2245,,61.4052,-23.7864,18.3987
2005-09-01,22.14,22.44,22.06,18.6,1481000,9002839.7415,1347350.6677,21.4433,,-0.5994,14.2857,0.0,-14.2857,0.6027,17.4215,18.6128,19.804,0.2105,3.3968,-11.3258,18.2902,11.2122,18.5747,18.6158,19.0747,,,,,,,,0,18.781,,,,,,,,,50.7765,18.3487,18.1101,21.4956,0.3934,3.2402,-14447200.0,17.1613,-3.1613,2.1609,0.9964,44.3371,19.601,,18.6128,,79.0628,72.1082,72.1082,50.7937,67.0772,44.2951,,,0.3181,18.2724,,60.6909,-19.0476,18.4376
