date,open,high,low,close,volume,ad_14_chaikin a/d,adx_14_adx,adxr_14_adxr,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,ema_14_ema,ema_200_ema,ema_20_ema,ema_30_ema,ema_50_ema,ema_7_ema,ema_90_ema,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,mfi_14_mfi,mom_10_mom,roc_10_roc,rsi_14_rsi,sar_14_sar,sma_14_sma,sma_200_sma,sma_20_sma,sma_30_sma,sma_50_sma,sma_7_sma,sma_90_sma,stochrsi_14_fastd,stochrsi_14_fastk
1999-11-01,17.13,17.56,17.06,3.91,53400,-80100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-11-02,17.19,18.25,17.19,4.11,117200,-7126.4151,,,,,,,,,,,,,,,,,,,,,3.9122,,,,,,,,,
1999-11-03,18.0,18.0,17.69,4.11,45400,34612.2946,,,,,,,,,,,,,,,,,,,,,3.915,,,,,,,,,
1999-11-04,17.81,18.25,17.81,4.17,90867,133739.5673,,,,,,,,,,,,,,,,,,,,,3.9177,,,,,,,,,
1999-11-05,18.19,18.69,18.19,4.29,108000,295739.5673,,,,,,,,,,,,,,,,,,,,,3.9203,,,,,,,,,
1999-11-08,18.63,18.69,18.19,4.27,41400,342935.5673,,,,,,,,,,,,,,,,,,,,,3.9276,,,,,,,,,
1999-11-09,18.75,19.0,18.63,4.3,134267,272173.4051,,,,,,,,,,,,4.1671,,,,,,,,,3.9384,,,,,,4.1671,,,
1999-11-10,18.63,18.69,18.13,4.24,38800,290880.548,,,,,,,,,,,,4.1859,,,,,,,,,3.9551,,,,,,4.2143,,,
1999-11-11,18.5,18.56,18.25,4.19,21200,259080.548,,,,,,,,,,,,4.1857,,,,,,,,,3.9712,,,,,,4.2244,,,
1999-11-12,18.06,18.5,18.06,4.23,48267,311735.0935,,,,,,,,,,,,4.1965,,,,,,,,,3.9867,,,,,,4.2408,,,
