date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,adx_14_adx,adxr_14_adxr,apo_14_apo,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,bop_14_bop,cci_20_cci,cmo_14_cmo,dema_14_dema,dx_14_dx,ema_12_ema,ema_14_ema,ema_26_ema,ht_dcperiod_14_dcperiod,ht_dcphase_14_ht_dcphase,ht_phasor_14_phase,ht_phasor_14_quadrature,ht_sine_14_lead sine,ht_sine_14_sine,ht_trendline_14_ht_trendline,ht_trendmode_14_trendmode,kama_14_kama,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,macdext_14_macd,macdext_14_macd_hist,macdext_14_macd_signal,mama_14_fama,mama_14_mama,mfi_14_mfi,midpoint_14_midpoint,midprice_14_midprice,minus_di_14_minus_di,mom_10_mom,natr_14_natr,obv_14_obv,plus_di_14_plus_di,ppo_14_ppo,roc_10_roc,rocr_14_rocr,rsi_14_rsi,sar_14_sar,sma_200_sma,sma_20_sma,sma_50_sma,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,stochrsi_14_fastd,stochrsi_14_fastk,t3_14_t3,tema_14_tema,trange_14_trange,trima_14_trima,trix_14_trix,ultosc_14_ultosc,willr_14_willr,wma_14_wma
2021-05-04,30.0,30.3,26.51,26.95,5866803,-4504590.1662,,,,,,,,,,,,-0.8047,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,5866803.0,,,,,,,,,,,,,,,,,,,,,,,
2021-05-05,25.81,26.26,25.0,26.0,1534521,-3603363.5472,,,,,,,,,,,,0.1508,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,4332282.0,,,,,,30.3,,,,,,,,,,,,1.95,,,,,
2021-05-06,25.47,26.02,25.1,25.97,698913,-2980419.3515,,,,,,,,,,,,0.5435,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,3633369.0,,,,,,30.247,,,,,,,,,,,,0.92,,,,,
2021-05-07,25.41,26.4,25.05,25.91,921621,-2727826.9293,,,,,,,,,,,,0.3704,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,2711748.0,,,,,,30.1945,,,,,,,,,,,,1.35,,,,,
2021-05-10,25.6,26.7,25.43,26.5,1212170,-1897442.7561,,,,,,,,,,,,0.7087,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,3923918.0,,,,,,30.1426,,,,,,,,,,,,1.27,,,,,
2021-05-11,25.52,26.69,25.4,25.79,1908742,-2652061.6863,,,,,,,,,,,,0.2093,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,2015176.0,,,,,,30.0912,,,,,,,,,,,,1.29,,,,,
2021-05-12,25.39,25.79,24.95,25.23,763865,-2906683.353,,,,,,,,,,,,-0.1905,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1251311.0,,,,,,30.0402,,,,,,30.2575,16.0,,,,,0.84,,,,,
2021-05-13,24.44,25.23,23.91,25.1,546260,-2468020.0196,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,705051.0,,,,,,29.9384,,,,,,35.041,42.6523,,,,,1.32,,,,,
2021-05-14,25.0,25.25,24.63,24.75,2013406,-3702043.0519,,,,,,,,,,,,-0.4032,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-1308355.0,,,,,,29.7576,,,,31.6284,29.5866,29.5866,30.1075,,,,,0.62,,,,,
2021-05-17,24.51,24.86,23.84,24.22,1201884,-4008405.6401,-215784.1407,,,,,,,,,,,-0.2843,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-2510239.0,,,,,,29.5822,,,,31.1084,28.6977,28.6977,13.3333,,,,,1.02,,,,,
