date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,adx_14_adx,adxr_14_adxr,apo_14_apo,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,bop_14_bop,cci_20_cci,cmo_14_cmo,dema_14_dema,dx_14_dx,ema_12_ema,ema_14_ema,ema_26_ema,ht_dcperiod_14_dcperiod,ht_dcphase_14_ht_dcphase,ht_phasor_14_phase,ht_phasor_14_quadrature,ht_sine_14_lead sine,ht_sine_14_sine,ht_trendline_14_ht_trendline,ht_trendmode_14_trendmode,kama_14_kama,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,macdext_14_macd,macdext_14_macd_hist,macdext_14_macd_signal,mama_14_fama,mama_14_mama,mfi_14_mfi,midpoint_14_midpoint,midprice_14_midprice,minus_di_14_minus_di,mom_10_mom,natr_14_natr,obv_14_obv,plus_di_14_plus_di,ppo_14_ppo,roc_10_roc,rocr_14_rocr,rsi_14_rsi,sar_14_sar,sma_200_sma,sma_20_sma,sma_50_sma,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,stochrsi_14_fastd,stochrsi_14_fastk,t3_14_t3,tema_14_tema,trange_14_trange,trima_14_trima,trix_14_trix,ultosc_14_ultosc,willr_14_willr,wma_14_wma
2000-01-03,57.5,57.63,56.25,1.22,1689700,119687556.138,-5647451.7612,32.5359,37.1479,0.0388,35.7143,100.0,64.2857,0.0682,0.7048,0.9718,1.2387,-0.8623,153.6244,34.1034,1.1403,29.9338,1.0745,1.0603,1.0264,26.0202,,0.202,0.044,,,,0,1.0579,0.0481,0.042,0.0061,0.0388,0.0734,-0.0345,0.0223,0.2734,85.5978,1.0154,1.027,20.4597,0.3946,5.5821,-306553600.0,37.9414,3.9451,47.679,1.4077,67.0517,0.8305,,0.9718,,86.6605,84.8758,84.8758,85.9275,96.9922,100.0,,1.214,0.076,0.9887,0.0993,55.2488,-6.3984,1.0744
2000-01-04,54.5,55.0,53.25,1.17,1217500,102990413.2809,-17629031.5627,31.3039,36.711,0.0614,28.5714,92.8571,64.2857,0.0681,0.7019,0.9819,1.262,-0.4286,101.7125,20.3546,1.1561,15.2869,1.0886,1.0745,1.0368,26.7366,,0.2101,0.0178,,,,0,1.0772,0.0519,0.0367,0.0152,0.0614,0.0802,-0.0187,0.0236,0.2823,78.7572,1.0154,1.027,25.9179,0.3581,5.8369,-345513600.0,35.272,6.2167,44.2953,1.3892,60.1773,0.8431,,0.9819,,79.0191,66.5037,66.5037,31.0835,63.6588,0.0,,1.2214,0.0664,1.0251,0.2579,54.8161,-18.8076,1.0968
2000-01-05,53.75,53.88,52.63,1.16,751200,117413453.2809,-16338798.6122,29.9582,36.2044,0.0859,21.4286,85.7143,64.2857,0.0652,0.7013,0.9921,1.2829,-0.096,83.3463,19.735,1.1675,12.4652,1.1003,1.0864,1.0462,26.6025,,0.2142,-0.057,,,,0,1.0917,0.0541,0.0311,0.023,0.0859,0.0865,-0.0006,0.0249,0.2911,76.6314,1.0154,1.027,26.6289,0.2822,5.5986,-369552000.0,34.213,8.657,31.9961,1.3577,59.8675,0.8553,,0.9921,,65.6833,45.6703,45.6703,20.0,33.3333,0.0,,1.2236,0.0271,1.0608,0.3933,54.5429,-19.3892,1.1158
2000-01-06,53.0,57.25,53.0,1.24,1117500,147956700.3397,-4607324.8308,29.4923,36.2023,0.114,14.2857,78.5714,64.2857,0.0671,0.6993,1.0072,1.3152,0.9271,96.1952,30.3827,1.1939,23.4344,1.1211,1.1063,1.0603,26.0067,,0.192,-0.1526,,,,0,1.1215,0.0609,0.0303,0.0306,0.114,0.0939,0.0202,0.0263,0.3006,78.0476,1.0222,1.027,23.9916,0.2496,5.4296,-333792000.0,38.6778,11.4094,25.3081,1.4578,65.1913,0.8672,,1.0072,,52.6451,45.7612,45.7612,86.2,24.7016,74.1049,,1.2482,0.0922,1.0952,0.5228,56.8644,-3.3446,1.1415
2000-01-07,57.5,67.25,57.44,1.42,2118100,193350109.514,15054119.6199,30.6234,37.0748,0.1433,7.1429,100.0,92.8571,0.0783,0.6819,1.034,1.3861,0.8287,151.9222,49.3716,1.2614,45.3279,1.1678,1.1488,1.0873,25.2852,,0.1361,-0.186,,,,0,1.2075,0.0806,0.04,0.0406,0.1433,0.1005,0.0428,0.0277,0.3118,83.1767,1.1165,1.1314,19.06,0.4178,5.4963,-266012800.0,50.6648,14.1108,41.505,1.7212,74.6858,0.8787,,1.034,,52.1571,65.0398,65.0398,88.9193,58.035,100.0,,1.3302,0.2238,1.129,0.6852,65.4258,-5.3554,1.1886
2000-01-10,65.88,78.44,65.63,1.61,1913100,213947670.1698,28282650.7747,32.6745,37.7348,0.1711,0.0,100.0,100.0,0.0926,0.6509,1.0722,1.4936,0.6487,199.8957,60.7334,1.3613,59.3391,1.2359,1.2103,1.126,24.66,,0.0916,-0.1596,,,,0,1.3437,0.1099,0.0555,0.0544,0.1711,0.1044,0.0668,0.0292,0.3248,86.8104,1.2461,1.2528,14.9485,0.5752,5.7482,-204793600.0,58.5791,16.4613,55.5672,1.9917,80.3667,0.9019,,1.0722,,65.6728,86.2176,86.2176,83.5335,91.3683,100.0,,1.4541,0.278,1.1643,0.9019,66.5969,-10.2558,1.2548
2000-01-11,74.31,74.38,66.25,1.46,1453200,180715327.7343,20549245.4018,34.5791,37.1836,0.1909,0.0,92.8571,92.8571,0.0986,0.659,1.102,1.545,-0.8487,150.9001,34.9088,1.4041,59.3391,1.2708,1.244,1.151,24.2678,,0.0402,-0.1085,,,,0,1.3639,0.1199,0.0524,0.0675,0.1909,0.1003,0.0906,0.0307,0.3362,77.0653,1.2983,1.2949,13.0278,0.3345,6.7359,-251296000.0,51.0522,18.0492,29.6346,1.6591,67.4544,0.942,,1.102,1.051,75.9433,76.5725,76.5725,57.2646,79.0036,37.0109,,1.4924,0.1765,1.1981,1.1026,58.941,-29.3663,1.2937
2000-01-12,68.38,69.0,65.13,1.45,685100,177826223.8584,14598206.0249,36.0189,36.7371,0.2068,0.0,85.7143,85.7143,0.0975,0.6819,1.1325,1.5831,-0.4057,119.7857,32.8743,1.434,54.7359,1.2984,1.2715,1.1731,24.3162,,0.0064,0.1006,,,,0,1.3757,0.1253,0.0462,0.0791,0.2068,0.0927,0.1141,0.0323,0.3473,72.2296,1.3085,1.3492,14.0111,0.2752,6.7247,-273219200.0,47.8972,19.2113,23.4251,1.4703,66.4371,0.98,,1.1325,1.0525,75.9392,65.0276,65.0276,54.2846,48.4067,8.2093,,1.5127,0.084,1.2307,1.2746,57.3276,-35.7187,1.3254
2000-01-13,69.0,70.63,67.0,1.53,744100,199931938.4589,17870216.7414,37.4959,36.3343,0.2183,7.1429,78.5714,71.4286,0.0965,0.7025,1.1661,1.6298,0.4132,127.8307,38.9701,1.4768,56.6966,1.3341,1.306,1.1996,25.1542,,0.0755,0.334,,,,0,1.3989,0.1345,0.0443,0.0902,0.2183,0.0816,0.1367,0.0339,0.3592,72.428,1.3227,1.3492,13.1475,0.3473,6.3045,-249408000.0,47.575,19.8794,29.3578,1.5201,69.4851,1.0161,,1.1661,1.0618,66.5044,57.9132,57.9132,62.1905,22.3671,21.881,,1.5521,0.0829,1.2656,1.4324,62.4259,-24.3857,1.3633
2000-01-14,70.97,72.3,68.0,1.5,1215900,176948600.7845,10271321.2525,39.0084,36.579,0.2234,0.0,71.4286,71.4286,0.0962,0.7379,1.1985,1.6591,-0.486,116.8028,33.249,1.5011,58.6718,1.3589,1.3312,1.2215,26.602,,0.211,0.4723,,,,0,1.4104,0.1374,0.0378,0.0996,0.2234,0.0662,0.1572,0.0356,0.3705,74.0605,1.3695,1.3749,12.2333,0.3202,6.4378,-288316800.0,46.9675,19.949,27.2492,1.4443,66.6245,1.0504,,1.1985,1.0701,57.0524,48.2165,48.2165,28.1743,10.4785,1.345,,1.5655,0.0933,1.3035,1.559,59.0313,-31.6661,1.3916
