date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,adx_14_adx,adxr_14_adxr,apo_14_apo,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,bop_14_bop,cci_20_cci,cmo_14_cmo,dema_14_dema,dx_14_dx,ema_12_ema,ema_14_ema,ema_26_ema,ht_dcperiod_14_dcperiod,ht_dcphase_14_ht_dcphase,ht_phasor_14_phase,ht_phasor_14_quadrature,ht_sine_14_lead sine,ht_sine_14_sine,ht_trendline_14_ht_trendline,ht_trendmode_14_trendmode,kama_14_kama,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,macdext_14_macd,macdext_14_macd_hist,macdext_14_macd_signal,mama_14_fama,mama_14_mama,mfi_14_mfi,midpoint_14_midpoint,midprice_14_midprice,minus_di_14_minus_di,mom_10_mom,natr_14_natr,obv_14_obv,plus_di_14_plus_di,ppo_14_ppo,roc_10_roc,rocr_14_rocr,rsi_14_rsi,sar_14_sar,sma_200_sma,sma_20_sma,sma_50_sma,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,stochrsi_14_fastd,stochrsi_14_fastk,t3_14_t3,tema_14_tema,trange_14_trange,trima_14_trima,trix_14_trix,ultosc_14_ultosc,willr_14_willr,wma_14_wma
2000-01-03,21.63,21.63,20.94,3.89,29942,2722065.5517,347354.8167,36.7785,28.0175,0.3628,7.1429,64.2857,57.1429,0.1528,2.2063,3.2878,4.3693,-0.8261,87.5851,37.0007,3.9822,50.3737,3.6834,3.6243,3.4005,27.502,,1.1618,0.4633,,,,0,3.8748,0.2865,0.0911,0.1954,0.3628,0.2503,0.1126,0.0689,0.887,68.5433,3.4501,3.4732,15.9166,0.9122,3.9293,-624679.0,48.2293,11.1966,30.6452,1.3919,68.5004,3.0577,,3.2878,,71.0718,49.8224,49.8224,7.6923,6.9843,0.0,,4.1506,0.1606,3.5196,0.957,69.0864,-21.4467,3.7461
2000-01-04,20.5,20.81,20.0,3.74,36168,2657528.527,254392.5968,36.4553,28.226,0.4031,0.0,57.1429,57.1429,0.1559,2.2487,3.3306,4.4124,-0.3086,58.7075,22.7521,3.9631,32.2529,3.692,3.6396,3.4255,28.7309,,1.0707,-0.8494,,,,0,3.8555,0.2694,0.0592,0.2102,0.4031,0.2378,0.1653,0.0731,0.9155,67.1497,3.4557,3.4852,22.4779,0.7847,4.1685,-793308.0,43.8803,12.3572,26.5625,1.35,61.3761,3.1034,,3.3306,,50.6723,25.6752,25.6752,11.1111,-0.0,0.0,,4.0791,0.1957,3.6475,1.0372,59.9806,-32.2581,3.78
2000-01-05,20.0,20.0,19.25,3.64,36864,2687320.0203,202715.1096,35.2687,27.0673,0.4411,0.0,50.0,50.0,0.1579,2.3019,3.3692,4.4365,-0.4133,36.7992,13.9299,3.919,19.8438,3.6833,3.6391,3.4411,29.5753,,0.6717,-1.4987,,,,0,3.832,0.2447,0.0276,0.2171,0.4411,0.2207,0.2204,0.0774,0.9427,61.4157,3.5424,3.4907,26.8858,0.6813,4.3436,-965182.0,40.1977,13.4534,23.0625,1.3074,56.965,3.1473,,3.3692,,28.8848,11.1567,11.1567,14.6667,-0.0,0.0,,3.9818,0.1846,3.7487,1.0744,51.0516,-39.7919,3.7908
2000-01-06,19.44,19.44,18.75,3.51,15974,2666811.8609,156620.3495,33.6467,25.8312,0.4741,0.0,42.8571,42.8571,0.1588,2.3626,3.4029,4.4432,-0.6377,19.1648,4.274,3.85,12.5606,3.6569,3.6221,3.4464,29.4596,,0.3372,-1.4916,,,,0,3.8151,0.2127,-0.0035,0.2162,0.4741,0.1987,0.2754,0.0819,0.9684,59.1607,3.5424,3.5544,28.8286,0.1533,4.521,-1039659.0,37.111,14.3999,4.5629,1.1705,52.137,3.1894,,3.4029,,15.9405,10.9896,10.9896,7.1909,-0.0,0.0,,3.8594,0.1699,3.816,1.07,47.4387,-53.2857,3.777
2000-01-07,18.75,19.69,18.75,3.63,29204,2782692.712,160396.3686,32.3465,24.7272,0.5078,14.2857,35.7143,21.4286,0.1598,2.4391,3.4446,4.4501,0.9255,22.1327,11.7367,3.8207,15.4443,3.6523,3.6227,3.4597,28.7456,,0.0365,-1.2459,,,,0,3.8018,0.1944,-0.0175,0.2119,0.5078,0.1795,0.3283,0.0865,0.995,58.4186,3.5424,3.5544,26.5811,-0.1476,4.4077,-903499.0,36.2912,15.3202,-3.9107,1.2184,55.8683,3.2299,,3.4446,,13.1939,17.4355,17.4355,30.4488,7.601,22.803,,3.8029,0.1738,3.8567,1.0454,50.9564,-44.4192,3.7737
2000-01-10,19.62,20.37,19.56,3.77,42230,2979585.712,210007.3883,31.6713,23.9065,0.5123,7.1429,28.5714,21.4286,0.1591,2.5249,3.4932,4.4614,0.9259,37.4122,19.8742,3.8298,22.8932,3.6696,3.6417,3.4823,27.8657,,-0.1956,-0.9332,,,,0,3.7985,0.1889,-0.0184,0.2073,0.5123,0.1367,0.3755,0.0911,1.0227,64.7567,3.5424,3.5544,24.7877,-0.3653,4.2262,-706606.0,39.5067,15.3189,-8.8447,1.2745,59.9371,3.2687,,3.4932,,22.4889,39.0416,39.0416,79.4851,35.7428,84.4253,,3.8058,0.1497,3.8729,1.0169,55.1021,-33.6937,3.7826
2000-01-11,20.37,21.5,20.37,3.9,62792,3075445.5084,241712.069,31.7943,24.8462,0.4848,0.0,21.4286,21.4286,0.1627,2.6208,3.5487,4.4766,0.6637,58.2801,27.1112,3.87,33.3939,3.7057,3.6767,3.5136,27.0263,,-0.4006,-0.5481,,,,0,3.8095,0.1934,-0.0111,0.2045,0.4848,0.0724,0.4124,0.0959,1.0515,74.3007,3.7446,3.5886,22.5064,-0.1584,4.1671,-413845.0,45.0741,14.3327,-3.8989,1.3214,63.5556,3.306,,3.5487,3.2105,40.6163,65.3719,65.3719,86.1818,69.0761,100.0,,3.8536,0.2089,3.8672,0.9947,58.5984,-24.2499,3.8022
2000-01-12,20.94,21.0,20.75,3.84,9298,3032094.5084,218914.8412,31.9086,26.4448,0.4236,0.0,14.2857,14.2857,0.1559,2.739,3.6019,4.4649,-0.76,49.0331,21.291,3.8837,33.3939,3.7256,3.6978,3.5374,26.2266,,-0.4752,-0.0814,,,,0,3.8108,0.1893,-0.0121,0.2015,0.4236,-0.0107,0.4343,0.1009,1.0793,69.9386,3.8213,3.7797,21.7989,-0.2157,4.0658,-457196.0,43.6573,12.3899,-5.3243,1.1419,60.6455,3.3418,,3.6019,3.2235,61.2927,79.4647,79.4647,72.7273,86.3132,74.5143,,3.8631,0.0684,3.8413,0.97,57.9609,-43.3807,3.8038
2000-01-13,20.25,20.75,20.25,3.79,35308,3032094.5084,189687.3534,31.3923,27.9043,0.3652,0.0,7.1429,7.1429,0.1514,2.8735,3.6524,4.4313,0.5,32.8257,17.3801,3.8817,24.6805,3.7354,3.71,3.5561,25.4166,,-0.4568,0.3834,,,,0,3.8107,0.1803,-0.0169,0.1972,0.3652,-0.0765,0.4416,0.1059,1.1064,62.3889,3.8213,3.8332,25.2197,-0.273,3.9957,-621816.0,41.7476,10.5711,-6.7201,1.004,58.6901,3.3761,,3.6524,3.2349,73.0062,74.1818,74.1818,63.6364,70.4069,36.7064,,3.8515,0.0924,3.8069,0.9391,59.6055,-55.9868,3.7946
2000-01-14,20.37,20.44,20.25,3.75,2867,3027169.8242,158919.404,30.9129,29.2595,0.3052,57.1429,0.0,-57.1429,0.1439,2.9702,3.6901,4.4099,-0.3158,20.5935,14.3621,3.8697,24.6805,3.7383,3.7159,3.5707,24.5569,,-0.269,0.7939,,,,0,3.807,0.1684,-0.0231,0.1915,0.3052,-0.13,0.4352,0.111,1.1329,51.2417,3.7871,3.8101,24.6394,-0.273,3.8329,-635183.0,40.7869,8.7454,-6.7796,0.9089,57.181,3.4091,,3.6901,3.2474,70.6626,58.3411,58.3411,38.6598,37.0736,0.0,,3.8282,0.0462,3.7752,0.9009,58.3069,-58.1359,3.7806
