date,open,high,low,close,volume,ad_14_chaikin a/d,adx_14_adx,adxr_14_adxr,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,ema_14_ema,ema_200_ema,ema_20_ema,ema_30_ema,ema_50_ema,ema_7_ema,ema_90_ema,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,mfi_14_mfi,mom_10_mom,roc_10_roc,rsi_14_rsi,sar_14_sar,sma_14_sma,sma_200_sma,sma_20_sma,sma_30_sma,sma_50_sma,sma_7_sma,sma_90_sma,stochrsi_14_fastd,stochrsi_14_fastk
1999-11-01,60.0,60.13,55.0,56.06,1895000,-1111881.0916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-11-02,56.41,56.5,51.25,52.13,1854600,-2344748.5202,,,,,,,,,,,,,,,,,,,,,60.13,,,,,,,,,
1999-11-03,54.0,54.25,50.75,52.25,1231200,-2520634.2345,,,,,,,,,,,,,,,,,,,,,60.0412,,,,,,,,,
1999-11-04,54.06,59.5,52.75,59.0,2985900,22910.21,,,,,,,,,,,,,,,,,,,,,59.8554,,,,,,,,,
1999-11-05,64.25,64.25,57.25,58.63,2884900,-1724514.9329,,,,,,,,,,,,,,,,,,,,,50.75,,,,,,,,,
1999-11-08,58.0,58.88,56.0,58.0,1106800,-1294092.7107,,,,,,,,,,,,,,,,,,,,,50.885,,,,,,,,,
1999-11-09,58.75,59.5,56.0,56.69,940200,-1863585.2821,,,,,,,,,,,,56.1086,,,,,,,,,51.0186,,,,,,56.1086,,,
1999-11-10,57.94,58.0,56.75,57.38,858500,-1856717.2821,,,,,,,,,,,,56.4264,,,,,,,,,51.151,,,,,,56.2971,,,
1999-11-11,56.81,58.5,56.5,57.63,1152400,-1706905.2821,,,,,,,,,,,,56.7273,,,,,,,,,51.282,,,,,,57.0829,,,
1999-11-12,59.69,60.0,56.88,59.0,861200,-1397756.5641,,,,,,,,,,,,57.2955,,,,,,,,,51.4116,,,,,,58.0471,,,
1999-11-15,59.19,65.56,59.13,64.06,1588200,-550551.8985,,,,,,,,,,,,58.9866,,,,,,8.0,14.2704,,51.54,,,,,,58.77,,,
1999-11-16,66.5,67.94,65.13,66.69,1316300,-405337.3078,,,,,,,,,,,,60.9125,,,,,,14.56,27.9302,,51.8204,,,,,,59.9214,,,
1999-11-17,68.81,68.81,65.0,67.0,1178200,-346581.9272,,,,,,,,,,,,62.4343,,,,,,14.75,28.2297,,52.304,,,,,,61.2071,,,
1999-11-18,68.38,70.75,66.94,69.75,1450500,342500.75,,,,,,,59.5907,,,,,64.2633,,,,,,10.75,18.2203,,52.9642,59.5907,,,,,63.0729,,,
1999-11-19,72.5,73.0,70.0,72.06,995700,714228.75,,,4.08,,,,61.2533,,,,,66.2124,,,,,73.1173,13.43,22.9064,78.0899,53.8535,60.7336,,,,,65.17,,,
1999-11-22,74.5,74.63,70.13,74.25,1195800,1708071.4166,,,4.11,,,,62.9862,,,,,68.2218,,,,,80.9811,16.25,28.0172,79.7655,55.0023,62.3136,,,,,67.5443,,,
1999-11-23,76.63,78.81,70.25,72.56,1588800,976777.9587,,,4.4279,,,,64.2627,,,,,69.3064,,,,,86.8527,15.87,27.9944,74.9988,56.3763,63.7643,,,,,69.4814,,,
1999-11-24,74.19,74.19,70.0,70.94,924000,467365.0709,,,4.4109,,,,65.153,,,,,69.7148,,,,,79.9957,13.56,23.6319,70.641,58.171,64.6171,,,,,70.4643,,,
1999-11-26,71.06,72.0,67.13,68.5,631000,191383.5514,,,4.4437,,,,65.5993,,,,,69.4111,,,,,73.2822,10.87,18.8617,64.5566,59.8221,65.3221,,,,,70.7229,,,
1999-11-29,69.0,70.0,63.75,64.0,1034200,-760080.4486,,,4.5727,49.2035,62.829,76.4545,65.386,,62.829,,,68.0583,,,,,72.9731,5.0,8.4746,55.1262,61.3411,65.7507,,62.829,,,70.2943,,,
1999-11-30,64.88,65.25,59.0,60.13,1084800,-1452616.7686,,,4.6925,49.699,63.0325,76.366,64.6852,,62.572,,,66.0762,,,,,72.093,-3.93,-6.1349,48.5569,78.81,65.9964,,63.0325,,,68.92,,0.0,0.0
1999-12-01,58.06,62.88,57.5,61.75,1067300,-833662.1218,,,4.7416,51.1276,63.5135,75.8994,64.2939,,62.4937,,,64.9947,,,,,71.0453,-4.94,-7.4074,51.1796,78.6119,66.3086,,63.5135,,,67.4471,,3.9587,11.8761
1999-12-02,63.69,63.75,61.13,62.81,568200,-673178.1523,,,4.5901,52.7711,64.0415,75.3119,64.096,,62.5238,,,64.4485,,,,,70.1874,-4.19,-6.2537,52.8727,78.1897,66.6786,,64.0415,,,65.8129,,12.9501,26.9742
1999-12-03,63.94,64.25,60.5,61.94,965300,-897127.7523,,,4.5301,53.1099,64.1885,75.2671,63.8085,,62.4682,,,63.8214,,,,,64.7279,-7.81,-11.1971,51.3002,77.7759,66.8886,,64.1885,,,64.2957,,26.8698,41.7591
1999-12-06,64.25,69.75,61.5,66.14,1258100,-740055.8735,,,4.7958,53.7587,64.564,75.3693,64.1194,,62.8179,,,64.401,,,,,64.1412,-5.92,-8.2154,57.8219,77.3704,67.0371,,64.564,,,63.61,,56.2444,100.0
1999-12-07,69.06,70.5,67.75,70.0,1048000,-73146.7826,,,4.7646,54.5524,65.164,75.7756,64.9035,,63.5019,,,65.8008,,,,,63.6153,-4.25,-5.7239,62.758,76.9729,67.2736,,65.164,,,63.8243,,80.5864,100.0
1999-12-08,71.75,73.75,68.5,73.0,1108300,718496.0745,,,4.7993,55.5937,65.9795,76.3653,65.983,,64.4065,,,67.6006,,,,,63.6388,0.44,0.6064,66.0806,76.5835,67.7021,,65.9795,,,65.11,,100.0,100.0
1999-12-09,75.25,78.47,67.5,70.25,1304400,68079.6661,39.4856,,5.2401,56.8728,66.623,76.3732,66.552,,64.963,,,68.2629,,,,,63.4126,-0.69,-0.9727,60.7319,57.5,67.7379,,66.623,,,66.5557,,87.9374,63.8121
