date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,adx_14_adx,adxr_14_adxr,apo_14_apo,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,bop_14_bop,cci_20_cci,cmo_14_cmo,dema_14_dema,dx_14_dx,ema_12_ema,ema_14_ema,ema_26_ema,ht_dcperiod_14_dcperiod,ht_dcphase_14_ht_dcphase,ht_phasor_14_phase,ht_phasor_14_quadrature,ht_sine_14_lead sine,ht_sine_14_sine,ht_trendline_14_ht_trendline,ht_trendmode_14_trendmode,kama_14_kama,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,macdext_14_macd,macdext_14_macd_hist,macdext_14_macd_signal,mama_14_fama,mama_14_mama,mfi_14_mfi,midpoint_14_midpoint,midprice_14_midprice,minus_di_14_minus_di,mom_10_mom,natr_14_natr,obv_14_obv,plus_di_14_plus_di,ppo_14_ppo,roc_10_roc,rocr_14_rocr,rsi_14_rsi,sar_14_sar,sma_200_sma,sma_20_sma,sma_50_sma,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,stochrsi_14_fastd,stochrsi_14_fastk,t3_14_t3,tema_14_tema,trange_14_trange,trima_14_trima,trix_14_trix,ultosc_14_ultosc,willr_14_willr,wma_14_wma
2007-05-04,33.0,34.25,31.03,5.6,23514900,-78285629.8137,,,,,,,,,,,,-0.528,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,94059600.0,,,,,,,,,,,,,,,,,,,,,,,
2007-05-07,31.5,31.56,29.3,5.32,4712200,-89628270.5216,,,,,,,,,,,,-0.7743,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,75210800.0,,,,,,6.1286,,,,,,,,,,,,0.4044,,,,,
2007-05-08,29.82,30.0,28.29,5.1,2873400,-98298881.0479,,,,,,,,,,,,-0.7719,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,63717200.0,,,,,,6.1198,,,,,,,,,,,,0.306,,,,,
2007-05-09,28.51,29.28,27.76,5.07,2220600,-100636354.7322,,,,,,,,,,,,-0.125,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,54834800.0,,,,,,6.0986,,,,,,,,,,,,0.272,,,,,
2007-05-10,28.46,28.55,27.45,4.95,1391000,-103772427.4594,,,,,,,,,,,,-0.7,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,49270800.0,,,,,,6.0647,,,,,,,,,,,,0.1968,,,,,
2007-05-11,28.14,28.4,27.21,4.87,1309600,-108834746.7872,,,,,,,,,,,,-0.7647,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,44032400.0,,,,,,6.0186,,,,,,,,,,,,0.2129,,,,,
2007-05-14,27.2,28.6,27.18,4.95,2094400,-111666611.5759,,,,,,,,,,,,0.3169,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,52410000.0,,,,,,5.9611,,,,,,6.8853,16.6667,,,,,0.2541,,,,,
2007-05-15,27.99,28.38,27.42,5.01,1571600,-110618878.2426,,,,,,,,,,,,-0.0104,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,58696400.0,,,,,,5.8952,,,,,,18.4072,38.0952,,,,,0.1718,,,,,
2007-05-16,28.0,28.44,27.7,5.06,1040000,-108370229.5939,,,,,,,,,,,,0.3649,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,62856400.0,,,,,,5.8333,,,,23.0444,43.8408,43.8408,76.7606,,,,,0.1324,,,,,
2007-05-17,28.51,28.55,27.2,4.89,714200,-110719154.0384,-7147339.5097,,,,,,,,,,,-0.8815,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,59999600.0,,,,,,5.7752,,,,34.6066,41.5717,41.5717,9.8592,,,,,0.2416,,,,,
2007-05-18,27.55,27.55,26.15,4.76,1645400,-112881679.7526,-6834929.493,,,,,,,,,,,-0.6643,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,-0.8374,,53418000.0,,,-14.9521,,,5.7205,,,,40.2268,35.2678,35.2678,19.1837,,,,,0.2505,,,,,
2007-05-21,26.52,27.41,26.0,4.85,1071500,-110541098.1924,-5341037.6722,,,,,,,,,,,0.4043,,,,,5.0359,,,,,,,,,,0,,,,,,,,,,,,,,-0.476,,57704000.0,,,-8.9412,,,5.6476,,,,33.5896,23.9293,23.9293,42.7451,,,,,0.2523,,,,,
2007-05-22,27.32,27.96,27.16,4.93,780100,-110619108.1924,-4269172.5934,,,,,,,,,,,0.2875,,,,,5.0196,,,,,,,,,,0,,,,,,,,,,,,,,-0.17,,60824400.0,,,-3.3333,,,5.568,,,,33.3672,40.9044,40.9044,60.7843,,,,,0.1557,,,,,
2007-05-23,27.93,27.99,26.95,4.85,531100,-112048992.8077,-3897539.0213,,,,,,,,,,,-0.7788,,,,,4.9939,5.0153,,,,,,,,,0,,,,,,,,,,,5.1821,5.3905,,-0.2147,,58700000.0,,,-4.2373,,,5.4947,,,,37.9947,49.1503,49.1503,43.9216,,,,,0.1861,4.9752,,,-86.4242,4.9287
2007-05-24,27.12,27.33,26.92,4.83,461800,-113175334.2712,-3749566.7509,,,,78.5714,0.0,-78.5714,0.2221,,,,-0.2927,,-52.1845,,75.3511,4.9689,4.9907,,,,,,,,,0,4.8497,,,,,,,,,28.5557,5.0434,5.1498,33.0948,-0.1235,4.5979,56852800.0,4.6521,,-2.4919,0.8626,23.9078,5.4273,,,,47.2357,51.6524,51.6524,50.2513,,,,,0.0734,4.9449,,,-82.0144,4.9042
2007-05-25,27.44,27.44,27.12,4.88,271800,-113107384.2712,-3326542.4811,,,,71.4286,0.0,-71.4286,0.2119,,,,-0.4688,,-46.6271,,72.0122,4.9557,4.9764,,,,,,,,,0,4.8523,,,,,,,,,37.7216,4.9315,5.0103,32.1524,0.0107,4.3393,57940000.0,5.2315,,0.2203,0.9173,26.6865,5.3653,,,,51.2672,52.999,52.999,64.8241,,,,,0.0787,4.9221,,,-67.75,4.8939
2007-05-29,27.4,27.8,27.1,4.93,442400,-112601784.2712,-2690201.4179,,,,64.2857,0.0,-64.2857,0.2057,,,,0.2143,,-41.6334,,61.1944,4.9517,4.9702,,,,,,,,,0,4.8543,,,,,,,,,46.7699,4.9154,4.9459,30.6569,-0.0179,4.1728,59709600.0,7.3803,,-0.3617,0.9667,29.1833,5.3083,,,,54.212,57.9846,57.9846,58.8785,,,,,0.1253,4.9048,,,-52.7439,4.8941
2007-05-30,25.79,26.05,24.54,4.64,3813300,-100176992.2182,1768026.6173,,,,100.0,0.0,-100.0,0.2295,,,,0.0795,,-52.5994,,73.8086,4.9032,4.9257,,,,,,,,,0,4.8396,,,,,,,,,43.3394,4.8474,4.7544,40.2966,-0.3704,4.9498,44456400.0,6.0723,,-7.3981,0.9149,23.7003,5.2558,,,,55.1515,54.4709,54.4709,39.7101,,,,,0.5386,4.889,,,-66.2562,4.8567
2007-05-31,25.8,26.25,25.25,4.56,842700,-101862392.2182,2894853.8483,,,,92.8571,14.2857,-78.5714,0.2259,,,,-0.3,,-54.8816,,69.1817,4.8509,4.8773,,,,,,,,,0,4.8228,,,,,,,,,49.8417,4.8108,4.7544,37.8938,-0.4957,4.9502,41085600.0,6.9028,,-9.7984,0.9209,22.5592,5.178,,,,51.7115,42.6788,42.6788,29.4479,,,,,0.1789,4.8735,,,-76.3547,4.8136
2007-06-01,25.75,26.6,25.52,4.75,562600,-99862036.6626,3729136.8607,,,,85.7143,7.1429,-78.5714,0.2238,4.4965,4.9403,5.3841,0.7315,-103.7246,-36.8785,,61.0993,4.8352,4.8602,,,,,,,,,0,4.8217,,,,,,,,,55.8137,4.8108,4.7544,35.3938,-0.1396,4.7126,43336000.0,8.5466,,-2.8551,0.9747,31.5608,5.1072,,4.9403,,46.8841,43.5026,43.5026,61.3497,,,,,0.1968,4.8567,,,-50.7389,4.7991
2007-06-04,26.58,26.6,25.96,4.67,596100,-101203261.6626,3304668.6057,,,,78.5714,0.0,-78.5714,0.216,4.5537,4.8938,5.2339,-0.75,-101.586,-40.0533,,61.0993,4.8098,4.8349,,,,,,,,,0,4.8166,,,,,,,,,46.8184,4.8108,4.7499,33.9888,-0.093,4.6249,40951600.0,8.2073,,-1.9534,0.9439,29.9733,5.0427,,4.8938,,44.1327,46.2168,46.2168,47.8528,60.7884,82.3653,,,0.1145,4.8357,,,-61.0973,4.7753
2007-06-05,26.09,26.36,25.85,4.7,631000,-99570085.192,3350245.1415,,,,71.4286,14.2857,-57.1429,0.2071,4.5757,4.8626,5.1496,0.3529,-96.6212,-37.1824,,61.7651,4.793,4.817,,,,,,,,,0,4.812,,,,,,,,,38.0838,4.8108,4.7499,33.5796,-0.1467,4.4054,43475600.0,7.9369,,-3.0269,0.9389,31.4088,4.9841,,4.8626,,51.3712,64.3943,64.3943,83.9806,93.5591,98.312,,,0.0913,4.814,,,-56.8579,4.7581
2007-06-06,26.29,27.0,26.0,4.82,498100,-97737077.192,3647552.166,,,,64.2857,7.1429,-57.1429,0.2051,4.5831,4.8489,5.1146,0.67,-44.4701,-25.9015,,46.0977,4.7978,4.8179,,,,,,,,,0,4.8124,,,,,,,,,35.1702,4.7463,4.7499,31.3956,-0.1056,4.251,45468000.0,11.5833,,-2.1416,0.9537,37.0492,4.9307,,4.8489,,62.3757,76.5159,76.5159,97.7143,93.5591,100.0,,,0.1789,4.7944,,,-39.6509,4.7603
2007-06-07,26.85,27.1,26.52,4.8,416600,-97794539.261,3419298.7299,,,,57.1429,0.0,-57.1429,0.1978,4.5885,4.8353,5.082,-0.0862,-23.3677,-27.3925,,43.7548,4.7975,4.815,,,,,,,,,0,4.8122,,,,,,,,,39.4573,4.7463,4.6998,30.1699,-0.0573,4.1255,43801600.0,11.8042,,-1.1799,0.981,36.3037,4.8822,,4.8353,,76.1598,87.5692,87.5692,81.0127,95.9254,89.4641,,,0.1038,4.7755,,,-34.4928,4.761
