date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,adx_14_adx,adxr_14_adxr,apo_14_apo,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,bop_14_bop,cci_20_cci,cmo_14_cmo,dema_14_dema,dx_14_dx,ema_12_ema,ema_14_ema,ema_26_ema,ht_dcperiod_14_dcperiod,ht_dcphase_14_ht_dcphase,ht_phasor_14_phase,ht_phasor_14_quadrature,ht_sine_14_lead sine,ht_sine_14_sine,ht_trendline_14_ht_trendline,ht_trendmode_14_trendmode,kama_14_kama,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,macdext_14_macd,macdext_14_macd_hist,macdext_14_macd_signal,mama_14_fama,mama_14_mama,mfi_14_mfi,midpoint_14_midpoint,midprice_14_midprice,minus_di_14_minus_di,mom_10_mom,natr_14_natr,obv_14_obv,plus_di_14_plus_di,ppo_14_ppo,roc_10_roc,rocr_14_rocr,rsi_14_rsi,sar_14_sar,sma_200_sma,sma_20_sma,sma_50_sma,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,stochrsi_14_fastd,stochrsi_14_fastk,t3_14_t3,tema_14_tema,trange_14_trange,trima_14_trima,trix_14_trix,ultosc_14_ultosc,willr_14_willr,wma_14_wma
2000-01-03,20.06,20.06,20.0,6.08,54900,455380.6406,92195.3202,41.1147,39.9505,-0.0069,35.7143,21.4286,-14.2857,0.1733,5.9698,6.1522,6.3346,-1.0,-73.577,-7.9118,6.1087,31.1804,6.1421,6.1468,6.2081,21.099,,0.0287,-0.0522,,,,0,6.1731,-0.065,0.0208,-0.0858,-0.0069,0.0394,-0.0464,0.1417,1.705,68.4078,6.0816,6.0797,18.9584,-0.1485,2.8486,223600.0,9.9459,-0.1126,-2.3836,0.9705,46.0441,5.894,,6.1522,,60.2184,57.1418,57.1418,28.9339,55.4068,21.341,,6.1369,0.1916,6.1255,-0.163,50.8665,-49.4486,6.1312
2000-01-04,19.5,20.0,18.5,5.64,51000,361540.6406,35224.433,42.4359,40.5009,-0.0333,100.0,14.2857,-85.7143,0.1935,5.8416,6.1286,6.4156,-0.6267,-339.8235,-29.5772,5.9887,59.6118,6.0655,6.0798,6.1664,20.778,,-0.0619,-0.0265,,,,0,6.1492,-0.1,-0.0114,-0.0887,-0.0333,0.007,-0.0404,0.1497,1.7444,68.7472,5.959,5.9661,32.6603,-0.2451,3.4276,121600.0,8.2643,-0.5452,-4.1625,0.9116,35.2114,6.3062,,6.1286,,57.0742,43.9169,43.9169,2.8169,40.447,0.0,,5.9672,0.4562,6.115,-0.1714,37.4233,-97.3174,6.0658
2000-01-05,18.69,19.13,18.31,5.8,39500,427052.8357,29560.7291,43.8167,40.8419,-0.0543,100.0,7.1429,-92.8571,0.1975,5.7899,6.1069,6.4239,0.4512,-287.6362,-19.0995,5.9303,61.7665,6.0241,6.042,6.139,20.3965,,0.0007,0.0977,,,,0,6.1423,-0.1141,-0.0204,-0.0937,-0.0543,-0.016,-0.0383,0.1578,1.7849,70.5692,5.959,5.9372,31.8012,-0.3951,3.4066,200600.0,7.5162,-0.8908,-6.3816,0.9534,40.4502,6.2994,,6.1069,,40.8061,21.3595,21.3595,32.3276,17.1444,30.0921,,5.8938,0.2494,6.0998,-0.1855,45.7897,-69.093,6.0259
2000-01-06,18.81,18.88,18.63,5.67,171800,83452.8357,-84770.8524,45.0988,41.1585,-0.055,92.8571,0.0,-92.8571,0.1927,5.7128,6.0824,6.4519,-0.72,-229.8491,-24.736,5.8515,61.7665,5.9689,5.9918,6.1039,19.9767,,0.0201,-0.0217,,,,0,6.1174,-0.1343,-0.0325,-0.1019,-0.055,-0.0177,-0.0373,0.1662,1.8237,53.0007,5.959,5.9267,30.2546,-0.4504,3.4011,-143000.0,7.1507,-0.9039,-7.364,0.904,37.632,6.2848,,6.0824,,27.1963,16.3125,16.3125,13.7931,14.6654,13.9041,,5.7951,0.1308,6.0779,-0.2073,42.5607,-86.4241,5.9712
2000-01-07,18.38,18.88,18.38,5.67,66400,83452.8357,-123836.4219,46.4949,42.4135,-0.0902,85.7143,0.0,-85.7143,0.1898,5.6482,6.0579,6.4676,0.5,-184.0998,-24.736,5.789,64.6448,5.9223,5.9483,6.0714,19.5666,,0.0432,-0.0813,,,,0,6.0953,-0.1486,-0.0374,-0.1112,-0.0902,-0.0491,-0.0411,0.1747,1.8621,45.3598,5.959,5.921,31.3881,-0.5259,3.3499,-143000.0,6.7402,-1.4849,-8.4937,0.9093,37.632,6.2704,,6.0579,,19.7136,21.4688,21.4688,18.2857,22.1138,22.3453,,5.7237,0.1521,6.051,-0.2326,39.7097,-86.2069,5.9223
2000-01-10,18.5,19.52,18.5,5.93,76200,229876.3651,-81970.6299,45.7701,42.5682,-0.1043,78.5714,57.1429,-21.4286,0.1984,5.6376,6.0429,6.4481,0.9804,-90.1508,-7.209,5.8057,36.3466,5.9235,5.9459,6.0609,19.2766,,0.0077,-0.4851,,,,0,6.0943,-0.137,-0.0207,-0.1164,-0.1043,-0.0566,-0.0477,0.1833,1.9028,50.472,5.959,5.921,27.8728,-0.1284,3.3455,9400.0,13.0124,-1.7181,-2.1196,1.0069,46.3955,6.2564,,6.0429,,23.9819,34.1643,34.1643,70.4142,45.4165,100.0,,5.7657,0.3102,6.0223,-0.2484,50.7516,-48.7069,5.914
2000-01-11,19.19,19.44,18.56,5.64,232800,-235723.6349,-205537.2941,45.097,42.7119,-0.1303,71.4286,50.0,-21.4286,0.2046,5.585,6.0117,6.4385,-0.7159,-112.1049,-20.2481,5.7493,36.3466,5.8805,5.9057,6.0301,19.3326,,-0.3384,-0.5267,,,,0,6.0719,-0.1492,-0.0263,-0.123,-0.1303,-0.072,-0.0583,0.1921,1.9402,37.3104,5.959,5.921,25.0846,-0.4143,3.6256,-456200.0,11.7108,-2.1523,-6.8379,0.9116,39.8759,6.2426,,6.0117,6.2315,30.6956,36.4537,36.4537,20.6612,49.3169,25.6052,,5.7006,0.2859,5.9787,-0.2677,40.5571,-89.2241,5.8672
2000-01-12,19.0,19.25,18.75,5.78,28900,-235723.6349,-237402.0845,44.4719,42.7248,-0.1407,64.2857,42.8571,-21.4286,0.205,5.5611,5.9911,6.421,0.0,-82.3146,-12.2937,5.7384,36.3466,5.8648,5.8887,6.0114,20.0119,,-0.4153,0.0343,,,,0,6.0644,-0.1464,-0.0187,-0.1276,-0.1407,-0.0704,-0.0702,0.201,1.9786,35.7892,5.959,5.921,23.2464,-0.3801,3.5481,-398400.0,10.8526,-2.3288,-6.1728,0.9448,43.8531,6.2292,,5.9911,6.2165,39.7017,48.4871,48.4871,54.386,65.5314,70.9891,,5.7015,0.2098,5.9281,-0.2826,44.7127,-70.2586,5.8435
2000-01-13,18.66,19.63,18.66,5.93,191600,44762.963,-139609.9372,42.7906,42.2682,-0.1398,57.1429,35.7143,-21.4286,0.2114,5.5549,5.9836,6.4123,0.866,-45.7586,-3.884,5.7688,20.9328,5.8748,5.8942,6.0054,21.173,,-0.3035,0.197,,,,0,6.0619,-0.1303,-0.0022,-0.1282,-0.1398,-0.0559,-0.0839,0.2101,2.0181,41.7596,5.959,5.921,20.925,-0.1703,3.5655,-15200.0,13.681,-2.319,-2.7916,0.9578,48.058,6.2159,,5.9836,6.2052,46.6077,54.8824,54.8824,89.6,65.5314,100.0,,5.7583,0.295,5.8832,-0.2874,55.8613,-48.7069,5.8432
2000-01-14,19.56,19.56,19.19,5.87,184300,-84745.1451,-128119.3716,41.2293,41.8443,-0.1528,50.0,28.5714,-21.4286,0.2044,5.5532,5.9639,6.3746,-0.6757,-30.1146,-6.7421,5.7801,20.9328,5.8744,5.8913,5.9955,21.4384,,-0.2634,0.4919,,,,0,6.0593,-0.1209,0.0058,-0.1267,-0.1528,-0.0527,-0.1001,0.2193,2.0567,51.0531,5.959,5.921,20.1004,-0.4014,3.4802,-383800.0,13.1419,-2.5382,-6.3984,0.9693,46.6289,6.203,,5.9639,6.1897,58.4195,71.8891,71.8891,71.6814,84.5078,82.5343,,5.7833,0.1125,5.8494,-0.287,52.0094,-56.8966,5.8378
