date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,adx_14_adx,adxr_14_adxr,apo_14_apo,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,bop_14_bop,cci_20_cci,cmo_14_cmo,dema_14_dema,dx_14_dx,ema_12_ema,ema_14_ema,ema_26_ema,ht_dcperiod_14_dcperiod,ht_dcphase_14_ht_dcphase,ht_phasor_14_phase,ht_phasor_14_quadrature,ht_sine_14_lead sine,ht_sine_14_sine,ht_trendline_14_ht_trendline,ht_trendmode_14_trendmode,kama_14_kama,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,macdext_14_macd,macdext_14_macd_hist,macdext_14_macd_signal,mama_14_fama,mama_14_mama,mfi_14_mfi,midpoint_14_midpoint,midprice_14_midprice,minus_di_14_minus_di,mom_10_mom,natr_14_natr,obv_14_obv,plus_di_14_plus_di,ppo_14_ppo,roc_10_roc,rocr_14_rocr,rsi_14_rsi,sar_14_sar,sma_200_sma,sma_20_sma,sma_50_sma,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,stochrsi_14_fastd,stochrsi_14_fastk,t3_14_t3,tema_14_tema,trange_14_trange,trima_14_trima,trix_14_trix,ultosc_14_ultosc,willr_14_willr,wma_14_wma
2015-08-04,24.25,25.86,19.24,21.15,1516873,-641577.7039,,,,,,,,,,,,-0.4683,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1516873.0,,,,,,,,,,,,,,,,,,,,,,,
2015-08-05,21.0,21.36,20.13,20.56,692747,-849965.0129,,,,,,,,,,,,-0.3577,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,824126.0,,,,,,19.24,,,,,,,,,,,,1.23,,,,,
2015-08-06,20.5,20.65,17.28,18.6,326714,-921091.0485,,,,,,,,,,,,-0.5643,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,497412.0,,,,,,21.36,,,,,,,,,,,,3.367,,,,,
2015-08-07,18.34,19.58,17.67,19.3,598965,-497738.8234,,,,,,,,,,,,0.5026,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1096377.0,,,,,,21.36,,,,,,,,,,,,1.91,,,,,
2015-08-10,19.43,19.69,18.82,19.01,259050,-643640.5475,,,,,,,,,,,,-0.4828,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,837327.0,,,,,,21.3192,,,,,,,,,,,,0.87,,,,,
2015-08-11,18.79,19.94,18.79,19.56,741767,-392084.7823,,,,,,,,,,,,0.6696,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1579094.0,,,,,,21.2789,,,,,,,,,,,,1.15,,,,,
2015-08-12,19.47,19.5,18.69,19.37,452753,-84659.9058,,,,,,,,,,,,-0.1235,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1126341.0,,,,,,21.2389,,,,,,45.9897,61.984,,,,,0.87,,,,,
2015-08-13,19.8,20.78,19.38,20.6,491708,280608.8942,,,,,,,,,,,,0.5714,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1618049.0,,,,,,21.1993,,,,,,70.682,94.2122,,,,,1.41,,,,,
2015-08-14,19.95,20.89,19.22,20.33,526558,454026.1996,,,,,,,,,,,,0.2275,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1091491.0,,,,,,21.1602,,,,64.5285,76.9139,76.9139,74.5455,,,,,1.67,,,,,
2015-08-17,19.93,21.7,19.93,21.07,562677,614111.7686,492270.5933,,,,,,,,,,,0.6423,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1654168.0,,,,,,17.283,,,,76.7204,82.5654,82.5654,78.9386,,,,,1.775,,,,,
