date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,adx_14_adx,adxr_14_adxr,apo_14_apo,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,bop_14_bop,cci_20_cci,cmo_14_cmo,dema_14_dema,dx_14_dx,ema_12_ema,ema_14_ema,ema_26_ema,ht_dcperiod_14_dcperiod,ht_dcphase_14_ht_dcphase,ht_phasor_14_phase,ht_phasor_14_quadrature,ht_sine_14_lead sine,ht_sine_14_sine,ht_trendline_14_ht_trendline,ht_trendmode_14_trendmode,kama_14_kama,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,macdext_14_macd,macdext_14_macd_hist,macdext_14_macd_signal,mama_14_fama,mama_14_mama,mfi_14_mfi,midpoint_14_midpoint,midprice_14_midprice,minus_di_14_minus_di,mom_10_mom,natr_14_natr,obv_14_obv,plus_di_14_plus_di,ppo_14_ppo,roc_10_roc,rocr_14_rocr,rsi_14_rsi,sar_14_sar,sma_200_sma,sma_20_sma,sma_50_sma,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,stochrsi_14_fastd,stochrsi_14_fastk,t3_14_t3,tema_14_tema,trange_14_trange,trima_14_trima,trix_14_trix,ultosc_14_ultosc,willr_14_willr,wma_14_wma
2000-01-03,58.81,59.44,55.0,9.78,2023400,-12350419.7227,2155393.2935,21.1709,23.9751,0.4778,0.0,71.4286,71.4286,0.3571,8.8663,9.7991,10.732,-0.6892,26.7386,-3.7856,10.294,9.2978,10.0665,10.0228,9.8662,23.4843,,0.6426,0.1758,,,,0,9.9789,0.1949,0.0639,0.1309,0.4778,0.1581,0.3196,0.2127,2.6448,60.9539,9.9893,9.9779,30.4595,-0.1525,3.6535,-18587600.0,25.2772,4.9693,-1.5366,1.0265,48.1072,9.2427,,9.7991,,77.0875,58.4573,58.4573,15.0,19.0696,0.0,,10.3527,0.8329,10.0672,0.3441,51.2835,-68.6591,10.158
2000-01-04,55.0,55.06,51.38,9.25,1955500,-14348430.5923,472683.3809,21.607,23.3464,0.4344,100.0,64.2857,-35.7143,0.3864,8.8226,9.7821,10.7417,-0.6114,-82.18,-19.3143,10.0654,27.2769,9.9408,9.9197,9.8205,25.2256,,0.5941,-0.4037,,,,0,9.9641,0.1157,-0.0122,0.1279,0.4344,0.0787,0.3557,0.2252,2.7108,51.4394,9.8683,9.7649,37.9297,-0.384,4.1772,-26409600.0,21.6722,4.513,-3.9862,0.9568,40.3429,10.5206,,9.7821,,60.71,39.027,39.027,15.8933,19.0696,0.0,,10.0074,0.7662,10.1251,0.3285,44.071,-84.1067,10.0554
2000-01-05,52.63,53.94,51.75,9.27,1230300,-14191131.9621,-208619.5993,22.012,23.0117,0.3646,92.8571,57.1429,-35.7143,0.3862,8.816,9.7799,10.7439,0.1142,-86.6212,-18.4223,9.8848,27.2769,9.8379,9.8333,9.7799,27.0542,,0.4242,-1.0263,,,,0,9.9561,0.0542,-0.059,0.1131,0.3646,-0.0179,0.3824,0.238,2.7764,51.8697,9.8683,9.7649,35.2189,-0.4594,4.1651,-21488400.0,20.1233,3.7816,-4.7207,0.9769,40.7888,10.5055,,9.7799,,37.8608,16.0982,16.0982,17.4014,0.6516,1.9549,,9.7528,0.384,10.1516,0.2948,43.7612,-82.5986,9.9598
2000-01-06,52.0,54.0,51.88,9.22,1129900,-15811365.9244,-983898.0247,22.3536,22.9943,0.3112,85.7143,50.0,-35.7143,0.3852,8.8254,9.7827,10.7399,0.2642,-88.5144,-20.0075,9.7243,26.7938,9.7423,9.751,9.7381,27.6918,,0.1155,-1.4408,,,,0,9.9391,0.0008,-0.0898,0.0907,0.3112,-0.0857,0.397,0.251,2.8408,45.3733,9.8517,9.7649,32.7767,-0.6909,4.1793,-26008000.0,18.9241,3.2223,-6.9735,0.9556,39.9962,10.4905,,9.7827,,23.5955,15.6613,15.6613,13.6891,0.6516,0.0,,9.5422,0.3717,10.1385,0.249,42.7209,-86.3109,9.8588
2000-01-07,52.94,54.44,52.75,9.42,917100,-15138464.1492,-997506.9953,22.4071,22.5577,0.2557,78.5714,42.8571,-35.7143,0.3812,8.8929,9.8024,10.7119,0.4793,-68.407,-11.3428,9.6466,23.1034,9.6934,9.7075,9.7149,27.7668,,-0.108,-1.6652,,,,0,9.9244,-0.0243,-0.092,0.0677,0.2557,-0.1412,0.3969,0.2642,2.9066,42.7523,9.8517,9.7649,30.741,-0.8434,4.0447,-22339600.0,19.2024,2.6394,-8.2138,0.9493,44.3286,10.4757,,9.8024,,17.3082,20.165,20.165,29.4045,18.4562,53.4137,,9.4592,0.3296,10.092,0.2023,41.8084,-72.5058,9.7897
2000-01-10,54.0,55.5,53.81,9.71,1121400,-11289872.4333,312160.0623,21.8395,21.6613,0.2237,71.4286,35.7143,-35.7143,0.3759,8.9813,9.8331,10.6848,0.8166,-36.6701,-0.6256,9.6555,14.4605,9.696,9.7079,9.7146,27.533,,-0.6216,-2.3513,,,,0,9.923,-0.0209,-0.0709,0.05,0.2237,-0.1591,0.3828,0.2778,2.9747,49.7454,9.8517,9.7649,28.9392,-0.7224,3.8709,-17854000.0,21.6271,2.3052,-6.9244,1.008,49.6872,10.461,,9.8331,,27.5177,46.727,46.727,97.0874,51.1379,100.0,,9.5004,0.3069,10.0243,0.1638,46.8835,-53.5963,9.7635
2000-01-11,54.63,55.75,53.44,9.45,1047900,-13884672.4333,-6063.4198,21.4696,21.1875,0.1557,64.2857,28.5714,-35.7143,0.378,8.9714,9.8293,10.6872,-0.3247,-56.4117,-9.2795,9.5977,16.66,9.6578,9.6732,9.6948,27.2682,,-1.4253,-1.2332,,,,0,9.9161,-0.039,-0.0712,0.0322,0.1557,-0.1964,0.3521,0.2916,3.0394,50.0759,9.8517,9.7649,27.9454,-1.0398,4.0007,-22045600.0,19.9637,1.6048,-9.9147,0.9708,45.3602,10.4465,,9.8293,9.6106,42.2686,59.9139,59.9139,53.25,69.5881,55.3506,,9.4432,0.405,9.9251,0.1257,43.0412,-70.9977,9.7015
2000-01-12,53.81,54.19,51.75,9.29,2261100,-14107075.7119,-206459.213,21.7824,21.5744,0.072,57.1429,21.4286,-35.7143,0.3816,8.9229,9.8104,10.6979,-0.3566,-95.1444,-14.1378,9.5121,25.8489,9.601,9.6219,9.6647,27.5009,,-1.3639,0.7631,,,,0,9.894,-0.0654,-0.078,0.0127,0.072,-0.2365,0.3085,0.3057,3.1019,39.8251,9.8517,9.7649,31.1549,-1.1669,4.1077,-31090000.0,18.3567,0.7424,-11.1605,0.9376,42.9311,10.4321,,9.8104,9.5929,55.5874,60.1213,60.1213,30.0265,61.8784,30.2846,,9.3484,0.4281,9.8039,0.0855,46.0879,-81.4965,9.621
2000-01-13,53.0,53.0,52.0,9.19,1307000,-15361795.7119,-668899.3818,22.0728,22.0455,-0.0313,50.0,14.2857,-35.7143,0.3668,8.8771,9.7954,10.7136,-0.62,-104.3612,-17.0982,9.4193,25.8489,9.5379,9.5644,9.6296,27.4923,,-0.9557,1.6521,,,,0,9.8312,-0.0931,-0.0846,-0.0085,-0.0313,-0.2828,0.2515,0.3199,3.1628,31.8926,9.8389,9.7649,30.0859,-1.1775,3.9914,-36318000.0,17.7269,-0.3229,-11.357,0.8951,41.4509,10.4179,,9.7954,9.5762,51.031,33.0576,33.0576,15.8964,28.5451,0.0,,9.247,0.1755,9.684,0.0433,47.5442,-87.9973,9.5334
2000-01-14,53.0,54.88,52.88,9.5,2269700,-13092095.7119,-75093.1434,21.2022,21.9237,-0.124,42.8571,7.1429,-35.7143,0.372,8.8628,9.788,10.7133,0.565,-54.8036,-4.9235,9.422,9.8844,9.5317,9.5555,9.6198,26.8882,,-0.422,2.0661,,,,0,9.809,-0.0893,-0.0647,-0.0247,-0.124,-0.3087,0.1847,0.3345,3.2261,34.2922,9.8389,9.7649,27.5418,-0.9792,3.9164,-27239200.0,22.5869,-1.2788,-9.346,0.9103,47.5382,10.4038,,9.788,9.5717,42.8347,35.3253,35.3253,60.053,34.7311,73.9087,,9.2828,0.4386,9.5864,0.0092,49.6577,-67.6823,9.4969
2000-01-18,54.75,54.75,52.88,9.34,1155300,-15884585.5515,-713865.2545,20.3938,21.3727,-0.2215,35.7143,0.0,-35.7143,0.3688,8.8163,9.7588,10.7014,-0.8021,-59.48,-9.9914,9.387,9.8844,9.5027,9.5272,9.5993,25.9245,,0.1931,1.2072,,,,0,9.7689,-0.0977,-0.0584,-0.0393,-0.2215,-0.3333,0.1118,0.3492,3.2873,26.2342,9.8336,9.7649,25.7854,-0.4322,3.9476,-31860400.0,21.1465,-2.2805,-4.4212,0.8909,45.0043,10.3899,,9.7588,9.5648,35.4385,37.9326,37.9326,37.8485,44.0943,58.3741,,9.2605,0.3281,9.5117,-0.0217,48.3449,-77.8979,9.4488
2000-01-19,53.5,53.69,52.75,9.28,1125700,-19141930.2324,-1946712.1298,19.708,20.8934,-0.3283,28.5714,14.2857,-14.2857,0.3543,8.7766,9.7411,10.7055,-0.6596,-68.2672,-12.1125,9.3437,10.7919,9.4682,9.494,9.5755,24.9168,,0.2396,-0.1511,,,,0,9.7255,-0.1082,-0.0552,-0.0531,-0.3283,-0.3631,0.0348,0.3642,3.3472,26.4265,9.8336,9.7649,25.3864,0.0289,3.8182,-36363200.0,20.4408,-3.3782,0.3127,0.8874,43.9437,10.3761,,9.7411,9.5514,39.3086,44.6679,44.6679,36.1022,57.7447,40.9512,,9.2253,0.1649,9.4571,-0.0507,44.9028,-82.193,9.4028
