date,open,high,low,close,volume,ad_14_chaikin a/d,adx_14_adx,adxr_14_adxr,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,ema_14_ema,ema_200_ema,ema_20_ema,ema_30_ema,ema_50_ema,ema_7_ema,ema_90_ema,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,mfi_14_mfi,mom_10_mom,roc_10_roc,rsi_14_rsi,sar_14_sar,sma_14_sma,sma_200_sma,sma_20_sma,sma_30_sma,sma_50_sma,sma_7_sma,sma_90_sma,stochrsi_14_fastd,stochrsi_14_fastk
1999-11-01,70.63,70.69,66.88,9.16,306300,-1722033.0709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-11-02,67.0,68.25,66.13,9.04,212000,-2994033.0709,,,,,,,,,,,,,,,,,,,,,9.6616,,,,,,,,,
1999-11-03,65.63,68.13,65.25,9.23,592100,-995695.5709,,,,,,,,,,,,,,,,,,,,,9.6554,,,,,,,,,
1999-11-04,67.63,69.25,66.94,9.16,274200,-2555430.6358,,,,,,,,,,,,,,,,,,,,,9.6407,,,,,,,,,
1999-11-05,67.0,68.19,67.0,9.28,363500,-1510749.9635,,,,,,,,,,,,,,,,,,,,,9.6262,,,,,,,,,
1999-11-08,67.38,68.63,67.38,9.33,357100,-670850.7635,,,,,,,,,,,,,,,,,,,,,9.612,,,,,,,,,
1999-11-09,68.19,68.38,67.31,9.23,259200,-1499321.7916,,,,,,,,,,,,9.2026,,,,,,,,,9.5982,,,,,,9.2026,,,
1999-11-10,67.38,67.63,66.63,9.11,248000,-2808761.7916,,,,,,,,,,,,9.1807,,,,,,,,,9.5846,,,,,,9.1965,,,
1999-11-11,66.88,66.88,65.94,9.02,230200,-4013638.3873,,,,,,,,,,,,9.1407,,,,,,,,,9.5712,,,,,,9.194,,,
1999-11-12,66.19,66.63,66.0,9.05,239200,-4583162.1968,,,,,,,,,,,,9.1171,,,,,,,,,9.5582,,,,,,9.1684,,,
1999-11-15,66.19,66.63,65.38,8.94,369400,-6586787.7968,,,,,,,,,,,,9.0739,,,,,,-0.2132,-2.3284,,9.5454,,,,,,9.138,,,
1999-11-16,65.44,66.81,65.13,9.12,310500,-4856859.2254,,,,,,,,,,,,9.0862,,,,,,0.0847,0.9375,,9.5328,,,,,,9.1159,,,
1999-11-17,66.88,67.44,66.13,9.06,192200,-5693149.3017,,,,,,,,,,,,9.0804,,,,,,-0.1626,-1.763,,9.5139,,,,,,9.078,,,
1999-11-18,66.56,66.69,65.63,9.05,177000,-5633036.0942,,,,,,,9.1269,,,,,9.0719,,,,,,-0.1107,-1.209,,9.4955,9.1269,,,,,9.0513,,,
1999-11-19,66.06,66.38,65.31,8.93,319400,-7549436.0942,,,0.1929,,,,9.1002,,,,,9.0355,,,,,47.5723,-0.3513,-3.7861,41.4904,9.4777,9.1104,,,,,9.0243,,,
1999-11-22,65.13,66.13,65.0,8.96,289600,-7564813.0853,,,0.1902,,,,9.0816,,,,,9.0168,,,,,46.7589,-0.3677,-3.9414,43.0349,9.4604,9.1049,,,,,9.0157,,,
1999-11-23,65.31,66.0,65.0,9.01,466900,-5099581.0853,,,0.1863,,,,9.0723,,,,,9.0157,,,,,45.003,-0.2214,-2.3979,45.3944,9.4374,9.0896,,,,,9.0109,,,
1999-11-24,64.94,65.5,64.38,8.84,161000,-5530831.0853,,,0.1883,,,,9.0416,,,,,8.9722,,,,,39.368,-0.2734,-2.999,39.5859,9.4152,9.0671,,,,,8.9962,,,
1999-11-26,64.44,64.63,64.38,8.8,80900,-6016231.0853,,,0.1778,,,,9.0093,,,,,8.9289,,,,,42.4804,-0.2214,-2.4545,38.2778,9.3844,9.0329,,,,,8.9499,,,
1999-11-29,63.81,64.0,62.75,8.65,268500,-6183775.0853,,,0.181,8.7237,9.0485,9.3733,8.9617,,9.0485,,,8.8599,,,,,33.5664,-0.3936,-4.3511,34.0904,9.3493,8.9847,,9.0485,,,8.8914,,,
1999-11-30,63.31,64.44,63.31,8.75,529900,-5480368.0057,,,0.1791,8.6822,9.028,9.3738,8.9332,,9.0198,,,8.8318,,,,,44.7341,-0.1968,-2.2005,38.7441,9.2952,8.9499,,9.028,,,8.8486,,13.7227,41.1682
1999-12-01,63.75,65.13,63.5,8.78,641100,-5787152.0548,,,0.1823,8.6531,9.0152,9.3772,8.9129,,8.9971,,,8.8192,,,,,55.5674,-0.3417,-3.7453,40.3864,9.2449,8.9261,,9.0152,,,8.8279,,47.0561,100.0
1999-12-02,64.25,65.44,64.06,8.88,270400,-5340404.2287,,,0.1827,8.6443,8.9977,9.351,8.908,,8.9856,,,8.8333,,,,,61.3526,-0.1872,-2.0661,44.7865,9.1981,8.9158,,8.9977,,,8.8158,,80.3894,100.0
1999-12-03,65.13,66.0,64.69,8.87,280300,-6534353.847,,,0.1825,8.6334,8.9832,9.3329,8.9026,,8.9743,,,8.8419,,,,,61.6824,-0.179,-1.9792,44.479,9.1546,8.903,,8.9832,,,8.7951,,99.0419,97.1257
1999-12-06,66.0,66.0,64.75,8.88,210100,-7411731.447,,,0.1816,8.638,8.9631,9.2882,8.899,,8.9649,,,8.8503,,,,,69.1006,-0.0506,-0.5665,44.8865,9.1141,8.8981,,8.9631,,,8.8,,99.0419,100.0
1999-12-07,64.94,64.94,63.06,8.64,164000,-8196837.83,,,0.187,8.6213,8.9289,9.2365,8.8651,,8.9344,,,8.7989,,,,,63.9345,-0.3157,-3.5235,36.7141,9.0765,8.8639,,8.9289,,,8.7779,,65.7086,0.0
1999-12-08,63.44,63.44,61.75,8.58,386300,-7771679.2501,,,0.1901,8.5853,8.896,9.2068,8.8266,,8.9003,,,8.7433,,,,,56.6084,-0.436,-4.8377,34.7011,9.0415,8.8292,,8.896,,,8.767,,33.3333,0.0
1999-12-09,62.63,62.81,62.0,8.48,246800,-9033101.4723,38.8516,,0.1845,8.522,8.8644,9.2068,8.7807,,8.8605,,,8.678,,,,,55.8626,-0.3595,-4.0655,32.0866,8.9933,8.7889,,8.8644,,,8.7291,,-0.0,0.0
1999-12-10,62.13,63.13,61.75,8.44,452100,-11745701.4723,38.9147,,0.1848,8.4545,8.8354,9.2162,8.7352,,8.8204,,,8.6184,,,,,54.4612,-0.3595,-4.0851,30.958,8.949,8.7541,,8.8354,,,8.6803,,-0.0,0.0
1999-12-13,61.75,62.75,60.81,8.34,418000,-13762443.7404,39.4813,,0.1905,8.3748,8.7999,9.225,8.6822,,8.7744,8.9199,,8.5481,,,,,53.2053,-0.3157,-3.6487,28.3592,8.9032,8.7096,,8.7999,8.9199,,8.6034,,-0.0,0.0
1999-12-14,61.06,61.31,60.31,8.26,280300,-15006975.7404,40.2478,,0.1867,8.2861,8.7657,9.2453,8.626,,8.7255,8.8774,,8.4763,,,,,44.7947,-0.4866,-5.5625,26.5659,8.844,8.6559,,8.7657,8.89,,8.5167,,-0.0,0.0
1999-12-15,60.19,61.06,60.06,8.27,373300,-15275751.7404,41.0768,,0.1831,8.2265,8.723,9.2195,8.5784,,8.682,8.8381,,8.4244,,,,,42.9187,-0.5125,-5.8366,27.0978,8.7779,8.615,,8.723,8.8644,,8.43,,3.2116,9.6349
1999-12-16,60.31,61.06,59.88,8.18,258300,-16825551.7404,41.9323,,0.1815,8.1558,8.6791,9.2023,8.5258,,8.6346,8.796,,8.3644,,,,,41.4407,-0.6916,-7.7918,25.0765,8.7096,8.5711,,8.6791,8.8297,,8.3642,,3.2116,0.0
1999-12-17,59.94,59.94,59.13,8.19,392000,-14473551.7404,43.0641,,0.1765,8.1008,8.6364,9.1719,8.4813,,8.5925,8.757,,8.3214,,-0.2457,-0.0414,-0.2043,40.5795,-0.6752,-7.6141,25.6545,8.6413,8.5382,,8.6364,8.7975,,8.3093,,9.0804,17.6065
1999-12-20,59.81,60.25,59.81,8.18,331600,-15830097.1949,43.632,,0.1682,8.0466,8.5992,9.1519,8.4417,,8.5536,8.7201,,8.2871,,-0.2477,-0.0347,-0.213,37.7448,-0.6916,-7.7918,25.4431,8.5629,8.4979,,8.5992,8.7611,,8.2668,,11.9143,18.1365
1999-12-21,59.69,59.88,59.0,8.1,429800,-16943669.9222,44.5359,,0.1647,7.9886,8.5561,9.1237,8.3959,,8.5102,8.6799,,8.2398,,-0.2533,-0.0322,-0.221,25.0197,-0.5467,-6.3241,23.2748,8.4956,8.4491,,8.5561,8.7201,,8.2179,,11.9143,0.0
1999-12-22,59.25,61.88,59.25,8.33,285300,-16455514.0287,42.8913,,0.1787,7.9871,8.522,9.0569,8.387,,8.4929,8.6573,,8.2621,,-0.2363,-0.0122,-0.2241,24.9627,-0.2474,-2.8845,38.4327,8.0639,8.4101,,8.522,8.6899,,8.2168,,39.3788,100.0
1999-12-23,61.44,63.0,61.06,8.4,278500,-17471895.472,40.3373,,0.186,7.9832,8.4997,9.0163,8.3884,,8.4838,8.6405,,8.2959,,-0.2149,0.0073,-0.2222,24.6768,-0.0847,-0.999,42.0786,8.0639,8.3765,,8.4997,8.666,,8.2363,,66.6667,100.0
1999-12-27,61.44,61.44,60.31,8.27,231800,-18394992.8171,38.4872,,0.1838,7.9665,8.4732,8.9799,8.3724,,8.4634,8.6165,,8.2892,,-0.2059,0.0131,-0.219,19.686,-0.1708,-2.0243,37.5737,8.0748,8.3331,,8.4732,8.6409,,8.2363,,92.0142,76.0427
1999-12-28,60.25,60.38,58.5,8.17,393600,-17465426.8596,37.8061,,0.1902,7.9337,8.4493,8.9649,8.3461,,8.4359,8.588,,8.2605,,-0.2041,0.0119,-0.216,18.8026,-0.1626,-1.9508,34.6419,8.6106,8.2996,,8.4493,8.6119,,8.2349,,78.8313,60.4513
1999-12-29,60.0,60.0,59.0,8.16,137300,-17152382.8596,37.1737,38.0126,0.1863,7.9084,8.4199,8.9313,8.321,,8.4094,8.5603,,8.2349,,-0.2016,0.0115,-0.2131,22.8952,-0.1025,-1.2409,34.143,8.6044,8.2697,,8.4199,8.5857,,8.23,,45.498,0.0
1999-12-30,59.81,61.19,59.63,8.36,221300,-15926721.3212,35.5314,37.223,0.1883,7.9144,8.3985,8.8827,8.3255,,8.4042,8.5471,,8.265,,-0.1816,0.0252,-0.2068,28.0037,0.0861,1.0413,44.4777,8.5984,8.2606,,8.3985,8.5601,,8.2545,,53.4838,100.0
1999-12-31,60.88,61.0,60.31,8.29,72700,-15882469.1473,34.0064,36.7438,0.1828,7.9363,8.3695,8.8027,8.3215,,8.3938,8.5308,,8.2724,,-0.1688,0.0304,-0.1992,32.4642,0.1107,1.3527,42.2937,8.5923,8.2503,,8.3695,8.5345,,8.2826,,59.6225,78.8676
2000-01-03,60.19,60.5,58.94,8.07,413700,-17982792.2242,33.4034,36.8256,0.1868,7.9432,8.3297,8.7162,8.2882,,8.3632,8.5012,,8.2224,,-0.1745,0.0198,-0.1943,32.609,-0.1203,-1.4681,35.3657,8.5864,8.2313,,8.3297,8.502,,8.2459,,63.5664,11.8315
2000-01-04,58.81,59.5,58.63,8.02,341000,-19746585.3276,33.01,37.0434,0.182,7.9685,8.287,8.6056,8.2526,,8.3306,8.4702,,8.1721,,-0.1811,0.0106,-0.1916,32.2058,-0.1626,-1.9873,34.0041,8.5804,8.2142,,8.287,8.4718,,8.1922,,30.233,0.0
