date,open,high,low,close,volume,ad_14_chaikin a/d,adx_14_adx,adxr_14_adxr,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,ema_14_ema,ema_200_ema,ema_20_ema,ema_30_ema,ema_50_ema,ema_7_ema,ema_90_ema,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,mfi_14_mfi,mom_10_mom,roc_10_roc,rsi_14_rsi,sar_14_sar,sma_14_sma,sma_200_sma,sma_20_sma,sma_30_sma,sma_50_sma,sma_7_sma,sma_90_sma,stochrsi_14_fastd,stochrsi_14_fastk
2012-03-15,19.1,21.1,19.0,20.55,4202500,2001190.4762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-03-16,21.0,21.96,20.52,21.75,277100,2197469.6429,,,,,,,,,,,,,,,,,,,,,19.0,,,,,,,,,
2012-03-19,22.06,22.38,20.79,22.0,216100,2310276.5611,,,,,,,,,,,,,,,,,,,,,19.0296,,,,,,,,,
2012-03-20,21.49,22.43,21.0,21.5,102700,2279394.7429,,,,,,,,,,,,,,,,,,,,,19.0966,,,,,,,,,
2012-03-21,21.5,21.5,20.51,21.17,212200,2350128.0762,,,,,,,,,,,,,,,,,,,,,19.1966,,,,,,,,,
2012-03-22,21.2,21.5,20.75,20.88,178500,2231128.0762,,,,,,,,,,,,,,,,,,,,,19.2936,,,,,,,,,
2012-03-23,21.49,21.49,20.8,20.83,148400,2095632.4241,,,,,,,,,,,,21.2393,,,,,,,,,19.3877,,,,,,21.2393,,,
2012-03-26,20.82,21.48,20.51,21.46,76100,2168593.9562,,,,,,,,,,,,21.2945,,,,,,,,,19.479,,,,,,21.3693,,,
2012-03-27,21.5,22.25,21.0,21.0,63600,2104993.9562,,,,,,,,,,,,21.2208,,,,,,,,,19.5675,,,,,,21.2621,,,
2012-03-28,21.0,21.6,21.0,21.01,31500,2074543.9562,,,,,,,,,,,,21.1681,,,,,,,,,19.6534,,,,,,21.1207,,,
2012-03-29,20.84,21.16,19.82,20.8,77100,2110217.0905,,,,,,,,,,,,21.0761,,,,,,0.25,1.2165,,19.7367,,,,,,21.0207,,,
2012-03-30,21.01,21.35,20.54,20.74,133400,2042693.6337,,,,,,,,,,,,20.9921,,,,,,-1.01,-4.6437,,19.8175,,,,,,20.9593,,,
2012-04-02,20.72,22.25,20.7,21.79,64300,2068828.4724,,,,,,,,,,,,21.1916,,,,,,-0.21,-0.9545,,19.82,,,,,,21.09,,,
2012-04-03,21.6,22.0,21.25,21.66,113600,2079431.1391,,,,,,,21.2239,,,,,21.3087,,,,,,0.16,0.7442,,19.8983,21.2239,,,,,21.2086,,,
2012-04-04,21.51,21.66,20.66,21.3,24700,2086347.1391,,,1.0828,,,,21.2341,,,,,21.3065,,,,,55.3033,0.13,0.6141,56.7812,19.9743,21.2775,,,,,21.1857,,,
2012-04-05,21.19,21.74,21.19,21.74,41100,2127447.1391,,,1.0448,,,,21.3015,,,,,21.4149,,,,,48.1496,0.865,4.1437,60.1922,20.0479,21.2768,,,,,21.2914,,,
2012-04-09,21.47,21.76,20.05,21.04,27100,2131726.0865,,,1.0923,,,,21.2667,,,,,21.3212,,,,,38.2703,0.21,1.0082,53.0225,22.43,21.2082,,,,,21.2957,,,
2012-04-10,21.15,21.15,20.51,20.7,20600,2123357.3365,,,1.06,,,,21.1911,,,,,21.1659,,,,,40.9519,-0.76,-3.5415,49.9127,22.4062,21.1511,,,,,21.2814,,,
2012-04-11,21.05,21.15,20.78,21.12,11600,2133076.2554,,,1.0164,,,,21.1816,,,,,21.1544,,,,,50.1828,0.12,0.5714,53.5379,22.3826,21.1475,,,,,21.3357,,,
