date,open,high,low,close,volume,ad_14_chaikin a/d,adx_14_adx,adxr_14_adxr,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,ema_14_ema,ema_200_ema,ema_20_ema,ema_30_ema,ema_50_ema,ema_7_ema,ema_90_ema,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,mfi_14_mfi,mom_10_mom,roc_10_roc,rsi_14_rsi,sar_14_sar,sma_14_sma,sma_200_sma,sma_20_sma,sma_30_sma,sma_50_sma,sma_7_sma,sma_90_sma,stochrsi_14_fastd,stochrsi_14_fastk
2017-10-27,16.5,18.36,15.76,13.29,6158275,1610625.7692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-30,17.13,18.19,17.02,13.79,1341803,2631313.5214,,,,,,,,,,,,,,,,,,,,,12.0371,,,,,,,,,
2017-10-31,17.99,18.44,17.39,13.88,791861,3015931.7214,,,,,,,,,,,,,,,,,,,,,12.0557,,,,,,,,,
2017-11-01,18.13,18.65,17.98,13.83,290534,2838142.2587,,,,,,,,,,,,,,,,,,,,,12.0962,,,,,,,,,
2017-11-02,18.1,18.42,17.85,13.83,150290,2824958.9253,,,,,,,,,,,,,,,,,,,,,12.1607,,,,,,,,,
2017-11-03,18.04,18.28,17.68,13.82,323597,2954397.7253,,,,,,,,,,,,,,,,,,,,,12.2232,,,,,,,,,
2017-11-06,18.09,18.15,17.91,13.76,109266,2944796.9471,,,,,,,,,,,,13.7436,,,,,,,,,12.2838,,,,,,13.7436,,,
2017-11-07,17.98,18.09,17.41,13.52,477801,2874451.4844,,,,,,,,,,,,13.6874,,,,,,,,,12.3426,,,,,,13.7763,,,
2017-11-08,17.75,17.84,17.38,13.42,216140,2834942.022,,,,,,,,,,,,13.6204,,,,,,,,,12.3997,,,,,,13.724,,,
2017-11-09,17.8,17.8,16.94,13.11,257696,2715083.4174,,,,,,,,,,,,13.4938,,,,,,,,,12.455,,,,,,13.6149,,,
2017-11-10,17.17,17.3,17.0,13.05,92855,2671751.084,,,,,,,,,,,,13.3817,,,,,,-0.2444,-1.8391,,12.5087,,,,,,13.5025,,,
2017-11-13,17.31,17.5,16.53,12.66,184050,2502880.4655,,,,,,,,,,,,13.2002,,,,,,-1.1304,-8.1994,,12.5608,,,,,,13.3344,,,
2017-11-14,16.56,16.67,15.75,12.22,149806,2434490.7698,,,,,,,,,,,,12.9553,,,,,,-1.6574,-11.9428,,14.2444,,,,,,13.1053,,,
2017-11-15,16.02,16.13,15.27,12.07,255124,2493821.9326,,,,,,,13.3033,,,,,12.7334,,,,,,-1.7643,-12.7554,,14.2223,13.3033,,,,,12.8631,,,
2017-11-16,15.68,16.03,15.39,11.95,170484,2456528.5576,,,0.5452,,,,13.1223,,,,,12.5364,,,,,53.7033,-1.8865,-13.6389,23.3333,14.1711,13.2073,,,,,12.6383,,,
2017-11-17,15.7,16.0,15.5,12.1,106800,2494976.5576,,,0.5336,,,,12.9857,,,,,12.4268,,,,,37.2539,-1.7261,-12.4862,28.0306,14.1209,13.0868,,,,,12.4495,,,
2017-11-20,15.78,16.19,15.75,12.23,158565,2523836.0361,,,0.5195,,,,12.8847,,,,,12.3771,,,,,22.7167,-1.5352,-11.1543,31.8527,14.0718,12.9689,,,,,12.323,,,
2017-11-21,16.0,17.44,15.69,12.37,698070,2232641.1219,,,0.5778,,,,12.8165,,,,,12.3762,,,,,31.1276,-1.1457,-8.4746,35.9469,14.0236,12.8647,,,,,12.227,,,
2017-11-22,16.43,16.83,16.1,12.43,265189,2099577.3247,,,0.5766,,,,12.7655,,,,,12.3907,,,,,30.2609,-0.9853,-7.3421,37.6456,13.9764,12.7649,,,,,12.1953,,,
2017-11-24,16.39,17.17,16.25,12.7,154479,2072711.4117,,,0.5856,11.6231,13.0014,14.3796,12.757,,13.0014,,,12.4684,,,,,36.7217,-0.4124,-3.145,44.5714,13.9301,12.6847,,13.0014,,,12.2641,,,
2017-11-27,16.54,16.74,16.19,12.43,1033161,1340106.3389,,,0.5738,11.5648,12.9582,14.3516,12.713,,12.9466,,,12.458,,,,,26.0685,-0.6187,-4.7424,39.6884,13.8848,12.5892,,12.9582,,,12.3153,,87.2026,61.6079
2017-11-28,16.55,17.48,16.46,12.96,1064262,1340106.3389,,,0.5988,11.5762,12.917,14.2578,12.7461,,12.948,,,12.5838,,,,,45.5949,0.3055,2.414,50.9427,13.8403,12.5494,,12.917,,,12.4605,,87.2026,100.0
2017-11-29,16.82,17.08,15.81,12.69,352289,1437193.8586,,,0.6253,11.5893,12.8578,14.1262,12.7391,,12.9238,,,12.6113,,,,,44.4731,0.4735,3.875,46.2914,13.7968,12.4976,,12.8578,,,12.5456,,75.5428,65.0204
2017-11-30,16.58,17.95,16.58,13.29,421545,1520272.0703,,,0.6554,11.625,12.8307,14.0363,12.8125,,12.9587,,,12.7809,,,,,51.6114,1.222,10.1266,55.9451,13.7541,12.5101,,12.8307,,,12.6972,,88.3401,100.0
2017-12-01,17.41,17.59,16.83,13.18,153029,1536380.3861,,,0.6501,11.6698,12.7978,13.9258,12.8609,,12.9793,,,12.8795,,,,,50.981,1.2297,10.2941,53.9373,13.7123,12.5194,,12.7978,,,12.8118,,84.2233,87.6494
2017-12-04,17.21,17.71,17.01,13.12,109041,1480302.1575,,,0.6418,11.7246,12.7627,13.8008,12.8957,,12.9929,,,12.94,,,,,53.9528,1.0235,8.4596,52.9817,13.7098,12.5527,,12.7627,,,12.91,,85.6508,69.303
2017-12-05,17.28,17.42,16.5,12.98,162634,1494444.2445,,,0.6462,11.785,12.7237,13.6625,12.9075,,12.992,,,12.9511,,,,,53.7347,0.7561,6.1836,50.5039,13.6688,12.6072,,12.7237,,,12.9504,,66.8627,43.6359
