date,open,high,low,close,volume,ad_14_chaikin a/d,adx_14_adx,adxr_14_adxr,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,ema_14_ema,ema_20_ema,ema_30_ema,ema_50_ema,ema_7_ema,ema_90_ema,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,mfi_14_mfi,mom_10_mom,roc_10_roc,rsi_14_rsi,sar_14_sar,sma_14_sma,sma_20_sma,sma_30_sma,sma_50_sma,sma_7_sma,sma_90_sma,stochrsi_14_fastd,stochrsi_14_fastk
2025-07-23,20.25,20.39,18.99,19.01,21974942,-21347086.5143,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-24,19.05,19.9,19.04,19.74,4113386,-18755415.5663,,,,,,,,,,,,,,,,,,,,18.99,,,,,,,,
2025-07-25,19.24,19.85,19.0,19.65,2500155,-17431804.0957,,,,,,,,,,,,,,,,,,,,18.9991,,,,,,,,
2025-07-28,19.75,19.88,18.73,19.1,3019720,-18515536.3605,,,,,,,,,,,,,,,,,,,,19.9,,,,,,,,
2025-07-29,19.15,19.15,18.6,18.82,6189843,-19753504.9605,,,,,,,,,,,,,,,,,,,,19.8883,,,,,,,,
2025-07-30,18.95,19.0,18.35,18.87,1476352,-18867693.7605,,,,,,,,,,,,,,,,,,,,19.88,,,,,,,,
2025-07-31,18.95,18.95,18.28,18.44,1596587,-19720007.1214,,,,,,,,,,,19.09,,,,,,,,,19.8341,,,,,19.09,,,
2025-08-01,18.23,18.23,16.85,16.93,3610718,-22912584.1428,,,,,,,,,,,18.55,,,,,,,,,19.7721,,,,,18.7929,,,
2025-08-04,16.93,17.21,15.99,16.2,3080005,-24932259.5526,,,,,,,,,,,17.9625,,,,,,,,,19.626,,,,,18.2871,,,
2025-08-05,16.0,16.25,15.78,16.03,1468745,-24838509.8718,,,,,,,,,,,17.4794,,,,,,,,,19.4079,,,,,17.77,,,
