date,open,high,low,close,volume,ad_14_chaikin a/d,adx_14_adx,adxr_14_adxr,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,ema_14_ema,ema_200_ema,ema_20_ema,ema_30_ema,ema_50_ema,ema_7_ema,ema_90_ema,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,mfi_14_mfi,mom_10_mom,roc_10_roc,rsi_14_rsi,sar_14_sar,sma_14_sma,sma_200_sma,sma_20_sma,sma_30_sma,sma_50_sma,sma_7_sma,sma_90_sma,stochrsi_14_fastd,stochrsi_14_fastk
2023-02-09,30.31,30.84,28.51,30.46,16331526,11004504.6438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-10,29.43,31.2,29.22,31.01,3154966,13553972.1185,,,,,,,,,,,,,,,,,,,,,28.51,,,,,,,,,
2023-02-13,30.66,32.02,30.65,31.42,1842537,13772596.4009,,,,,,,,,,,,,,,,,,,,,28.5369,,,,,,,,,
2023-02-14,31.65,31.83,30.21,30.8,1557763,13349500.2775,,,,,,,,,,,,,,,,,,,,,28.6067,,,,,,,,,
2023-02-15,30.4,32.69,30.33,32.68,5502357,18805227.1334,,,,,,,,,,,,,,,,,,,,,28.675,,,,,,,,,
2023-02-16,31.73,32.95,30.75,31.51,618875,18613938.497,,,,,,,,,,,,,,,,,,,,,28.7955,,,,,,,,,
2023-02-17,30.75,32.39,30.75,31.64,811441,18683207.8507,,,,,,,,,,,,31.36,,,,,,,,,28.9617,,,,,,31.36,,,
2023-02-21,31.12,31.59,29.19,30.95,1074852,19185759.285,,,,,,,,,,,,31.2575,,,,,,,,,29.1212,,,,,,31.43,,,
2023-02-22,30.95,31.88,29.88,31.26,750728,19471035.925,,,,,,,,,,,,31.2581,,,,,,,,,29.186,,,,,,31.4657,,,
2023-02-23,31.27,32.12,31.27,31.99,723639,19973326.525,,,,,,,,,,,,31.4411,,,,,,,,,29.186,,,,,,31.5471,,,
2023-02-24,31.5,31.5,30.1,30.21,509533,19543862.9964,,,,,,,,,,,,31.1333,,,,,,-0.25,-0.8207,,29.3366,,,,,,31.4629,,,
2023-02-27,30.48,30.63,29.76,29.91,857852,18981822.0309,,,,,,,,,,,,30.8275,,,,,,-1.1,-3.5472,,29.4811,,,,,,31.0671,,,
2023-02-28,29.97,31.18,29.66,30.44,728832,19001001.8204,,,,,,,,,,,,30.7306,,,,,,-0.98,-3.119,,29.6199,,,,,,30.9143,,,
2023-03-01,30.57,32.12,30.44,31.08,917731,18780419.5919,,,,,,,31.0971,,,,,30.818,,,,,,0.28,0.9091,,29.66,31.0971,,,,,30.8343,,,
2023-03-02,30.65,32.22,30.65,31.89,934069,19321822.6428,,,1.7158,,,,31.2029,,,,,31.086,,,,,73.1082,-0.79,-2.4174,56.7773,29.66,31.1993,,,,,30.9686,,,
2023-03-03,32.45,34.84,31.4,33.35,2191101,19614818.7068,,,1.839,,,,31.4891,,,,,31.652,,,,,72.0594,1.84,5.8394,62.3834,29.7916,31.3664,,,,,31.2671,,,
2023-03-06,34.56,34.75,31.8,32.45,2252661,18354855.7746,,,1.9184,,,,31.6173,,,,,31.8515,,,,,60.76,0.81,2.5601,57.4377,30.044,31.44,,,,,31.3329,,,
2023-03-07,32.41,34.84,31.9,33.95,1435780,18917954.5522,,,1.9917,,,,31.9283,,,,,32.3761,,,,,68.5727,3.0,9.6931,62.7397,30.2838,31.665,,,,,31.8671,,,
