date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,adx_14_adx,adxr_14_adxr,apo_14_apo,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,bop_14_bop,cci_20_cci,cmo_14_cmo,dema_14_dema,dx_14_dx,ema_12_ema,ema_14_ema,ema_26_ema,ht_dcperiod_14_dcperiod,ht_dcphase_14_ht_dcphase,ht_phasor_14_phase,ht_phasor_14_quadrature,ht_sine_14_lead sine,ht_sine_14_sine,ht_trendline_14_ht_trendline,ht_trendmode_14_trendmode,kama_14_kama,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,macdext_14_macd,macdext_14_macd_hist,macdext_14_macd_signal,mama_14_fama,mama_14_mama,mfi_14_mfi,midpoint_14_midpoint,midprice_14_midprice,minus_di_14_minus_di,mom_10_mom,natr_14_natr,obv_14_obv,plus_di_14_plus_di,ppo_14_ppo,roc_10_roc,rocr_14_rocr,rsi_14_rsi,sar_14_sar,sma_200_sma,sma_20_sma,sma_50_sma,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,stochrsi_14_fastd,stochrsi_14_fastk,t3_14_t3,tema_14_tema,trange_14_trange,trima_14_trima,trix_14_trix,ultosc_14_ultosc,willr_14_willr,wma_14_wma
2017-09-22,0.14,0.14,0.1,0.1,191673,-191673.0,,,,,,,,,,,,-1.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,191673.0,,,,,,,,,,,,,,,,,,,,,,,
2017-09-25,0.1,0.11,0.09,0.1,296883,-230251.0169,,,,,,,,,,,,0.0056,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,191673.0,,,,,,0.1425,,,,,,,,,,,,0.0177,,,,,
2017-09-26,0.1,0.1,0.08,0.08,33450,-263701.0169,,,,,,,,,,,,-0.8511,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,158223.0,,,,,,0.142,,,,,,,,,,,,0.0235,,,,,
2017-09-27,0.11,0.11,0.08,0.09,216671,-321479.9503,,,,,,,,,,,,-0.6333,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,374894.0,,,,,,0.1408,,,,,,,,,,,,0.03,,,,,
2017-09-28,0.09,0.1,0.09,0.09,257909,-579388.9503,,,,,,,,,,,,-0.0286,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,116985.0,,,,,,0.1395,,,,,,,,,,,,0.007,,,,,
2017-09-29,0.09,0.1,0.07,0.07,318722,-898110.9503,,,,,,,,,,,,-0.7,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-201737.0,,,,,,0.1384,,,,,,,,,,,,0.03,,,,,
2017-10-02,0.08,0.09,0.06,0.06,495895,-1394005.9503,,,,,,,,,,,,-0.7143,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-697632.0,,,,,,0.1363,,,,,,5.3333,0.0,,,,,0.028,,,,,
2017-10-03,0.07,0.08,0.06,0.06,108696,-1430237.9503,,,,,,,,,,,,-0.5,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-588936.0,,,,,,0.1332,,,,,,3.3333,10.0,,,,,0.015,,,,,
2017-10-04,0.06,0.07,0.06,0.07,41100,-1412792.6265,,,,,,,,,,,,0.7122,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-547836.0,,,,,,0.1303,,,,6.849,11.8803,11.8803,25.641,,,,,0.0139,,,,,
2017-10-05,0.06,0.08,0.06,0.08,65047,-1362458.6384,-390030.1985,,,,,,,,,,,0.6607,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,-482789.0,,,,,,0.1275,,,,13.3333,24.7863,24.7863,38.7179,,,,,0.0168,,,,,
