date,open,high,low,close,volume,ad_14_chaikin a/d,adx_14_adx,adxr_14_adxr,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,ema_14_ema,ema_200_ema,ema_20_ema,ema_30_ema,ema_50_ema,ema_7_ema,ema_90_ema,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,mfi_14_mfi,mom_10_mom,roc_10_roc,rsi_14_rsi,sar_14_sar,sma_14_sma,sma_200_sma,sma_20_sma,sma_30_sma,sma_50_sma,sma_7_sma,sma_90_sma,stochrsi_14_fastd,stochrsi_14_fastk
1999-11-01,13.75,13.94,13.44,1.62,262400,-373920.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-11-02,13.56,14.0,13.56,1.65,184960,-421210.9091,,,,,,,,,,,,,,,,,,,,,1.6117,,,,,,,,,
1999-11-03,13.88,13.88,13.56,1.64,257067,-511585.9091,,,,,,,,,,,,,,,,,,,,,1.6123,,,,,,,,,
1999-11-04,13.69,13.88,13.69,1.66,383200,206914.0909,,,,,,,,,,,,,,,,,,,,,1.613,,,,,,,,,
1999-11-05,13.94,14.25,13.88,1.69,404267,186427.6044,,,,,,,,,,,,,,,,,,,,,1.6137,,,,,,,,,
1999-11-08,14.0,14.06,13.75,1.66,1078453,-139717.3956,,,,,,,,,,,,,,,,,,,,,1.6156,,,,,,,,,
1999-11-09,13.88,14.0,13.63,1.63,393227,-877017.3956,,,,,,,,,,,,1.6512,,,,,,,,,1.6174,,,,,,1.6512,,,
1999-11-10,13.63,13.88,13.63,1.65,328960,-901689.3956,,,,,,,,,,,,1.6506,,,,,,,,,1.6193,,,,,,1.6555,,,
1999-11-11,13.75,13.88,13.13,1.59,591627,-1656013.3956,,,,,,,,,,,,1.6352,,,,,,,,,1.7088,,,,,,1.647,,,
1999-11-12,13.38,13.38,13.19,1.59,580427,-2056966.0272,,,,,,,,,,,,1.6236,,,,,,,,,1.7075,,,,,,1.6394,,,
1999-11-15,13.13,13.75,13.13,1.63,306773,-1704424.7046,,,,,,,,,,,,1.6263,,,,,,0.0156,0.963,,1.7061,,,,,,1.6351,,,
1999-11-16,13.63,14.0,13.13,1.57,545760,-2727724.7046,,,,,,,,,,,,1.6134,,,,,,-0.0743,-4.5091,,1.7048,,,,,,1.6192,,,
1999-11-17,13.25,13.31,12.88,1.55,494187,-3395738.6581,,,,,,,,,,,,1.598,,,,,,-0.0899,-5.4785,,1.7035,,,,,,1.6031,,,
1999-11-18,13.06,13.25,13.0,1.58,1043787,-2378046.6581,,,,,,,1.6234,,,,,1.5939,,,,,,-0.0827,-4.9712,,1.7003,1.6234,,,,,1.5956,,,
1999-11-19,13.06,13.19,12.84,1.57,1083040,-1855866.6581,,,0.0499,,,,1.6158,,,,,1.5869,,,,,30.3708,-0.1199,-7.1124,43.0818,1.6972,1.6196,,,,,1.5837,,,
1999-11-22,13.13,13.19,12.75,1.53,590827,-2963666.6581,,,0.0501,,,,1.6042,,,,,1.5724,,,,,26.6011,-0.1355,-8.1412,38.9886,1.6925,1.6111,,,,,1.5752,,,
1999-11-23,12.75,13.06,12.75,1.54,412427,-3088392.4645,,,0.0492,,,,1.5962,,,,,1.5655,,,,,26.1681,-0.0899,-5.5026,41.4987,1.6859,1.6041,,,,,1.5688,,,
1999-11-24,13.0,13.06,12.94,1.56,682827,-3088392.4645,,,0.0472,,,,1.5913,,,,,1.5638,,,,,28.4919,-0.0899,-5.4545,43.7973,1.6781,1.5966,,,,,1.5581,,,
1999-11-26,12.94,13.0,12.88,1.54,86187,-3249992.4645,,,0.0449,,,,1.585,,,,,1.559,,,,,24.4799,-0.0444,-2.7925,42.0193,1.6706,1.5865,,,,,1.5538,,,
1999-11-29,12.88,12.94,12.81,1.54,386240,-3974192.4645,,,0.0428,1.5038,1.6003,1.6969,1.5785,,1.6003,,,1.5533,,,,,26.9527,-0.0528,-3.3208,40.9744,1.6636,1.5773,,1.6003,,,1.5515,,,
1999-11-30,12.75,12.81,12.38,1.5,726240,-4575873.8599,,,0.0434,1.4887,1.5943,1.7,1.5679,,1.5907,,,1.5397,,,,,25.9797,-0.1355,-8.2905,36.6299,1.6568,1.5676,,1.5943,,,1.5397,,34.7735,0.0
1999-12-01,12.75,12.81,12.19,1.51,536373,-4575873.8599,,,0.0457,1.4796,1.5876,1.6956,1.5608,,1.5834,,,1.5334,,,,,31.8646,-0.06,-3.8081,39.5257,1.6465,1.5581,,1.5876,,,1.5324,,27.2322,40.4015
