date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,adx_14_adx,adxr_14_adxr,apo_14_apo,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,bop_14_bop,cci_20_cci,cmo_14_cmo,dema_14_dema,dx_14_dx,ema_12_ema,ema_14_ema,ema_26_ema,ht_dcperiod_14_dcperiod,ht_dcphase_14_ht_dcphase,ht_phasor_14_phase,ht_phasor_14_quadrature,ht_sine_14_lead sine,ht_sine_14_sine,ht_trendline_14_ht_trendline,ht_trendmode_14_trendmode,kama_14_kama,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,macdext_14_macd,macdext_14_macd_hist,macdext_14_macd_signal,mama_14_fama,mama_14_mama,mfi_14_mfi,midpoint_14_midpoint,midprice_14_midprice,minus_di_14_minus_di,mom_10_mom,natr_14_natr,obv_14_obv,plus_di_14_plus_di,ppo_14_ppo,roc_10_roc,rocr_14_rocr,rsi_14_rsi,sar_14_sar,sma_200_sma,sma_20_sma,sma_50_sma,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,stochrsi_14_fastd,stochrsi_14_fastk,t3_14_t3,tema_14_tema,trange_14_trange,trima_14_trima,trix_14_trix,ultosc_14_ultosc,willr_14_willr,wma_14_wma
2012-09-05,0.06,0.06,0.06,0.6,0,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
2012-09-06,0.13,0.13,0.13,1.3,5000,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,500.0,,,,,,0.6,,,,,,,,,,,,0.7,,,,,
2012-09-07,0.22,0.22,0.22,2.2,1000,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,600.0,,,,,,0.607,,,,,,,,,,,,0.9,,,,,
2012-09-10,0.26,0.26,0.26,2.6,0,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,600.0,,,,,,0.6389,,,,,,,,,,,,0.4,,,,,
2012-09-11,0.26,0.26,0.26,2.6,0,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,600.0,,,,,,0.6977,,,,,,,,,,,,0.0,,,,,
2012-09-12,0.26,0.26,0.26,2.6,0,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,600.0,,,,,,0.7548,,,,,,,,,,,,0.0,,,,,
2012-09-13,0.4,0.48,0.4,4.8,6000,600.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1200.0,,,,,,0.8101,,,,,,100.0,100.0,,,,,2.2,,,,,
2012-09-14,0.5,1.0,0.5,10.0,26000,3200.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,3800.0,,,,,,0.9697,,,,,,100.0,100.0,,,,,5.2,,,,,
2012-09-17,1.25,1.25,1.0,12.5,22000,5400.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,6000.0,,,,,,1.4212,,,,100.0,100.0,100.0,100.0,,,,,2.5,,,,,
2012-09-18,1.4,1.55,1.4,14.2,40000,2466.6667,1319.8111,,,,,,,,,,,0.1333,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,10000.0,,,,,,2.086,,,,98.8803,96.6408,96.6408,89.9225,,,,,3.0,,,,,
2012-09-19,1.45,1.48,1.25,14.5,18000,3797.1014,1326.8398,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,13.9,,11800.0,,,2316.6667,,,3.0249,,,,96.7944,93.7423,93.7423,91.3043,,,,,2.3,,,,,
2012-09-20,1.43,1.43,1.25,12.5,1000,3697.1014,1177.2752,,,,,,,,,,,-1.0,,,,,6.7,,,,,,,,,,0,,,,,,,,,,,,,,11.2,,11700.0,,,861.5385,,,3.8982,,,,91.5339,84.2185,84.2185,71.4286,,,,,2.0,,,,,
2012-09-21,1.25,1.25,1.25,12.5,0,3697.1014,1009.0647,,,,,,,,,,,0.0,,,,,7.5923,,,,,,,,,,0,,,,,,,,,,,,,,10.3,,11700.0,,,468.1818,,,4.7103,,,,82.4522,69.3958,69.3958,45.4545,,,,,0.0,,,,,
2012-09-24,1.25,1.25,1.25,12.5,0,3697.1014,848.5182,,,,,,,,,,,0.0,,,,,8.3473,7.5286,,,,,,,,,0,,,,,,,,,,,7.55,8.05,,9.9,,11700.0,,,380.7692,,,5.4656,,,,64.1918,38.961,38.961,0.0,,,,,0.0,7.7036,,,-20.1342,10.1324
2012-09-25,1.25,1.25,1.25,12.5,0,3697.1014,705.702,,,,0.0,64.2857,64.2857,1.3714,,,,0.0,,74.8428,,81.7073,8.9862,8.1914,,,,,,,,,0,12.5,,,,,,,,,80.5355,7.9,8.4,7.8125,9.9,10.9714,11700.0,77.6042,,380.7692,20.8333,87.4214,6.168,,,,41.1695,15.1515,15.1515,0.0,,,,,0.0,9.0339,,,-21.1268,10.7952
2012-09-26,1.25,1.25,1.25,12.5,0,3697.1014,583.1225,,,,0.0,57.1429,57.1429,1.2735,,,,0.0,,74.8428,,81.7073,9.5268,8.7659,,,,,,,,,0,12.5,,,,,,,,,80.4417,8.35,8.85,7.8125,9.9,10.1878,11700.0,77.6042,,380.7692,9.6154,87.4214,6.8212,,,,18.0375,0.0,0.0,0.0,,,,,0.0,10.1964,,,-22.5564,11.3448
2012-09-27,1.05,1.05,1.05,10.5,1000,3697.1014,479.9652,,,,0.0,50.0,50.0,1.3254,,,,0.0,,52.5835,,57.689,9.6765,8.9971,,,,,,,,,0,12.2245,,,,,,,,,79.7879,8.55,9.05,18.4255,5.7,12.6225,11600.0,68.6701,,118.75,4.7727,76.2918,7.4288,,,,5.0505,0.0,0.0,0.0,,,,,2.0,11.0929,,,-38.7597,11.521
2012-09-28,1.4,1.4,1.05,10.5,4000,3297.1014,266.8585,,,,14.2857,42.8571,28.5714,1.4807,,,,-1.0,,52.5835,,66.1271,9.8032,9.1975,,,,,,,,,0,11.9964,,,,,,,,,80.4596,8.55,9.05,15.1405,0.5,14.1019,11600.0,74.2557,,5.0,4.0385,76.2918,7.9937,,,,0.0,0.0,0.0,0.0,,,,,3.5,11.7036,,,-38.7597,11.6181
2012-10-01,1.05,1.05,1.05,10.5,1000,3297.1014,155.4187,,,,7.1429,35.7143,28.5714,1.3749,,,,0.0,,52.5835,,66.1271,9.9104,9.3712,,,,,,,,,0,11.7985,,,,,,,,,79.8624,8.55,9.05,15.1405,-2.0,13.0946,11600.0,74.2557,,-16.0,4.0385,76.2918,8.5192,,,,0.0,0.0,0.0,0.0,,,,,0.0,12.0661,,,-38.7597,11.64
2012-10-02,1.05,1.05,1.05,10.5,0,3297.1014,95.7007,,,,0.0,28.5714,28.5714,1.2767,-0.9143,8.62,18.1543,0.0,29.5867,52.5835,,66.1271,10.0011,9.5217,,,,,,,,,0,11.6267,,,,,,,,,79.8624,9.65,9.75,15.1405,-3.7,12.1593,11600.0,74.2557,,-26.0563,4.0385,76.2918,9.0078,,8.62,,0.0,0.0,0.0,0.0,,,,,0.0,12.2161,,,-43.4783,11.5867
2012-10-03,1.12,1.12,1.12,11.2,1000,3297.1014,62.5705,,,,0.0,21.4286,21.4286,1.2355,0.3043,9.15,17.9957,0.0,35.6449,55.2647,,67.7345,10.1856,9.7455,,,,,,,,,0,11.5796,,,,,,,,,79.6321,12.25,10.25,14.495,-3.3,11.0315,11700.0,75.3533,,-22.7586,2.3333,77.6323,9.4623,,9.15,,2.2222,6.6667,6.6667,20.0,33.3333,100.0,,,0.7,12.1661,,,-40.9524,11.5514
2012-10-04,1.05,1.25,1.05,12.5,2000,3497.1014,106.9654,,,,0.0,14.2857,14.2857,1.2901,1.53,9.71,17.89,1.0,42.4242,59.8098,,70.5312,10.5416,10.1127,,,,,,,,,0,11.6194,,,,,,,,,76.3719,12.5,12.75,12.814,0.0,10.3211,11900.0,74.1526,,0.0,1.25,79.9049,9.8849,,9.71,,10.7937,25.7143,25.7143,57.1429,66.6667,100.0,,,2.0,11.9786,,,-54.5455,11.6286
2012-10-05,1.25,1.25,1.25,12.5,0,3497.1014,115.4028,,,,0.0,7.1429,7.1429,1.198,2.7332,10.225,17.7168,0.0,52.6443,59.8098,,70.5312,10.8429,10.431,,,,,,,,,0,11.6231,,,,,,,,,69.9821,12.5,13.0,12.814,0.0,9.5838,11900.0,74.1526,,0.0,1.0,79.9049,10.278,,10.225,,30.4762,59.0476,59.0476,100.0,100.0,100.0,,,0.0,11.7464,,,-60.0,11.6819
2012-10-08,1.1,1.1,1.0,10.7,3000,3617.1014,146.5452,,,,100.0,0.0,-100.0,1.291,4.0052,10.63,17.2548,-0.3,1.0125,37.3939,,42.9046,10.8209,10.4669,,,,,,,,,0,11.5258,,,,,,,,,20.4789,12.5,12.4,25.3625,-1.8,12.0653,11600.0,63.48,,-14.4,0.7535,68.6969,15.5,,10.63,,48.8254,61.7143,61.7143,28.0,66.6667,0.0,,,2.5,11.5179,,,-85.4167,11.4952
2012-10-09,1.07,1.07,1.07,10.7,0,3617.1014,145.9629,,,,92.8571,0.0,-92.8571,1.1988,5.5271,11.035,16.5429,0.0,-8.1399,37.3939,,42.9046,10.8023,10.498,,,,,,,,,0,11.42,,,,,,,,,55.3394,11.5,12.15,25.3625,-1.8,11.2034,11600.0,63.48,,-14.4,0.7379,68.6969,15.445,,11.035,,57.5873,52.0,52.0,28.0,33.3333,0.0,,,0.0,11.3589,,,-83.7209,11.3419
