date,open,high,low,close,volume,ad_14_chaikin a/d,adosc_14_adosc,adx_14_adx,adxr_14_adxr,apo_14_apo,aroon_14_aroon down,aroon_14_aroon up,aroonosc_14_aroonosc,atr_14_atr,bbands_20_real lower band,bbands_20_real middle band,bbands_20_real upper band,bop_14_bop,cci_20_cci,cmo_14_cmo,dema_14_dema,dx_14_dx,ema_12_ema,ema_14_ema,ema_26_ema,ht_dcperiod_14_dcperiod,ht_dcphase_14_ht_dcphase,ht_phasor_14_phase,ht_phasor_14_quadrature,ht_sine_14_lead sine,ht_sine_14_sine,ht_trendline_14_ht_trendline,ht_trendmode_14_trendmode,kama_14_kama,macd_14_macd,macd_14_macd_hist,macd_14_macd_signal,macdext_14_macd,macdext_14_macd_hist,macdext_14_macd_signal,mama_14_fama,mama_14_mama,mfi_14_mfi,midpoint_14_midpoint,midprice_14_midprice,minus_di_14_minus_di,mom_10_mom,natr_14_natr,obv_14_obv,plus_di_14_plus_di,ppo_14_ppo,roc_10_roc,rocr_14_rocr,rsi_14_rsi,sar_14_sar,sma_200_sma,sma_20_sma,sma_50_sma,stoch_14_slowd,stoch_14_slowk,stochf_14_fastd,stochf_14_fastk,stochrsi_14_fastd,stochrsi_14_fastk,t3_14_t3,tema_14_tema,trange_14_trange,trima_14_trima,trix_14_trix,ultosc_14_ultosc,willr_14_willr,wma_14_wma
2006-03-31,34.13,35.0,30.0,14.18,15161300,-13645170.0,,,,,,,,,,,,-0.776,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,15161300.0,,,,,,,,,,,,,,,,,,,,,,,
2006-04-03,30.0,30.0,28.0,13.59,4799700,-13645170.0,,,,,,,,,,,,-0.5,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,10361600.0,,,,,,16.4034,,,,,,,,,,,,1.0545,,,,,
2006-04-04,29.0,29.0,28.45,13.33,889800,-14534970.0,,,,,,,,,,,,-1.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,9471800.0,,,,,,16.3706,,,,,,,,,,,,0.2578,,,,,
2006-04-05,28.5,28.85,28.5,13.47,364900,-14378584.2857,,,,,,,,,,,,0.7143,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,9836700.0,,,,,,16.3381,,,,,,,,,,,,0.1875,,,,,
2006-04-06,28.75,30.15,28.73,14.02,1299500,-13518351.8913,,,,,,,,,,,,0.8169,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,11136200.0,,,,,,16.306,,,,,,,,,,,,0.6655,,,,,
2006-04-07,29.95,29.95,29.1,13.8,503500,-13607204.8325,,,,,,,,,,,,-0.5882,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,10632700.0,,,,,,16.2741,,,,,,,,,,,,0.3984,,,,,
2006-04-10,29.45,29.55,27.6,13.11,695000,-14031333.0377,,,,,,,,,,,,-0.7538,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,9937700.0,,,,,,16.2426,,,,,,36.5432,14.902,,,,,0.9139,,,,,
2006-04-11,27.98,27.98,26.6,12.6,1043400,-14651324.342,,,,,,,,,,,,-0.7971,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,8894300.0,,,,,,16.1765,,,,,,30.077,7.8873,,,,,0.6468,,,,,
2006-04-12,26.95,26.95,26.2,12.42,566100,-14764544.342,,,,,,,,,,,,-0.6,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,8328200.0,,,,,,16.0652,,,,25.5828,10.1281,10.1281,7.5949,,,,,0.3515,,,,,
2006-04-13,26.41,26.9,26.41,12.46,310100,-14846815.7706,-422528.5703,,,,,,,,,,,0.3673,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,8638300.0,,,,,,15.9137,,,,16.2775,8.6274,8.6274,10.4,,,,,0.2296,,,,,
